measured_on,Wood Waste Liquids Generation,Wood Waste Liquids Quantity Consumed For Electricity,Wood Waste Liquids Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2010-07-01,,,,764.0,3855.0,38233.0
2010-08-01,,,,1339.0,6756.0,36244.0
2010-09-01,,,,324.0,1635.0,18252.0
2010-10-01,,,,1164.0,5873.0,39271.0
2010-11-01,,,,989.0,4990.0,31988.0
2010-12-01,,,,1245.0,6282.0,132172.0
2011-01-01,,,,154.0,777.0,31036.0
2011-02-01,,,,83.0,419.0,36157.0
2011-03-01,,,,125.0,631.0,34479.0
2011-04-01,,,,41.0,207.0,36347.0
2011-05-01,,,,25.0,126.0,30950.0
2011-06-01,,,,0.0,0.0,30759.0
2011-07-01,,,,0.0,0.0,29635.0
2011-08-01,,,,1509.0,7614.0,30621.0
2011-09-01,,,,1868.0,9425.0,30569.0
2011-10-01,,,,506.0,2553.0,32420.0
2011-11-01,,,,0.0,0.0,29946.0
2011-12-01,,,,862.0,4349.0,32386.0
2012-01-01,,,,112.0,565.0,32957.0
2012-02-01,,,,158.0,797.0,32818.0
2012-03-01,,,,150.0,757.0,34998.0
2012-04-01,,,,121.0,610.0,32576.0
2012-05-01,,,,49.0,247.0,29600.0
2012-06-01,,,,0.0,0.0,26106.0
2012-07-01,,,,0.0,0.0,26971.0
2012-08-01,,,,731.0,3688.0,66051.0
2012-09-01,,,,1125.0,5676.0,86241.0
2012-10-01,,,,611.0,3083.0,59633.0
2012-11-01,,,,0.0,0.0,26106.0
2012-12-01,,,,0.0,0.0,26971.0
2013-01-01,,,,0.0,0.0,26971.0
2013-02-01,,,,0.0,0.0,24358.0
2013-03-01,,,,0.0,0.0,26971.0
2013-04-01,,,,24.0,121.0,27386.0
2013-05-01,,,,401.0,2023.0,48405.0
2013-06-01,,,,46.0,232.0,28562.0
2013-07-01,,,,1277.0,6443.0,95237.0
2013-08-01,,,,1566.0,7901.0,110685.0
2013-09-01,,,,681.0,3436.0,62505.0
2013-10-01,,,,1204.0,6075.0,64356.0
2013-11-01,,,,149.0,752.0,34064.0
2013-12-01,,,,943.0,4758.0,77383.0
2014-01-01,,,,876.0,4420.0,73802.0
2014-02-01,,,,916.0,4622.0,73335.0
2014-03-01,,,,415.0,2094.0,49167.0
2014-04-01,,,,44.0,222.0,28459.0
2014-05-01,,,,6.0,30.0,27299.0
2014-06-01,,,,0.0,0.0,26106.0
2014-07-01,,,,934.0,4712.0,76899.0
2014-08-01,,,,1282.0,6468.0,95513.0
2014-09-01,,,,1302.0,6569.0,95704.0
2014-10-01,,,,45.0,227.0,29375.0
2014-11-01,,,,0.0,0.0,26106.0
2014-12-01,,,,0.0,0.0,26971.0
2015-01-01,,,,0.0,0.0,26971.0
2015-02-01,,,,56.0,283.0,27351.0
2015-03-01,,,,560.0,2825.0,56900.0
2015-04-01,,,,613.0,3093.0,58924.0
2015-05-01,,,,199.0,1004.0,37628.0
2015-06-01,,,,1410.0,7114.0,101465.0
2015-07-01,,,,1351.0,6816.0,99216.0
2015-08-01,,,,1888.0,9526.0,127916.0
2015-09-01,,,,1307.0,6594.0,95980.0
2015-10-01,,,,82.0,414.0,31348.0
2015-11-01,,,,553.0,2790.0,55654.0
2015-12-01,,,,70.0,353.0,30690.0
2016-01-01,,,,0.0,0.0,26971.0
2016-02-01,,,,0.0,0.0,24358.0
2016-03-01,,,,387.0,3001.0,47662.0
2016-04-01,,,,48.0,372.0,28666.0
2016-05-01,,,,1172.0,9088.0,89631.0
2016-06-01,,,,725.0,5622.0,64858.0
2016-07-01,,,,724.0,5614.0,65671.0
2016-08-01,,,,846.0,6560.0,72193.0
2016-09-01,,,,544.0,4218.0,55187.0
2016-10-01,,,,1545.0,11981.0,109561.0
2016-11-01,,,,1265.0,9810.0,93731.0
2016-12-01,,,,0.0,0.0,26971.0
2017-01-01,,,,0.0,0.0,26971.0
2017-02-01,,,,0.0,0.0,24358.0
2017-03-01,,,,0.0,0.0,26971.0
2017-04-01,,,,0.0,0.0,26106.0
2017-05-01,,,,0.0,0.0,26971.0
2017-06-01,,,,0.0,0.0,26106.0
2017-07-01,,,,1.0,8.0,27023.0
2017-08-01,,,,550.0,4265.0,56381.0
2017-09-01,,,,0.0,0.0,26106.0
2017-10-01,,,,0.0,0.0,26971.0
2017-11-01,,,,0.0,0.0,26106.0
2017-12-01,,,,0.0,0.0,26971.0
2018-01-01,,,,0.0,0.0,26971.0
2018-02-01,,,,0.0,0.0,24358.0
2018-03-01,,,,0.0,0.0,26971.0
2018-04-01,,,,0.0,0.0,26106.0
2018-05-01,,,,0.0,0.0,26971.0
2018-06-01,,,,0.0,0.0,26106.0
2018-07-01,,,,0.0,0.0,26971.0
2018-08-01,,,,0.0,0.0,26867.0
2018-09-01,,,,0.0,0.0,26106.0
2018-10-01,,,,0.0,0.0,26971.0
2018-11-01,,,,0.0,0.0,26106.0
2018-12-01,,,,0.0,0.0,26971.0
2019-01-01,,,,0.0,0.0,26971.0
2019-02-01,,,,0.0,0.0,25241.0
2019-03-01,,,,0.0,0.0,26971.0
2019-04-01,,,,0.0,0.0,26106.0
2019-05-01,,,,0.0,0.0,26971.0
2019-06-01,,,,0.0,0.0,26106.0
2019-07-01,,,,0.0,0.0,26971.0
2019-08-01,,,,0.0,0.0,26867.0
2019-09-01,,,,0.0,0.0,26106.0
2019-10-01,,,,0.0,0.0,26971.0
2019-11-01,,,,0.0,0.0,26106.0
2019-12-01,,,,0.0,0.0,26971.0
2020-01-01,,,,0.0,0.0,26971.0
2020-02-01,,,,0.0,0.0,25223.0
2020-03-01,,,,0.0,0.0,26971.0
2020-04-01,,,,0.0,0.0,26106.0
2020-05-01,,,,0.0,0.0,26971.0
2020-06-01,,,,0.0,0.0,26106.0
2020-07-01,,,,0.0,0.0,26971.0
2020-08-01,,,,0.0,0.0,26971.0
2020-09-01,,,,0.0,0.0,26106.0
2020-10-01,,,,0.0,0.0,26971.0
2020-11-01,,,,0.0,0.0,26106.0
2020-12-01,,,,0.0,0.0,26971.0
2021-01-01,,,,0.0,0.0,44132.0
2021-02-01,,,,0.0,0.0,41096.0
2021-03-01,,,,0.0,0.0,46816.0
2021-04-01,,,,0.0,0.0,40867.0
2021-05-01,,,,0.0,0.0,38042.0
2021-06-01,,,,0.0,0.0,33009.0
2021-07-01,,,,0.0,0.0,29656.0
2021-08-01,,,,0.0,0.0,30703.0
2021-09-01,,,,0.0,0.0,33898.0
2021-10-01,,,,0.0,0.0,33194.0
2021-11-01,,,,0.0,0.0,39160.0
2021-12-01,,,,0.0,0.0,44194.0
