measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2015-09-01,,,,3369.756,31403.0,31403.0
2015-10-01,,,,8699.243,81068.0,81068.0
2015-11-01,,,,9119.406,84984.0,84984.0
2015-12-01,,,,15968.47,148810.0,148810.0
2016-01-01,,,,15446.968,142606.0,142606.0
2016-02-01,,,,18630.644,171998.0,171998.0
2016-03-01,,,,25072.665,231471.0,231471.0
2016-04-01,,,,25858.898,238729.0,238729.0
2016-05-01,,,,17343.531,160115.0,160115.0
2016-06-01,,,,6942.094,64089.0,64089.0
2016-07-01,,,,6294.704,58113.0,58113.0
2016-08-01,,,,5407.972,49926.0,49926.0
2016-09-01,,,,3822.793,35292.0,35292.0
2016-10-01,,,,4696.408,43357.0,43357.0
2016-11-01,,,,8067.359,74478.0,74478.0
2016-12-01,,,,15714.964,145081.0,145081.0
2017-01-01,,,,11458.414,105566.0,105566.0
2017-02-01,,,,11405.201,105076.0,105076.0
2017-03-01,,,,14050.62,129448.0,129448.0
2017-04-01,,,,19541.638,180037.0,180037.0
2017-05-01,,,,20444.983,188360.0,188360.0
2017-06-01,,,,15620.387,143911.0,143911.0
2017-07-01,,,,13007.91,119842.0,119842.0
2017-08-01,,,,8180.78,75370.0,75370.0
2017-09-01,,,,6170.11,56845.0,56845.0
2017-10-01,,,,5936.989,54697.0,54697.0
2017-11-01,,,,14055.688,129495.0,129495.0
2017-12-01,,,,10888.28,100314.0,100314.0
2018-01-01,,,,10305.247,93819.0,93819.0
2018-02-01,,,,11028.182,100401.0,100401.0
2018-03-01,,,,12221.022,111260.0,111260.0
2018-04-01,,,,14651.457,133387.0,133387.0
2018-05-01,,,,11957.668,108863.0,108863.0
2018-06-01,,,,5455.568,49667.0,49667.0
2018-07-01,,,,4714.561,42921.0,42921.0
2018-08-01,,,,6498.658,59164.0,59164.0
2018-09-01,,,,6234.443,56758.0,56758.0
2018-10-01,,,,9292.28,84597.0,84597.0
2018-11-01,,,,12788.181,116424.0,116424.0
2018-12-01,,,,13698.733,124713.0,124713.0
2019-01-01,,,,14207.645,126519.0,126519.0
2019-02-01,,,,13195.82,117509.0,117509.0
2019-03-01,,,,13927.632,124026.0,124026.0
2019-04-01,,,,15101.797,134482.0,134482.0
2019-05-01,,,,16043.189,142865.0,142865.0
2019-06-01,,,,11429.849,101783.0,101783.0
2019-07-01,,,,6941.054,61810.0,61810.0
2019-08-01,,,,3903.86,34764.0,34764.0
2019-09-01,,,,3469.239,30894.0,30894.0
2019-10-01,,,,7571.513,67424.0,67424.0
2019-11-01,,,,9234.411,82232.0,82232.0
2019-12-01,,,,12524.991,111535.0,111535.0
2020-01-01,,,,15902.924,139421.0,139421.0
2020-02-01,,,,13553.422,118823.0,118823.0
2020-03-01,,,,18495.398,162149.0,162149.0
2020-04-01,,,,19955.502,174950.0,174950.0
2020-05-01,,,,17983.458,157661.0,157661.0
2020-06-01,,,,5952.295,52184.0,52184.0
2020-07-01,,,,7560.443,66282.0,66282.0
2020-08-01,,,,4087.612,35836.0,35836.0
2020-09-01,,,,2326.899,20400.0,20400.0
2020-10-01,,,,8654.391,75873.0,75873.0
2020-11-01,,,,10204.903,89466.0,89466.0
2020-12-01,,,,13764.753,120676.0,120676.0
2021-01-01,,,,11584.801,102456.0,102456.0
2021-02-01,,,,7441.254,65810.0,65810.0
2021-03-01,,,,11461.192,101363.0,101363.0
2021-04-01,,,,14139.972,125054.0,125054.0
2021-05-01,,,,10847.562,95936.0,95936.0
2021-06-01,,,,4807.502,42518.0,42518.0
2021-07-01,,,,9575.273,84684.0,84684.0
2021-08-01,,,,6704.016,59290.0,59290.0
2021-09-01,,,,7719.374,68270.0,68270.0
2021-10-01,,,,8284.443,73268.0,73268.0
2021-11-01,,,,11701.346,103487.0,103487.0
2021-12-01,,,,11483.265,101558.0,101558.0
2022-01-01,,,,10542.623,35971.0,35971.0
2022-02-01,,,,13039.343,44490.0,44490.0
2022-03-01,,,,19124.291,65252.0,65252.0
2022-04-01,,,,21904.169,74737.0,74737.0
2022-05-01,,,,15962.562,54464.0,54464.0
2022-06-01,,,,7527.759,25685.0,25685.0
2022-07-01,,,,4284.96,14620.0,14620.0
2022-08-01,,,,3755.068,12812.0,12812.0
2022-09-01,,,,7016.666,23941.0,23941.0
2022-10-01,,,,9196.156,31377.0,31377.0
2022-11-01,,,,10213.643,34849.0,34849.0
2022-12-01,,,,14781.76,50435.0,50435.0
2023-01-01,0.0,0.0,0.0,15941.0,54391.0,54391.0
2023-02-01,0.0,0.0,0.0,14043.0,47915.0,47915.0
2023-03-01,0.0,0.0,0.0,15193.0,51839.0,51839.0
2023-04-01,0.0,0.0,0.0,14798.0,50491.0,50491.0
2023-05-01,0.0,0.0,0.0,12890.0,43981.0,43981.0
2023-06-01,0.0,0.0,0.0,11190.0,38180.0,38180.0
2023-07-01,0.0,0.0,0.0,14192.0,48423.0,48423.0
2023-08-01,0.0,0.0,0.0,15176.0,51781.0,51781.0
2023-09-01,0.0,0.0,0.0,12159.0,41487.0,41487.0
2023-10-01,0.0,0.0,0.0,12840.0,43810.0,43810.0
2023-11-01,0.0,0.0,0.0,14777.0,50419.0,50419.0
2023-12-01,0.0,0.0,0.0,14766.0,50382.0,50382.0
2024-01-01,-116.0,0.0,0.0,13504.0,46076.0,46076.0
2024-02-01,-113.0,0.0,0.0,11302.0,38562.0,38562.0
2024-03-01,-111.0,0.0,0.0,12593.0,42967.0,42967.0
2024-04-01,-136.0,0.0,0.0,14076.0,48027.0,48027.0
2024-05-01,-149.0,0.0,0.0,12898.0,44008.0,44008.0
2024-06-01,-148.0,0.0,0.0,11236.0,38337.0,38337.0
2024-07-01,-154.0,0.0,0.0,13843.0,47232.0,47232.0
2024-08-01,-149.0,0.0,0.0,13834.0,47202.0,47202.0
2024-09-01,-152.0,0.0,0.0,10055.0,34308.0,34308.0
2024-10-01,-128.0,0.0,0.0,6372.0,21741.0,21741.0
2024-11-01,-133.0,0.0,0.0,5711.0,19486.0,19486.0
2024-12-01,-139.0,0.0,0.0,9684.0,33042.0,33042.0
