measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2007-05-01,,,,,,,0.0,0.0,0.0
2007-06-01,,,,,,,0.0,0.0,0.0
2007-07-01,,,,,,,0.0,0.0,0.0
2007-08-01,,,,0.0,0.0,0.0,1318.06,18070.0,18070.0
2007-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,6.415,68.0,68.0,,,,58.0,1237.0,1237.0
2008-02-01,2.6990000000000003,25.0,25.0,,,,0.0,0.0,0.0
2008-03-01,2.9930000000000003,31.0,31.0,,,,0.0,0.0,0.0
2008-04-01,3.91,37.0,37.0,,,,0.0,0.0,0.0
2008-05-01,6.642,68.0,68.0,,,,0.0,0.0,0.0
2008-06-01,5.861000000000001,62.0,62.0,,,,0.0,0.0,0.0
2008-07-01,4.206,43.0,43.0,,,,70.0,1592.0,1592.0
2008-08-01,2.6270000000000002,25.0,25.0,,,,-1.0,1265.0,1265.0
2008-09-01,3.1060000000000003,31.0,31.0,,,,0.0,0.0,0.0
2008-10-01,3.4090000000000003,37.0,37.0,,,,0.0,0.0,0.0
2008-11-01,2.527,25.0,25.0,,,,0.0,0.0,0.0
2008-12-01,2.605,25.0,25.0,,,,0.0,0.0,0.0
2009-01-01,4.636,50.0,50.0,,,,0.0,0.0,0.0
2009-02-01,3.11,31.0,31.0,,,,0.0,0.0,0.0
2009-03-01,4.189,43.0,43.0,,,,0.0,0.0,0.0
2009-04-01,6.228000000000001,68.0,68.0,,,,0.0,0.0,0.0
2009-05-01,3.7880000000000003,43.0,43.0,,,,324.0,7291.0,7291.0
2009-06-01,0.886,12.0,12.0,,,,488.0,7493.0,7493.0
2009-07-01,5.969,68.0,68.0,,,,0.0,0.0,0.0
2009-08-01,3.444,37.0,37.0,,,,0.0,0.0,0.0
2009-09-01,3.321,37.0,37.0,,,,0.0,0.0,0.0
2009-10-01,3.2830000000000004,37.0,37.0,,,,0.0,0.0,0.0
2009-11-01,3.6420000000000003,37.0,37.0,,,,0.0,0.0,0.0
2009-12-01,3.504,37.0,37.0,,,,0.0,0.0,0.0
2010-01-01,4.752000000000001,37.0,37.0,,,,0.0,0.0,0.0
2010-02-01,3.371,31.0,31.0,,,,0.0,0.0,0.0
2010-03-01,4.213,37.0,37.0,,,,0.0,0.0,0.0
2010-04-01,3.019,25.0,25.0,,,,0.0,0.0,0.0
2010-05-01,3.6510000000000002,31.0,31.0,,,,0.0,0.0,0.0
2010-06-01,5.614,50.0,50.0,,,,0.0,0.0,0.0
2010-07-01,3.596,31.0,31.0,,,,1519.0,22275.0,22275.0
2010-08-01,3.7710000000000004,31.0,31.0,,,,0.0,0.0,0.0
2010-09-01,2.7880000000000003,25.0,25.0,,,,0.0,0.0,0.0
2010-10-01,5.5360000000000005,50.0,50.0,,,,0.0,0.0,0.0
2010-11-01,4.196000000000001,37.0,37.0,,,,0.0,0.0,0.0
2010-12-01,3.4930000000000003,31.0,31.0,,,,0.0,0.0,0.0
2011-01-01,3.867,37.0,37.0,,,,0.0,0.0,0.0
2011-02-01,5.143,56.0,56.0,,,,0.0,0.0,0.0
2011-03-01,8.839,93.0,93.0,,,,0.0,0.0,0.0
2011-04-01,4.771,50.0,50.0,,,,0.0,0.0,0.0
2011-05-01,4.216,43.0,43.0,,,,0.0,0.0,0.0
2011-06-01,3.057,31.0,31.0,,,,1547.0,19576.0,19576.0
2011-07-01,3.331,37.0,37.0,,,,469.0,6168.0,6168.0
2011-08-01,2.108,25.0,25.0,,,,460.0,6216.0,6216.0
2011-09-01,6.302,68.0,68.0,,,,0.0,0.0,0.0
2011-10-01,5.581,62.0,62.0,,,,0.0,0.0,0.0
2011-11-01,2.752,31.0,31.0,,,,0.0,0.0,0.0
2011-12-01,5.033,56.0,56.0,,,,0.0,0.0,0.0
2012-01-01,3.676,62.0,62.0,,,,0.0,0.0,0.0
2012-02-01,3.145,50.0,50.0,,,,0.0,0.0,0.0
2012-03-01,1.55,25.0,25.0,,,,0.0,0.0,0.0
2012-04-01,2.96,43.0,43.0,,,,0.0,0.0,0.0
2012-05-01,3.685,56.0,56.0,,,,927.0,13209.0,13209.0
2012-06-01,3.522,50.0,50.0,,,,3036.0,43132.0,43132.0
2012-07-01,0.939,12.0,12.0,,,,12119.0,159166.0,159166.0
2012-08-01,2.836,43.0,43.0,,,,18124.0,239873.0,239873.0
2012-09-01,1.31,19.0,19.0,,,,14396.0,201693.0,201693.0
2012-10-01,1.855,25.0,25.0,,,,0.0,0.0,0.0
2012-11-01,6.035,87.0,87.0,,,,0.0,0.0,0.0
2012-12-01,3.487,50.0,50.0,,,,0.0,0.0,0.0
2013-01-01,0.0,56.0,56.0,,,,0.0,0.0,0.0
2013-02-01,0.0,25.0,25.0,,,,0.0,0.0,0.0
2013-03-01,0.0,31.0,31.0,,,,0.0,0.0,0.0
2013-04-01,0.0,25.0,25.0,,,,0.0,0.0,0.0
2013-05-01,0.0,93.0,93.0,,,,684.0,9711.0,9711.0
2013-06-01,0.0,56.0,56.0,,,,2468.0,31109.0,31109.0
2013-07-01,0.0,25.0,25.0,,,,4916.0,62298.0,62298.0
2013-08-01,0.0,12.0,12.0,,,,2409.0,30759.0,30759.0
2013-09-01,0.0,25.0,25.0,,,,4651.0,58869.0,58869.0
2013-10-01,0.0,37.0,37.0,,,,0.0,7.0,7.0
2013-11-01,0.0,25.0,25.0,,,,129.0,1723.0,1723.0
2013-12-01,0.0,74.0,74.0,,,,0.0,368.0,368.0
2014-01-01,4.127,43.0,43.0,,,,1182.0,14416.0,14416.0
2014-02-01,4.348,43.0,43.0,,,,19.0,481.0,481.0
2014-03-01,5.53,56.0,56.0,,,,1178.0,14872.0,14872.0
2014-04-01,3.378,31.0,31.0,,,,1749.0,22653.0,22653.0
2014-05-01,5.862,56.0,56.0,,,,629.0,7904.0,7904.0
2014-06-01,4.06,37.0,37.0,,,,665.0,8640.0,8640.0
2014-07-01,0.968,12.0,12.0,,,,1524.0,20902.0,20902.0
2014-08-01,4.349,43.0,43.0,,,,1540.0,21184.0,21184.0
2014-09-01,3.935,37.0,37.0,,,,667.0,8718.0,8718.0
2014-10-01,2.779,25.0,25.0,,,,1889.0,24752.0,24752.0
2014-11-01,1.099,12.0,12.0,,,,1414.0,18689.0,18689.0
2014-12-01,4.565,43.0,43.0,,,,1731.0,23761.0,23761.0
2015-01-01,7.837,87.0,87.0,,,,881.0,11360.0,11360.0
2015-02-01,4.878,50.0,50.0,,,,1144.0,14817.0,14817.0
2015-03-01,8.777,87.0,87.0,,,,845.0,10844.0,10844.0
2015-04-01,6.135,62.0,62.0,,,,2661.0,34799.0,34799.0
2015-05-01,5.226,50.0,50.0,,,,164.0,2168.0,2168.0
2015-06-01,1.334,12.0,12.0,,,,2479.0,30955.0,30955.0
2015-07-01,1.843,19.0,19.0,,,,3927.0,51153.0,51153.0
2015-08-01,2.721,25.0,25.0,,,,2768.0,36655.0,36655.0
2015-09-01,3.784,37.0,37.0,,,,1915.0,25588.0,25588.0
2015-10-01,1.516,12.0,12.0,,,,1532.0,18682.0,18682.0
2015-11-01,7.655,74.0,74.0,,,,1113.0,14311.0,14311.0
2015-12-01,6.294,62.0,62.0,,,,480.0,5843.0,5843.0
2016-01-01,3.879,37.0,37.0,,,,0.0,40.0,40.0
2016-02-01,3.04,31.0,31.0,,,,259.0,3210.0,3210.0
2016-03-01,1.948,19.0,19.0,,,,2776.0,33344.0,33344.0
2016-04-01,2.452,25.0,25.0,,,,2944.0,39611.0,39611.0
2016-05-01,4.983,50.0,50.0,,,,3351.0,44037.0,44037.0
2016-06-01,3.632,37.0,37.0,,,,5021.0,67401.0,67401.0
2016-07-01,2.771,31.0,31.0,,,,4511.0,65471.0,65471.0
2016-08-01,0.505,6.0,6.0,,,,5527.0,75732.0,75732.0
2016-09-01,2.188,25.0,25.0,,,,5248.0,67963.0,67963.0
2016-10-01,2.836,31.0,31.0,,,,3161.0,39191.0,39191.0
2016-11-01,8.115,87.0,87.0,,,,2183.0,28321.0,28321.0
2016-12-01,5.651,56.0,56.0,,,,4540.0,58775.0,58775.0
2017-01-01,0.981,12.0,12.0,,,,954.0,11581.0,11581.0
2017-02-01,0.536,6.0,6.0,,,,0.0,117.0,117.0
2017-03-01,0.689,6.0,6.0,,,,0.0,0.0,0.0
2017-04-01,0.835,6.0,6.0,,,,1859.0,22337.0,22337.0
2017-05-01,0.89,6.0,6.0,,,,1060.0,13230.0,13230.0
2017-06-01,0.611,6.0,6.0,,,,2386.0,28805.0,28805.0
2017-07-01,0.481,6.0,6.0,,,,6348.0,78614.0,78614.0
2017-08-01,0.398,6.0,6.0,,,,3014.0,36571.0,36571.0
2017-09-01,0.623,6.0,6.0,,,,668.0,8499.0,8499.0
2017-10-01,0.723,6.0,6.0,,,,0.0,0.0,0.0
2017-11-01,1.13,12.0,12.0,,,,0.0,0.0,0.0
2017-12-01,1.103,12.0,12.0,,,,0.0,16.0,16.0
2018-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,,,,410.0,4993.0,4993.0
2018-03-01,0.0,0.0,0.0,,,,945.0,12183.0,12183.0
2018-04-01,0.0,0.0,0.0,,,,1919.0,22878.0,22878.0
2018-05-01,0.0,0.0,0.0,,,,4801.0,57642.0,57642.0
2018-06-01,0.0,0.0,0.0,,,,2360.0,28619.0,28619.0
2018-07-01,0.0,0.0,0.0,,,,2350.0,29093.0,29093.0
2018-08-01,0.0,0.0,0.0,,,,2980.0,36602.0,36602.0
2018-09-01,0.0,0.0,0.0,,,,1473.0,18118.0,18118.0
2018-10-01,0.0,0.0,0.0,,,,1650.0,20279.0,20279.0
2018-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-12-01,6.0,68.0,68.0,,,,126.0,1969.0,1969.0
2019-01-01,0.558,6.0,6.0,,,,19.0,456.0,456.0
2019-02-01,0.522,6.0,6.0,,,,0.0,82.0,82.0
2019-03-01,0.754,12.0,12.0,,,,1385.0,17352.0,17352.0
2019-04-01,0.439,6.0,6.0,,,,3440.0,43164.0,43164.0
2019-05-01,0.773,12.0,12.0,,,,4636.0,58113.0,58113.0
2019-06-01,0.662,6.0,6.0,,,,4634.0,58276.0,58276.0
2019-07-01,0.395,6.0,6.0,,,,7296.0,92207.0,92207.0
2019-08-01,0.521,6.0,6.0,,,,5540.0,70689.0,70689.0
2019-09-01,0.598,6.0,6.0,,,,4142.0,52589.0,52589.0
2019-10-01,0.633,6.0,6.0,,,,4479.0,55898.0,55898.0
2019-11-01,0.554,6.0,6.0,,,,1468.0,18500.0,18500.0
2019-12-01,0.591,6.0,6.0,,,,0.0,83.0,83.0
2020-01-01,0.768,6.0,6.0,,,,0.0,0.0,0.0
2020-02-01,0.798,6.0,6.0,,,,0.0,0.0,0.0
2020-03-01,0.682,6.0,6.0,,,,0.0,172.0,172.0
2020-04-01,0.773,6.0,6.0,,,,0.0,0.0,0.0
2020-05-01,0.891,12.0,12.0,,,,17.0,440.0,440.0
2020-06-01,1.074,12.0,12.0,,,,225.0,3512.0,3512.0
2020-07-01,0.548,6.0,6.0,,,,0.0,0.0,0.0
2020-08-01,0.888,12.0,12.0,,,,0.0,0.0,0.0
2020-09-01,0.68,6.0,6.0,,,,0.0,0.0,0.0
2020-10-01,0.849,12.0,12.0,,,,0.0,0.0,0.0
2020-11-01,1.14,12.0,12.0,,,,0.0,0.0,0.0
2020-12-01,0.909,12.0,12.0,,,,0.0,0.0,0.0
2021-01-01,23.961,347.0,347.0,,,,0.0,0.0,0.0
2021-02-01,39.659,564.0,564.0,,,,0.0,0.0,0.0
2021-03-01,30.667,434.0,434.0,,,,0.0,0.0,0.0
2021-04-01,23.928,341.0,341.0,,,,0.0,0.0,0.0
2021-05-01,23.522,335.0,335.0,,,,0.0,0.0,0.0
2021-06-01,27.133,384.0,384.0,,,,0.0,0.0,0.0
2021-07-01,9.735,136.0,136.0,,,,0.0,0.0,0.0
2021-08-01,15.142,217.0,217.0,,,,0.0,0.0,0.0
2021-09-01,21.035,298.0,298.0,,,,168.0,2587.0,2587.0
2021-10-01,26.48,378.0,378.0,,,,0.0,0.0,0.0
2021-11-01,25.489,360.0,360.0,,,,0.0,0.0,0.0
2021-12-01,38.249,546.0,546.0,,,,61.0,974.0,974.0
2022-01-01,0.0,0.0,0.0,,,,62.0,1012.0,1012.0
2022-02-01,0.0,0.0,0.0,,,,2.0,329.0,329.0
2022-03-01,0.0,0.0,0.0,,,,49.0,729.0,729.0
2022-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,,,,469.0,6510.0,6510.0
2022-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,,,,170.0,2318.0,2318.0
2022-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2022-12-01,3.0,25.0,25.0,,,,1019.0,12798.0,12798.0
2023-01-01,0.0,0.0,0.0,,,,176.0,2256.0,2256.0
2023-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,,,,1844.0,22947.0,22947.0
2023-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,,,,2579.0,33119.0,33119.0
2023-08-01,0.0,0.0,0.0,,,,5023.0,63334.0,63334.0
2023-09-01,0.0,0.0,0.0,,,,1313.0,16644.0,16644.0
2023-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2023-12-01,6.0,50.0,50.0,,,,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,,,,1520.0,18309.0,18309.0
2024-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,,,,2175.0,26474.0,26474.0
2024-05-01,0.0,0.0,0.0,,,,2441.0,30480.0,30480.0
2024-06-01,0.0,0.0,0.0,,,,1640.0,20516.0,20516.0
2024-07-01,0.0,0.0,0.0,,,,1731.0,21770.0,21770.0
2024-08-01,0.0,0.0,0.0,,,,2626.0,32811.0,32811.0
2024-09-01,0.0,0.0,0.0,,,,821.0,10527.0,10527.0
2024-10-01,0.0,0.0,0.0,,,,1816.0,30364.0,30364.0
2024-11-01,0.0,0.0,0.0,,,,1942.0,24064.0,24064.0
2024-12-01,2.0,25.0,25.0,,,,85.0,1000.0,1000.0
