measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2004-01-01,31450.0,488145.0,488145.0,4700.0,75958.0,75958.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,550.0,8979.0,8979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,35520.0,502423.0,502423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,4232.0,70264.0,70264.0,0.0,0.0,0.0,6978.0,115842.0,115842.0,0.0,0.0,0.0
2004-05-01,202.0,3507.0,3507.0,0.0,0.0,0.0,21518.0,373900.0,373900.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,40880.0,730083.0,730083.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,53540.0,964231.0,964231.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,53250.0,915173.0,915173.0,0.0,0.0,0.0
2004-09-01,20.0,344.0,344.0,0.0,0.0,0.0,10800.0,188447.0,188447.0,0.0,0.0,0.0
2004-10-01,344.0,6126.0,6126.0,0.0,0.0,0.0,6767.0,120418.0,120418.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5610.0,90145.0,90145.0,0.0,0.0,0.0
2004-12-01,3848.0,62768.0,62768.0,115.0,1881.0,1881.0,3127.0,51010.0,51010.0,0.0,0.0,0.0
2005-01-01,8843.0,136966.93,136966.93,233.0,3612.4,3612.4,213.0,3305.6,3305.6,,,
2005-02-01,88.0,5749.91,5749.91,2.0,155.37,155.37,0.0,0.0,0.0,,,
2005-03-01,1272.0,21041.0,21041.0,26.0,438.37,438.37,172.0,2838.0,2838.0,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,8050.0,133184.69,133184.69,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,34059.96,34059.96,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,62380.0,1054597.89,1054597.89,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,94820.0,1607271.12,1607271.12,,,
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,48710.0,836371.61,836371.61,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13390.0,232798.83,232798.83,,,
2005-10-01,4042.0,56262.81,56262.81,0.0,0.0,0.0,1288.0,17920.8,17920.8,,,
2005-11-01,14413.0,242530.76,242530.76,0.0,0.0,0.0,20797.0,349947.36,349947.36,,,
2005-12-01,5772.0,97050.67,97050.67,0.0,0.0,0.0,58.0,698.81,698.81,,,
2006-01-01,2514.0,42634.0,42634.0,0.0,0.0,0.0,216.0,3654.0,3654.0,,,
2006-02-01,2687.0,42634.0,42634.0,0.0,0.0,0.0,3.0,31.0,31.0,,,
2006-03-01,4697.0,70192.0,70192.0,0.0,0.0,0.0,5513.0,81136.0,81136.0,,,
2006-04-01,469.0,8398.0,8398.0,0.0,0.0,0.0,211.0,3840.0,3840.0,,,
2006-05-01,94.0,1375.0,1375.0,0.0,0.0,0.0,3026.0,47463.0,47463.0,,,
2006-06-01,30.0,849.0,849.0,0.0,0.0,0.0,35600.0,583970.0,583970.0,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,85400.0,1422018.0,1422018.0,,,
2006-08-01,527.0,6813.0,6813.0,0.0,0.0,0.0,52173.0,852088.0,852088.0,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,25832.0,25832.0,,,
2006-10-01,478.0,7915.0,7915.0,0.0,0.0,0.0,2512.0,42189.0,42189.0,,,
2006-11-01,4628.0,72721.0,72721.0,0.0,0.0,0.0,402.0,5975.0,5975.0,,,
2006-12-01,1229.0,24066.0,24066.0,0.0,0.0,0.0,122.0,2262.0,2262.0,,,
2007-01-01,1350.0,26987.0,26987.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-02-01,10220.0,155448.0,155448.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-03-01,408.572,9124.0,9124.0,0.0,0.0,0.0,201.428,4498.0,4498.0,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,63658.0,63658.0,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6280.0,101314.0,101314.0,,,
2007-06-01,70.51100000000001,1141.0,1141.0,0.0,0.0,0.0,18019.489,291474.0,291474.0,,,
2007-07-01,292.142,4671.0,4671.0,0.0,0.0,0.0,16307.858,260754.0,260754.0,,,
2007-08-01,106.005,1705.0,1705.0,0.0,0.0,0.0,19183.995000000003,308557.0,308557.0,,,
2007-09-01,543.048,9054.0,9054.0,0.0,0.0,0.0,4016.952,66972.0,66972.0,,,
2007-10-01,4362.276,70087.0,70087.0,0.0,0.0,0.0,26867.724000000002,431676.0,431676.0,,,
2007-11-01,431.178,8804.0,8804.0,0.0,0.0,0.0,138.822,2835.0,2835.0,,,
2007-12-01,450.624,12305.0,12305.0,0.0,0.0,0.0,0.376,10.0,10.0,,,
2008-01-01,1257.188,21315.0,21315.0,0.0,0.0,0.0,1022.812,17341.0,17341.0,,,
2008-02-01,10725.114,163342.0,163342.0,0.0,0.0,0.0,3974.886,60537.0,60537.0,,,
2008-03-01,5969.3550000000005,90037.0,90037.0,0.0,0.0,0.0,6290.645,94884.0,94884.0,,,
2008-04-01,1064.519,16360.0,16360.0,0.0,0.0,0.0,4865.481000000001,74777.0,74777.0,,,
2008-05-01,332.993,5287.0,5287.0,0.0,0.0,0.0,14117.007000000001,224128.0,224128.0,,,
2008-06-01,239.239,3825.0,3825.0,0.0,0.0,0.0,39910.761,638108.0,638108.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,37580.0,622487.0,622487.0,,,
2008-08-01,322.52500000000003,5141.0,5141.0,0.0,0.0,0.0,4487.475,71531.0,71531.0,,,
2008-09-01,423.69300000000004,7259.0,7259.0,0.0,0.0,0.0,1786.307,30603.0,30603.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,50.0,896.0,896.0,,,
2008-11-01,649.703,12637.0,12637.0,0.0,0.0,0.0,560.297,10898.0,10898.0,,,
2008-12-01,6619.474,108496.0,108496.0,0.0,0.0,0.0,331.526,5434.0,5434.0,,,
2009-01-01,4999.359,80698.0,80698.0,,,,0.641,10.0,10.0,,,
2009-02-01,8154.022000000001,123981.0,123981.0,,,,2235.978,33998.0,33998.0,,,
2009-03-01,1989.671,30557.0,30557.0,,,,2510.329,38553.0,38553.0,,,
2009-04-01,1558.305,23827.0,23827.0,,,,2721.695,41616.0,41616.0,,,
2009-05-01,0.0,0.0,0.0,,,,250.0,4693.0,4693.0,,,
2009-06-01,46.309000000000005,742.0,742.0,,,,1943.691,31149.0,31149.0,,,
2009-07-01,137.817,2245.0,2245.0,,,,4182.183,68126.0,68126.0,,,
2009-08-01,1136.631,18853.0,18853.0,,,,20614.369,341930.0,341930.0,,,
2009-09-01,289.615,5626.0,5626.0,,,,470.385,9138.0,9138.0,,,
2009-10-01,1154.229,20134.0,20134.0,,,,1055.771,18417.0,18417.0,,,
2009-11-01,0.0,0.0,0.0,,,,0.0,224.0,224.0,,,
2009-12-01,2260.685,38173.0,38173.0,,,,4349.3150000000005,73441.0,73441.0,,,
2010-01-01,2559.695,35885.0,35885.0,,,,370.305,5191.0,5191.0,,,
2010-02-01,402.182,6695.0,6695.0,,,,447.81800000000004,7455.0,7455.0,,,
2010-03-01,241.816,3750.0,3750.0,,,,870.1840000000001,13495.0,13495.0,,,
2010-04-01,506.925,8784.0,8784.0,,,,1793.075,31069.0,31069.0,,,
2010-05-01,158.834,2720.0,2720.0,,,,1311.1660000000002,22457.0,22457.0,,,
2010-06-01,1075.002,18347.0,18347.0,,,,22194.998,378801.0,378801.0,,,
2010-07-01,0.0,0.0,0.0,,,,43820.0,764773.0,764773.0,,,
2010-08-01,0.0,0.0,0.0,,,,18930.0,333003.0,333003.0,,,
2010-09-01,104.96900000000001,1843.0,1843.0,,,,10915.031,191627.0,191627.0,,,
2010-10-01,15.977,275.0,275.0,,,,194.023,3335.0,3335.0,,,
2010-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-12-01,2226.4990000000003,38733.0,38733.0,,,,1121.501,19510.0,19510.0,,,
2011-01-01,763.136,12208.0,12208.0,,,,456.864,7308.0,7308.0,,,
2011-02-01,609.611,9732.0,9732.0,,,,1190.389,19004.0,19004.0,,,
2011-03-01,5340.367,88474.0,88474.0,,,,20799.633,344587.0,344587.0,,,
2011-04-01,122.099,2139.0,2139.0,,,,1147.901,20112.0,20112.0,,,
2011-05-01,0.0,0.0,0.0,,,,1640.0,28223.0,28223.0,,,
2011-06-01,189.9,3283.0,3283.0,,,,11590.1,200348.0,200348.0,,,
2011-07-01,125.008,2217.0,2217.0,,,,42844.992,759956.0,759956.0,,,
2011-08-01,165.257,2717.0,2717.0,,,,16085.743,264445.0,264445.0,,,
2011-09-01,172.114,3095.0,3095.0,,,,1317.886,23700.0,23700.0,,,
2011-10-01,463.582,9384.0,9384.0,,,,726.418,14704.0,14704.0,,,
2011-11-01,859.76,13510.0,13510.0,,,,4620.24,72603.0,72603.0,,,
2011-12-01,1872.071,30931.0,30931.0,,,,807.929,13349.0,13349.0,,,
2012-01-01,1046.272,18471.0,18471.0,,,,2011.728,35514.0,35514.0,,,
2012-02-01,1229.909,18939.0,18939.0,,,,2050.091,31570.0,31570.0,,,
2012-03-01,1574.254,24583.0,24583.0,,,,2225.746,34757.0,34757.0,,,
2012-04-01,537.796,8573.0,8573.0,,,,1122.204,17888.0,17888.0,,,
2012-05-01,0.0,0.0,0.0,,,,4610.0,78151.0,78151.0,,,
2012-06-01,0.0,0.0,0.0,,,,14390.0,256078.0,256078.0,,,
2012-07-01,0.0,0.0,0.0,,,,38360.0,648719.0,648719.0,,,
2012-08-01,0.0,0.0,0.0,,,,15860.0,267875.0,267875.0,,,
2012-09-01,0.0,0.0,0.0,,,,3030.0,51093.0,51093.0,,,
2012-10-01,578.78,11105.0,11105.0,,,,5291.22,101525.0,101525.0,,,
2012-11-01,0.0,0.0,0.0,,,,16610.0,235869.0,235869.0,,,
2012-12-01,0.0,0.0,0.0,,,,340.0,6768.0,6768.0,,,
2013-01-01,5559.627,86517.0,86517.0,,,,4850.373,75480.0,75480.0,,,
2013-02-01,1898.59,30099.0,30099.0,,,,15401.41,244162.0,244162.0,,,
2013-03-01,0.0,0.0,0.0,,,,2580.0,41689.0,41689.0,,,
2013-04-01,0.0,0.0,0.0,,,,3920.0,63044.0,63044.0,,,
2013-05-01,0.0,0.0,0.0,,,,1810.0,30408.0,30408.0,,,
2013-06-01,0.0,0.0,0.0,,,,7140.0,121368.0,121368.0,,,
2013-07-01,0.0,0.0,0.0,,,,71520.0,1221785.0,1221785.0,,,
2013-08-01,0.0,0.0,0.0,,,,1734.0,35987.0,35987.0,,,
2013-09-01,0.0,0.0,0.0,,,,5780.0,84803.0,84803.0,,,
2013-10-01,0.0,0.0,0.0,,,,200.0,3633.0,3633.0,,,
2013-11-01,0.0,0.0,0.0,,,,540.0,10002.0,10002.0,,,
2013-12-01,0.0,0.0,0.0,,,,950.0,16681.0,16681.0,,,
2014-01-01,5506.764,92214.0,92214.0,,,,83.236,1394.0,1394.0,,,
2014-02-01,329.713,6677.0,6677.0,,,,460.287,9321.0,9321.0,,,
2014-03-01,793.378,11960.0,11960.0,,,,5156.622,77738.0,77738.0,,,
2014-04-01,0.0,0.0,0.0,,,,140.0,2852.0,2852.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,745.0,745.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,979.0,18816.0,18816.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5080.0,91787.0,91787.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,600.0,11749.0,11749.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3710.0,67636.0,67636.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,17571.0,17571.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1824.0,1824.0,,,
2014-12-01,18.154,307.0,307.0,0.0,0.0,0.0,1171.846,19808.0,19808.0,,,
2015-01-01,60.368,1016.0,1016.0,,,,309.632,5211.0,5211.0,,,
2015-02-01,77.453,1366.0,1366.0,0.0,0.0,0.0,32.547,574.0,574.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,1830.0,30263.0,30263.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,750.0,12622.0,12622.0,,,
2015-05-01,0.0,0.0,0.0,,,,4050.0,70180.0,70180.0,,,
2015-06-01,66.072,1158.0,1158.0,0.0,0.0,0.0,3753.928,65781.0,65781.0,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,21610.0,374576.0,374576.0,,,
2015-08-01,0.0,0.0,0.0,,,,9360.0,164409.0,164409.0,,,
2015-09-01,61.632,1067.0,1067.0,0.0,0.0,0.0,14868.368,257294.0,257294.0,,,
2015-10-01,0.0,0.0,0.0,,,,580.0,10525.0,10525.0,,,
2015-11-01,608.653,10436.0,10436.0,0.0,0.0,0.0,2181.347,37402.0,37402.0,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,22673.0,22673.0,,,
2016-01-01,96.989,1634.0,1634.0,0.0,0.0,0.0,198.011,3335.0,3335.0,,,
2016-02-01,193.414,4617.0,4617.0,,,,156.586,3738.0,3738.0,,,
2016-03-01,14.674,168.0,168.0,,,,2625.326,30129.0,30129.0,,,
2016-04-01,0.0,0.0,0.0,,,,2680.0,43596.0,43596.0,,,
2016-05-01,0.0,0.0,0.0,,,,910.0,16698.0,16698.0,,,
2016-06-01,0.0,0.0,0.0,,,,2520.0,43015.0,43015.0,,,
2016-07-01,0.0,0.0,0.0,,,,19180.0,331547.0,331547.0,,,
2016-08-01,0.0,0.0,0.0,,,,33430.0,579264.0,579264.0,,,
2016-09-01,0.0,0.0,0.0,,,,12580.0,217611.0,217611.0,,,
2016-10-01,0.0,0.0,0.0,,,,4850.0,81753.0,81753.0,,,
2016-11-01,0.0,0.0,0.0,,,,3.0,125.0,125.0,,,
2016-12-01,0.0,0.0,0.0,,,,23.0,566.0,566.0,,,
2017-01-01,4.615,75.0,75.0,,,,1968.333,34426.0,34426.0,,,
2017-02-01,3.844,69.0,69.0,,,,1709.347,29898.0,29898.0,,,
2017-03-01,5.86,104.0,104.0,,,,1864.855,32619.0,32619.0,,,
2017-04-01,5.544,98.0,98.0,,,,1617.744,28296.0,28296.0,,,
2017-05-01,2.852,52.0,52.0,,,,1751.377,30633.0,30633.0,,,
2017-06-01,2.199,40.0,40.0,,,,2191.434,38330.0,38330.0,,,
2017-07-01,2.079,35.0,35.0,,,,2789.036,48783.0,48783.0,,,
2017-08-01,1.595,29.0,29.0,,,,2638.843,46156.0,46156.0,,,
2017-09-01,1.732,29.0,29.0,,,,2185.818,38232.0,38232.0,,,
2017-10-01,3.12,52.0,52.0,,,,1750.194,30612.0,30612.0,,,
2017-11-01,3.62,64.0,64.0,,,,1584.644,27717.0,27717.0,,,
2017-12-01,55.436,971.0,971.0,,,,1909.879,33406.0,33406.0,,,
2018-01-01,2858.217,48850.0,48850.0,,,,4637.236,79253.0,79253.0,,,
2018-02-01,59.966,1026.0,1026.0,,,,4034.914,68960.0,68960.0,,,
2018-03-01,59.761,1020.0,1020.0,,,,4485.09,76654.0,76654.0,,,
2018-04-01,47.525,810.0,810.0,,,,4637.542,79259.0,79259.0,,,
2018-05-01,11.284,192.0,192.0,,,,5148.374,87990.0,87990.0,,,
2018-06-01,29.058,496.0,496.0,,,,5981.534,102229.0,102229.0,,,
2018-07-01,26.754,455.0,455.0,,,,8483.422,144988.0,144988.0,,,
2018-08-01,23.045,396.0,396.0,,,,8849.749,151248.0,151248.0,,,
2018-09-01,26.462,455.0,455.0,,,,6606.264,112906.0,112906.0,,,
2018-10-01,28.645,490.0,490.0,,,,5503.071,94051.0,94051.0,,,
2018-11-01,30.076,513.0,513.0,,,,4740.059,81011.0,81011.0,,,
2018-12-01,55.55,950.0,950.0,,,,4696.402,80265.0,80265.0,,,
2019-01-01,0.0,0.0,0.0,,,,2936.602,50781.0,50781.0,,,
2019-02-01,0.0,0.0,0.0,,,,2807.15,48541.0,48541.0,,,
2019-03-01,0.0,0.0,0.0,,,,2613.316,45189.0,45189.0,,,
2019-04-01,0.0,0.0,0.0,,,,2299.519,39763.0,39763.0,,,
2019-05-01,0.0,0.0,0.0,,,,2229.228,38548.0,38548.0,,,
2019-06-01,0.0,0.0,0.0,,,,2969.694,51352.0,51352.0,,,
2019-07-01,0.0,0.0,0.0,,,,5053.875,87391.0,87391.0,,,
2019-08-01,0.0,0.0,0.0,,,,4418.14,76398.0,76398.0,,,
2019-09-01,0.0,0.0,0.0,,,,3156.289,54579.0,54579.0,,,
2019-10-01,0.0,0.0,0.0,,,,2661.365,46020.0,46020.0,,,
2019-11-01,0.0,0.0,0.0,,,,2810.045,48591.0,48591.0,,,
2019-12-01,0.0,0.0,0.0,,,,3134.777,54207.0,54207.0,,,
2020-01-01,197.458,1965.0,1965.0,,,,6588.034,65583.0,65583.0,,,
2020-02-01,148.053,1475.0,1475.0,,,,6189.799,61621.0,61621.0,,,
2020-03-01,125.377,1248.0,1248.0,,,,6059.544,60324.0,60324.0,,,
2020-04-01,89.084,886.0,886.0,,,,4323.818,43045.0,43045.0,,,
2020-05-01,188.351,1877.0,1877.0,,,,5052.347,50297.0,50297.0,,,
2020-06-01,78.083,775.0,775.0,,,,8037.064,80010.0,80010.0,,,
2020-07-01,129.857,1294.0,1294.0,,,,11572.584,115207.0,115207.0,,,
2020-08-01,52.553,525.0,525.0,,,,10307.997,102618.0,102618.0,,,
2020-09-01,136.577,1358.0,1358.0,,,,8088.524,80522.0,80522.0,,,
2020-10-01,78.082,775.0,775.0,,,,6057.502,60303.0,60303.0,,,
2020-11-01,188.973,1883.0,1883.0,,,,6244.366,62164.0,62164.0,,,
2020-12-01,221.451,2204.0,2204.0,,,,6364.522,63359.0,63359.0,,,
2021-01-01,0.74,12.0,12.0,,,,235.905,4087.0,4087.0,,,
2021-02-01,5.592,98.0,98.0,,,,1783.713,30899.0,30899.0,,,
2021-03-01,1.781,29.0,29.0,,,,568.013,9839.0,9839.0,,,
2021-04-01,0.609,12.0,12.0,,,,194.312,3366.0,3366.0,,,
2021-05-01,4.637,81.0,81.0,,,,1479.039,25621.0,25621.0,,,
2021-06-01,35.512,613.0,613.0,,,,11328.024,196235.0,196235.0,,,
2021-07-01,31.847,549.0,549.0,,,,10158.845,175981.0,175981.0,,,
2021-08-01,35.194,607.0,607.0,,,,11226.48,194477.0,194477.0,,,
2021-09-01,3.873,69.0,69.0,,,,1235.355,21400.0,21400.0,,,
2021-10-01,0.001,0.0,0.0,,,,0.377,6.0,6.0,,,
2021-11-01,0.0,0.0,0.0,,,,0.053,1.0,1.0,,,
2021-12-01,0.0,0.0,0.0,,,,0.1,2.0,2.0,,,
2022-01-01,447.204,7544.0,7544.0,,,,7566.453,127670.0,127670.0,,,
2022-02-01,31.439,531.0,531.0,,,,531.926,8975.0,8975.0,,,
2022-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-04-01,12.942,216.0,216.0,,,,218.978,3695.0,3695.0,,,
2022-05-01,99.985,1685.0,1685.0,,,,1691.69,28544.0,28544.0,,,
2022-06-01,188.33,3177.0,3177.0,,,,3186.437,53765.0,53765.0,,,
2022-07-01,919.711,15519.0,15519.0,,,,15561.032,262565.0,262565.0,,,
2022-08-01,813.757,13730.0,13730.0,,,,13768.345,232317.0,232317.0,,,
2022-09-01,59.582,1003.0,1003.0,,,,1008.099,17010.0,17010.0,,,
2022-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2022-11-01,30.157,507.0,507.0,,,,510.244,8610.0,8610.0,,,
2022-12-01,121.303,2046.0,2046.0,,,,2052.386,34630.0,34630.0,,,
2023-01-01,14.469,239.0,239.0,,,,350.298,5791.0,5791.0,,,
2023-02-01,118.009,1953.0,1953.0,,,,2857.054,47230.0,47230.0,,,
2023-03-01,19.847,326.0,326.0,,,,480.508,7943.0,7943.0,,,
2023-04-01,55.383,915.0,915.0,,,,1340.835,22165.0,22165.0,,,
2023-05-01,0.836,12.0,12.0,,,,20.245,335.0,335.0,,,
2023-06-01,0.988,17.0,17.0,,,,23.927,396.0,396.0,,,
2023-07-01,490.412,8110.0,8110.0,,,,11873.091,196272.0,196272.0,,,
2023-08-01,41.236,682.0,682.0,,,,998.331,16504.0,16504.0,,,
2023-09-01,434.522,7183.0,7183.0,,,,10519.963,173903.0,173903.0,,,
2023-10-01,12.506,204.0,204.0,,,,302.774,5005.0,5005.0,,,
2023-11-01,9.938,163.0,163.0,,,,240.612,3978.0,3978.0,,,
2023-12-01,45.387,752.0,752.0,,,,1098.829,18164.0,18164.0,,,
2024-01-01,2.639,47.0,47.0,,,,77.199,1291.0,1291.0,,,
2024-02-01,30.552,513.0,513.0,,,,893.895,14948.0,14948.0,,,
2024-03-01,8.812,146.0,146.0,,,,257.824,4312.0,4312.0,,,
2024-04-01,3.001,52.0,52.0,,,,87.798,1468.0,1468.0,,,
2024-05-01,1.573,29.0,29.0,,,,46.034,769.0,769.0,,,
2024-06-01,335.742,5614.0,5614.0,,,,9823.124,164272.0,164272.0,,,
2024-07-01,386.972,6471.0,6471.0,,,,11322.018,189338.0,189338.0,,,
2024-08-01,319.805,5346.0,5346.0,,,,9356.854,156475.0,156475.0,,,
2024-09-01,15.627,262.0,262.0,,,,457.201,7646.0,7646.0,,,
2024-10-01,1.386,23.0,23.0,,,,40.544,678.0,678.0,,,
2024-11-01,20.522,344.0,344.0,,,,600.447,10041.0,10041.0,,,
2024-12-01,182.445,3049.0,3049.0,,,,5337.987,89267.0,89267.0,,,
