measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-03-01,,,,3839.012,19112.0,116640.0
2009-04-01,,,,3502.22,17435.0,106416.0
2009-05-01,,,,2897.663,14426.0,88038.0
2009-06-01,,,,3998.139,19904.0,121482.0
2009-07-01,,,,4406.986,21940.0,133902.0
2009-08-01,,,,4337.629,21594.0,131796.0
2009-09-01,,,,3908.3990000000003,19458.0,118764.0
2009-10-01,,,,0.0,0.0,0.0
2009-11-01,,,,0.0,0.0,0.0
2009-12-01,,,,0.0,0.0,0.0
2011-01-01,,,,656.108,4047.0,30942.0
2011-02-01,,,,597.815,3688.0,28170.0
2011-03-01,,,,606.637,3742.0,28584.0
2011-04-01,,,,510.724,3150.0,24066.0
2011-05-01,,,,528.066,3257.0,24876.0
2011-06-01,,,,664.5,4099.0,31320.0
2011-07-01,,,,741.723,4575.0,34956.0
2011-08-01,,,,707.492,4364.0,33336.0
2011-09-01,,,,695.659,4291.0,32778.0
2011-10-01,,,,681.53,4204.0,32112.0
2011-11-01,,,,668.622,4124.0,31500.0
2011-12-01,,,,758.124,4676.0,35730.0
2012-01-01,,,,2131.514,13771.0,106992.0
2012-02-01,,,,2043.112,13200.0,102582.0
2012-03-01,,,,2132.941,13780.0,107082.0
2012-04-01,,,,1594.355,10301.0,80046.0
2012-05-01,,,,1854.442,11981.0,93096.0
2012-06-01,,,,2091.262,13511.0,104994.0
2012-07-01,,,,2341.57,15128.0,117558.0
2012-08-01,,,,2254.649,14567.0,113202.0
2012-09-01,,,,2176.486,14062.0,109278.0
2012-10-01,,,,2049.612,13242.0,102906.0
2012-11-01,,,,1849.002,11946.0,92826.0
2012-12-01,,,,2122.055,13710.0,106542.0
2013-01-01,,,,2136.83,13788.0,104508.0
2013-02-01,,,,1761.766,11368.0,86166.0
2013-03-01,,,,2029.142,13094.0,99234.0
2013-04-01,,,,1667.611,10761.0,81558.0
2013-05-01,,,,1954.989,12615.0,95616.0
2013-06-01,,,,2175.703,14039.0,106416.0
2013-07-01,,,,2368.727,15285.0,115848.0
2013-08-01,,,,2262.481,14599.0,110646.0
2013-09-01,,,,2211.254,14269.0,108144.0
2013-10-01,,,,2185.865,14105.0,106902.0
2013-11-01,,,,2179.259,14062.0,106578.0
2013-12-01,,,,2188.373,14121.0,107028.0
2014-01-01,,,,3165.695,15760.0,112284.0
2014-02-01,,,,2410.948,12003.0,85500.0
2014-03-01,,,,3394.474,16899.0,120384.0
2014-04-01,,,,2904.344,14459.0,103014.0
2014-05-01,,,,2708.082,13482.0,96048.0
2014-06-01,,,,3617.99,18012.0,128322.0
2014-07-01,,,,3713.643,18488.0,131706.0
2014-08-01,,,,3652.128,18182.0,129528.0
2014-09-01,,,,3409.307,16973.0,120924.0
2014-10-01,,,,3394.172,16898.0,120384.0
2014-11-01,,,,2989.898,14885.0,106038.0
2014-12-01,,,,3129.889,15582.0,111006.0
2015-01-01,,,,2779.975,17107.0,123840.0
2015-02-01,,,,2149.709,13229.0,95796.0
2015-03-01,,,,2549.873,15691.0,113616.0
2015-04-01,,,,2339.391,14396.0,104238.0
2015-05-01,,,,2693.042,16572.0,120006.0
2015-06-01,,,,2815.461,17325.0,125460.0
2015-07-01,,,,2924.32,17995.0,130302.0
2015-08-01,,,,3000.06,18461.0,133686.0
2015-09-01,,,,2721.164,16745.0,121248.0
2015-10-01,,,,2296.078,14129.0,102312.0
2015-11-01,,,,2518.269,15497.0,112212.0
2015-12-01,,,,2786.658,17148.0,124164.0
2016-01-01,,,,2245.179,13381.0,103554.0
2016-02-01,,,,2386.643,14224.0,110070.0
2016-03-01,,,,2403.946,14327.0,110862.0
2016-04-01,,,,2243.416,13370.0,103464.0
2016-05-01,,,,2215.994,13207.0,102204.0
2016-06-01,,,,2499.719,14898.0,115290.0
2016-07-01,,,,2655.866,15828.0,122490.0
2016-08-01,,,,2794.2,16653.0,128862.0
2016-09-01,,,,2417.038,14405.0,111474.0
2016-10-01,,,,2307.713,13753.0,106434.0
2016-11-01,,,,2026.244,12076.0,93456.0
2016-12-01,,,,2242.042,13362.0,103410.0
2017-01-01,,,,2138.675,12788.0,99576.0
2017-02-01,,,,2136.119,12773.0,99450.0
2017-03-01,,,,2538.301,15178.0,118170.0
2017-04-01,,,,2197.185,13138.0,102276.0
2017-05-01,,,,2509.776,15008.0,116838.0
2017-06-01,,,,2814.61,16830.0,131022.0
2017-07-01,,,,2740.584,16388.0,127584.0
2017-08-01,,,,2841.613,16992.0,132282.0
2017-09-01,,,,2492.108,14902.0,116010.0
2017-10-01,,,,2548.667,15240.0,118638.0
2017-11-01,,,,2178.518,13027.0,101412.0
2017-12-01,,,,2509.844,15008.0,116838.0
2018-01-01,0.0,0.0,0.0,2364.977,14513.0,106110.0
2018-02-01,0.0,0.0,0.0,2270.508,13933.0,101880.0
2018-03-01,0.0,0.0,0.0,2313.573,14198.0,103824.0
2018-04-01,0.0,0.0,0.0,1970.899,88452.0,88452.0
2018-05-01,0.0,0.0,0.0,2327.379,104436.0,104436.0
2018-06-01,0.0,0.0,0.0,2675.192,120042.0,120042.0
2018-07-01,0.0,0.0,0.0,2777.007,124614.0,124614.0
2018-08-01,0.0,0.0,0.0,2703.917,121338.0,121338.0
2018-09-01,0.0,0.0,0.0,2665.255,119610.0,119610.0
2018-10-01,0.0,0.0,0.0,2506.406,112482.0,112482.0
2018-11-01,0.0,0.0,0.0,2378.959,106758.0,106758.0
2018-12-01,0.258,12.0,12.0,2523.67,113256.0,113256.0
2019-01-01,0.0,0.0,0.0,2988.355,118998.0,118998.0
2019-02-01,0.0,0.0,0.0,2381.443,94806.0,94806.0
2019-03-01,0.0,0.0,0.0,2489.783,99126.0,99126.0
2019-04-01,0.0,0.0,0.0,2174.485,86562.0,86562.0
2019-05-01,0.0,0.0,0.0,2952.053,117522.0,117522.0
2019-06-01,0.0,0.0,0.0,3103.038,123534.0,123534.0
2019-07-01,0.0,0.0,0.0,3121.153,124254.0,124254.0
2019-08-01,0.0,0.0,0.0,3043.807,121176.0,121176.0
2019-09-01,0.0,0.0,0.0,2903.16,115578.0,115578.0
2019-10-01,0.0,0.0,0.0,2718.772,108234.0,108234.0
2019-11-01,0.0,0.0,0.0,2795.463,111294.0,111294.0
2019-12-01,0.291,12.0,12.0,2998.197,119358.0,119358.0
2020-01-01,0.0,0.0,0.0,3444.315,128412.0,128412.0
2020-02-01,0.0,0.0,0.0,3163.141,117954.0,117954.0
2020-03-01,0.0,0.0,0.0,3160.718,117864.0,117864.0
2020-04-01,0.0,0.0,0.0,2785.645,103878.0,103878.0
2020-05-01,0.0,0.0,0.0,3133.914,116856.0,116856.0
2020-06-01,0.0,0.0,0.0,3266.072,121788.0,121788.0
2020-07-01,0.0,0.0,0.0,3412.426,127242.0,127242.0
2020-08-01,0.0,0.0,0.0,3746.27,139698.0,139698.0
2020-09-01,0.0,0.0,0.0,3410.566,127170.0,127170.0
2020-10-01,0.0,0.0,0.0,2987.659,111402.0,111402.0
2020-11-01,0.0,0.0,0.0,2637.714,98352.0,98352.0
2020-12-01,0.156,6.0,6.0,3514.404,131040.0,131040.0
2021-01-01,0.0,0.0,0.0,3481.439,130464.0,130464.0
2021-02-01,0.0,0.0,0.0,2958.675,110880.0,110880.0
2021-03-01,0.0,0.0,0.0,3186.822,119430.0,119430.0
2021-04-01,0.0,0.0,0.0,2959.386,110898.0,110898.0
2021-05-01,0.0,0.0,0.0,3307.617,123948.0,123948.0
2021-06-01,0.0,0.0,0.0,3362.138,126000.0,126000.0
2021-07-01,0.0,0.0,0.0,3387.221,126936.0,126936.0
2021-08-01,0.0,0.0,0.0,3117.754,116838.0,116838.0
2021-09-01,0.0,0.0,0.0,2999.389,112410.0,112410.0
2021-10-01,0.0,0.0,0.0,2998.254,112356.0,112356.0
2021-11-01,0.0,0.0,0.0,2725.413,102132.0,102132.0
2021-12-01,1.238,46.0,46.0,3163.654,118566.0,118566.0
2022-01-01,0.043,0.0,0.0,3278.493,117522.0,117522.0
2022-02-01,0.037,0.0,0.0,3183.956,114156.0,114156.0
2022-03-01,0.04,0.0,0.0,3215.257,115272.0,115272.0
2022-04-01,0.041,0.0,0.0,2952.322,105840.0,105840.0
2022-05-01,0.041,0.0,0.0,3101.709,111204.0,111204.0
2022-06-01,0.042,0.0,0.0,3415.1,122436.0,122436.0
2022-07-01,0.043,0.0,0.0,3817.36,136854.0,136854.0
2022-08-01,0.043,0.0,0.0,3646.507,130734.0,130734.0
2022-09-01,0.126,6.0,6.0,3672.945,131688.0,131688.0
2022-10-01,0.038,0.0,0.0,3045.043,109170.0,109170.0
2022-11-01,0.041,0.0,0.0,2919.896,104688.0,104688.0
2022-12-01,1.083,52.0,52.0,3146.794,112824.0,112824.0
2023-01-01,0.0,0.0,0.0,2594.922,100350.0,100350.0
2023-02-01,0.0,0.0,0.0,2715.301,105030.0,105030.0
2023-03-01,0.0,0.0,0.0,2850.353,110268.0,110268.0
2023-04-01,0.0,0.0,0.0,2188.49,84654.0,84654.0
2023-05-01,0.0,0.0,0.0,3171.482,122688.0,122688.0
2023-06-01,0.0,0.0,0.0,2822.001,109170.0,109170.0
2023-07-01,0.0,0.0,0.0,3029.65,117198.0,117198.0
2023-08-01,0.0,0.0,0.0,3315.02,128232.0,128232.0
2023-09-01,0.0,0.0,0.0,2966.813,114768.0,114768.0
2023-10-01,0.0,0.0,0.0,2629.217,101700.0,101700.0
2023-11-01,0.0,0.0,0.0,2439.963,94392.0,94392.0
2023-12-01,0.75,29.0,29.0,3257.038,126000.0,126000.0
2024-01-01,0.0,0.0,0.0,3046.439,113850.0,113850.0
2024-02-01,0.0,0.0,0.0,2688.301,100494.0,100494.0
2024-03-01,0.0,0.0,0.0,2796.381,104544.0,104544.0
2024-04-01,0.0,0.0,0.0,2087.563,78048.0,78048.0
2024-05-01,0.0,0.0,0.0,3027.417,113184.0,113184.0
2024-06-01,0.0,0.0,0.0,3016.519,112770.0,112770.0
2024-07-01,0.0,0.0,0.0,3323.593,124254.0,124254.0
2024-08-01,0.0,0.0,0.0,3304.948,123552.0,123552.0
2024-09-01,0.0,0.0,0.0,3166.139,118368.0,118368.0
2024-10-01,0.0,0.0,0.0,2847.503,106452.0,106452.0
2024-11-01,0.0,0.0,0.0,2507.153,93726.0,93726.0
2024-12-01,0.776,29.0,29.0,3087.268,115416.0,115416.0
