measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2010-09-01,0.0,0.0,0.0,1964.1550000000002,22933.0,22933.0,589767.845,6886005.0,6886005.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,1073.2450000000001,12151.0,12151.0,537070.755,6080728.0,6080728.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,3814.003,41693.0,41693.0,486767.997,5321108.0,5321108.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,1019.9590000000001,11351.0,11351.0,640893.041,7132668.0,7132668.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,1184.661,13448.0,13448.0,608868.34,6911813.0,6911813.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,513.065,5657.0,5657.0,341740.94,3768007.0,3768007.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,5578.256,62256.0,62256.0,399847.74,4462521.0,4462521.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,2368.773,26878.0,26878.0,369212.23,4189398.0,4189398.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,1239.394,13957.0,13957.0,123756.61,1393660.0,1393660.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,3980.091,45198.0,45198.0,483665.91,5492460.0,5492460.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,641.693,6935.0,6935.0,706222.31,7632020.0,7632020.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,1682.972,18554.0,18554.0,595249.03,6562244.0,6562244.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,971.629,11161.0,11161.0,623213.37,7158463.0,7158463.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,1584.268,17535.0,17535.0,699652.73,7743725.0,7743725.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,2002.036,22008.0,22008.0,546729.96,6010070.0,6010070.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,2729.375,30778.0,30778.0,629578.63,7099428.0,7099428.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,805.64,9112.0,9112.0,702258.36,7942920.0,7942920.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,882.868,9976.0,9976.0,430282.13,4861877.0,4861877.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,6013.302,70794.0,70794.0,187825.7,2211251.0,2211251.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,3383.541,40847.0,40847.0,179382.46,2165575.0,2165575.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,1390.551,21411.0,21411.0,23166.449,356705.0,356705.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,3316.939,36672.0,36672.0,487034.06,5384650.0,5384650.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,1704.252,19192.0,19192.0,591646.75,6662686.0,6662686.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,1893.936,21137.0,21137.0,590424.06,6589431.0,6589431.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,1646.289,18250.0,18250.0,644846.71,7148350.0,7148350.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,923.622,10069.0,10069.0,713514.38,7778245.0,7778245.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,758.219,8326.0,8326.0,584864.78,6422739.0,6422739.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,2761.594,32115.0,32115.0,192084.41,2233777.0,2233777.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,468.736,5330.0,5330.0,387721.26,4408589.0,4408589.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,5292.089,60011.0,60011.0,475993.91,5397670.0,5397670.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,634.1,7068.0,7068.0,810809.9,9037666.0,9037666.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,867.782,9580.0,9580.0,769524.22,8495137.0,8495137.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,1162.805,13215.0,13215.0,328007.2,3727677.0,3727677.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,2690.091,30282.0,30282.0,628299.91,7072648.0,7072648.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,530.674,5915.0,5915.0,722658.33,8054304.0,8054304.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,1370.079,15155.0,15155.0,698081.92,7721794.0,7721794.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,581.854,6227.0,6227.0,693784.15,7424463.0,7424463.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,925.159,9840.0,9840.0,754697.84,8027326.0,8027326.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,542.954,5949.0,5949.0,696679.05,7633197.0,7633197.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,418.833,4510.0,4510.0,796718.17,8578413.0,8578413.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,1383.779,14984.0,14984.0,779439.22,8440219.0,8440219.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,1157.954,13085.0,13085.0,334765.05,3782748.0,3782748.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,659.8,7317.0,7317.0,372223.2,4128105.0,4128105.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,1721.272,25388.0,25388.0,20489.728,302219.0,302219.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,4142.345,44815.0,44815.0,306684.66,3317923.0,3317923.0,,,
2014-06-01,0.0,0.0,0.0,907.719,10469.0,10469.0,581786.28,6709691.0,6709691.0,,,
2014-07-01,0.0,0.0,0.0,2231.397,25539.0,25539.0,509540.6,5831810.0,5831810.0,,,
2014-08-01,0.0,0.0,0.0,865.358,9448.0,9448.0,776318.64,8475452.0,8475452.0,,,
2014-09-01,0.0,0.0,0.0,897.38,11391.0,11391.0,717641.62,9109294.0,9109294.0,,,
2014-10-01,0.0,0.0,0.0,2338.858,25997.0,25997.0,668140.14,7426662.0,7426662.0,,,
2014-11-01,0.0,0.0,0.0,594.355,6725.0,6725.0,610992.65,6912825.0,6912825.0,,,
2014-12-01,0.0,0.0,0.0,3023.572,34539.0,34539.0,533534.43,6094689.0,6094689.0,,,
2015-01-01,0.0,0.0,0.0,999.372,11098.0,11098.0,682311.63,7576971.0,7576971.0,,,
2015-02-01,0.0,0.0,0.0,130.439,1452.0,1452.0,371259.56,4133811.0,4133811.0,,,
2015-03-01,0.0,0.0,0.0,2205.75,24597.0,24597.0,477199.25,5321296.0,5321296.0,,,
2015-04-01,0.0,0.0,0.0,3143.087,35434.0,35434.0,572411.91,6453129.0,6453129.0,,,
2015-05-01,0.0,0.0,0.0,2792.36,31987.0,31987.0,209042.64,2394599.0,2394599.0,,,
2015-06-01,0.0,0.0,0.0,2075.403,23531.0,23531.0,560172.6,6351254.0,6351254.0,,,
2015-07-01,0.0,0.0,0.0,1380.686,15623.0,15623.0,523357.31,5921871.0,5921871.0,,,
2015-08-01,0.0,0.0,0.0,1699.291,19166.0,19166.0,612508.71,6908288.0,6908288.0,,,
2015-09-01,0.0,0.0,0.0,627.417,7057.0,7057.0,680171.58,7650231.0,7650231.0,,,
2015-10-01,0.0,0.0,0.0,618.121,6868.0,6868.0,710120.88,7890221.0,7890221.0,,,
2015-11-01,0.0,0.0,0.0,1984.951,22133.0,22133.0,578440.05,6449879.0,6449879.0,,,
2015-12-01,0.0,0.0,0.0,1878.08,21068.0,21068.0,662792.92,7434961.0,7434961.0,,,
2016-01-01,0.0,0.0,0.0,582.208,6438.0,6438.0,0.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,2529.828,28220.0,28220.0,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,1110.017,14276.0,14276.0,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,-4945.0,7599.0,7599.0,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,5093.577,57186.0,57186.0,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,2882.498,31870.0,31870.0,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,1538.122,17367.0,17367.0,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,2980.404,33505.0,33505.0,0.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,638.882,7102.0,7102.0,0.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,1501.407,16001.0,16001.0,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,543.819,5906.0,5906.0,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,1779.607,19626.0,19626.0,0.0,0.0,0.0,,,
2017-01-01,0.0,0.0,0.0,1694.828,18830.0,18830.0,0.0,0.0,0.0,,,
2017-02-01,0.0,0.0,0.0,888.071,9996.0,9996.0,0.0,0.0,0.0,,,
2017-03-01,0.0,0.0,0.0,-170.807,12807.0,12807.0,0.0,0.0,0.0,,,
2017-04-01,0.0,0.0,0.0,-13.443,0.0,0.0,0.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,-6632.0,26884.0,26884.0,0.0,0.0,0.0,,,
2017-06-01,0.0,1086.0,1086.0,2583.064,29358.0,29358.0,0.0,0.0,0.0,,,
2017-07-01,0.0,12.0,12.0,996.475,11799.0,11799.0,0.0,0.0,0.0,,,
2017-08-01,0.0,23.0,23.0,839.816,9601.0,9601.0,0.0,0.0,0.0,,,
2017-09-01,0.0,64.0,64.0,3062.679,36523.0,36523.0,0.0,0.0,0.0,,,
2017-10-01,0.0,46.0,46.0,2090.429,23660.0,23660.0,0.0,0.0,0.0,,,
2017-11-01,0.0,17.0,17.0,552.781,6114.0,6114.0,0.0,0.0,0.0,,,
2017-12-01,0.0,64.0,64.0,375.539,4209.0,4209.0,0.0,0.0,0.0,,,
2018-01-01,0.0,87.0,87.0,4286.218,50628.0,50628.0,0.0,0.0,0.0,,,
2018-02-01,0.0,12.0,12.0,1852.83,22312.0,22312.0,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,368.284,4415.0,4415.0,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,303.554,7276.0,7276.0,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
