measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 1"
2006-05-01,620189.0,6471052.0,6471052.0
2006-06-01,592955.0,6186892.0,6186892.0
2006-07-01,607024.0,6333688.0,6333688.0
2006-08-01,610066.0,6365429.0,6365429.0
2006-09-01,598981.0,6249768.0,6249768.0
2006-10-01,626894.0,6541012.0,6541012.0
2006-11-01,533567.0,5567238.0,5567238.0
2006-12-01,594731.0,6205423.0,6205423.0
2007-01-01,633504.0,6642289.0,6642289.0
2007-02-01,571450.0,5991653.0,5991653.0
2007-03-01,628411.0,6588889.0,6588889.0
2007-04-01,604807.0,6341401.0,6341401.0
2007-05-01,616716.0,6466267.0,6466267.0
2007-06-01,591972.0,6206826.0,6206826.0
2007-07-01,610453.0,6400600.0,6400600.0
2007-08-01,608744.0,6382681.0,6382681.0
2007-09-01,591535.0,6202244.0,6202244.0
2007-10-01,387453.0,4062445.0,4062445.0
2007-11-01,173525.0,1819410.0,1819410.0
2007-12-01,626724.0,6571201.0,6571201.0
2008-01-01,634479.0,6654416.0,6654416.0
2008-02-01,593989.0,6229757.0,6229757.0
2008-03-01,631886.0,6627220.0,6627220.0
2008-04-01,606166.0,6357469.0,6357469.0
2008-05-01,622685.0,6530720.0,6530720.0
2008-06-01,593699.0,6226715.0,6226715.0
2008-07-01,611785.0,6416401.0,6416401.0
2008-08-01,615991.0,6460514.0,6460514.0
2008-09-01,591191.0,6200411.0,6200411.0
2008-10-01,620414.0,6506902.0,6506902.0
2008-11-01,610566.0,6403616.0,6403616.0
2008-12-01,632247.0,6631007.0,6631007.0
2009-01-01,632599.0,6634698.0,6634698.0
2009-02-01,571398.0,5992822.0,5992822.0
2009-03-01,627785.0,6584209.0,6584209.0
2009-04-01,601665.0,6310263.0,6310263.0
2009-05-01,613866.0,6438227.0,6438227.0
2009-06-01,593159.0,6221052.0,6221052.0
2009-07-01,610822.0,6406301.0,6406301.0
2009-08-01,607848.0,6375110.0,6375110.0
2009-09-01,593508.0,6224712.0,6224712.0
2009-10-01,438962.0,4603833.0,4603833.0
2009-11-01,-2703.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,132230.0,1382994.0,1382994.0
2010-02-01,564608.0,5905235.0,5905235.0
2010-03-01,571255.0,5974756.0,5974756.0
2010-04-01,599167.0,6266688.0,6266688.0
2010-05-01,558978.0,5846351.0,5846351.0
2010-06-01,586421.0,6133377.0,6133377.0
2010-07-01,604409.0,6321514.0,6321514.0
2010-08-01,594950.0,6222582.0,6222582.0
2010-09-01,568086.0,5941611.0,5941611.0
2010-10-01,621174.0,6496859.0,6496859.0
2010-11-01,607344.0,6352211.0,6352211.0
2010-12-01,625128.0,6538214.0,6538214.0
2011-01-01,625004.0,6540042.0,6540042.0
2011-02-01,564025.0,5901958.0,5901958.0
2011-03-01,622273.0,6511465.0,6511465.0
2011-04-01,595735.0,6233771.0,6233771.0
2011-05-01,593238.0,6207642.0,6207642.0
2011-06-01,589577.0,6169334.0,6169334.0
2011-07-01,599464.0,6272791.0,6272791.0
2011-08-01,603021.0,6310012.0,6310012.0
2011-09-01,563240.0,5893743.0,5893743.0
2011-10-01,453968.0,4750321.0,4750321.0
2011-11-01,82899.0,867455.0,867455.0
2011-12-01,626385.0,6554493.0,6554493.0
2012-01-01,629556.0,6596861.0,6596861.0
2012-02-01,589831.0,6180599.0,6180599.0
2012-03-01,624849.0,6547538.0,6547538.0
2012-04-01,608509.0,6376318.0,6376318.0
2012-05-01,613382.0,6427380.0,6427380.0
2012-06-01,596485.0,6250324.0,6250324.0
2012-07-01,610350.0,6395609.0,6395609.0
2012-08-01,417839.0,4378365.0,4378365.0
2012-09-01,478175.0,5010601.0,5010601.0
2012-10-01,624454.0,6543399.0,6543399.0
2012-11-01,614324.0,6437251.0,6437251.0
2012-12-01,630503.0,6606784.0,6606784.0
2013-01-01,629685.0,6579414.0,6579414.0
2013-02-01,570617.0,5962228.0,5962228.0
2013-03-01,629618.0,6578714.0,6578714.0
2013-04-01,606648.0,6338707.0,6338707.0
2013-05-01,621454.0,6493411.0,6493411.0
2013-06-01,595263.0,6219748.0,6219748.0
2013-07-01,610260.0,6376447.0,6376447.0
2013-08-01,614906.0,6424992.0,6424992.0
2013-09-01,599698.0,6266088.0,6266088.0
2013-10-01,536504.0,5605790.0,5605790.0
2013-11-01,61179.0,639243.0,639243.0
2013-12-01,583236.0,6094081.0,6094081.0
2014-01-01,629732.0,6586437.0,6586437.0
2014-02-01,534623.0,5591681.0,5591681.0
2014-03-01,629723.0,6586343.0,6586343.0
2014-04-01,608793.0,6367434.0,6367434.0
2014-05-01,614408.0,6426161.0,6426161.0
2014-06-01,614413.0,6426214.0,6426214.0
2014-07-01,613793.0,6419729.0,6419729.0
2014-08-01,616228.0,6445197.0,6445197.0
2014-09-01,598666.0,6261514.0,6261514.0
2014-10-01,625480.0,6541965.0,6541965.0
2014-11-01,610804.0,6388467.0,6388467.0
2014-12-01,630982.0,6599511.0,6599511.0
2015-01-01,631581.0,6605388.0,6605388.0
2015-02-01,569154.0,5952496.0,5952496.0
2015-03-01,629454.0,6583143.0,6583143.0
2015-04-01,607974.0,6358495.0,6358495.0
2015-05-01,490525.0,5130155.0,5130155.0
2015-06-01,594154.0,6213958.0,6213958.0
2015-07-01,577760.0,6042502.0,6042502.0
2015-08-01,613283.0,6414019.0,6414019.0
2015-09-01,593923.0,6211542.0,6211542.0
2015-10-01,576594.0,6030307.0,6030307.0
2015-11-01,84416.0,882865.0,882865.0
2015-12-01,629223.0,6580727.0,6580727.0
2016-01-01,630503.0,6594120.0,6594120.0
2016-02-01,587527.0,6144655.0,6144655.0
2016-03-01,627463.0,6562326.0,6562326.0
2016-04-01,607175.0,6350144.0,6350144.0
2016-05-01,620556.0,6490089.0,6490089.0
2016-06-01,588999.0,6160050.0,6160050.0
2016-07-01,599964.0,6274727.0,6274727.0
2016-08-01,609354.0,6372933.0,6372933.0
2016-09-01,593371.0,6205774.0,6205774.0
2016-10-01,622807.0,6513631.0,6513631.0
2016-11-01,607486.0,6353396.0,6353396.0
2016-12-01,387447.0,4052117.0,4052117.0
2017-01-01,629440.0,6583393.0,6583393.0
2017-02-01,569389.0,5955312.0,5955312.0
2017-03-01,629237.0,6581270.0,6581270.0
2017-04-01,604756.0,6325220.0,6325220.0
2017-05-01,622133.0,6506968.0,6506968.0
2017-06-01,594829.0,6221392.0,6221392.0
2017-07-01,610064.0,6380737.0,6380737.0
2017-08-01,615158.0,6434016.0,6434016.0
2017-09-01,336473.0,3519214.0,3519214.0
2017-10-01,404367.0,4229326.0,4229326.0
2017-11-01,612290.0,6404019.0,6404019.0
2017-12-01,632124.0,6611466.0,6611466.0
2018-01-01,633552.0,6623564.0,6623564.0
2018-02-01,571419.0,5973985.0,5973985.0
2018-03-01,630787.0,6594656.0,6594656.0
2018-04-01,607853.0,6354889.0,6354889.0
2018-05-01,614580.0,6425218.0,6425218.0
2018-06-01,594845.0,6218895.0,6218895.0
2018-07-01,611421.0,6392192.0,6392192.0
2018-08-01,609506.0,6372171.0,6372171.0
2018-09-01,594668.0,6217045.0,6217045.0
2018-10-01,623620.0,6519728.0,6519728.0
2018-11-01,611295.0,6390874.0,6390874.0
2018-12-01,632278.0,6610244.0,6610244.0
2019-01-01,632206.0,6601269.0,6601269.0
2019-02-01,570764.0,5959714.0,5959714.0
2019-03-01,629016.0,6567960.0,6567960.0
2019-04-01,604853.0,6315659.0,6315659.0
2019-05-01,617709.0,6449896.0,6449896.0
2019-06-01,594819.0,6210887.0,6210887.0
2019-07-01,608513.0,6353875.0,6353875.0
2019-08-01,605781.0,6325348.0,6325348.0
2019-09-01,350535.0,3660161.0,3660161.0
2019-10-01,0.0,0.0,0.0
