measured_on,"Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Agricultural By-Products-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-06-01,3955.559,68287.0,68287.0,47.441,819.0,819.0
2008-07-01,5600.0650000000005,95740.0,95740.0,52.935,905.0,905.0
2008-08-01,6425.034000000001,107223.0,107223.0,10.966000000000001,183.0,183.0
2008-09-01,5742.616,96633.0,96633.0,49.384,831.0,831.0
2008-10-01,7283.435,120912.0,120912.0,21.565,358.0,358.0
2008-11-01,6935.911,115184.0,115184.0,19.089000000000002,317.0,317.0
2008-12-01,4018.492,71412.0,71412.0,35.508,631.0,631.0
2009-01-01,3617.9950000000003,66117.0,66117.0,109.005,1992.0,1992.0
2009-02-01,3801.0370000000003,67754.0,67754.0,81.96300000000001,1461.0,1461.0
2009-03-01,5916.353,99944.0,99944.0,46.647000000000006,788.0,788.0
2009-04-01,5457.633,93174.0,93174.0,38.367000000000004,655.0,655.0
2009-05-01,5571.845,94848.0,94848.0,16.155,275.0,275.0
2009-06-01,5988.308,100713.0,100713.0,20.692,348.0,348.0
2009-07-01,6094.264,103007.0,103007.0,25.736,435.0,435.0
2009-08-01,6580.6230000000005,109976.0,109976.0,8.377,140.0,140.0
2009-09-01,5998.811000000001,101023.0,101023.0,20.189,340.0,340.0
2009-10-01,5777.407,97960.0,97960.0,24.593,417.0,417.0
2009-11-01,5684.4,95443.0,95443.0,29.6,497.0,497.0
2009-12-01,5677.485000000001,96100.0,96100.0,37.515,635.0,635.0
2010-01-01,5625.746,94724.0,94724.0,14.254000000000001,240.0,240.0
2010-02-01,6229.7660000000005,103689.0,103689.0,25.234,420.0,420.0
2010-03-01,6373.372,106900.0,106900.0,20.628,346.0,346.0
2010-04-01,6277.918000000001,104780.0,104780.0,27.082,452.0,452.0
2010-05-01,5880.968,99870.0,99870.0,30.032,510.0,510.0
2010-06-01,4128.7080000000005,71263.0,71263.0,69.292,1196.0,1196.0
2010-07-01,6513.0,109021.0,109021.0,0.0,0.0,0.0
2010-08-01,6420.245,107632.0,107632.0,41.755,700.0,700.0
2010-09-01,6356.5380000000005,106603.0,106603.0,12.462,209.0,209.0
2010-10-01,6637.4800000000005,110856.0,110856.0,9.52,159.0,159.0
2010-11-01,6420.501,107744.0,107744.0,20.499000000000002,344.0,344.0
2010-12-01,6494.767000000001,111278.0,111278.0,15.233,261.0,261.0
2011-01-01,5987.667,101482.0,101482.0,32.333,548.0,548.0
2011-02-01,3791.549,67530.0,67530.0,16.451,293.0,293.0
2011-03-01,5888.239,99832.0,99832.0,20.761,352.0,352.0
