measured_on,"Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2005-11-01,,,,0.0,0.0,0.0,1169.877,11933.92,11933.92,,,
2005-12-01,,,,0.0,0.0,0.0,1112.4360000000001,11347.96,11347.96,,,
2006-01-01,0.0,0.0,0.0,,,,1201.1290000000001,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,,,,1105.598,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,,,,1394.343,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,,,,1251.085,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,,,,1344.5,0.0,0.0,,,
2006-06-01,0.0,0.0,0.0,,,,1122.627,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,,,,1284.414,0.0,0.0,,,
2006-08-01,0.0,0.0,0.0,,,,1220.798,0.0,0.0,,,
2006-09-01,0.0,0.0,0.0,,,,1237.656,0.0,0.0,,,
2006-10-01,0.0,0.0,0.0,,,,1342.853,0.0,0.0,,,
2006-11-01,0.0,0.0,0.0,,,,1327.452,0.0,0.0,,,
2006-12-01,0.0,0.0,0.0,,,,1277.546,0.0,0.0,,,
2007-01-01,0.0,0.0,0.0,,,,,,,1341.88,13263.0,13263.0
2007-02-01,0.0,0.0,0.0,,,,,,,1162.854,11494.0,11494.0
2007-03-01,0.0,0.0,0.0,,,,,,,955.753,9447.0,9447.0
2007-04-01,0.0,0.0,0.0,,,,,,,965.9780000000001,9548.0,9548.0
2007-05-01,0.0,0.0,0.0,,,,,,,946.461,9355.0,9355.0
2007-06-01,0.0,0.0,0.0,,,,,,,1324.6870000000001,13093.0,13093.0
2007-07-01,0.0,0.0,0.0,,,,,,,1021.73,10099.0,10099.0
2007-08-01,0.0,0.0,0.0,,,,,,,961.166,9500.0,9500.0
2007-09-01,0.0,0.0,0.0,,,,,,,986.5870000000001,9751.0,9751.0
2007-10-01,0.0,0.0,0.0,,,,,,,1809.255,17883.0,17883.0
2007-11-01,0.0,0.0,0.0,,,,,,,866.753,8567.0,8567.0
2007-12-01,0.0,0.0,0.0,,,,,,,2383.897,23562.0,23562.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2011-03-01,626.523,422064.0,422064.0,15.282,10294.0,10294.0,,,,,,
2011-04-01,652.945,439877.0,439877.0,19.71,13278.0,13278.0,,,,,,
2011-05-01,706.504,475963.0,475963.0,20.991,14141.0,14141.0,,,,,,
2011-06-01,787.34,530410.0,530410.0,27.248,18357.0,18357.0,,,,,,
2011-07-01,833.151,561283.0,561283.0,33.046,22263.0,22263.0,,,,,,
2011-08-01,828.811,558360.0,558360.0,35.567,23961.0,23961.0,,,,,,
2011-09-01,745.758,502402.0,502402.0,25.026,16860.0,16860.0,,,,,,
2011-10-01,642.163,432619.0,432619.0,19.099,12867.0,12867.0,,,,,,
2011-11-01,556.846,375134.0,375134.0,17.622,11872.0,11872.0,,,,,,
2011-12-01,632.2,425894.0,425894.0,21.168,14261.0,14261.0,,,,,,
2012-01-01,27.602,314.0,2182118.0,1.137,13.0,89839.0,,,,,,
2012-02-01,25.202,287.0,1992427.0,1.059,12.0,83739.0,,,,,,
