measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-02-01,9309.971,47579.55,426797.85,0.0,0.0,0.0
2005-03-01,9938.524000000001,50791.83,455612.66,0.0,0.0,0.0
2005-04-01,9788.058,50022.86,448714.9,0.0,0.0,0.0
2005-05-01,9803.048,50099.47,449402.01,0.0,0.0,0.0
2005-06-01,10150.588,51875.6,465334.35,0.0,0.0,0.0
2005-07-01,10579.048,54065.29,484976.35,0.0,0.0,0.0
2005-08-01,10447.551,53393.27,478948.09,0.0,0.0,0.0
2005-09-01,10081.568,51522.87,462170.28,0.0,0.0,0.0
2005-10-01,10289.709,52586.59,471712.15,0.0,0.0,0.0
2005-11-01,9970.166000000001,50953.54,457063.24,0.0,0.0,0.0
2005-12-01,10152.671,51886.25,465429.88,0.0,0.0,0.0
2006-01-01,10640.808,54380.92,443995.94,,,
2006-02-01,9217.974,47109.38,384627.08,,,
2006-03-01,9794.829,50057.47,408696.83,,,
2006-04-01,9791.4,50039.94,408553.72,,,
2006-05-01,9725.62,49703.77,405809.09,,,
2006-06-01,9980.335000000001,51005.51,416437.24,,,
2006-07-01,10863.858,55520.85,453302.96,,,
2006-08-01,10652.279,54439.54,444474.55,,,
2006-09-01,10256.074,52414.7,427942.69,,,
2006-10-01,9779.459,49978.91,408055.47,,,
2006-11-01,9726.373,49707.61,405840.44,,,
2006-12-01,10426.665,53286.53,435060.66,,,
2007-01-01,11247.0,55412.0,458561.0,,,
2007-02-01,10162.0,50069.0,420863.0,,,
2007-03-01,11345.0,55900.0,497626.0,,,
2007-04-01,10898.0,53704.0,491196.0,,,
2007-05-01,10328.0,50898.0,478496.0,,,
2007-06-01,9089.0,44786.0,376370.0,,,
2007-07-01,8229.0,40553.0,357033.0,,,
2007-08-01,0.0,0.0,0.0,,,
2007-09-01,0.0,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,,,
2013-01-01,8850.01,274502.0,274502.0,1435.99,44540.0,44540.0
2013-02-01,8591.091,278475.0,278475.0,723.909,23465.0,23465.0
2013-03-01,9975.154,274892.0,274892.0,414.846,11432.0,11432.0
2013-04-01,7073.269,261152.0,261152.0,282.731,10439.0,10439.0
2013-05-01,9546.219,354950.0,354950.0,224.781,8358.0,8358.0
2013-06-01,8575.274,347576.0,347576.0,350.726,14216.0,14216.0
2013-07-01,9157.962,364808.0,364808.0,398.038,15856.0,15856.0
2013-08-01,9586.235,373602.0,373602.0,229.765,8955.0,8955.0
2013-09-01,9383.746,372491.0,372491.0,71.254,2828.0,2828.0
2013-10-01,8678.208,335027.0,335027.0,330.792,12770.0,12770.0
2013-11-01,9869.834,355717.0,355717.0,147.166,5304.0,5304.0
2013-12-01,10613.152,404700.0,404700.0,235.848,8993.0,8993.0
2014-01-01,7705.794,39381.0,436928.0,3050.526,15590.0,172969.0
2014-02-01,6870.585,35113.0,423808.0,2115.902,10814.0,130518.0
2014-03-01,4353.339,22248.0,395584.0,1706.154,8719.0,155037.0
2014-04-01,0.0,0.0,205120.0,0.0,0.0,86682.0
2014-05-01,5353.978,27362.0,431168.0,1416.137,7237.0,114045.0
2014-06-01,6857.229,35045.0,444672.0,1709.607,8737.0,110863.0
2014-07-01,6768.007,34589.0,447104.0,1680.712,8589.0,111030.0
2014-08-01,6858.292,35050.0,438720.0,1950.54,9968.0,124775.0
2014-09-01,6910.544,35317.0,452480.0,1602.516,8190.0,104928.0
2014-10-01,6487.195,33153.0,413312.0,2762.415,14118.0,175999.0
2014-11-01,6261.075,31998.0,418496.0,2847.371,14552.0,190321.0
2014-12-01,6254.736,31965.0,421120.0,3220.544,16459.0,216833.0
2015-01-01,9521.527,48661.0,459520.0,208.233,1064.0,10050.0
2015-02-01,7770.013,39709.0,387968.0,287.864,1471.0,14373.0
2015-03-01,5353.245,27358.0,359360.0,449.848,2299.0,30198.0
2015-04-01,2213.477,11312.0,462144.0,36.506,187.0,7622.0
2015-05-01,6554.475,33497.0,336512.0,171.466,876.0,8803.0
2015-06-01,8553.141,43712.0,464640.0,233.604,1194.0,12690.0
2015-07-01,7152.98,36556.0,411648.0,71.357,365.0,4107.0
2015-08-01,5307.458,27124.0,438272.0,216.188,1105.0,17852.0
2015-09-01,7220.193,36900.0,450880.0,197.164,1008.0,12312.0
2015-10-01,8322.198,42531.0,454656.0,151.489,774.0,8276.0
2015-11-01,8980.845,45898.0,466112.0,133.362,682.0,6922.0
2015-12-01,8671.829,44318.0,464320.0,209.986,1073.0,11243.0
2016-01-01,9702.158,58428.0,454208.0,328.176,1976.0,15364.0
2016-02-01,9771.875,58847.0,466944.0,146.103,880.0,6981.0
2016-03-01,9649.748,58112.0,480960.0,130.908,788.0,6525.0
2016-04-01,9976.514,60080.0,488448.0,0.043,0.0,2.0
2016-05-01,9394.577,56575.0,464128.0,100.869,607.0,4983.0
2016-06-01,5143.321,30974.0,259904.0,284.295,1712.0,14366.0
2016-07-01,9173.673,55245.0,486208.0,128.753,775.0,6824.0
2016-08-01,10255.296,61759.0,526080.0,75.611,455.0,3879.0
2016-09-01,9212.407,55478.0,500928.0,17.997,108.0,979.0
2016-10-01,10001.522,60230.0,521216.0,79.707,480.0,4154.0
2016-11-01,9788.859,58950.0,516096.0,70.541,425.0,3719.0
2016-12-01,8687.232,52316.0,435328.0,21.729,131.0,1089.0
2017-01-01,6946.769,41834.0,455008.0,3376.456,20333.0,221155.0
2017-02-01,6666.433,40146.0,429096.0,2948.091,17754.0,189759.0
2017-03-01,5915.182,35622.0,409545.0,3378.601,20346.0,233922.0
2017-04-01,7202.067,43372.0,478059.0,3191.26,19218.0,211830.0
2017-05-01,3638.532,21912.0,307629.0,2054.126,12370.0,173671.0
2017-06-01,6568.214,39555.0,449719.0,2878.257,17333.0,197071.0
2017-07-01,7147.887,43045.0,476748.0,2864.201,17249.0,191036.0
2017-08-01,6988.478,42086.0,474593.0,2943.905,17729.0,199923.0
2017-09-01,5924.604,35679.0,413125.0,2754.587,16588.0,192078.0
2017-10-01,6281.976,37831.0,455749.0,3010.847,18132.0,218433.0
2017-11-01,6128.731,36908.0,441476.0,3168.894,19083.0,228268.0
2017-12-01,6695.916,40324.0,475927.0,3138.516,18901.0,223077.0
2018-01-01,6771.257,40777.0,410639.0,3212.022,19343.0,194791.0
2018-02-01,6684.84,40257.0,401884.0,2200.816,13254.0,132310.0
2018-03-01,6427.421,38707.0,325094.0,2825.07,17013.0,142890.0
2018-04-01,7530.605,45350.0,474810.0,1992.69,12000.0,125641.0
2018-05-01,1153.061,6944.0,8094.0,6935.546,41767.0,48685.0
2018-06-01,3919.205,23602.0,115539.0,2300.658,13855.0,67824.0
2018-07-01,8037.279,48402.0,388136.0,1792.352,10794.0,86556.0
2018-08-01,8060.667,48542.0,327226.0,1945.659,11717.0,78985.0
2018-09-01,8118.369,48890.0,448043.0,1261.841,7599.0,69639.0
2018-10-01,7174.071,43203.0,327613.0,1734.632,10446.0,79214.0
2018-11-01,7145.351,43030.0,375619.0,2295.358,13823.0,120663.0
2018-12-01,5557.41,33467.0,136127.0,4568.954,27515.0,111915.0
2019-01-01,7453.599,44887.0,388512.0,2558.489,15408.0,133359.0
2019-02-01,6314.053,38024.0,292045.0,2443.883,14717.0,113037.0
2019-03-01,8750.144,52695.0,457778.0,1902.464,11457.0,99531.0
2019-04-01,359.414,2164.0,396184.0,34.309,207.0,37819.0
2019-05-01,5821.866,35060.0,69757.0,3063.79,18451.0,36710.0
2019-06-01,6735.797,40564.0,176803.0,2691.468,16208.0,70646.0
2019-07-01,8499.664,51186.0,455350.0,1664.151,10022.0,89153.0
2019-08-01,6701.736,40359.0,240118.0,2194.483,13215.0,78627.0
2019-09-01,8019.816,48296.0,446036.0,1431.457,8620.0,79613.0
2019-10-01,7199.14,43354.0,275572.0,2255.014,13580.0,86319.0
2019-11-01,7327.742,44129.0,434386.0,2420.263,14575.0,143472.0
2019-12-01,3245.876,19547.0,97048.0,5078.965,30586.0,151856.0
2020-01-01,6695.108,40319.0,385183.0,2402.774,14470.0,138237.0
2020-02-01,6732.731,40545.0,352978.0,3125.709,18823.0,163872.0
2020-03-01,6544.429,39411.0,363067.0,2907.804,17511.0,161317.0
2020-04-01,7316.845,44063.0,420158.0,2351.455,14161.0,135029.0
2020-05-01,3855.844,23220.0,91838.0,5186.341,31233.0,123528.0
2020-06-01,7302.252,43975.0,395466.0,2657.98,16007.0,143948.0
2020-07-01,7153.946,43082.0,388033.0,2725.62,16414.0,147839.0
2020-08-01,5204.571,31343.0,273760.0,2212.786,13326.0,116392.0
2020-09-01,6785.166,40861.0,323110.0,2711.241,16327.0,129110.0
2020-10-01,7140.992,43004.0,379894.0,2629.1,15833.0,139865.0
2020-11-01,6441.194,38790.0,293402.0,3411.484,20544.0,155396.0
2020-12-01,7004.872,42184.0,393950.0,3647.736,21967.0,205146.0
2021-01-01,6852.686,41268.0,391134.0,4012.148,24162.0,229003.0
2021-02-01,4332.771,26093.0,269747.0,3620.434,21803.0,225399.0
2021-03-01,5216.172,31412.0,368414.0,2700.541,16263.0,190737.0
2021-04-01,6368.344,38351.0,421367.0,2664.238,16044.0,176282.0
2021-05-01,5398.846,32513.0,314743.0,2381.505,14342.0,138837.0
2021-06-01,7256.163,43698.0,420888.0,2524.493,15203.0,146431.0
2021-07-01,6889.935,41492.0,389321.0,3385.275,20387.0,191288.0
2021-08-01,5624.99,33874.0,304494.0,3864.695,23274.0,209205.0
2021-09-01,6130.106,36916.0,346081.0,3705.287,22314.0,209186.0
2021-10-01,6177.075,37199.0,349570.0,4156.713,25032.0,235234.0
2021-11-01,5312.467,31992.0,313899.0,4321.263,26023.0,255332.0
2021-12-01,6354.43,38267.0,412520.0,4602.593,27717.0,298794.0
2022-01-01,5877.257,33988.0,312109.0,5313.743,30730.0,282184.0
2022-02-01,5480.992,31697.0,294280.0,4636.008,26810.0,248912.0
2022-03-01,6175.61,35714.0,320956.0,4686.39,27102.0,243559.0
2022-04-01,4782.915,27660.0,277761.0,3300.085,19085.0,191648.0
2022-05-01,4971.651,28751.0,278046.0,3970.349,22961.0,222047.0
2022-06-01,5991.104,34647.0,317000.0,4219.896,24404.0,223282.0
2022-07-01,6029.446,34869.0,306592.0,4180.554,24176.0,212577.0
2022-08-01,6436.968,37225.0,286915.0,4557.032,26354.0,203121.0
2022-09-01,5563.195,32172.0,332002.0,3229.805,18678.0,192749.0
2022-10-01,5855.883,33865.0,381809.0,3410.117,19721.0,222343.0
2022-11-01,6205.29,35886.0,341943.0,4297.71,24854.0,236826.0
2022-12-01,5981.767,34593.0,322723.0,4909.233,28390.0,264858.0
2023-01-01,6229.568,37515.0,342251.0,4530.594,27284.0,248910.0
2023-02-01,4668.186,28112.0,256614.0,4435.458,26711.0,243821.0
2023-03-01,6105.156,36766.0,323692.0,4668.45,28114.0,247518.0
2023-04-01,5546.605,33402.0,319907.0,4332.001,26088.0,249853.0
2023-05-01,4620.293,27824.0,246958.0,3584.51,21586.0,191595.0
2023-06-01,5264.153,31701.0,284134.0,4610.612,27766.0,248859.0
2023-07-01,5389.124,32454.0,272563.0,4553.822,27424.0,230316.0
2023-08-01,5897.382,35515.0,276872.0,4083.976,24594.0,191736.0
2023-09-01,5040.136,30352.0,265460.0,4434.184,26703.0,233545.0
2023-10-01,4054.011,24414.0,306022.0,2856.308,17201.0,215612.0
2023-11-01,6154.035,37060.0,317490.0,4232.57,25489.0,218361.0
2023-12-01,6514.164,39229.0,353810.0,4187.419,25217.0,227436.0
2024-01-01,6284.627,37847.0,335434.0,4845.25,29179.0,258609.0
2024-02-01,6148.328,37026.0,317900.0,4241.158,25541.0,219290.0
2024-03-01,5895.069,35501.0,308085.0,4915.028,29599.0,256867.0
2024-04-01,6499.182,39139.0,356763.0,4062.197,24463.0,222988.0
2024-05-01,6481.019,39030.0,325504.0,4270.5,25717.0,214483.0
2024-06-01,1557.739,9381.0,236573.0,1098.451,6615.0,166821.0
2024-07-01,3608.649,21732.0,263500.0,2737.013,16483.0,199854.0
2024-08-01,5290.211,31858.0,295648.0,3362.092,20247.0,187893.0
2024-09-01,5863.506,35311.0,328103.0,4057.353,24434.0,227037.0
2024-10-01,6381.763,38432.0,343368.0,4235.314,25506.0,227879.0
2024-11-01,5439.312,32756.0,323703.0,3833.345,23085.0,228129.0
2024-12-01,5190.525,31258.0,315142.0,3992.824,24045.0,242423.0
