measured_on,"Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-10-01,,,,,,,95066.10800000001,1084956.0,1084956.0
2007-11-01,,,,,,,79814.806,953348.0,953348.0
2007-12-01,,,,,,,108081.832,1314591.0,1314591.0
2008-01-01,,,,89.569,1108.0,1108.0,99740.431,1233979.0,1233979.0
2008-02-01,,,,164.68200000000002,2107.0,2107.0,67671.318,865950.0,865950.0
2008-03-01,,,,489.298,6154.0,6154.0,49806.702000000005,626395.0,626395.0
2008-04-01,,,,9.899000000000001,129.0,129.0,99740.101,1299724.0,1299724.0
2008-05-01,,,,0.234,3.0,3.0,100692.766,1320932.0,1330113.0
2008-06-01,,,,342.7,4496.0,4661.0,82654.3,1084487.0,1124261.0
2008-07-01,,,,157.81400000000002,2075.0,2192.0,72984.186,959518.0,1013870.0
2008-08-01,,,,102.468,1299.0,1299.0,100797.532,1277544.0,1277544.0
2008-09-01,,,,121.334,1496.0,1496.0,62193.666,766592.0,766592.0
2008-10-01,,,,78.36500000000001,981.0,981.0,60840.635,761940.0,761940.0
2008-11-01,,,,0.0,0.0,2452.0,0.0,0.0,0.0
2008-12-01,,,,308.136,4071.0,4561.0,20047.864,264857.0,296775.0
2009-01-01,,,,334.594,4249.0,4249.0,61511.406,781205.0,781205.0
2009-02-01,,,,8.013,104.0,104.0,90657.987,1171305.0,1171305.0
2009-03-01,,,,0.0,0.0,0.0,100518.0,1289393.0,1289393.0
2009-04-01,,,,87.375,1130.0,1130.0,92999.625,1202813.0,1202813.0
2009-05-01,,,,288.677,3700.0,3700.0,87282.323,1118708.0,1118708.0
2009-06-01,,,,14.783000000000001,190.0,190.0,98361.217,1265893.0,1265893.0
2009-07-01,,,,218.555,2868.0,2868.0,86553.445,1135779.0,1135779.0
2009-08-01,,,,0.0,0.0,0.0,100843.0,1315836.0,1315836.0
2009-09-01,,,,248.015,3157.0,3157.0,85224.985,1084956.0,1084956.0
2009-10-01,,,,171.49200000000002,2020.0,2020.0,76217.508,897740.0,897740.0
2009-11-01,,,,375.32300000000004,4654.0,4654.0,49323.676999999996,611659.0,611659.0
2009-12-01,,,,157.55100000000002,1812.0,1812.0,88408.449,1017063.0,1017063.0
2010-01-01,,,,194.429,2310.0,2310.0,88839.571,1055651.0,1055651.0
2010-02-01,,,,30.782,352.0,352.0,42683.218,487974.0,487974.0
2010-03-01,,,,359.62800000000004,4225.0,4225.0,28086.372,329941.0,329941.0
2010-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,,,,307.158,3606.0,3606.0,47555.842000000004,558266.0,558266.0
2010-06-01,,,,287.517,3433.0,3433.0,92451.48300000001,1103906.0,1103906.0
2010-07-01,,,,185.62300000000002,2130.0,2130.0,69971.37700000001,803067.0,803067.0
2010-08-01,0.0,0.0,0.0,167.179,1866.0,1866.0,77466.821,864497.0,864497.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,125.73,2258.0,2258.0,878.27,15775.0,15775.0
2010-12-01,0.0,0.0,0.0,231.192,3241.0,3241.0,7032.808,98582.0,98582.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,325.581,3068.0,3068.0,7091.419,66826.0,66826.0
2012-07-01,0.0,0.0,0.0,274.813,3578.0,3578.0,4647.187,60512.0,60512.0
2012-08-01,0.0,0.0,0.0,20.227,290.0,290.0,43530.773,623684.0,623684.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,442.953,6010.0,6010.0,11040.047,149800.0,149800.0
2013-07-01,0.0,0.0,0.0,231.569,3069.0,3069.0,19392.431,257022.0,257022.0
2013-08-01,0.0,0.0,0.0,115.234,1512.0,1512.0,67313.766,883229.0,883229.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
