measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 3","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 3"
2014-03-01,776239.0,8118770.0,8118770.0
2014-04-01,752960.0,7875292.0,7875292.0
2014-05-01,775530.0,8111354.0,8111354.0
2014-06-01,740504.0,7745014.0,7745014.0
2014-07-01,766271.0,8014513.0,8014513.0
2014-08-01,694584.0,7264731.0,7264731.0
2014-09-01,747875.0,7822108.0,7822108.0
2014-10-01,777486.0,8131812.0,8131812.0
2014-11-01,753902.0,7885145.0,7885145.0
2014-12-01,777949.0,8136655.0,8136655.0
2015-01-01,772856.0,8082913.0,8082913.0
2015-02-01,699841.0,7319286.0,7319286.0
2015-03-01,123682.0,1293528.0,1293528.0
2015-04-01,751444.0,7858975.0,7858975.0
2015-05-01,336610.0,3520435.0,3520435.0
2015-06-01,727556.0,7609143.0,7609143.0
2015-07-01,725590.0,7588581.0,7588581.0
2015-08-01,766621.0,8017704.0,8017704.0
2015-09-01,468722.0,4902128.0,4902128.0
2015-10-01,774092.0,8095839.0,8095839.0
2015-11-01,751160.0,7856005.0,7856005.0
2015-12-01,711118.0,7437226.0,7437226.0
2016-01-01,775901.0,8114765.0,8114765.0
2016-02-01,725789.0,7590669.0,7590669.0
2016-03-01,774301.0,8098032.0,8098032.0
2016-04-01,735023.0,7687243.0,7687243.0
2016-05-01,775375.0,8109264.0,8109264.0
2016-06-01,746230.0,7804451.0,7804451.0
2016-07-01,759472.0,7942943.0,7942943.0
2016-08-01,755133.0,7897563.0,7897563.0
2016-09-01,735717.0,7694501.0,7694501.0
2016-10-01,773311.0,8087678.0,8087678.0
2016-11-01,747811.0,7820986.0,7820986.0
2016-12-01,772105.0,8075065.0,8075065.0
2017-01-01,773708.0,8092311.0,8092311.0
2017-02-01,697457.0,7294792.0,7294792.0
2017-03-01,293028.0,3064817.0,3064817.0
2017-04-01,0.0,0.0,0.0
2017-05-01,286631.0,2997910.0,2997910.0
2017-06-01,480353.0,5024073.0,5024073.0
2017-07-01,767278.0,8025059.0,8025059.0
2017-08-01,766217.0,8013961.0,8013961.0
2017-09-01,745844.0,7800878.0,7800878.0
2017-10-01,773126.0,8086224.0,8086224.0
2017-11-01,594021.0,6212941.0,6212941.0
2017-12-01,774813.0,8103868.0,8103868.0
2018-01-01,775031.0,8102677.0,8102677.0
2018-02-01,385938.0,4034846.0,4034846.0
2018-03-01,771766.0,8068542.0,8068542.0
2018-04-01,749667.0,7837505.0,7837505.0
2018-05-01,773749.0,8089274.0,8089274.0
2018-06-01,747479.0,7814630.0,7814630.0
2018-07-01,747105.0,7810720.0,7810720.0
2018-08-01,739110.0,7727135.0,7727135.0
2018-09-01,343212.0,3588161.0,3588161.0
2018-10-01,774860.0,8100889.0,8100889.0
2018-11-01,750964.0,7851065.0,7851065.0
2018-12-01,741600.0,7753167.0,7753167.0
2019-01-01,775121.0,8093536.0,8093536.0
2019-02-01,700830.0,7317816.0,7317816.0
2019-03-01,245086.0,2559100.0,2559100.0
2019-04-01,507723.0,5301462.0,5301462.0
2019-05-01,777154.0,8114764.0,8114764.0
2019-06-01,748252.0,7812980.0,7812980.0
2019-07-01,767178.0,8010598.0,8010598.0
2019-08-01,763834.0,7975681.0,7975681.0
2019-09-01,747417.0,7804261.0,7804261.0
2019-10-01,778972.0,8133747.0,8133747.0
2019-11-01,754887.0,7882260.0,7882260.0
2019-12-01,776444.0,8107350.0,8107350.0
2020-01-01,774798.0,8093523.0,8093523.0
2020-02-01,724478.0,7567881.0,7567881.0
2020-03-01,772617.0,8070740.0,8070740.0
2020-04-01,749748.0,7831851.0,7831851.0
2020-05-01,774196.0,8087235.0,8087235.0
2020-06-01,745876.0,7791404.0,7791404.0
2020-07-01,760531.0,7944490.0,7944490.0
2020-08-01,760516.0,7944334.0,7944334.0
2020-09-01,743806.0,7769781.0,7769781.0
2020-10-01,773874.0,8083871.0,8083871.0
2020-11-01,752970.0,7865508.0,7865508.0
2020-12-01,775411.0,8099926.0,8099926.0
2021-01-01,772981.0,8061506.0,8061506.0
2021-02-01,698422.0,7283922.0,7283922.0
2021-03-01,753458.0,7857899.0,7857899.0
2021-04-01,596540.0,6221383.0,6221383.0
2021-05-01,0.0,0.0,0.0
