measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2006-03-01,32929.046,397464.0,397464.0,,,,,,
2006-04-01,28015.286,338153.0,338153.0,,,,,,
2006-05-01,29939.372000000003,361377.0,361377.0,,,,,,
2006-06-01,32434.816,391498.0,391498.0,,,,,,
2006-07-01,36894.544,445329.0,445329.0,,,,,,
2006-08-01,37160.759,448542.0,448542.0,,,,,,
2006-09-01,30876.106,372684.0,372684.0,,,,,,
2006-10-01,31936.468,385483.0,385483.0,,,,,,
2006-11-01,31577.396,381149.0,381149.0,,,,,,
2006-12-01,34185.164,412625.0,412625.0,,,,,,
2007-01-01,19642.721,237436.0,237436.0,112.27900000000001,1357.0,1357.0,,,
2007-02-01,48327.45,573418.0,573418.0,41.55,493.0,493.0,,,
2007-03-01,20740.002,244899.0,244899.0,27.998,331.0,331.0,,,
2007-04-01,31671.288,371261.0,371261.0,74.712,876.0,876.0,,,
2007-05-01,31963.682,380606.0,380606.0,82.318,980.0,980.0,,,
2007-06-01,42568.214,505328.0,505328.0,94.786,1125.0,1125.0,,,
2007-07-01,35952.3,423038.0,423038.0,55.7,655.0,655.0,,,
2007-08-01,49546.606,583150.0,583150.0,41.394000000000005,487.0,487.0,,,
2007-09-01,27495.704,333746.0,333746.0,58.296,708.0,708.0,,,
2007-10-01,24960.257,303666.0,303666.0,66.74300000000001,812.0,812.0,,,
2007-11-01,30517.39,366253.0,366253.0,54.61,655.0,655.0,,,
2007-12-01,31259.922,385045.0,385045.0,31.078000000000003,383.0,383.0,,,
2008-01-01,44474.572,545564.0,545564.0,53.428000000000004,655.0,655.0,,,
2008-02-01,41735.146,508376.0,508376.0,42.854,522.0,522.0,,,
2008-03-01,35990.753,444680.0,444680.0,19.247,238.0,238.0,,,
2008-04-01,24724.569,302447.0,302447.0,65.431,800.0,800.0,,,
2008-05-01,38576.438,471211.0,471211.0,36.562000000000005,447.0,447.0,,,
2008-06-01,43758.317,541625.0,541625.0,101.683,1259.0,1259.0,,,
2008-07-01,48292.477,595727.0,595727.0,7.523000000000001,93.0,93.0,,,
2008-08-01,42058.85,521823.0,521823.0,48.15,597.0,597.0,,,
2008-09-01,34642.633,419573.0,419573.0,48.367000000000004,586.0,586.0,,,
2008-10-01,17878.906,213363.0,213363.0,14.094000000000001,168.0,168.0,,,
2008-11-01,2017.7540000000001,27580.0,27580.0,18.246000000000002,249.0,249.0,,,
2008-12-01,23209.256,280194.0,280194.0,116.744,1409.0,1409.0,,,
2009-01-01,51352.677,611021.0,611021.0,26.323,313.0,313.0,,,
2009-02-01,30219.283,363791.0,363791.0,20.717000000000002,249.0,249.0,,,
2009-03-01,18576.006999999998,227772.0,227772.0,49.993,613.0,613.0,,,
2009-04-01,1027.486,16045.0,16045.0,24.514000000000003,383.0,383.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,16349.012999999999,213967.0,213967.0,81.98700000000001,1073.0,1073.0,,,
2009-07-01,4160.228,56571.0,56571.0,47.772000000000006,650.0,650.0,,,
2009-08-01,14097.097,186472.0,186472.0,96.903,1282.0,1282.0,,,
2009-09-01,3369.983,45738.0,45738.0,44.017,597.0,597.0,,,
2009-10-01,12906.628,160840.0,160840.0,35.372,441.0,441.0,,,
2009-11-01,4002.4210000000003,52170.0,52170.0,19.579,255.0,255.0,,,
2009-12-01,29280.472999999998,365818.0,365818.0,90.527,1131.0,1131.0,,,
2010-01-01,32987.696,402690.0,402690.0,13.304,162.0,162.0,,,
2010-02-01,27729.199,344624.0,344624.0,44.801,557.0,557.0,,,
2010-03-01,7335.371,97999.0,97999.0,15.629000000000001,209.0,209.0,,,
2010-04-01,-220.342,0.0,0.0,-0.658,0.0,0.0,,,
2010-05-01,-210.372,0.0,0.0,-0.628,0.0,0.0,,,
2010-06-01,25298.566,322245.0,322245.0,92.434,1177.0,1177.0,,,
2010-07-01,42370.714,536588.0,536588.0,62.286,789.0,789.0,,,
2010-08-01,37756.892,472846.0,472846.0,143.108,1792.0,1792.0,,,
2010-09-01,4846.534000000001,62942.0,62942.0,50.466,655.0,655.0,,,
2010-10-01,-192.425,0.0,0.0,-0.5750000000000001,0.0,0.0,,,
2010-11-01,1036.073,16517.0,16517.0,34.927,557.0,557.0,,,
2010-12-01,32046.835,393904.0,393904.0,39.165,481.0,481.0,,,
2011-01-01,27885.145,342360.0,342360.0,53.855,661.0,661.0,,,
2011-02-01,6973.995,89870.0,89870.0,27.005,348.0,348.0,,,
2011-03-01,6876.055,86735.0,86735.0,34.945,441.0,441.0,,,
2011-04-01,19470.0,244667.0,244667.0,0.0,0.0,0.0,,,
2011-05-01,2077.545,29452.0,29452.0,2.455,35.0,35.0,,,
2011-06-01,27389.786,343101.0,343101.0,91.214,1143.0,1143.0,,,
2011-07-01,40033.053,503530.0,503530.0,59.947,754.0,754.0,,,
2011-08-01,21874.856,273437.0,273437.0,56.144,702.0,702.0,,,
2011-09-01,8262.668,104584.0,104584.0,7.332,93.0,93.0,,,
2011-10-01,3330.963,46319.0,46319.0,35.037,487.0,487.0,,,
2011-11-01,34113.203,417636.0,417636.0,48.797,597.0,597.0,,,
2011-12-01,32395.127,405683.0,405683.0,51.873,650.0,650.0,,,
2012-01-01,0.0,0.0,0.0,-266.0,139.0,139.0,,,
2012-02-01,-252.485,0.0,0.0,-0.515,0.0,0.0,,,
2012-03-01,-232.525,0.0,0.0,-0.475,0.0,0.0,,,
2012-04-01,-202.586,0.0,0.0,-0.414,0.0,0.0,,,
2012-05-01,-186.619,0.0,0.0,-0.381,0.0,0.0,,,
2012-06-01,9966.981,126985.0,126985.0,132.019,1682.0,1682.0,,,
2012-07-01,13571.447,172441.0,172441.0,109.553,1392.0,1392.0,,,
2012-08-01,2089.734,30622.0,30622.0,69.266,1015.0,1015.0,,,
2012-09-01,-177.637,0.0,0.0,-0.363,0.0,0.0,,,
2012-10-01,-201.588,0.0,0.0,-0.412,0.0,0.0,,,
2012-11-01,-227.536,0.0,0.0,-0.464,0.0,0.0,,,
2012-12-01,-239.511,0.0,0.0,-0.489,0.0,0.0,,,
2013-01-01,1684.739,25241.0,25241.0,40.261,603.0,603.0,,,
2013-02-01,-263.763,0.0,0.0,-3.237,0.0,0.0,,,
2013-03-01,-246.969,0.0,0.0,-3.031,0.0,0.0,,,
2013-04-01,-205.478,0.0,0.0,-2.522,0.0,0.0,,,
2013-05-01,-190.66,0.0,0.0,-2.34,0.0,0.0,,,
2013-06-01,6140.186,79993.0,79993.0,86.814,1131.0,1131.0,,,
2013-07-01,9534.306,118833.0,118833.0,84.694,1056.0,1056.0,,,
2013-08-01,2364.83,32916.0,32916.0,44.17,615.0,615.0,,,
2013-09-01,-171.891,0.0,0.0,-2.109,0.0,0.0,,,
2013-10-01,-178.806,0.0,0.0,-2.194,0.0,0.0,,,
2013-11-01,-222.272,0.0,0.0,-2.728,0.0,0.0,,,
2013-12-01,-265.739,0.0,0.0,-3.261,0.0,0.0,,,
2014-01-01,20124.645,251407.0,251407.0,125.355,1566.0,1566.0,,,
2014-02-01,2697.885,37518.0,37518.0,32.115,447.0,447.0,,,
2014-03-01,-246.757,0.0,0.0,-3.243,0.0,0.0,,,
2014-04-01,-197.405,0.0,0.0,-2.595,0.0,0.0,,,
2014-05-01,-171.743,0.0,0.0,-2.257,0.0,0.0,,,
2014-06-01,7552.277,97986.0,97986.0,124.723,1618.0,1618.0,,,
2014-07-01,7606.393,96885.0,96885.0,85.607,1090.0,1090.0,,,
2014-08-01,2941.697,40419.0,40419.0,36.303,499.0,499.0,,,
2014-09-01,4391.41,59401.0,59401.0,38.59,522.0,522.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-01-01,4211.997,59325.0,59325.0,56.003,789.0,789.0,,,
2015-02-01,11660.105,146015.0,146015.0,57.895,725.0,725.0,,,
2015-03-01,-258.458,0.0,0.0,-2.542,0.0,0.0,,,
2015-04-01,-186.169,0.0,0.0,-1.831,0.0,0.0,,,
2015-05-01,1310.253,19903.0,19903.0,76.747,1166.0,1166.0,,,
2015-06-01,5803.542,74530.0,74530.0,112.458,1444.0,1444.0,,,
2015-07-01,7410.033,93954.0,93954.0,80.967,1027.0,1027.0,,,
2015-08-01,9117.908,114934.0,114934.0,120.092,1514.0,1514.0,,,
2015-09-01,5120.763,66968.0,66968.0,45.237,592.0,592.0,,,
2015-10-01,-185.179,0.0,0.0,-1.821,0.0,0.0,,,
2015-11-01,-190.13,0.0,0.0,-1.87,0.0,0.0,,,
2015-12-01,8839.403,111014.0,111014.0,95.597,1201.0,1201.0,,,
2016-01-01,7088.47,91925.0,91925.0,84.53,1096.0,1096.0,,,
2016-02-01,6223.214,80363.0,80363.0,85.786,1108.0,1108.0,,,
2016-03-01,5272.681,67896.0,67896.0,74.319,957.0,957.0,,,
2016-04-01,-219.31,0.0,0.0,-2.69,0.0,0.0,,,
2016-05-01,733.716,12510.0,12510.0,47.284,806.0,806.0,,,
2016-06-01,4205.398,55809.0,55809.0,82.602,1096.0,1096.0,,,
2016-07-01,22036.713,285316.0,285316.0,135.287,1752.0,1752.0,,,
2016-08-01,10879.504,140330.0,140330.0,138.496,1786.0,1786.0,,,
2016-09-01,3179.166,46075.0,46075.0,66.834,969.0,969.0,,,
2016-10-01,-168.928,0.0,0.0,-2.072,0.0,0.0,,,
2016-11-01,-216.346,0.0,0.0,-2.654,0.0,0.0,,,
2016-12-01,4012.864,54007.0,54007.0,102.136,1375.0,1375.0,,,
2017-01-01,-296.115,0.0,0.0,-3.885,0.0,0.0,,,
2017-02-01,1081.202,16923.0,16923.0,37.798,592.0,592.0,,,
2017-03-01,254.551,6572.0,6572.0,0.449,12.0,12.0,,,
2017-04-01,-202.345,0.0,0.0,-2.655,0.0,0.0,,,
2017-05-01,777.302,13236.0,13236.0,32.698,557.0,557.0,,,
2017-06-01,4735.911,60974.0,60974.0,81.089,1044.0,1044.0,,,
2017-07-01,8284.431,106145.0,106145.0,104.569,1340.0,1340.0,,,
2017-08-01,6606.27,83620.0,83620.0,79.73,1009.0,1009.0,,,
2017-09-01,2748.522,37665.0,37665.0,41.478,568.0,568.0,,,
2017-10-01,-205.306,0.0,0.0,-2.694,0.0,0.0,,,
2017-11-01,-240.84,0.0,0.0,-3.16,0.0,0.0,,,
2017-12-01,12632.744,159694.0,159694.0,125.256,1583.0,1583.0,,,
2018-01-01,12051.45,149139.0,149139.0,81.55,1009.0,1009.0,,,
2018-02-01,4720.824,61382.0,61382.0,48.176,626.0,626.0,,,
2018-03-01,-273.235,0.0,0.0,-3.765,0.0,0.0,,,
2018-04-01,-248.575,0.0,0.0,-3.425,0.0,0.0,,,
2018-05-01,880.763,14393.0,14393.0,42.237,690.0,690.0,,,
2018-06-01,4675.788,62414.0,62414.0,78.212,1044.0,1044.0,,,
2018-07-01,8066.336,107203.0,107203.0,84.664,1125.0,1125.0,,,
2018-08-01,9124.059,118548.0,118548.0,87.941,1143.0,1143.0,,,
2018-09-01,2383.803,32804.0,32804.0,39.197,539.0,539.0,,,
2018-10-01,-212.078,0.0,0.0,-2.922,0.0,0.0,,,
2018-11-01,-249.561,0.0,0.0,-3.439,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,-276.0,93.0,93.0,,,
2019-01-01,7555.74,99338.0,99338.0,99.26,1305.0,1305.0,,,
2019-02-01,1744.258,26417.0,26417.0,41.742,632.0,632.0,,,
2019-03-01,996.811,15279.0,15279.0,7.189,110.0,110.0,,,
2019-04-01,0.0,0.0,0.0,-245.0,220.0,220.0,,,
2019-05-01,-23.274,2621.0,2621.0,-7.726,870.0,870.0,,,
2019-06-01,3527.939,47370.0,47370.0,44.061,592.0,592.0,,,
2019-07-01,14459.954,188263.0,188263.0,163.046,2123.0,2123.0,,,
2019-08-01,7545.367,98728.0,98728.0,96.633,1264.0,1264.0,,,
2019-09-01,2464.338,34650.0,34650.0,41.662,586.0,586.0,,,
2019-10-01,-216.563,0.0,0.0,-2.437,0.0,0.0,,,
2019-11-01,-253.151,0.0,0.0,-2.849,0.0,0.0,,,
2019-12-01,520.715,10699.0,10699.0,35.285,725.0,725.0,,,
2020-01-01,-271.857,0.0,0.0,-4.143,0.0,0.0,,,
2020-02-01,-260.037,0.0,0.0,-3.963,0.0,0.0,,,
2020-03-01,-234.428,0.0,0.0,-3.572,0.0,0.0,,,
2020-04-01,-209.803,0.0,0.0,-3.197,0.0,0.0,,,
2020-05-01,1049.096,17197.0,17197.0,55.904,916.0,916.0,,,
2020-06-01,7955.072,103432.0,103432.0,161.928,2105.0,2105.0,,,
2020-07-01,16287.58,212141.0,212141.0,159.42,2076.0,2076.0,,,
2020-08-01,7678.862,103925.0,103925.0,122.138,1653.0,1653.0,,,
2020-09-01,1120.296,17442.0,17442.0,44.704,696.0,696.0,,,
2020-10-01,-195.028,0.0,0.0,-2.972,0.0,0.0,,,
2020-11-01,-218.668,0.0,0.0,-3.332,0.0,0.0,,,
2020-12-01,-274.812,0.0,0.0,-4.188,0.0,0.0,,,
2021-01-01,117.419,5668.0,5668.0,16.581,800.0,800.0,,,
2021-02-01,2670.404,37803.0,37803.0,92.596,1311.0,1311.0,,,
2021-03-01,-241.047,0.0,0.0,-3.953,0.0,0.0,,,
2021-04-01,-209.564,0.0,0.0,-3.436,0.0,0.0,,,
2021-05-01,71.844,4333.0,4333.0,11.156,673.0,673.0,,,
2021-06-01,2137.233,30599.0,30599.0,60.767,870.0,870.0,,,
2021-07-01,7319.702,97818.0,97818.0,126.298,1688.0,1688.0,,,
2021-08-01,13945.942,182071.0,182071.0,127.058,1659.0,1659.0,,,
2021-09-01,701.487,12139.0,12139.0,32.513,563.0,563.0,,,
2021-10-01,-198.741,0.0,0.0,-3.259,0.0,0.0,,,
2021-11-01,229.343,7405.0,7405.0,20.657,667.0,667.0,,,
2021-12-01,926.817,15330.0,15330.0,17.183,284.0,284.0,,,
2022-01-01,10593.432,146496.0,146496.0,150.568,2082.0,2082.0,,,
2022-02-01,-272.276,0.0,0.0,-5.724,0.0,0.0,,,
2022-03-01,2172.117,33049.0,33049.0,38.883,592.0,592.0,,,
2022-04-01,-217.429,0.0,0.0,-4.571,0.0,0.0,,,
2022-05-01,5091.167,72723.0,72723.0,82.833,1183.0,1183.0,,,
2022-06-01,9776.438,130795.0,130795.0,136.562,1827.0,1827.0,,,
2022-07-01,13479.298,179637.0,179637.0,139.702,1862.0,1862.0,,,
2022-08-01,9341.999,133794.0,133794.0,179.001,2564.0,2564.0,,,
2022-09-01,-183.15,0.0,0.0,-3.85,0.0,0.0,,,
2022-10-01,-194.902,0.0,0.0,-4.098,0.0,0.0,,,
2022-11-01,327.023,8518.0,8518.0,42.977,1119.0,1119.0,,,
2022-12-01,-289.905,0.0,0.0,-6.095,0.0,0.0,,,
2023-01-01,-172.623,1357.0,1357.0,-97.377,766.0,766.0,,,
2023-02-01,0.0,0.0,0.0,-329.0,145.0,145.0,,,
2023-03-01,-239.236,0.0,0.0,-3.764,0.0,0.0,,,
2023-04-01,-194.933,0.0,0.0,-3.067,0.0,0.0,,,
2023-05-01,-118.851,1012.0,1012.0,-87.149,742.0,742.0,,,
2023-06-01,-1164.047,1857.0,1857.0,-530.953,847.0,847.0,,,
2023-07-01,5551.614,77373.0,77373.0,92.386,1288.0,1288.0,,,
2023-08-01,11151.167,150972.0,150972.0,60.833,824.0,824.0,,,
2023-09-01,2840.885,38889.0,38889.0,52.115,713.0,713.0,,,
2023-10-01,-176.228,0.0,0.0,-2.772,0.0,0.0,,,
2023-11-01,-72.425,3130.0,3130.0,-48.575,2100.0,2100.0,,,
2023-12-01,-245.143,0.0,0.0,-3.857,0.0,0.0,,,
2024-01-01,5292.523,72567.0,72567.0,148.477,2036.0,2036.0,,,
2024-02-01,663.527,13564.0,13564.0,54.473,1114.0,1114.0,,,
2024-03-01,1305.0,17927.0,17927.0,0.0,0.0,0.0,,,
2024-04-01,-151.122,0.0,0.0,-2.878,0.0,0.0,,,
2024-05-01,367.721,5840.0,5840.0,106.279,1688.0,1688.0,,,
2024-06-01,7987.413,105610.0,105610.0,174.587,2308.0,2308.0,,,
2024-07-01,6411.291,94016.0,94016.0,184.709,2709.0,2709.0,,,
2024-08-01,12628.024,162924.0,162924.0,173.976,2245.0,2245.0,,,
2024-09-01,-187.431,0.0,0.0,-3.569,0.0,0.0,,,
2024-10-01,-193.319,0.0,0.0,-3.681,0.0,0.0,,,
2024-11-01,-196.263,0.0,0.0,-3.737,0.0,0.0,,,
2024-12-01,432.716,11622.0,11622.0,55.284,1485.0,1485.0,,,
