measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-07-01,5477.0,77431.0,77431.0,14160.0,140453.0,140453.0
2006-08-01,3616.0,49208.0,49208.0,19166.0,190108.0,190108.0
2006-09-01,8388.0,119260.0,119260.0,12985.0,128798.0,128798.0
2006-10-01,0.0,0.0,0.0,6973.0,69165.0,69165.0
2006-11-01,0.0,0.0,0.0,3885.0,38535.0,38535.0
2006-12-01,692.0,9644.0,9644.0,350.0,3472.0,3472.0
2007-01-01,0.0,0.0,0.0,3279.0,32410.0,32410.0
2007-02-01,0.0,0.0,0.0,3359.0,33200.0,33200.0
2007-03-01,0.0,0.0,0.0,9707.0,95944.0,95944.0
2007-04-01,0.0,0.0,0.0,11374.0,112421.0,112421.0
2007-05-01,213.0,3229.0,3229.0,18241.0,180294.0,180294.0
2007-06-01,4240.0,56468.0,56468.0,18303.0,180907.0,180907.0
2007-07-01,4873.0,66422.0,66422.0,17798.0,175915.0,175915.0
2007-08-01,5949.0,81348.0,81348.0,15042.0,148675.0,148675.0
2007-09-01,8383.0,113245.0,113245.0,12794.0,126456.0,126456.0
2007-10-01,0.0,0.0,0.0,8455.0,83569.0,83569.0
2007-11-01,0.0,0.0,0.0,4052.0,40050.0,40050.0
2007-12-01,714.0,10323.0,10323.0,295.0,2916.0,2916.0
2008-01-01,0.0,0.0,0.0,2280.0,22467.0,22467.0
2008-02-01,0.0,0.0,0.0,5778.0,56936.0,56936.0
2008-03-01,0.0,0.0,0.0,12934.0,127452.0,127452.0
2008-04-01,0.0,0.0,0.0,16619.0,163764.0,163764.0
2008-05-01,69.0,1011.0,1011.0,18537.0,182664.0,182664.0
2008-06-01,2232.0,29713.0,29713.0,22166.0,218424.0,218424.0
2008-07-01,2682.0,36892.0,36892.0,19527.0,192419.0,192419.0
2008-08-01,3788.0,55237.0,55237.0,18965.0,186881.0,186881.0
2008-09-01,6181.0,85199.0,85199.0,15635.0,154067.0,154067.0
2008-10-01,0.0,0.0,0.0,10434.0,102817.0,102817.0
2008-11-01,0.0,0.0,0.0,4797.0,47270.0,47270.0
2008-12-01,838.0,12399.0,12399.0,2690.0,26507.0,26507.0
2009-01-01,642.0,9683.0,9683.0,315.0,3074.0,3074.0
2009-02-01,11335.0,161484.0,161484.0,4887.0,47697.0,47697.0
2009-03-01,6300.0,89928.0,89928.0,11986.0,116983.0,116983.0
2009-04-01,351.0,5023.0,5023.0,15903.0,155213.0,155213.0
2009-05-01,424.0,6028.0,6028.0,18110.0,176754.0,176754.0
2009-06-01,10221.0,141624.0,141624.0,17547.0,171259.0,171259.0
2009-07-01,8038.0,110854.0,110854.0,19882.0,194048.0,194048.0
2009-08-01,8520.0,115706.0,115706.0,17923.0,174928.0,174928.0
2009-09-01,7894.0,107845.0,107845.0,15082.0,147200.0,147200.0
2009-10-01,59.0,889.0,889.0,10169.0,99249.0,99249.0
2009-11-01,3499.0,47068.0,47068.0,5690.0,55534.0,55534.0
2009-12-01,17.0,490.0,490.0,2262.0,22077.0,22077.0
2010-01-01,717.0,10271.0,10271.0,451.0,4400.0,4400.0
2010-02-01,3924.0,54700.0,54700.0,4592.0,44800.0,44800.0
2010-03-01,9289.0,127765.0,127765.0,10628.0,103687.0,103687.0
2010-04-01,2186.0,26755.0,26755.0,13804.0,134672.0,134672.0
2010-05-01,5701.0,61656.0,61656.0,20183.0,196905.0,196905.0
2010-06-01,5249.0,71905.0,71905.0,25918.0,252856.0,252856.0
2010-07-01,4796.0,65105.0,65105.0,25156.0,245422.0,245422.0
2010-08-01,5931.0,75177.0,75177.0,23747.0,231676.0,231676.0
2010-09-01,7196.0,99579.0,99579.0,19616.0,191374.0,191374.0
2010-10-01,8331.0,116465.0,116465.0,8971.0,87521.0,87521.0
2010-11-01,10758.0,146888.0,146888.0,8091.0,78936.0,78936.0
2010-12-01,4490.0,62580.0,62580.0,2742.0,26751.0,26751.0
2011-01-01,704.0,10025.0,10025.0,82.0,797.0,797.0
2011-02-01,7733.0,105697.0,105697.0,8108.0,78777.0,78777.0
2011-03-01,2594.0,35152.0,35152.0,11441.0,111161.0,111161.0
2011-04-01,1674.0,23688.0,23688.0,16422.0,159556.0,159556.0
2011-05-01,1518.0,21036.0,21036.0,17519.0,170215.0,170215.0
2011-06-01,5963.0,77443.0,77443.0,24915.0,242074.0,242074.0
2011-07-01,7537.0,101814.0,101814.0,21163.0,205620.0,205620.0
2011-08-01,7412.0,99501.0,99501.0,22631.0,219883.0,219883.0
2011-09-01,10000.0,130449.0,130449.0,15587.0,151443.0,151443.0
2011-10-01,8085.0,105641.0,105641.0,12793.0,124297.0,124297.0
2011-11-01,7967.0,105010.0,105010.0,4993.0,48512.0,48512.0
2011-12-01,504.0,6597.0,6597.0,4852.0,47142.0,47142.0
2012-01-01,652.0,8386.0,8386.0,661.0,6290.0,6290.0
2012-02-01,9669.0,127780.0,127780.0,7900.0,75176.0,75176.0
2012-03-01,8523.0,108812.0,108812.0,12659.0,120463.0,120463.0
2012-04-01,6543.0,86020.0,86020.0,16551.0,157499.0,157499.0
2012-05-01,365.0,5154.0,5154.0,24718.0,235216.0,235216.0
2012-06-01,5522.0,76328.0,76328.0,25761.0,245142.0,245142.0
2012-07-01,8477.0,118784.0,118784.0,21640.0,205926.0,205926.0
2012-08-01,10723.0,151106.0,151106.0,17207.0,163742.0,163742.0
2012-09-01,9781.0,133013.0,133013.0,15187.0,144519.0,144519.0
2012-10-01,0.0,0.0,0.0,12508.0,119026.0,119026.0
2012-11-01,0.0,0.0,0.0,6013.0,57220.0,57220.0
2012-12-01,0.0,0.0,0.0,3398.0,32335.0,32335.0
2013-01-01,0.0,0.0,0.0,3617.0,34510.0,34510.0
2013-02-01,178.0,2544.0,2544.0,8397.0,80116.0,80116.0
2013-03-01,0.0,0.0,0.0,13612.0,129872.0,129872.0
2013-04-01,0.0,0.0,0.0,18564.0,177119.0,177119.0
2013-05-01,215.0,3047.0,3047.0,19794.0,188855.0,188855.0
2013-06-01,1382.0,19043.0,19043.0,22587.0,215503.0,215503.0
2013-07-01,4687.0,65547.0,65547.0,15454.0,147447.0,147447.0
2013-08-01,3669.0,48537.0,48537.0,18658.0,178016.0,178016.0
2013-09-01,4270.0,54798.0,54798.0,15458.0,147485.0,147485.0
2013-10-01,0.0,0.0,0.0,12580.0,120026.0,120026.0
2013-11-01,0.0,0.0,0.0,5092.0,48583.0,48583.0
2013-12-01,373.0,5870.0,5870.0,269.0,2567.0,2567.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,61.0,1198.0,1198.0,11611.0,110421.0,110421.0
2014-04-01,0.0,0.0,0.0,17382.0,165303.0,165303.0
2014-05-01,125.0,2020.0,2020.0,19778.0,188089.0,188089.0
2014-06-01,1773.0,23537.0,23537.0,24325.0,231331.0,231331.0
2014-07-01,2966.0,41145.0,41145.0,19024.0,180918.0,180918.0
2014-08-01,3067.0,40609.0,40609.0,18885.0,179596.0,179596.0
2014-09-01,3873.0,50418.0,50418.0,16565.0,157533.0,157533.0
2014-10-01,55.0,894.0,894.0,11935.0,113502.0,113502.0
2014-11-01,0.0,0.0,0.0,6189.0,58857.0,58857.0
2014-12-01,0.0,0.0,0.0,2189.0,20817.0,20817.0
2015-01-01,319.0,5391.0,5391.0,464.0,4324.0,4324.0
2015-02-01,0.0,0.0,0.0,8305.0,77394.0,77394.0
2015-03-01,0.0,0.0,0.0,13425.0,125108.0,125108.0
2015-04-01,0.0,0.0,0.0,17667.0,164639.0,164639.0
2015-05-01,156.0,2512.0,2512.0,17203.0,160315.0,160315.0
2015-06-01,4016.0,53633.0,53633.0,18280.0,170351.0,170351.0
2015-07-01,4183.0,56950.0,56950.0,18848.0,175645.0,175645.0
2015-08-01,3945.0,59718.0,59718.0,18978.0,176856.0,176856.0
2015-09-01,4794.0,64532.0,64532.0,13748.0,128118.0,128118.0
2015-10-01,0.0,0.0,0.0,8781.0,81830.0,81830.0
2015-11-01,0.0,0.0,0.0,6920.0,64487.0,64487.0
2015-12-01,0.0,0.0,0.0,3244.0,30231.0,30231.0
2016-01-01,526.0,7909.0,7909.0,370.0,3416.0,3416.0
2016-02-01,134.0,1909.0,1909.0,8990.0,82996.0,82996.0
2016-03-01,0.0,0.0,0.0,9540.0,88073.0,88073.0
2016-04-01,0.0,0.0,0.0,13380.0,123524.0,123524.0
2016-05-01,306.0,4155.0,4155.0,14790.0,136541.0,136541.0
2016-06-01,3872.0,48433.0,48433.0,19874.0,183477.0,183477.0
2016-07-01,1804.0,24144.0,24144.0,23051.0,212807.0,212807.0
2016-08-01,3332.0,45614.0,45614.0,19506.0,180079.0,180079.0
2016-09-01,5128.0,68471.0,68471.0,15959.0,147333.0,147333.0
2016-10-01,0.0,0.0,0.0,8994.0,83033.0,83033.0
2016-11-01,0.0,0.0,0.0,5784.0,53398.0,53398.0
2016-12-01,0.0,0.0,0.0,2629.0,24271.0,24271.0
2017-01-01,645.0,8330.0,8330.0,585.0,5390.0,5390.0
2017-02-01,176.0,2527.0,2527.0,4355.0,40123.0,40123.0
2017-03-01,37.0,584.0,584.0,12129.0,111744.0,111744.0
2017-04-01,0.0,0.0,0.0,11466.0,105636.0,105636.0
2017-05-01,175.0,3283.0,3283.0,19147.0,176401.0,176401.0
2017-06-01,2484.0,31571.0,31571.0,21033.0,193777.0,193777.0
2017-07-01,4500.0,61050.0,61050.0,16869.0,155414.0,155414.0
2017-08-01,5976.0,81709.0,81709.0,16123.0,148541.0,148541.0
2017-09-01,6349.0,82740.0,82740.0,10929.0,100689.0,100689.0
2017-10-01,0.0,0.0,0.0,11227.0,103434.0,103434.0
2017-11-01,0.0,0.0,0.0,4176.0,38473.0,38473.0
2017-12-01,53.0,912.0,912.0,3229.0,29749.0,29749.0
2018-01-01,447.0,7325.0,7325.0,63.0,574.0,574.0
2018-02-01,0.0,0.0,0.0,7677.0,69891.0,69891.0
2018-03-01,0.0,0.0,0.0,9890.0,90039.0,90039.0
2018-04-01,0.0,0.0,0.0,13549.0,123350.0,123350.0
2018-05-01,348.0,3404.0,3404.0,16693.0,151973.0,151973.0
2018-06-01,1832.0,24950.0,24950.0,22685.0,206524.0,206524.0
2018-07-01,4311.0,57884.0,57884.0,16474.0,149979.0,149979.0
2018-08-01,4476.0,59643.0,59643.0,16109.0,146656.0,146656.0
2018-09-01,3044.0,38611.0,38611.0,17285.0,157363.0,157363.0
2018-10-01,0.0,0.0,0.0,9641.0,87772.0,87772.0
2018-11-01,0.0,0.0,0.0,4196.0,38200.0,38200.0
2018-12-01,0.0,0.0,0.0,3302.0,30061.0,30061.0
2019-01-01,244.0,4035.0,4035.0,403.0,3589.0,3589.0
2019-02-01,0.0,0.0,0.0,4951.0,44089.0,44089.0
2019-03-01,0.0,0.0,0.0,6121.0,54508.0,54508.0
2019-04-01,0.0,0.0,0.0,14052.0,125133.0,125133.0
2019-05-01,268.0,5027.0,5027.0,14842.0,132168.0,132168.0
2019-06-01,3194.0,41129.0,41129.0,20208.0,179952.0,179952.0
2019-07-01,3590.0,48135.0,48135.0,18828.0,167663.0,167663.0
2019-08-01,3229.0,42270.0,42270.0,19566.0,174235.0,174235.0
2019-09-01,5368.0,71131.0,71131.0,11792.0,105008.0,105008.0
2019-10-01,0.0,0.0,0.0,8018.0,71400.0,71400.0
2019-11-01,0.0,0.0,0.0,4074.0,36279.0,36279.0
2019-12-01,0.0,0.0,0.0,1520.0,13536.0,13536.0
2020-01-01,321.0,5228.0,5228.0,243.0,2130.0,2130.0
2020-02-01,0.0,0.0,0.0,5884.0,51585.0,51585.0
2020-03-01,0.0,0.0,0.0,7534.0,66051.0,66051.0
2020-04-01,0.0,0.0,0.0,12093.0,106019.0,106019.0
2020-05-01,136.0,2097.0,2097.0,19195.0,168283.0,168283.0
2020-06-01,4892.0,65003.0,65003.0,17217.0,150941.0,150941.0
2020-07-01,2984.0,38677.0,38677.0,21787.0,191007.0,191007.0
2020-08-01,6991.0,94123.0,94123.0,14895.0,130584.0,130584.0
2020-09-01,8105.0,110635.0,110635.0,8318.0,72924.0,72924.0
2020-10-01,0.0,0.0,0.0,8293.0,72705.0,72705.0
2020-11-01,0.0,0.0,0.0,4166.0,36523.0,36523.0
2020-12-01,0.0,0.0,0.0,2420.0,21216.0,21216.0
2021-01-01,267.0,4668.0,4668.0,458.0,4051.0,4051.0
2021-02-01,0.0,0.0,0.0,5478.0,48447.0,48447.0
2021-03-01,0.0,0.0,0.0,10253.0,90678.0,90678.0
2021-04-01,0.0,0.0,0.0,11699.0,103466.0,103466.0
2021-05-01,0.0,0.0,0.0,18858.0,166780.0,166780.0
2021-06-01,0.0,0.0,0.0,13337.0,117952.0,117952.0
2021-07-01,0.0,0.0,0.0,12329.0,109038.0,109038.0
2021-08-01,0.0,0.0,0.0,15613.0,138081.0,138081.0
2021-09-01,0.0,0.0,0.0,12312.0,108887.0,108887.0
2021-10-01,0.0,0.0,0.0,7931.0,70142.0,70142.0
2021-11-01,0.0,0.0,0.0,5464.0,48324.0,48324.0
2021-12-01,0.0,0.0,0.0,2281.0,20173.0,20173.0
2022-01-01,0.0,0.0,0.0,2919.0,30066.0,30066.0
2022-02-01,0.0,0.0,0.0,7175.0,73903.0,73903.0
2022-03-01,0.0,0.0,0.0,10733.0,110550.0,110550.0
2022-04-01,0.0,0.0,0.0,14391.0,148227.0,148227.0
2022-05-01,0.0,0.0,0.0,14173.0,145982.0,145982.0
2022-06-01,0.0,0.0,0.0,17827.0,183618.0,183618.0
2022-07-01,0.0,0.0,0.0,14956.0,154047.0,154047.0
2022-08-01,0.0,0.0,0.0,14054.0,144756.0,144756.0
2022-09-01,0.0,0.0,0.0,12258.0,126257.0,126257.0
2022-10-01,0.0,0.0,0.0,9435.0,97181.0,97181.0
2022-11-01,0.0,0.0,0.0,956.0,9847.0,9847.0
2022-12-01,0.0,0.0,0.0,2303.0,23721.0,23721.0
2023-01-01,0.0,0.0,0.0,2089.0,21517.0,21517.0
2023-02-01,0.0,0.0,0.0,4547.0,46834.0,46834.0
2023-03-01,0.0,0.0,0.0,6511.0,67063.0,67063.0
2023-04-01,0.0,0.0,0.0,11611.0,119593.0,119593.0
2023-05-01,0.0,0.0,0.0,3060.0,31518.0,31518.0
2023-06-01,0.0,0.0,0.0,17986.0,185256.0,185256.0
2023-07-01,0.0,0.0,0.0,19718.0,203095.0,203095.0
2023-08-01,0.0,0.0,0.0,14884.0,153305.0,153305.0
2023-09-01,0.0,0.0,0.0,12669.0,130491.0,130491.0
2023-10-01,0.0,0.0,0.0,9549.0,98355.0,98355.0
2023-11-01,0.0,0.0,0.0,4625.0,47638.0,47638.0
2023-12-01,0.0,0.0,0.0,1928.0,19858.0,19858.0
2024-01-01,0.0,0.0,0.0,2604.0,26821.0,26821.0
2024-02-01,0.0,0.0,0.0,583.0,6005.0,6005.0
2024-03-01,0.0,0.0,0.0,6441.0,66342.0,66342.0
2024-04-01,0.0,0.0,0.0,14146.0,145704.0,145704.0
2024-05-01,0.0,0.0,0.0,16396.0,168879.0,168879.0
2024-06-01,0.0,0.0,0.0,15244.0,157013.0,157013.0
2024-07-01,0.0,0.0,0.0,14600.0,150380.0,150380.0
2024-08-01,0.0,0.0,0.0,15424.0,158867.0,158867.0
2024-09-01,0.0,0.0,0.0,10492.0,108068.0,108068.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
