measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2021-04-01,7155.339,63282.0,63282.0,,,
2021-05-01,7913.672,69989.0,69989.0,,,
2021-06-01,6864.64,60711.0,60711.0,,,
2021-07-01,6786.083,60016.0,60016.0,,,
2021-08-01,6891.764,60951.0,60951.0,,,
2021-09-01,7147.723,63214.0,63214.0,,,
2021-10-01,7816.494,69129.0,69129.0,,,
2021-11-01,8038.027,71088.0,71088.0,,,
2021-12-01,9001.67,79611.0,79611.0,,,
2022-01-01,8527.649,29096.0,29096.0,,,
2022-02-01,7474.797,25504.0,25504.0,,,
2022-03-01,6729.519,22961.0,22961.0,,,
2022-04-01,6237.194,21281.0,21281.0,,,
2022-05-01,6736.089,22984.0,22984.0,,,
2022-06-01,6600.958,22522.0,22522.0,,,
2022-07-01,6347.662,21658.0,21658.0,,,
2022-08-01,6705.738,22880.0,22880.0,,,
2022-09-01,6876.809,23464.0,23464.0,,,
2022-10-01,5980.906,20407.0,20407.0,,,
2022-11-01,8508.331,29030.0,29030.0,,,
2022-12-01,8945.348,30522.0,30522.0,,,
2023-01-01,7841.0,26753.0,26753.0,,,
2023-02-01,7336.0,25030.0,25030.0,,,
2023-03-01,7686.0,26225.0,26225.0,,,
2023-04-01,5793.0,19766.0,19766.0,,,
2023-05-01,6715.0,22912.0,22912.0,,,
2023-06-01,6282.0,21434.0,21434.0,,,
2023-07-01,6905.0,23560.0,23560.0,,,
2023-08-01,6214.0,21202.0,21202.0,,,
2023-09-01,6818.0,23263.0,23263.0,,,
2023-10-01,5843.0,19936.0,19936.0,,,
2023-11-01,7579.0,25860.0,25860.0,,,
2023-12-01,7947.0,27115.0,27115.0,,,
2024-01-01,7888.0,26914.0,26914.0,,,
2024-02-01,7232.0,24676.0,24676.0,,,
2024-03-01,6967.0,23771.0,23771.0,,,
2024-04-01,6063.0,20687.0,20687.0,,,
2024-05-01,7539.0,25723.0,25723.0,,,
2024-06-01,6675.0,22775.0,22775.0,,,
2024-07-01,6316.0,21550.0,21550.0,,,
2024-08-01,7012.0,23925.0,23925.0,,,
2024-09-01,6711.0,22898.0,22898.0,,,
2024-10-01,6822.0,23277.0,23277.0,,,
2024-11-01,7011.0,23922.0,23922.0,,,
2024-12-01,7608.0,25958.0,25958.0,,,
