measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2010-03-01,53059.965,646121.0,646121.0,,,,,,,251.03500000000003,3057.0,3057.0
2010-04-01,54265.894,660827.0,660827.0,,,,,,,274.106,3338.0,3338.0
2010-05-01,57877.154,713271.0,713271.0,,,,,,,290.846,3584.0,3584.0
2010-06-01,52903.887,663173.0,663173.0,,,,,,,190.113,2383.0,2383.0
2010-07-01,60079.599,755260.0,755260.0,,,,,,,29.401,370.0,370.0
2010-08-01,58747.088,754674.0,754674.0,,,,,,,187.912,2414.0,2414.0
2010-09-01,17009.605,229896.0,229896.0,,,,,,,58.395,789.0,789.0
2010-10-01,0.0,0.0,0.0,,,,,,,0.0,3434.0,3434.0
2010-11-01,0.0,0.0,0.0,,,,,,,0.0,8546.0,8546.0
2010-12-01,18407.943,270749.0,270749.0,,,,,,,960.057,14121.0,14121.0
2011-01-01,53424.68,659022.0,659022.0,,,,,,,404.32,4988.0,4988.0
2011-02-01,53125.713,658917.0,658917.0,,,,,,,114.287,1418.0,1418.0
2011-03-01,52392.556,652563.0,652563.0,,,,,,,403.444,5025.0,5025.0
2011-04-01,55764.76,665020.0,665020.0,,,,,,,129.24,1541.0,1541.0
2011-05-01,57248.583,677437.0,677437.0,,,,,,,223.417,2644.0,2644.0
2011-06-01,49029.372,589626.0,589626.0,,,,,,,518.628,6237.0,6237.0
2011-07-01,54415.273,661753.0,661753.0,,,,,,,332.727,4046.0,4046.0
2011-08-01,48729.124,609095.0,609095.0,,,,,,,625.876,7823.0,7823.0
2011-09-01,21936.966,285733.0,285733.0,,,,,,,292.034,3804.0,3804.0
2011-10-01,40272.197,505115.0,505115.0,,,,,,,498.803,6256.0,6256.0
2011-11-01,56812.281,692230.0,692230.0,,,,,,,59.719,728.0,728.0
2011-12-01,45660.081,581753.0,581753.0,,,,,,,349.919,4458.0,4458.0
2012-01-01,55776.604,696265.0,696265.0,,,,,,,201.396,2514.0,2514.0
2012-02-01,54318.927,670678.0,670678.0,,,,,,,52.073,643.0,643.0
2012-03-01,50883.44,627376.0,627376.0,,,,,,,401.56,4951.0,4951.0
2012-04-01,53596.177,663052.0,663052.0,,,,,,,222.823,2757.0,2757.0
2012-05-01,54703.537,681030.0,681030.0,,,,,,,15.463,193.0,193.0
2012-06-01,48322.581,615168.0,615168.0,,,,,,,214.419,2730.0,2730.0
2012-07-01,55668.649,710978.0,710978.0,,,,,,,31.351,400.0,400.0
2012-08-01,55325.411,724137.0,724137.0,,,,,,,10.589,139.0,139.0
2012-09-01,0.0,0.0,0.0,,,,,,,0.0,604.0,604.0
2012-10-01,55430.157,687747.0,687747.0,,,,,,,576.843,7157.0,7157.0
2012-11-01,49697.779,619084.0,619084.0,,,,,,,171.221,2133.0,2133.0
2012-12-01,17191.305,233058.0,233058.0,,,,,,,450.695,6110.0,6110.0
2013-01-01,54684.48,644924.0,644924.0,,,,,,,291.52,3438.0,3438.0
2013-02-01,48468.261,604046.0,604046.0,,,,,,,243.739,3038.0,3038.0
2013-03-01,25507.261,324392.0,324392.0,,,,,,,170.739,2171.0,2171.0
2013-04-01,0.0,0.0,0.0,,,,,,,0.0,2660.0,2660.0
2013-05-01,0.0,0.0,0.0,,,,,,,0.0,878.0,878.0
2013-06-01,40776.629,492627.0,492627.0,,,,,,,354.371,4281.0,4281.0
2013-07-01,50813.655,642470.0,642470.0,,,,,,,341.345,4316.0,4316.0
2013-08-01,45731.031,583616.0,583616.0,,,,,,,317.969,4058.0,4058.0
2013-09-01,24914.632,308753.0,308753.0,,,,,,,54.368,674.0,674.0
2013-10-01,0.0,0.0,0.0,,,,,,,0.0,2526.0,2526.0
2013-11-01,20978.72,273167.0,273167.0,,,,,,,850.28,11072.0,11072.0
2013-12-01,54862.888,671604.0,671604.0,,,,,,,243.112,2976.0,2976.0
2014-01-01,54254.368,661025.0,661025.0,,,,,,,164.632,2006.0,2006.0
2014-02-01,45329.446,555050.0,555050.0,,,,,,,295.554,3619.0,3619.0
2014-03-01,9694.539,131118.0,131118.0,,,,,,,145.461,1967.0,1967.0
2014-04-01,0.0,0.0,0.0,,,,,,,0.0,1960.0,1960.0
2014-05-01,42413.437,536292.0,536292.0,,,,,,,289.563,3661.0,3661.0
2014-06-01,51810.058,663553.0,663553.0,,,,,,,119.942,1536.0,1536.0
2014-07-01,59558.854,746938.0,746938.0,,,,,,,37.146,466.0,466.0
2014-08-01,52502.55,679279.0,679279.0,,,,,,,165.45,2141.0,2141.0
2014-09-01,54964.906,691991.0,691991.0,,,,,,,47.094,593.0,593.0
2014-10-01,24118.897,311123.0,311123.0,,,,,,,290.103,3742.0,3742.0
2014-11-01,0.0,0.0,0.0,,,,,,,0.0,3808.0,3808.0
2014-12-01,20801.828,271249.0,271249.0,,,,,,,580.172,7565.0,7565.0
2015-01-01,45284.169,564118.0,564118.0,,,,,,,205.831,2564.0,2564.0
2015-02-01,11378.305,151312.0,151312.0,,,,,,,499.695,6645.0,6645.0
2015-03-01,54796.95,675705.0,675705.0,,,,,,,83.05,1024.0,1024.0
2015-04-01,55071.486,671565.0,671565.0,,,,,,,56.514,689.0,689.0
2015-05-01,19445.717,241709.0,241709.0,,,,,,,31.283,389.0,389.0
2015-06-01,35871.962,455776.0,455776.0,,,,,,,456.038,5794.0,5794.0
2015-07-01,57755.491,697216.0,697216.0,,,,,,,62.509,755.0,755.0
2015-08-01,54963.679,684739.0,684739.0,,,,,,,38.321,477.0,477.0
2015-09-01,28813.794,362054.0,362054.0,,,,,,,24.206,304.0,304.0
2015-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,,,,0.0,9267.0,9267.0
2015-12-01,50894.858,627187.0,627187.0,,,,,,,416.142,5128.0,5128.0
2016-01-01,56400.815,698120.0,698120.0,,,,,,,67.185,832.0,832.0
2016-02-01,32249.68,408308.0,408308.0,,,,,,,83.32,1055.0,1055.0
2016-03-01,0.0,0.0,0.0,,,,,,,0.0,1906.0,1906.0
2016-04-01,0.0,0.0,0.0,,,,,,,0.0,1332.0,1332.0
2016-05-01,0.0,0.0,0.0,,,,,,,0.0,296.0,296.0
2016-06-01,0.0,0.0,0.0,,,,,,,0.0,81.0,81.0
2016-07-01,30807.939,386412.0,386412.0,,,,,,,294.061,3688.0,3688.0
2016-08-01,56368.441,698102.0,698102.0,,,,,,,24.559,304.0,304.0
2016-09-01,46235.672,572510.0,572510.0,,,,,,,194.328,2406.0,2406.0
2016-10-01,0.0,0.0,0.0,,,,,,,0.0,166.0,166.0
2016-11-01,0.0,0.0,0.0,,,,,,,0.0,1267.0,1267.0
2016-12-01,0.0,0.0,0.0,,,,,,,0.0,4712.0,4712.0
2017-01-01,0.0,0.0,0.0,,,,,,,0.0,3461.0,3461.0
2017-02-01,0.0,0.0,0.0,,,,,,,0.0,2988.0,2988.0
2017-03-01,32480.941,398373.0,398373.0,,,,,,,376.059,4612.0,4612.0
2017-04-01,51574.434,629627.0,629627.0,,,,,,,165.566,2021.0,2021.0
2017-05-01,5511.0,71882.0,71882.0,,,,,,,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,,,,,,,0.0,39.0,39.0
2017-08-01,0.0,0.0,0.0,,,,,,,0.0,735.0,735.0
2017-09-01,0.0,0.0,0.0,,,,,,,0.0,112.0,112.0
2017-10-01,0.0,0.0,0.0,,,,,,,0.0,316.0,316.0
2017-11-01,0.0,0.0,0.0,,,,,,,0.0,1890.0,1890.0
2017-12-01,0.0,0.0,0.0,,,,,,,0.0,3477.0,3477.0
2018-01-01,0.0,0.0,0.0,,,,,,,0.0,3473.0,3473.0
2018-02-01,0.0,0.0,0.0,,,,,,,0.0,3292.0,3292.0
2018-03-01,0.0,0.0,0.0,,,,,,,0.0,2168.0,2168.0
2018-04-01,0.0,0.0,0.0,,,,,,,0.0,916.0,916.0
2018-05-01,0.0,0.0,0.0,,,,,,,0.0,27.0,27.0
2018-06-01,3530.502,61312.0,61312.0,,,,,,,256.498,4454.0,4454.0
2018-07-01,0.0,0.0,0.0,,,,,,,0.0,139.0,139.0
2018-08-01,47981.512,605832.0,605832.0,,,,,,,191.488,2418.0,2418.0
2018-09-01,9578.141,124089.0,124089.0,,,,,,,14.859,193.0,193.0
2018-10-01,0.0,0.0,0.0,,,,,,,0.0,146.0,146.0
2018-11-01,0.0,0.0,0.0,,,,,,,0.0,989.0,989.0
2018-12-01,0.0,0.0,0.0,,,,,,,0.0,3781.0,3781.0
2019-01-01,0.0,0.0,0.0,,,,,,,0.0,4077.0,4077.0
2019-02-01,0.0,0.0,0.0,,,,,,,0.0,2938.0,2938.0
2019-03-01,0.0,0.0,0.0,,,,,,,0.0,2784.0,2784.0
2019-04-01,0.0,0.0,0.0,,,,,,,0.0,1120.0,1120.0
2019-05-01,0.0,0.0,0.0,,,,,,,0.0,331.0,331.0
2019-06-01,0.0,0.0,0.0,,,,,,,0.0,85.0,85.0
2019-07-01,35119.244,391027.0,391027.0,,,,,,,224.756,2503.0,2503.0
2019-08-01,55349.547,610480.0,610480.0,,,,,,,17.453,193.0,193.0
2019-09-01,14321.871,167810.0,167810.0,,,,,,,14.129,166.0,166.0
2019-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
