measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2007-04-01,2.3720000000000003,6.0,6.0,9.329,92.0,92.0
2007-05-01,2.665,12.0,12.0,8.508000000000001,84.0,84.0
2007-06-01,7.5680000000000005,25.0,25.0,9.431000000000001,93.0,93.0
2007-07-01,4.7090000000000005,19.0,19.0,11.234,111.0,111.0
2007-08-01,3.6620000000000004,12.0,12.0,11.404,113.0,113.0
2007-09-01,2.596,6.0,6.0,10.424000000000001,103.0,103.0
2007-10-01,4.235,12.0,12.0,9.89,98.0,98.0
2007-11-01,2.519,6.0,6.0,9.999,99.0,99.0
2007-12-01,3.125,12.0,12.0,10.775,107.0,107.0
2008-01-01,6.192,87.0,87.0,0.0,0.0,0.0
2008-02-01,5.578,81.0,81.0,0.0,0.0,0.0
2008-03-01,6.7090000000000005,99.0,99.0,0.0,0.0,0.0
2008-04-01,4.172000000000001,62.0,62.0,0.0,0.0,0.0
2008-05-01,3.051,43.0,43.0,0.0,0.0,0.0
2008-06-01,10.593,155.0,155.0,0.0,0.0,0.0
2008-07-01,3.069,43.0,43.0,0.0,0.0,0.0
2008-08-01,2.978,43.0,43.0,0.0,0.0,0.0
2008-09-01,6.293,93.0,93.0,0.0,0.0,0.0
2008-10-01,3.0010000000000003,43.0,43.0,0.0,0.0,0.0
2008-11-01,1.919,25.0,25.0,0.0,0.0,0.0
2008-12-01,3.4450000000000003,50.0,50.0,0.0,0.0,0.0
2009-01-01,1.1340000000000001,19.0,19.0,0.0,0.0,0.0
2009-02-01,1.38,19.0,19.0,0.0,0.0,0.0
2009-03-01,1.545,25.0,25.0,0.0,0.0,0.0
2009-04-01,1.41,19.0,19.0,0.0,0.0,0.0
2009-05-01,3.773,56.0,56.0,0.0,0.0,0.0
2009-06-01,1.458,19.0,19.0,0.0,0.0,0.0
2009-07-01,1.919,31.0,31.0,0.0,0.0,0.0
2009-08-01,2.68,37.0,37.0,0.0,0.0,0.0
2009-09-01,1.2810000000000001,19.0,19.0,0.0,0.0,0.0
2009-10-01,2.334,37.0,37.0,0.0,0.0,0.0
2009-11-01,1.893,31.0,31.0,0.0,0.0,0.0
2009-12-01,2.193,31.0,31.0,0.0,0.0,0.0
2010-01-01,-18.671,62.0,62.0,,,
2010-02-01,-4.452,12.0,12.0,,,
2010-03-01,-5.938000000000001,19.0,19.0,,,
2010-04-01,-10.27,37.0,37.0,,,
2010-05-01,-19.945,68.0,68.0,,,
2010-06-01,-13.224,43.0,43.0,,,
2010-07-01,-8.412,31.0,31.0,,,
2010-08-01,-9.155000000000001,31.0,31.0,,,
2010-09-01,-7.824000000000001,25.0,25.0,,,
2010-10-01,-14.093,50.0,50.0,,,
2010-11-01,-14.816,50.0,50.0,,,
2010-12-01,-6.2,19.0,19.0,,,
2011-01-01,-3.484,12.0,12.0,,,
2011-02-01,-8.704,56.0,56.0,,,
2011-03-01,-3.972,25.0,25.0,,,
2011-04-01,-12.173,81.0,81.0,,,
2011-05-01,-10.482,68.0,68.0,,,
2011-06-01,-17.423,112.0,112.0,,,
2011-07-01,-8.421,56.0,56.0,,,
2011-08-01,-7.337,50.0,50.0,,,
2011-09-01,-5.472,37.0,37.0,,,
2011-10-01,-7.691,50.0,50.0,,,
2011-11-01,-11.961,74.0,74.0,,,
2011-12-01,-6.88,43.0,43.0,,,
2012-01-01,-5.902,6.0,6.0,,,
2012-02-01,-9.215,12.0,12.0,,,
2012-03-01,-4.582,6.0,6.0,,,
2012-04-01,-18.558,6.0,6.0,,,
2012-05-01,-18.248,19.0,19.0,,,
2012-06-01,-22.386,25.0,25.0,,,
2012-07-01,-10.03,12.0,12.0,,,
2012-08-01,-4.003,6.0,6.0,,,
2012-09-01,-5.759,6.0,6.0,,,
2012-10-01,-13.446,12.0,12.0,,,
2012-11-01,-10.62,12.0,12.0,,,
2012-12-01,-12.251,12.0,12.0,,,
2013-01-01,1.923,25.0,25.0,,,
2013-02-01,1.52,25.0,25.0,,,
2013-03-01,2.803,43.0,43.0,,,
2013-04-01,4.633,74.0,74.0,,,
2013-05-01,2.434,37.0,37.0,,,
2013-06-01,2.516,43.0,43.0,,,
2013-07-01,2.24,37.0,37.0,,,
2013-08-01,2.35,37.0,37.0,,,
2013-09-01,1.814,31.0,31.0,,,
2013-10-01,1.797,31.0,31.0,,,
2013-11-01,1.945,31.0,31.0,,,
2013-12-01,6.025,99.0,99.0,,,
2014-01-01,6.691,68.0,68.0,,,
2014-02-01,7.132,74.0,74.0,,,
2014-03-01,5.772,62.0,62.0,,,
2014-04-01,2.246,25.0,25.0,,,
2014-05-01,9.131,93.0,93.0,,,
2014-06-01,5.405,56.0,56.0,,,
2014-07-01,1.224,12.0,12.0,,,
2014-08-01,2.586,25.0,25.0,,,
2014-09-01,2.48,25.0,25.0,,,
2014-10-01,3.518,37.0,37.0,,,
2014-11-01,7.409,74.0,74.0,,,
2014-12-01,1.406,12.0,12.0,,,
2015-01-01,3.449,43.0,43.0,,,
2015-02-01,1.659,19.0,19.0,,,
2015-03-01,4.222,50.0,50.0,,,
2015-04-01,2.599,31.0,31.0,,,
2015-05-01,7.379,87.0,87.0,,,
2015-06-01,4.16,50.0,50.0,,,
2015-07-01,6.227,74.0,74.0,,,
2015-08-01,2.338,31.0,31.0,,,
2015-09-01,2.758,31.0,31.0,,,
2015-10-01,2.868,37.0,37.0,,,
2015-11-01,2.42,31.0,31.0,,,
2015-12-01,11.921,143.0,143.0,,,
2016-01-01,4.808,62.0,62.0,,,
2016-02-01,3.415,43.0,43.0,,,
2016-03-01,1.89,25.0,25.0,,,
2016-04-01,2.059,25.0,25.0,,,
2016-05-01,4.485,56.0,56.0,,,
2016-06-01,1.834,25.0,25.0,,,
2016-07-01,1.665,25.0,25.0,,,
2016-08-01,2.087,25.0,25.0,,,
2016-09-01,2.7,37.0,37.0,,,
2016-10-01,3.333,43.0,43.0,,,
2016-11-01,1.66,25.0,25.0,,,
2016-12-01,5.064,68.0,68.0,,,
2017-01-01,3.76,50.0,50.0,,,
2017-02-01,0.778,12.0,12.0,,,
2017-03-01,1.695,25.0,25.0,,,
2017-04-01,1.98,25.0,25.0,,,
2017-05-01,3.589,50.0,50.0,,,
2017-06-01,1.635,25.0,25.0,,,
2017-07-01,1.367,19.0,19.0,,,
2017-08-01,1.025,12.0,12.0,,,
2017-09-01,1.127,19.0,19.0,,,
2017-10-01,1.826,25.0,25.0,,,
2017-11-01,3.013,43.0,43.0,,,
2017-12-01,3.205,43.0,43.0,,,
2018-01-01,5.818,74.0,74.0,,,
2018-02-01,6.146,87.0,87.0,,,
2018-03-01,9.436,130.0,130.0,,,
2018-04-01,5.234,74.0,74.0,,,
2018-05-01,4.968,68.0,68.0,,,
2018-06-01,4.625,62.0,62.0,,,
2018-07-01,2.526,37.0,37.0,,,
2018-08-01,3.083,43.0,43.0,,,
2018-09-01,6.512,87.0,87.0,,,
2018-10-01,4.159,56.0,56.0,,,
2018-11-01,3.892,56.0,56.0,,,
2018-12-01,3.601,50.0,50.0,,,
2019-01-01,3.44,37.0,37.0,,,
2019-02-01,3.204,50.0,50.0,,,
2019-03-01,4.63,68.0,68.0,,,
2019-04-01,2.694,37.0,37.0,,,
2019-05-01,4.747,68.0,68.0,,,
2019-06-01,4.065,62.0,62.0,,,
2019-07-01,2.427,37.0,37.0,,,
2019-08-01,3.199,50.0,50.0,,,
2019-09-01,3.673,56.0,56.0,,,
2019-10-01,3.888,56.0,56.0,,,
2019-11-01,3.402,50.0,50.0,,,
2019-12-01,3.631,56.0,56.0,,,
2020-01-01,65.538,1135.0,1135.0,,,
2020-02-01,68.138,1190.0,1190.0,,,
2020-03-01,58.218,1017.0,1017.0,,,
2020-04-01,66.023,1153.0,1153.0,,,
2020-05-01,76.091,1327.0,1327.0,,,
2020-06-01,91.727,1600.0,1600.0,,,
2020-07-01,46.801,818.0,818.0,,,
2020-08-01,75.866,1327.0,1327.0,,,
2020-09-01,58.106,1017.0,1017.0,,,
2020-10-01,72.496,1265.0,1265.0,,,
2020-11-01,97.372,1699.0,1699.0,,,
2020-12-01,77.624,1358.0,1358.0,,,
2021-01-01,20.504,366.0,366.0,,,
2021-02-01,33.938,614.0,614.0,,,
2021-03-01,26.243,471.0,471.0,,,
2021-04-01,20.476,372.0,372.0,,,
2021-05-01,20.129,366.0,366.0,,,
2021-06-01,23.218,422.0,422.0,,,
2021-07-01,8.331,149.0,149.0,,,
2021-08-01,12.958,236.0,236.0,,,
2021-09-01,18.0,322.0,322.0,,,
2021-10-01,22.66,409.0,409.0,,,
2021-11-01,21.812,397.0,397.0,,,
2021-12-01,32.731,589.0,589.0,,,
2022-01-01,3.534,62.0,62.0,,,
2022-02-01,1.433,25.0,25.0,,,
2022-03-01,0.863,12.0,12.0,,,
2022-04-01,1.095,19.0,19.0,,,
2022-05-01,3.098,56.0,56.0,,,
2022-06-01,2.814,50.0,50.0,,,
2022-07-01,2.484,43.0,43.0,,,
2022-08-01,1.77,31.0,31.0,,,
2022-09-01,0.877,12.0,12.0,,,
2022-10-01,2.029,37.0,37.0,,,
2022-11-01,1.453,25.0,25.0,,,
2022-12-01,1.55,25.0,25.0,,,
2023-01-01,1.323,19.0,19.0,,,
2023-02-01,1.313,19.0,19.0,,,
2023-03-01,1.228,19.0,19.0,,,
2023-04-01,0.989,12.0,12.0,,,
2023-05-01,0.933,12.0,12.0,,,
2023-06-01,0.757,12.0,12.0,,,
2023-07-01,0.774,12.0,12.0,,,
2023-08-01,0.624,6.0,6.0,,,
2023-09-01,1.053,12.0,12.0,,,
2023-10-01,0.796,12.0,12.0,,,
2023-11-01,0.971,12.0,12.0,,,
2023-12-01,1.239,19.0,19.0,,,
2024-01-01,6.73,87.0,87.0,,,
2024-02-01,4.317,62.0,62.0,,,
2024-03-01,3.426,50.0,50.0,,,
2024-04-01,2.752,37.0,37.0,,,
2024-05-01,3.349,43.0,43.0,,,
2024-06-01,2.309,31.0,31.0,,,
2024-07-01,2.273,31.0,31.0,,,
2024-08-01,2.757,37.0,37.0,,,
2024-09-01,2.067,31.0,31.0,,,
2024-10-01,3.126,43.0,43.0,,,
2024-11-01,3.043,43.0,43.0,,,
2024-12-01,2.851,37.0,37.0,,,
