measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Jet Fuel-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7296.0,98986.0,98986.0,46960.0,523114.0,523114.0,,,,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3078.0,44918.0,44918.0,148881.0,1556344.0,1556344.0,,,,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1457.0,23683.0,23683.0,127617.0,1291155.0,1291155.0,,,,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1878.0,29209.0,29209.0,137874.0,1403530.0,1403530.0,,,,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3746.0,57720.0,57720.0,206276.0,2164616.0,2164616.0,,,,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1624.0,27680.0,27680.0,187192.0,1978917.0,1978917.0,,,,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3408.0,52041.0,52041.0,143027.0,1568807.0,1568807.0,,,,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2831.0,43349.0,43349.0,132939.0,1420353.0,1420353.0,,,,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4431.0,70625.0,70625.0,97205.0,1032514.0,1032514.0,,,,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1299.0,18352.0,18352.0,33269.0,343885.0,343885.0,,,,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7876.0,108099.58,108099.58,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4523.0,64984.76,64984.76,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3420.0,50095.34,50095.34,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3251.0,47372.07,47372.07,5550.0,83446.3,83446.3,,,,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9563.0,132565.53,132565.53,58949.0,657361.44,657361.44,,,,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6238.0,87481.85,87481.85,158166.0,1706100.07,1706100.07,,,,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3237.0,46769.51,46769.51,212688.0,2274611.86,2274611.86,,,,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3259.0,46864.92,46864.92,222791.0,2390796.06,2390796.06,,,,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2909.0,42319.97,42319.97,165809.0,1772087.74,1772087.74,,,,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2518.0,37500.41,37500.41,79583.0,868272.44,868272.44,,,,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2255.0,33070.44,33070.44,6158.0,92418.7,92418.7,,,,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,10.0,102.06,102.06,0.0,0.0,0.0,,,,2288.0,32214.63,32214.63,27014.0,283470.36,283470.36,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1559.0,23049.0,23049.0,12859.0,147376.0,147376.0,,,,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1947.0,27776.0,27776.0,-804.0,0.0,0.0,,,,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4736.0,67791.0,67791.0,4489.0,80477.0,80477.0,,,,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4811.0,66836.0,66836.0,170762.0,1799225.0,1799225.0,,,,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6932.0,94206.0,94206.0,139714.0,1538993.0,1538993.0,,,,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11554.0,156380.0,156380.0,207075.0,2256124.0,2256124.0,,,,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,10055.0,139213.0,139213.0,225278.0,2426343.0,2426343.0,,,,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17314.0,240285.0,240285.0,287124.0,3039256.0,3039256.0,,,,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5423.0,75922.0,75922.0,123635.0,1381119.0,1381119.0,,,,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6684.0,93750.0,93750.0,110251.0,1223185.0,1223185.0,,,,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5727.0,77542.0,77542.0,31132.0,345339.0,345339.0,,,,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4752.0,64376.0,64376.0,10293.0,121068.0,121068.0,,,,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,25165.48,260622.0,260622.0,0.0,0.0,0.0,,,,5632.0,75776.0,75776.0,131969.52,1366721.0,1366721.0,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4462.0,61045.0,61045.0,199.0,1324.0,1324.0,,,,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8652.0,118707.0,118707.0,16263.0,185873.0,185873.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,7071.0,101347.0,101347.0,70405.0,721168.0,721168.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9691.0,127891.0,127891.0,72645.0,808633.0,808633.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,9449.0,130893.0,130893.0,100383.0,1126087.0,1126087.0,,,,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6973.0,99895.0,99895.0,132554.0,1473434.0,1473434.0,,,,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,6703.0,94739.0,94739.0,223338.0,2419228.0,2419228.0,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5658.0,75719.0,75719.0,126129.0,1412224.0,1412224.0,,,,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,141.689,1591.0,1591.0,0.0,0.0,0.0,,,,3256.0,46679.0,46679.0,129857.311,1457936.0,1457936.0,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,8055.0,105473.0,105473.0,31982.0,384607.0,384607.0,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11684.0,157710.0,157710.0,4452.0,73322.0,73322.0,,,,0.0,0.0,0.0
2008-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3658.0,53856.0,53856.0,19830.0,242803.0,242803.0,,,,0.0,0.0,0.0
2008-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2407.0,35562.0,35562.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,7411.0,99437.0,99437.0,48689.0,538236.0,538236.0,,,,0.0,0.0,0.0
2008-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4186.0,58515.0,58515.0,117964.0,1275078.0,1275078.0,,,,0.0,0.0,0.0
2008-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,10246.0,139754.0,139754.0,167108.0,1396394.0,1396394.0,,,,0.0,0.0,0.0
2008-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,18632.0,252387.0,252387.0,281297.0,2957609.0,2957609.0,,,,0.0,0.0,0.0
2008-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7554.0,106739.0,106739.0,265586.0,2849885.0,2849885.0,,,,0.0,0.0,0.0
2008-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7999.0,113387.0,113387.0,270554.0,2884433.0,2884433.0,,,,0.0,0.0,0.0
2008-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3292.0,47580.0,47580.0,160911.0,1724024.0,1724024.0,,,,0.0,0.0,0.0
2008-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3445.0,48691.0,48691.0,195822.0,2042236.0,2042236.0,,,,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,9233.0,127834.0,127834.0,85436.0,891386.0,891386.0,,,,0.0,0.0,0.0
2008-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6477.0,89301.0,89301.0,38482.0,430151.0,430151.0,,,,0.0,0.0,0.0
2009-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6153.0,83094.0,83094.0,70540.0,795382.0,795382.0,,,,,,
2009-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1186.0,16811.0,16811.0,76237.0,849433.0,849433.0,,,,,,
2009-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1488.0,21193.0,21193.0,74443.0,830741.0,830741.0,,,,,,
2009-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2327.0,32997.0,32997.0,81248.0,900575.0,900575.0,,,,,,
2009-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,8351.0,112752.0,112752.0,160447.0,1710766.0,1710766.0,,,,,,
2009-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7485.0,103177.0,103177.0,247913.0,2592330.0,2592330.0,,,,,,
2009-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6713.0,93980.0,93980.0,238666.0,2557910.0,2557910.0,,,,,,
2009-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6009.0,84632.0,84632.0,254599.0,2730793.0,2730793.0,,,,,,
2009-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2979.0,41801.0,41801.0,127056.0,1406483.0,1406483.0,,,,,,
2009-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3848.0,51966.0,51966.0,36481.0,396801.0,396801.0,,,,,,
2009-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,865.0,13256.0,13256.0,31523.0,347718.0,347718.0,,,,,,
2009-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6288.0,86532.0,86532.0,28502.0,326437.0,326437.0,,,,,,
2010-01-01,,,,14326.847,156893.0,156893.0,,,,0.0,0.0,0.0,7292.0,101397.0,101397.0,93266.153,1021358.0,1021358.0,,,,,,
2010-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3528.0,46837.0,46837.0,70348.0,732953.0,732953.0,,,,,,
2010-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2342.0,32231.0,32231.0,43379.0,519131.0,519131.0,,,,,,
2010-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,445.0,7373.0,7373.0,60127.0,732942.0,732942.0,,,,,,
2010-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1915.0,28080.0,28080.0,89354.0,1028633.0,1028633.0,,,,,,
2010-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2850.0,41641.0,41641.0,132656.0,1466656.0,1466656.0,,,,,,
2010-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2119.0,31000.0,31000.0,156693.0,1728611.0,1728611.0,,,,,,
2010-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,9668.0,135110.0,135110.0,266788.0,2879519.0,2879519.0,,,,,,
2010-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1215.0,18869.0,18869.0,130348.0,1448463.0,1448463.0,,,,,,
2010-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2953.0,43369.0,43369.0,33482.0,377187.0,377187.0,,,,,,
2010-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,961.0,14826.0,14826.0,40224.0,459858.0,459858.0,,,,,,
2010-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2969.0,40202.0,40202.0,19232.0,224318.0,224318.0,,,,,,
2011-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,673.0,11247.0,11247.0,4300.0,64861.0,64861.0,,,,,,
2011-02-01,,,,11638.008,137293.0,137293.0,,,,0.0,0.0,0.0,13982.0,184533.0,184533.0,36966.992,436099.0,436099.0,,,,,,
2011-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1558.0,23495.0,23495.0,25333.0,323516.0,323516.0,,,,,,
2011-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1681.0,24427.0,24427.0,62736.0,742886.0,742886.0,,,,,,
2011-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2241.0,33662.0,33662.0,90643.0,1045176.0,1045176.0,,,,,,
2011-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4699.0,67715.0,67715.0,166833.0,1913935.0,1913935.0,,,,,,
2011-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,8612.0,124137.0,124137.0,242545.0,2666891.0,2666891.0,,,,,,
2011-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,19565.0,279818.0,279818.0,282583.0,3073996.0,3073996.0,,,,,,
2011-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3877.0,56359.0,56359.0,148030.0,1678841.0,1678841.0,,,,,,
2011-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1829.0,27274.0,27274.0,26166.0,312172.0,312172.0,,,,,,
2011-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,200.0,3970.0,3970.0,24769.0,287681.0,287681.0,,,,,,
2011-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,18.0,1834.0,1834.0,24151.0,290109.0,290109.0,,,,,,
2012-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-70.0,0.0,0.0,7304.0,100767.0,100767.0,,,,,,
2012-02-01,,,,-6.474,0.0,0.0,,,,0.0,0.0,0.0,-66.0,0.0,0.0,-622.526,0.0,0.0,,,,,,
2012-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3761.0,49366.0,49366.0,46466.0,528889.0,528889.0,,,,,,
2012-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4203.0,57264.0,57264.0,183811.0,2042181.0,2042181.0,,,,,,
2012-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3162.0,44320.0,44320.0,115959.0,1326272.0,1326272.0,,,,,,
2012-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3936.0,53964.0,53964.0,125591.0,1450788.0,1450788.0,,,,,,
2012-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1959.0,28186.0,28186.0,155992.0,1753554.0,1753554.0,,,,,,
2012-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4452.0,62717.0,62717.0,203647.0,2282905.0,2282905.0,,,,,,
2012-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1573.0,22312.0,22312.0,92390.0,1027439.0,1027439.0,,,,,,
2012-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1341.0,19205.0,19205.0,55964.0,691970.0,691970.0,,,,,,
2012-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-38.0,9661.0,9661.0,31126.0,348097.0,348097.0,,,,,,
2012-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,145.0,2974.0,2974.0,3866.0,61205.0,61205.0,,,,,,
2013-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,94.0,2395.0,2395.0,-680.0,0.0,0.0,,,,,,
2013-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,310.0,5083.0,5083.0,-554.0,0.0,0.0,,,,,,
2013-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,608.0,8718.0,8718.0,23828.0,265920.0,265920.0,,,,,,
2013-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1344.0,19672.0,19672.0,3236.0,58347.0,58347.0,,,,,,
2013-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1131.0,16593.0,16593.0,18747.0,247809.0,247809.0,,,,,,
2013-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7563.0,104420.0,104420.0,124851.0,1405236.0,1405236.0,,,,,,
2013-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,7957.0,112282.0,112282.0,89849.0,1027369.0,1027369.0,,,,,,
2013-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6980.0,99416.0,99416.0,123336.0,1368145.0,1368145.0,,,,,,
2013-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2976.0,42961.0,42961.0,81091.0,917047.0,917047.0,,,,,,
2013-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1306.0,17388.0,17388.0,33599.0,389631.0,389631.0,,,,,,
2013-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2272.0,32643.0,32643.0,10073.0,136092.0,136092.0,,,,,,
2013-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,992.0,14480.0,14480.0,23954.0,301994.0,301994.0,,,,,,
2014-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4557.0,60428.0,60428.0,13323.0,160205.0,160205.0,,,,,,
2014-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2685.0,35226.0,35226.0,17057.0,191765.0,191765.0,,,,,,
2014-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3742.0,48985.0,48985.0,13179.0,151028.0,151028.0,,,,,,
2014-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,906.0,12367.0,12367.0,60837.0,722785.0,722785.0,,,,,,
2014-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2068.0,29971.0,29971.0,14676.0,202001.0,202001.0,,,,,,
2014-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1242.0,18796.0,18796.0,14979.0,201534.0,201534.0,,,,,,
2014-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1987.0,29308.0,29308.0,41264.0,480802.0,480802.0,,,,,,
2014-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6332.0,93184.0,93184.0,96370.0,1119089.0,1119089.0,,,,,,
2014-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2829.0,42485.0,42485.0,11256.0,125013.0,125013.0,,,,,,
2014-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4997.0,73630.0,73630.0,30496.0,340724.0,340724.0,,,,,,
2014-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1103.0,15470.0,15470.0,21545.0,260114.0,260114.0,,,,,,
2014-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,47.0,923.0,923.0,390.0,9870.0,9870.0,,,,,,
2015-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,314.0,4498.0,4498.0,0.0,0.0,0.0,,,,,,
2015-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,4210.0,76569.0,76569.0,0.0,0.0,0.0,,,,,,
2015-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6558.0,82325.0,82325.0,10902.0,122334.0,122334.0,,,,,,
