measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2005-08-01,,,,,,,5232.98397,88876.79,469312.88,1580.29603,26839.68,141726.65
2005-09-01,,,,,,,3867.72304,65689.25,435605.13,2370.34696,40257.88,266962.06
2005-10-01,,,,,,,193.04395,3278.65,58517.04,7516.51605,127660.2,2278466.92
2005-11-01,,,,,,,1584.89505,26917.79,145571.76,5818.14495,98815.14,534393.5
2005-12-01,,,,,,,1170.40285,19878.07,114814.67,5962.97715,101274.96,584958.63
2006-01-01,,,,,,,2305.98408,39164.74,181559.52,6120.40592,103948.72,481884.48
2006-02-01,,,,,,,2316.01913,39335.17,215375.19,4117.99087,69939.79,382947.22
2006-03-01,,,,,,,4009.9664000000002,68105.1,396569.78,3298.9836,56029.8,326256.4
2006-04-01,,,,,,,5026.43757,85368.81,521469.22,2255.35243,38304.81,233982.19
2006-05-01,,,,,,,7048.73346,119715.4,650874.06,1253.49654,21289.33,115746.81
2006-06-01,,,,,,,8792.35889,149329.06,713178.0,811.61111,13784.37,65832.53
2006-07-01,,,,,,,7555.65781,128324.98,661555.57,664.12219,11279.42,58148.97
2006-08-01,,,,,,,7793.35749,132362.06,761326.57,502.08251,8527.35,49048.02
2006-09-01,,,,,,,6576.8123000000005,111700.31,627424.18,1580.8877,26849.73,150815.79
2006-10-01,,,,,,,6158.38051,104593.68,687810.83,1650.11949,28025.56,184296.84
2006-11-01,,,,,,,5314.77153,90265.86,563685.84,1270.55847,21579.11,134755.71
2006-12-01,,,,,,,6582.84077,111802.7,653580.58,1251.84923,21261.36,124290.47
2007-01-01,,,,,,,6709.058,113946.0,695443.0,1302.172,22117.0,134980.0
2007-02-01,,,,,,,2661.464,45202.0,361865.0,3596.976,61088.0,489062.0
2007-03-01,,,,,,,844.366,14341.0,144391.0,3098.684,52628.0,529889.0
2007-04-01,,,,,,,2398.248,40732.0,341382.0,4659.472000000001,79135.0,663260.0
2007-05-01,,,,,,,6084.209000000001,103334.0,552491.0,2101.621,35693.0,190843.0
2007-06-01,,,,,,,7868.786,133643.0,547497.0,289.884,4924.0,20170.0
2007-07-01,,,,,,,7821.645,132843.0,484681.0,936.485,15906.0,58031.0
2007-08-01,,,,,,,9210.588,156433.0,583412.0,415.692,7060.0,26330.0
2007-09-01,,,,,,,7319.771000000001,124319.0,471295.0,1730.3290000000002,29390.0,111410.0
2007-10-01,,,,,,,8264.273000000001,140360.0,513278.0,228.077,3872.0,14165.0
2007-11-01,,,,,,,8232.586000000001,139822.0,566187.0,283.04400000000004,4805.0,19466.0
2007-12-01,,,,,,,8534.163,144944.0,681331.0,528.547,8977.0,42197.0
2009-01-01,,,,,,,6208.087,102275.0,488043.0,1435.913,23656.0,112883.0
2009-02-01,,,,,,,5769.813,95054.0,514567.0,343.187,5654.0,30606.0
2009-03-01,,,,,,,6431.916,105962.0,553384.0,101.084,1665.0,8697.0
2009-04-01,,,,,,,5769.7390000000005,95053.0,482039.0,66.26100000000001,1092.0,5536.0
2009-05-01,,,,,,,6142.803,101199.0,571689.0,44.197,728.0,4113.0
2009-06-01,,,,,,,5931.6990000000005,97721.0,781192.0,133.30100000000002,2196.0,17555.0
2009-07-01,,,,,,,5744.177000000001,94632.0,634395.0,27.823,458.0,3073.0
2009-08-01,,,,,,,4939.969,81383.0,766485.0,284.031,4679.0,44070.0
2009-09-01,,,,,,,6107.369000000001,100615.0,583180.0,547.631,9022.0,52292.0
2009-10-01,,,,,,,7522.518,123929.0,561590.0,3.482,57.0,260.0
2009-11-01,,,,,,,8224.611,135496.0,580264.0,8.389000000000001,138.0,592.0
2009-12-01,,,,,,,8164.496,134506.0,526447.0,2.504,41.0,161.0
2010-01-01,,,,,,,7451.285000000001,122756.0,639087.0,62.715,1033.0,5379.0
2010-02-01,,,,,,,6473.0,106639.0,596103.0,0.0,0.0,0.0
2010-03-01,,,,,,,5992.4980000000005,98723.0,722712.0,19.502000000000002,321.0,2352.0
2010-04-01,,,,,,,5903.0,97249.0,717379.0,0.0,0.0,0.0
2010-05-01,,,,,,,5044.0,83097.0,802276.0,0.0,0.0,0.0
2010-06-01,,,,,,,4847.0,79852.0,741016.0,0.0,0.0,0.0
2010-07-01,,,,,,,5541.0,91285.0,733865.0,0.0,0.0,0.0
2010-08-01,,,,,,,4628.0,76244.0,703639.0,0.0,0.0,0.0
2010-09-01,,,,,,,4785.0,78830.0,681549.0,0.0,0.0,0.0
2010-10-01,,,,,,,6191.0,101993.0,643946.0,0.0,0.0,0.0
2010-11-01,,,,,,,4793.0,78962.0,520069.0,0.0,0.0,0.0
2010-12-01,,,,,,,6426.0,105865.0,732487.0,0.0,0.0,0.0
2011-01-01,,,,,,,6984.97,118632.0,862211.0,0.0,0.0,0.0
2011-02-01,,,,,,,5805.45,98600.0,823020.0,0.0,0.0,0.0
2011-03-01,,,,,,,3879.03,65881.0,938007.0,0.0,0.0,0.0
2011-04-01,,,,,,,3825.68,64975.0,813392.0,0.0,0.0,0.0
2011-05-01,,,,,,,5637.64,95749.0,642558.0,0.0,0.0,0.0
2011-06-01,,,,,,,4213.68,71565.0,622907.0,0.0,0.0,0.0
2011-07-01,,,,,,,4940.21,83904.0,573783.0,0.0,0.0,0.0
2011-08-01,,,,,,,5723.97,97216.0,625473.0,0.0,0.0,0.0
2011-09-01,,,,,,,5637.64,95749.0,580642.0,0.0,0.0,0.0
2011-10-01,,,,,,,6318.58,107315.0,573066.0,0.0,0.0,0.0
2011-11-01,,,,,,,6589.21,111911.0,589721.0,0.0,0.0,0.0
2011-12-01,,,,,,,7126.59,121038.0,561291.0,0.0,0.0,0.0
2012-01-01,,,,,,,8540.85,145057.0,730370.0,0.0,0.0,0.0
2012-02-01,,,,,,,7209.04,122438.0,655689.0,0.0,0.0,0.0
2012-03-01,,,,,,,8001.53,135898.0,714972.0,0.0,0.0,0.0
2012-04-01,,,,,,,6957.81,118171.0,690941.0,0.0,0.0,0.0
2012-05-01,,,,,,,6004.3,101977.0,633735.0,0.0,0.0,0.0
2012-06-01,,,,,,,5510.57,93591.0,535476.0,0.0,0.0,0.0
2012-07-01,,,,,,,5781.2,98188.0,583799.0,0.0,0.0,0.0
2012-08-01,,,,,,,4246.66,72125.0,629891.0,0.0,0.0,0.0
2012-09-01,,,,,,,5531.91,93954.0,531206.0,0.0,0.0,0.0
2012-10-01,,,,,,,6155.62,104547.0,722140.0,0.0,0.0,0.0
2012-11-01,,,,,,,6872.45,116721.0,604025.0,0.0,0.0,0.0
2012-12-01,,,,,,,6834.62,116079.0,632540.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,6007.637,103064.0,573024.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6520.437,111861.0,645924.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4477.879,76820.0,740786.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,5740.673,98484.0,608614.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6064.294,104036.0,652255.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5223.072,89604.0,628078.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5266.286,90346.0,719101.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5224.993,89637.0,705722.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4535.497,77809.0,728012.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4309.827,73937.0,635714.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5014.686,86030.0,736811.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5573.582,95618.0,894131.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,6259.235,107380.0,893328.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,6306.29,108188.0,761904.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,6161.285,105700.0,939955.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6702.894,114992.0,863036.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6235.228,106969.0,899536.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5479.472,94003.0,790905.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4825.508,82784.0,809375.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4997.402,85733.0,664530.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4474.999,76771.0,708058.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5502.52,94399.0,861198.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,6105.588,104744.0,1012638.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,6015.319,103196.0,1039302.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5819.418,99835.0,915255.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4567.187,78352.0,789856.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,6782.599,116359.0,719963.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,7692.963,131977.0,677466.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6906.478,118484.0,866001.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6726.901,115403.0,632705.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,6745.148,115716.0,611767.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4112.965,70560.0,659875.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3496.452,59983.0,555931.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4370.325,74975.0,655148.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4716.033,80906.0,565409.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5291.253,90774.0,564790.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5214.429,61757.0,706117.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4467.316,52909.0,660755.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4581.591,54262.0,689933.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4741.961,56162.0,641482.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5328.705,63111.0,672076.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4264.692,50509.0,581959.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4061.109,48098.0,610656.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4713.152,55820.0,613588.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,5174.096,61280.0,546274.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5503.479,65181.0,529811.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5564.939,65908.0,611640.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5836.703,69127.0,782153.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,5303.737,62815.0,876264.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3497.413,41422.0,683178.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5075.186,60108.0,752807.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4585.433,54308.0,677039.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4430.824,52477.0,652805.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3992.927,47290.0,633445.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,3615.53,42821.0,816284.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3511.817,41592.0,735351.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2665.793,31572.0,671316.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2936.597,34780.0,708606.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,2769.505,32801.0,704025.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3847.922,45573.0,809164.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4183.0,47575.0,928123.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3860.0,43901.0,749195.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5536.0,62963.0,936975.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6094.0,69309.0,769613.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,6753.0,76804.0,773891.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6369.0,72437.0,701148.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5986.0,68081.0,715832.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5396.0,61371.0,824590.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4776.0,54319.0,861911.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5572.0,63372.0,780838.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5178.0,58891.0,771620.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,6426.0,73085.0,961765.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
