measured_on,"Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed","Sludge Waste - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Sludge Waste - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2009-12-01,1535.8310000000001,21135.0,21135.0,0.0,0.0,0.0
2010-01-01,1546.601,20973.0,21470.0,0.0,0.0,0.0
2010-02-01,1364.97,18510.0,18948.0,0.0,0.0,0.0
2010-03-01,1484.1000000000001,20126.0,20602.0,0.0,0.0,0.0
2010-04-01,1361.323,18461.0,18897.0,0.0,0.0,0.0
2010-05-01,1253.679,17001.0,17403.0,0.0,0.0,0.0
2010-06-01,1187.2920000000001,16101.0,16481.0,0.0,0.0,0.0
2010-07-01,1320.582,17908.0,18332.0,0.0,0.0,0.0
2010-08-01,1242.17,16845.0,17243.0,0.0,0.0,0.0
2010-09-01,1149.555,15589.0,15958.0,0.0,0.0,0.0
2010-10-01,1372.6970000000001,18615.0,19055.0,0.0,0.0,0.0
2010-11-01,1413.99,19175.0,19629.0,0.0,0.0,0.0
2010-12-01,1543.0410000000002,20925.0,21420.0,0.0,0.0,0.0
2011-01-01,1451.789,19688.0,21764.0,0.0,0.0,0.0
2011-02-01,1289.083,17481.0,19326.0,0.0,0.0,0.0
2011-03-01,1414.614,19183.0,21208.0,0.0,0.0,0.0
2011-04-01,1237.948,16788.0,18559.0,0.0,0.0,0.0
2011-05-01,1190.382,16143.0,17846.0,0.0,0.0,0.0
2011-06-01,1192.522,16172.0,17878.0,0.0,0.0,0.0
2011-07-01,1313.407,17811.0,19690.0,0.0,0.0,0.0
2011-08-01,1267.642,17190.0,19004.0,0.0,0.0,0.0
2011-09-01,1167.818,15837.0,17508.0,0.0,0.0,0.0
2011-10-01,1320.225,17903.0,19793.0,0.0,0.0,0.0
2011-11-01,1485.975,20151.0,22278.0,0.0,0.0,0.0
2011-12-01,1563.595,21204.0,23441.0,0.0,0.0,0.0
2012-01-01,1190.528,16145.0,17748.0,0.0,0.0,0.0
2012-02-01,1163.117,15773.0,17339.0,0.0,0.0,0.0
2012-03-01,1249.388,16943.0,18625.0,0.0,0.0,0.0
2012-04-01,1198.52,16253.0,17867.0,0.0,0.0,0.0
2012-05-01,1126.694,15279.0,16796.0,0.0,0.0,0.0
2012-06-01,1023.305,13877.0,15255.0,0.0,0.0,0.0
2012-07-01,1119.113,15176.0,16683.0,0.0,0.0,0.0
2012-08-01,1051.947,14265.0,15682.0,0.0,0.0,0.0
2012-09-01,946.736,12839.0,14113.0,0.0,0.0,0.0
2012-10-01,1150.793,15606.0,17156.0,0.0,0.0,0.0
2012-11-01,1254.65,17014.0,18703.0,0.0,0.0,0.0
2012-12-01,1364.209,18500.0,20337.0,0.0,0.0,0.0
2013-01-01,1356.659,18397.0,20507.0,,,
2013-02-01,1185.63,16078.0,17923.0,,,
2013-03-01,1309.563,17759.0,19796.0,,,
2013-04-01,1154.768,15660.0,17456.0,,,
2013-05-01,1130.763,15334.0,17093.0,,,
2013-06-01,1073.123,14552.0,16222.0,,,
2013-07-01,1126.532,15277.0,17029.0,,,
2013-08-01,1017.385,13797.0,15379.0,,,
2013-09-01,995.797,13504.0,15053.0,,,
2013-10-01,1135.825,15403.0,17170.0,,,
2013-11-01,1311.547,17786.0,19826.0,,,
2013-12-01,1429.408,19384.0,21608.0,,,
2014-01-01,1585.821,21505.0,24417.0,,,
2014-02-01,1295.59,17569.0,19949.0,,,
2014-03-01,1540.267,20887.0,23717.0,,,
2014-04-01,1319.313,17891.0,20315.0,,,
2014-05-01,1269.009,17209.0,19540.0,,,
2014-06-01,1203.982,16327.0,18539.0,,,
2014-07-01,1119.312,15179.0,17235.0,,,
2014-08-01,1138.488,15439.0,17530.0,,,
2014-09-01,1024.971,13899.0,15782.0,,,
2014-10-01,1277.218,17320.0,19667.0,,,
2014-11-01,1271.1,17237.0,19572.0,,,
2014-12-01,1259.929,17086.0,19400.0,,,
2015-01-01,1199.376,16265.0,18016.0,,,
2015-02-01,1060.732,14384.0,15933.0,,,
2015-03-01,1167.011,15826.0,17530.0,,,
2015-04-01,1106.031,14999.0,16614.0,,,
2015-05-01,1063.513,14422.0,15975.0,,,
2015-06-01,973.712,13204.0,14627.0,,,
2015-07-01,1274.691,17286.0,19147.0,,,
2015-08-01,1176.226,15951.0,17668.0,,,
2015-09-01,1126.09,15271.0,16915.0,,,
2015-10-01,1325.023,17968.0,19903.0,,,
2015-11-01,1293.862,17546.0,19436.0,,,
2015-12-01,1380.733,18724.0,20740.0,,,
2016-01-01,1289.952,8464.0,18998.0,,,
2016-02-01,1255.854,8240.0,18496.0,,,
2016-03-01,1267.604,8317.0,18669.0,,,
2016-04-01,1306.146,8570.0,19237.0,,,
2016-05-01,1269.755,8332.0,18701.0,,,
2016-06-01,1160.53,7615.0,17092.0,,,
2016-07-01,1215.058,7973.0,17895.0,,,
2016-08-01,1180.213,7744.0,17382.0,,,
2016-09-01,1099.482,7214.0,16193.0,,,
2016-10-01,1060.542,6959.0,15619.0,,,
2016-11-01,1177.985,7729.0,17349.0,,,
2016-12-01,1395.879,9159.0,20558.0,,,
2017-01-01,842.534,5528.0,11609.0,,,
2017-02-01,821.734,5392.0,11321.0,,,
2017-03-01,826.345,5422.0,11385.0,,,
2017-04-01,710.458,4662.0,9788.0,,,
2017-05-01,715.973,4698.0,9864.0,,,
2017-06-01,678.788,4454.0,9352.0,,,
2017-07-01,698.142,4581.0,9619.0,,,
2017-08-01,686.09,4502.0,9453.0,,,
2017-09-01,580.55,3809.0,7998.0,,,
2017-10-01,721.329,4733.0,9938.0,,,
2017-11-01,791.512,5194.0,10905.0,,,
2017-12-01,806.545,5292.0,11112.0,,,
2018-01-01,787.978,5170.0,11730.0,,,
2018-02-01,714.881,4691.0,10642.0,,,
2018-03-01,756.863,4966.0,11267.0,,,
2018-04-01,725.379,4760.0,10799.0,,,
2018-05-01,615.469,4038.0,9162.0,,,
2018-06-01,677.516,4446.0,10086.0,,,
2018-07-01,689.877,4527.0,10270.0,,,
2018-08-01,662.261,4345.0,9859.0,,,
2018-09-01,576.654,3784.0,8585.0,,,
2018-10-01,703.013,4613.0,10466.0,,,
2018-11-01,763.979,5013.0,11373.0,,,
2018-12-01,769.13,5047.0,11450.0,,,
2019-01-01,421.146,251.0,251.0,,,
2019-02-01,366.883,218.0,218.0,,,
2019-03-01,389.898,232.0,232.0,,,
2019-04-01,355.493,211.0,211.0,,,
2019-05-01,386.907,230.0,230.0,,,
2019-06-01,355.531,211.0,211.0,,,
2019-07-01,364.539,216.0,216.0,,,
2019-08-01,348.35,207.0,207.0,,,
2019-09-01,346.562,206.0,206.0,,,
2019-10-01,363.688,216.0,216.0,,,
2019-11-01,355.29,211.0,211.0,,,
2019-12-01,396.713,235.0,235.0,,,
2020-01-01,0.0,0.0,0.0,,,
2020-02-01,0.0,0.0,0.0,,,
2020-03-01,0.0,0.0,0.0,,,
2020-04-01,0.0,0.0,0.0,,,
2020-05-01,0.0,0.0,0.0,,,
2020-06-01,0.0,0.0,0.0,,,
2020-07-01,0.0,0.0,0.0,,,
2020-08-01,0.0,0.0,0.0,,,
2020-09-01,0.0,0.0,0.0,,,
2020-10-01,0.0,0.0,0.0,,,
2020-11-01,0.0,0.0,0.0,,,
2020-12-01,0.0,0.0,0.0,,,
2021-01-01,0.0,0.0,0.0,,,
2021-02-01,0.0,0.0,0.0,,,
2021-03-01,0.0,0.0,0.0,,,
2021-04-01,0.0,0.0,0.0,,,
2021-05-01,0.0,0.0,0.0,,,
2021-06-01,0.0,0.0,0.0,,,
2021-07-01,0.0,0.0,0.0,,,
2021-08-01,0.0,0.0,0.0,,,
2021-09-01,0.0,0.0,0.0,,,
2021-10-01,0.0,0.0,0.0,,,
2021-11-01,0.0,0.0,0.0,,,
2021-12-01,0.0,0.0,0.0,,,
2022-01-01,0.0,0.0,0.0,,,
2022-02-01,0.0,0.0,0.0,,,
2022-03-01,0.0,0.0,0.0,,,
2022-04-01,0.0,0.0,0.0,,,
2022-05-01,0.0,0.0,0.0,,,
2022-06-01,0.0,0.0,0.0,,,
2022-07-01,0.0,0.0,0.0,,,
2022-08-01,0.0,0.0,0.0,,,
2022-09-01,0.0,0.0,0.0,,,
2022-10-01,0.0,0.0,0.0,,,
2022-11-01,0.0,0.0,0.0,,,
2022-12-01,0.0,0.0,0.0,,,
2023-01-01,0.0,0.0,0.0,,,
2023-02-01,0.0,0.0,0.0,,,
2023-03-01,0.0,0.0,0.0,,,
2023-04-01,0.0,0.0,0.0,,,
2023-05-01,0.0,0.0,0.0,,,
2023-06-01,0.0,0.0,0.0,,,
2023-07-01,0.0,0.0,0.0,,,
2023-08-01,0.0,0.0,0.0,,,
2023-09-01,0.0,0.0,0.0,,,
2023-10-01,0.0,0.0,0.0,,,
2023-11-01,0.0,0.0,0.0,,,
2023-12-01,0.0,0.0,0.0,,,
2024-01-01,0.0,0.0,0.0,,,
2024-02-01,0.0,0.0,0.0,,,
2024-03-01,0.0,0.0,0.0,,,
2024-04-01,0.0,0.0,0.0,,,
2024-05-01,0.0,0.0,0.0,,,
2024-06-01,0.0,0.0,0.0,,,
2024-07-01,0.0,0.0,0.0,,,
2024-08-01,0.0,0.0,0.0,,,
2024-09-01,0.0,0.0,0.0,,,
2024-10-01,0.0,0.0,0.0,,,
2024-11-01,0.0,0.0,0.0,,,
2024-12-01,0.0,0.0,0.0,,,
