measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14266.0,164169.0,164169.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14330.0,164401.0,164401.0
2004-09-01,8.0,88.0,88.0,0.0,0.0,0.0,12933.0,151177.0,151177.0
2004-10-01,6.0,41.0,41.0,0.0,0.0,0.0,13580.0,164039.0,164039.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13830.0,152376.0,152376.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,14328.0,148148.0,148148.0
2005-01-01,1.0,11.76,11.76,0.0,0.0,0.0,14249.0,159130.71,159130.71
2005-02-01,13.0,135.24,135.24,0.0,0.0,0.0,12096.0,123494.05,123494.05
2005-03-01,9.0,105.84,105.84,0.0,0.0,0.0,12940.0,152830.0,152830.0
2005-04-01,15.0,170.52,170.52,61.0,712.08,712.08,12382.0,144942.0,144942.0
2005-05-01,5.0,58.8,58.8,0.0,1.04,1.04,14053.0,165474.0,165474.0
2005-06-01,27.0,311.64,311.64,21.0,242.19,242.19,12755.0,149060.0,149060.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14050.0,159628.0,159628.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14081.0,158060.0,158060.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13623.0,152908.0,152908.0
2005-10-01,5.0,58.8,58.8,0.0,0.0,0.0,13930.0,157360.0,157360.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13482.0,153888.0,153888.0
2005-12-01,6.0,58.8,58.8,0.0,0.0,0.0,13953.0,145152.0,145152.0
2006-01-01,21.0,241.0,241.0,49.0,556.0,556.0,9743.0,110040.0,110040.0
2006-02-01,2.0,18.0,18.0,0.0,0.0,0.0,12539.0,142419.0,142419.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,14311.0,158456.0,158456.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,13797.0,125832.0,125832.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14169.0,160272.0,160272.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,13652.0,163331.0,163331.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14123.0,166254.0,166254.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14204.0,162125.0,162125.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13788.0,157506.0,157506.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14394.0,161196.0,161196.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13893.0,151928.0,151928.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,14292.0,157304.0,157304.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,14357.0,163878.0,163878.0
2007-02-01,15.461,176.0,176.0,0.0,0.0,0.0,12156.539,138702.0,138702.0
2007-03-01,15.523000000000001,176.0,176.0,27.496000000000002,312.0,312.0,10255.981,116547.0,116547.0
2007-04-01,1.554,18.0,18.0,21.366,243.0,243.0,12852.08,145899.0,145899.0
2007-05-01,16.156000000000002,194.0,194.0,0.0,0.0,0.0,14125.844000000001,169656.0,169656.0
2007-06-01,24.928,282.0,282.0,0.0,0.0,0.0,13727.072,155420.0,155420.0
2007-07-01,15.115,176.0,176.0,0.0,0.0,0.0,13627.885,159048.0,159048.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14178.0,161820.0,161820.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13687.0,159438.0,159438.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14195.0,158368.0,158368.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13731.0,155736.0,155736.0
2007-12-01,26.187,319.0,319.0,50.492000000000004,615.0,615.0,9620.321,117189.0,117189.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,13645.0,155943.0,155943.0
2008-02-01,14.174000000000001,159.0,159.0,0.0,0.0,0.0,12723.826000000001,142519.0,142519.0
2008-03-01,1.06,12.0,12.0,0.0,0.0,0.0,13451.94,149261.0,149261.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,13872.0,154179.0,154179.0
2008-05-01,47.382000000000005,547.0,547.0,5.89,68.0,68.0,11251.728,129857.0,129857.0
2008-06-01,81.816,970.0,970.0,39.39,467.0,467.0,10187.794,120810.0,120810.0
2008-07-01,29.566000000000003,341.0,341.0,16.331,188.0,188.0,12365.103,142629.0,142629.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,13768.0,155207.0,155207.0
2008-09-01,1.034,12.0,12.0,0.0,0.0,0.0,13361.966,152038.0,152038.0
2008-10-01,24.404,282.0,282.0,24.355,282.0,282.0,9440.241,109179.0,109179.0
2008-11-01,1.5650000000000002,18.0,18.0,0.0,0.0,0.0,13535.435,152565.0,152565.0
2008-12-01,4.718,53.0,53.0,0.0,0.0,0.0,13731.282,154028.0,154028.0
2009-01-01,8.845,100.0,100.0,0.0,0.0,0.0,13642.155,154173.0,154173.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,12015.0,138006.0,138006.0
2009-03-01,3.051,35.0,35.0,0.0,0.0,0.0,13250.949,153238.0,153238.0
2009-04-01,0.517,6.0,6.0,0.091,1.0,1.0,12830.392,145848.0,145848.0
2009-05-01,0.0,0.0,0.0,26.752000000000002,304.0,304.0,12376.248,140843.0,140843.0
2009-06-01,24.463,276.0,276.0,5.2780000000000005,60.0,60.0,12972.259,146551.0,146551.0
2009-07-01,1.0330000000000001,12.0,12.0,0.0,0.0,0.0,13642.967,155387.0,155387.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,12397.0,143612.0,143612.0
2009-09-01,32.816,382.0,382.0,58.254000000000005,678.0,678.0,11889.93,138481.0,138481.0
2009-10-01,6.606000000000001,76.0,76.0,0.0,0.0,0.0,13016.394,150615.0,150615.0
2009-11-01,2.604,29.0,29.0,0.0,0.0,0.0,13178.396,148797.0,148797.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,13611.0,151854.0,151854.0
2010-01-01,24.517,294.0,294.0,46.681000000000004,560.0,560.0,9936.802,119159.0,119159.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,11988.0,142664.0,142664.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13824.0,158537.0,158537.0
2010-04-01,4.605,53.0,53.0,0.0,0.0,0.0,12757.395,146604.0,146604.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,13302.0,158216.0,158216.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,12924.0,151849.0,151849.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,13230.0,156008.0,156008.0
2010-08-01,1.3980000000000001,18.0,18.0,0.0,0.0,0.0,12598.602,158995.0,158995.0
2010-09-01,13.398000000000001,159.0,159.0,22.535,267.0,267.0,12744.067,151011.0,151011.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,13284.0,154874.0,154874.0
2010-11-01,0.505,6.0,6.0,0.0,0.0,0.0,12851.495,149719.0,149719.0
2010-12-01,5.067,59.0,59.0,0.0,0.0,0.0,13259.933,153872.0,153872.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,13266.0,161772.0,161772.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,11970.0,144705.0,144705.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13230.0,155348.0,155348.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,12366.0,142158.0,142158.0
2011-05-01,0.0,0.0,0.0,56.67,683.0,683.0,11625.33,140163.0,140163.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,12906.0,158310.0,158310.0
2011-07-01,0.0,0.0,0.0,18.786,233.0,233.0,12923.214,160377.0,160377.0
2011-08-01,10.862,129.0,129.0,0.0,0.0,0.0,13273.138,158074.0,158074.0
2011-09-01,1.929,24.0,24.0,0.0,0.0,0.0,12832.071,156470.0,156470.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,13230.0,161225.0,161225.0
2011-11-01,3.657,47.0,47.0,1125.713,14479.0,14479.0,10894.63,140128.0,140128.0
2011-12-01,24.592,306.0,306.0,32.096,399.0,399.0,8876.312,110362.0,110362.0
2012-01-01,24.109,306.0,306.0,0.0,0.0,0.0,12226.891,155069.0,155069.0
2012-02-01,7.893,100.0,100.0,0.0,0.0,0.0,5698.107,72162.0,72162.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
