measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2023-09-01,49.983,483.0,483.0,0.0,0.0,0.0
2023-10-01,49.003,471.0,471.0,0.0,0.0,0.0
2023-11-01,29.897,285.0,285.0,0.0,0.0,0.0
2023-12-01,38.05,367.0,367.0,0.0,0.0,0.0
2024-01-01,104.553,1135.0,1135.0,0.0,0.0,0.0
2024-02-01,43.092,466.0,466.0,0.0,0.0,0.0
2024-03-01,35.433,384.0,384.0,0.0,0.0,0.0
2024-04-01,22.904,250.0,250.0,0.0,0.0,0.0
2024-05-01,31.985,349.0,349.0,0.0,0.0,0.0
2024-06-01,22.961,250.0,250.0,0.0,0.0,0.0
2024-07-01,21.103,227.0,227.0,0.0,0.0,0.0
2024-08-01,22.6,244.0,244.0,0.0,0.0,0.0
2024-09-01,25.561,279.0,279.0,0.0,0.0,0.0
2024-10-01,37.89,413.0,413.0,0.0,0.0,0.0
2024-11-01,20.786,227.0,227.0,0.0,0.0,0.0
2024-12-01,69.132,751.0,751.0,0.0,0.0,0.0
