measured_on,Blast Furnace Gas Generation,Blast Furnace Gas Quantity Consumed For Electricity,Blast Furnace Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed
2004-02-01,8673.30019,57517.47,270987.3,2229.49981,14785.05,69658.16,,,
2004-03-01,12021.49026,79721.18,350529.66,1968.81974,13056.34,57408.0,,,
2004-04-01,14101.43144,93514.43,362418.75,2159.64856,14321.83,55504.8,,,
2004-05-01,14219.62507,94298.24,357799.73,1643.75493,10900.65,41360.8,,,
2004-06-01,14410.51197,95564.11,359563.41,1456.74803,9660.51,36348.0,,,
2004-07-01,11964.30544,79341.96,362618.82,1277.16456,8469.59,38708.8,,,
2004-08-01,11316.27273,75044.49,353189.25,1353.86727,8978.25,42255.2,,,
2004-09-01,6043.79092,40079.74,234091.35,1542.57908,10229.7,59748.0,,,
2004-10-01,0.0,0.0,150708.15,0.0,0.0,45874.4,,,
2004-11-01,6709.19464,44492.4,272015.46,950.89536,6305.92,38552.8,,,
2005-01-01,9509.67058,63063.91,279215.08,2558.09942,16964.18,75108.8,,,
2005-02-01,8162.18426,54127.98,250473.06,3026.76574,20072.17,92882.4,,,
2005-03-01,9985.21713,66217.52,313667.51,2405.56287,15952.62,75566.4,,,
2005-04-01,5520.01143,36606.26,233879.27,1931.52857,12809.04,81837.6,,,
2005-05-01,12414.02602,82324.31,335117.44,1128.14398,7481.35,30454.32,,,
2005-06-01,10819.30852,71748.85,322503.84,2379.48148,15779.66,70928.0,,,
2005-07-01,8946.38888,59328.48,341158.78,961.19112,6374.19,36653.76,,,
2005-08-01,10009.72484,66380.05,367860.25,1031.78516,6842.34,37918.4,,,
2005-09-01,10613.14133,70381.64,361820.12,1069.53867,7092.71,36462.4,,,
2005-10-01,12058.02214,79963.45,382874.03,1290.14786,8555.69,40965.6,,,
2005-11-01,11457.6202,75981.85,366987.37,1083.5098,7185.36,34704.8,,,
2005-12-01,7928.67383,52579.44,299350.34,1296.02617,8594.67,48932.0,,,
2006-01-01,9654.73247,64025.9,335334.78,1377.07753,9132.17,47829.6,,,
2006-02-01,7777.42823,51576.45,296896.68,1072.85177,7114.68,40955.2,,,
2006-03-01,11316.4684,75045.79,357703.07,1227.5716,8140.71,38802.4,,,
2006-04-01,12700.08572,84221.33,357768.77,1154.42428,7655.63,32520.8,,,
2006-05-01,14642.89343,97105.16,399669.19,1111.84657,7373.27,30347.2,,,
2006-06-01,15625.89561,103624.0,392369.36,1274.41439,8451.35,32000.8,,,
2006-07-01,14340.11012,95097.24,403134.01,1463.12988,9702.83,41132.0,,,
2006-08-01,11582.4551,76809.7,374671.29,1079.9249,7161.58,34933.6,,,
2006-09-01,11171.72153,74085.89,390499.65,957.15847,6347.45,33456.8,,,
2006-10-01,8863.86449,58781.21,386978.55,836.13551,5544.88,36504.0,,,
2006-11-01,7497.21026,49718.17,290625.07,980.58974,6502.84,38012.0,,,
2006-12-01,11355.35535,75303.67,367173.0,1019.90465,6763.55,32978.4,,,
2007-01-01,14093.175,93460.0,406507.0,1264.835,8388.0,36483.0,,,
2007-02-01,12727.835,84405.0,363390.0,1245.015,8257.0,35546.0,,,
2007-03-01,12663.587,83979.0,397020.0,937.753,6219.0,29400.0,,,
2007-04-01,11963.489,79337.0,340073.0,1695.0810000000001,11241.0,48184.0,,,
2007-05-01,15476.391,102633.0,414558.0,1409.3690000000001,9346.0,37752.0,,,
2007-06-01,13858.329,91902.0,375813.0,1319.261,8748.0,35776.0,,,
2007-07-01,10264.549,68070.0,310721.0,1378.361,9141.0,41725.0,,,
2007-08-01,11718.499,77712.0,384317.0,1101.021,7302.0,36109.0,,,
2007-09-01,12585.654,83463.0,359962.0,1477.4060000000002,9798.0,42255.0,,,
2007-10-01,13684.772,90751.0,395597.0,1295.9080000000001,8594.0,37462.0,,,
2007-11-01,11906.355,78958.0,361313.0,1161.485,7702.0,35247.0,,,
2007-12-01,13180.595000000001,87408.0,379833.0,1188.015,7878.0,34236.0,,,
2008-01-01,15114.688,107654.0,366812.0,1464.3120000000001,10430.0,35537.0,,,
2008-02-01,14962.965,106782.0,380212.0,1324.035,9449.0,33644.0,,,
2008-03-01,16395.28,116943.0,390259.0,1428.72,10191.0,34008.0,,,
2008-04-01,14530.712,104699.0,362351.0,1210.288,8721.0,30181.0,,,
2008-05-01,13052.584,94903.0,353264.0,1313.4160000000002,9550.0,35547.0,,,
2008-06-01,14009.167000000001,101023.0,368058.0,1026.833,7405.0,26978.0,,,
2008-07-01,14765.235,106464.0,393706.0,1112.765,8024.0,29671.0,,,
2008-08-01,5176.243,37857.0,136774.0,788.7570000000001,5769.0,20842.0,,,
2008-09-01,0.0,0.0,0.0,0.0,0.0,15236.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,22318.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,35942.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,48038.0,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,50669.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,47757.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,89502.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,7935.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1037.0,46.0,46.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,84.0,84.0
2010-01-01,0.0,0.0,0.0,312.79200000000003,2479.0,10381.0,3172.208,25137.0,105283.0
2010-02-01,0.0,0.0,0.0,1425.855,10626.0,35363.0,3015.145,22470.0,74779.0
2010-03-01,0.0,0.0,0.0,482.874,3452.0,4271.0,9976.126,71314.0,88248.0
2010-04-01,0.0,0.0,0.0,366.177,2557.0,5584.0,11211.823,78288.0,170962.0
2010-05-01,0.0,0.0,0.0,357.439,2533.0,5635.0,11310.561,80158.0,178320.0
2010-06-01,0.0,0.0,0.0,360.96,2534.0,5573.0,9225.04,64751.0,142435.0
2010-07-01,0.0,0.0,0.0,891.8190000000001,6311.0,11126.0,10960.181,77564.0,136733.0
2010-08-01,0.0,0.0,0.0,719.4010000000001,5091.0,8603.0,10516.599,74423.0,125762.0
2010-09-01,0.0,0.0,0.0,44.845,315.0,610.0,12424.155,87271.0,169015.0
2010-10-01,0.0,0.0,0.0,103.49600000000001,719.0,1520.0,12042.504,83619.0,176861.0
2010-11-01,0.0,0.0,0.0,957.3950000000001,6881.0,21879.0,2622.605,18849.0,59935.0
2010-12-01,0.0,0.0,0.0,3.3000000000000003,24.0,62.0,7482.7,54158.0,140688.0
2011-01-01,0.0,0.0,0.0,76.243,544.0,1366.0,9066.757,64638.0,162468.0
2011-02-01,0.0,0.0,0.0,211.183,1506.0,4544.0,7206.817,51408.0,155056.0
2011-03-01,0.0,0.0,0.0,847.709,6274.0,19439.0,5486.291,40607.0,125809.0
2011-04-01,0.0,0.0,0.0,520.46,3749.0,10061.0,8804.54,63420.0,170197.0
2011-05-01,0.0,0.0,0.0,234.444,1689.0,5180.0,8375.556,60341.0,185069.0
2011-06-01,0.0,0.0,0.0,60.873,430.0,1075.0,12000.127,84808.0,211988.0
2011-07-01,0.0,0.0,0.0,1042.768,7382.0,18622.0,11236.232,79548.0,200663.0
2011-08-01,0.0,0.0,0.0,1759.032,12435.0,30493.0,11269.968,79667.0,195364.0
2011-09-01,0.0,0.0,0.0,779.483,5485.0,13297.0,11913.517,83838.0,203233.0
2011-10-01,0.0,0.0,0.0,505.453,3548.0,9471.0,11128.547,78108.0,208532.0
2011-11-01,0.0,0.0,0.0,1319.676,9364.0,24278.0,10143.324,71976.0,186609.0
2011-12-01,0.0,0.0,0.0,1560.918,11180.0,29769.0,9357.082,67021.0,178452.0
2012-01-01,0.0,0.0,0.0,327.277,2582.0,10082.0,3150.723,24853.0,97055.0
2012-02-01,0.0,0.0,0.0,1131.423,8558.0,30110.0,3029.577,22916.0,80625.0
2012-03-01,0.0,0.0,0.0,255.953,1891.0,6266.0,5168.047,38190.0,126520.0
2012-04-01,0.0,0.0,0.0,469.874,3407.0,9358.0,7784.126,56448.0,155023.0
2012-05-01,0.0,0.0,0.0,309.894,2254.0,5832.0,8146.106,59242.0,153298.0
2012-06-01,0.0,0.0,0.0,975.679,7570.0,23141.0,3124.321,24240.0,74102.0
2012-07-01,0.0,0.0,0.0,132.53,1263.0,4363.0,715.47,6817.0,23557.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
