measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-07-01,0.0,0.0,0.0,1.0,23.0,23.0,86.0,2509.0,2509.0,35036.0,411113.0,411113.0,0.0,0.0,0.0
2007-08-01,107.285,1855.0,1855.0,2.0,23.0,23.0,773.715,13378.0,13378.0,46749.0,521850.0,521850.0,0.0,0.0,0.0
2007-09-01,-22.0,0.0,0.0,2.0,23.0,23.0,-22.0,0.0,0.0,12054.0,143183.0,143183.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,2.0,23.0,23.0,225.0,4889.0,4889.0,2019.0,36198.0,36198.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,2.0,23.0,23.0,171.0,4294.0,4294.0,876.0,14391.0,14391.0,0.0,0.0,0.0
2007-12-01,34.812000000000005,593.0,593.0,0.0,0.0,0.0,9245.188,157518.0,157518.0,6260.0,77343.0,77343.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,987.0,18108.0,18108.0,3754.0,56211.0,56211.0,0.0,0.0,0.0
2008-02-01,-59.0,0.0,0.0,2.0,23.0,23.0,-59.0,0.0,0.0,-267.5,0.0,0.0,-267.5,0.0,0.0
2008-03-01,0.0,0.0,0.0,1.0,12.0,12.0,98.0,3832.0,3832.0,3167.0,47986.0,47986.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,2.0,29.0,29.0,156.0,4368.0,4368.0,-223.0,0.0,0.0,-223.0,0.0,0.0
2008-05-01,4.21,204.0,204.0,2.0,23.0,23.0,37.79,1827.0,1827.0,24392.0,281821.0,281821.0,0.0,0.0,0.0
2008-06-01,33.463,547.0,547.0,0.0,0.0,0.0,494.53700000000003,8078.0,8078.0,33129.0,383307.0,383307.0,0.0,0.0,0.0
2008-07-01,,,,2.0,17.0,17.0,255.0,5244.0,5244.0,45137.0,526816.0,526816.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,658.0,7591.0,7591.0,33957.0,400407.0,400407.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,273.0,4805.0,4805.0,19972.0,242538.0,242538.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,2.0,23.0,23.0,222.0,2511.0,2511.0,32651.0,392010.0,392010.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,1.0,12.0,12.0,2176.0,26988.0,26988.0,24994.0,306549.0,306549.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,2.0,23.0,23.0,18.0,2632.0,2632.0,31641.0,394501.0,394501.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-106.0,335.0,335.0,27373.0,363899.0,363899.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,1.0,12.0,12.0,-25.0,1185.0,1185.0,18311.0,248151.0,248151.0,0.0,0.0,0.0
2009-03-01,-49.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0,6591.0,83935.0,83935.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,2.0,17.0,17.0,-48.0,736.0,736.0,792.0,16210.0,16210.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,2.0,17.0,17.0,-43.0,306.0,306.0,4286.0,56383.0,56383.0,0.0,0.0,0.0
2009-06-01,108.327,1582.0,1582.0,2.0,23.0,23.0,180.673,2638.0,2638.0,35831.0,432397.0,432397.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,2.0,29.0,29.0,20.0,815.0,815.0,20383.0,246868.0,246868.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,4.0,47.0,47.0,514.0,8061.0,8061.0,26200.0,330693.0,330693.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,2.0,23.0,23.0,34.0,1146.0,1146.0,5222.0,77034.0,77034.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,2.0,23.0,23.0,-2.0,1103.0,1103.0,-196.5,0.0,0.0,-196.5,0.0,0.0
2009-11-01,0.0,0.0,0.0,2.0,23.0,23.0,-61.0,380.0,380.0,-227.0,0.0,0.0,-227.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,124.0,3268.0,3268.0,-317.0,0.0,0.0,-317.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,2325.0,2325.0,16877.0,231744.0,231744.0,0.0,0.0,0.0
2010-02-01,-7.591,0.0,0.0,2.0,23.0,23.0,-87.409,0.0,0.0,12836.0,171916.0,171916.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,2.0,23.0,23.0,-49.0,1018.0,1018.0,14890.0,207884.0,207884.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,886.0,2402.0,42220.0,42220.0,0.0,0.0,0.0
2010-05-01,-4.075,0.0,0.0,2.0,17.0,17.0,-46.925000000000004,0.0,0.0,1862.0,32057.0,32057.0,0.0,0.0,0.0
2010-06-01,-3.036,0.0,0.0,0.0,0.0,0.0,-34.964,0.0,0.0,15829.0,237997.0,237997.0,0.0,0.0,0.0
2010-07-01,127.033,2570.0,2570.0,0.0,0.0,0.0,189.967,3844.0,3844.0,22540.0,302376.0,302376.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,2.0,29.0,29.0,1471.0,23172.0,23172.0,33747.0,416802.0,416802.0,0.0,0.0,0.0
2010-09-01,-3.596,0.0,0.0,6.0,87.0,87.0,-41.404,0.0,0.0,9069.0,128526.0,128526.0,0.0,0.0,0.0
2010-10-01,-4.554,0.0,0.0,2.0,23.0,23.0,-52.446000000000005,0.0,0.0,3553.0,54988.0,54988.0,0.0,0.0,0.0
2010-11-01,-6.1530000000000005,0.0,0.0,2.0,23.0,23.0,-70.84700000000001,0.0,0.0,-453.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,,,,-70.0,1030.0,1030.0,-609.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,240.0,240.0,2374.0,42616.0,42616.0,0.0,0.0,0.0
2011-02-01,-5.253,0.0,0.0,1.0,17.0,17.0,-71.747,0.0,0.0,3131.0,46575.0,46575.0,0.0,0.0,0.0
2011-03-01,-4.298,0.0,0.0,2.0,23.0,23.0,-58.702,0.0,0.0,-518.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,2.0,17.0,17.0,-24.0,894.0,894.0,-373.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,2.0,23.0,23.0,-34.0,454.0,454.0,-321.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,1.0,17.0,17.0,138.0,1055.0,1055.0,6229.0,96246.0,96246.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,2.0,23.0,23.0,853.0,6303.0,6303.0,23278.0,304073.0,304073.0,0.0,0.0,0.0
2011-08-01,160.888,3850.0,3850.0,2.0,23.0,23.0,49.112,1175.0,1175.0,17640.0,230555.0,230555.0,0.0,0.0,0.0
2011-09-01,23.629,611.0,611.0,2.0,23.0,23.0,31.371,811.0,811.0,2657.0,33733.0,33733.0,0.0,0.0,0.0
2011-10-01,6.024,523.0,523.0,1.0,12.0,12.0,14.976,1301.0,1301.0,-311.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,984.0,984.0,-539.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,-94.0,349.0,349.0,2.0,23.0,23.0,0.0,0.0,0.0,-636.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,-24.059,395.0,395.0,1.0,12.0,12.0,-51.941,854.0,854.0,-596.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,-31.246,1890.0,1890.0,3.0,29.0,29.0,-15.754,953.0,953.0,-528.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,1039.0,1039.0,-472.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,-8.427,0.0,0.0,2.0,23.0,23.0,-42.573,0.0,0.0,1664.0,24575.0,24575.0,0.0,0.0,0.0
2012-05-01,-6.444,0.0,0.0,2.0,23.0,23.0,-32.556,0.0,0.0,6027.0,81934.0,81934.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,1.0,12.0,12.0,38.0,1326.0,1326.0,8123.0,108113.0,108113.0,0.0,0.0,0.0
2012-07-01,46.158,1186.0,1186.0,0.0,0.0,0.0,123.842,3183.0,3183.0,34254.0,408606.0,408606.0,0.0,0.0,0.0
2012-08-01,116.122,1861.0,1861.0,2.0,23.0,23.0,331.878,5318.0,5318.0,9367.0,115057.0,115057.0,0.0,0.0,0.0
2012-09-01,-6.94,0.0,0.0,2.0,23.0,23.0,-35.06,0.0,0.0,-262.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,29.959,1535.0,1535.0,2.0,23.0,23.0,8.041,412.0,412.0,-367.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,32.942,1855.0,1855.0,0.0,0.0,0.0,11.058,623.0,623.0,-364.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,87.248,1593.0,1593.0,2.0,23.0,23.0,335.752,6131.0,6131.0,-555.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,24.693,2268.0,2268.0,2.0,23.0,23.0,1.307,120.0,120.0,-97.0,8426.0,8426.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,2.0,23.0,23.0,11.0,2357.0,2357.0,3247.0,48733.0,48733.0,0.0,0.0,0.0
2013-03-01,-31.569,0.0,0.0,2.0,23.0,23.0,-70.431,0.0,0.0,5406.0,79531.0,79531.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,2.0,23.0,23.0,-45.0,964.0,964.0,-280.0,233.0,233.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,103.0,3432.0,3432.0,55.0,9615.0,9615.0,0.0,0.0,0.0
2013-06-01,29.704,1471.0,1471.0,2.0,35.0,35.0,85.296,4225.0,4225.0,5614.0,80650.0,80650.0,0.0,0.0,0.0
2013-07-01,-12.38,0.0,0.0,2.0,23.0,23.0,-27.62,0.0,0.0,4379.0,70066.0,70066.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,2.0,17.0,17.0,171.0,1707.0,1707.0,849.0,19573.0,19573.0,0.0,0.0,0.0
2013-09-01,-12.69,0.0,0.0,2.0,23.0,23.0,-28.31,0.0,0.0,834.0,21196.0,21196.0,0.0,0.0,0.0
2013-10-01,20.664,913.0,913.0,2.0,23.0,23.0,50.336,2224.0,2224.0,399.0,12121.0,12121.0,0.0,0.0,0.0
2013-11-01,-18.344,1076.0,1076.0,2.0,23.0,23.0,-3.656,214.0,214.0,116.0,9948.0,9948.0,0.0,0.0,0.0
2013-12-01,-3.884,936.0,936.0,2.0,17.0,17.0,-4.116,992.0,992.0,-583.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,15.904,1076.0,1076.0,1.0,12.0,12.0,18.096,1224.0,1224.0,3522.0,54770.0,54770.0,0.0,0.0,0.0
2014-02-01,44.154,1890.0,1890.0,2.0,23.0,23.0,6.846,293.0,293.0,-553.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,2.0,23.0,23.0,429.0,10854.0,10854.0,1303.0,25293.0,25293.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,2.0,23.0,23.0,567.0,15897.0,15897.0,1957.0,40046.0,40046.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,2.0,23.0,23.0,2209.0,48073.0,48073.0,3826.0,75288.0,75288.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,2.0,23.0,23.0,777.0,20142.0,20142.0,2885.0,52468.0,52468.0,,,
2014-07-01,0.0,0.0,0.0,2.0,29.0,29.0,1567.0,37629.0,37629.0,5925.0,96167.0,96167.0,,,
2014-08-01,119.62,2896.0,2896.0,2.0,23.0,23.0,1904.38,46103.0,46103.0,5562.0,98058.0,98058.0,,,
2014-09-01,0.0,0.0,0.0,1.0,23.0,23.0,1922.0,42940.0,42940.0,3792.0,64963.0,64963.0,,,
2014-10-01,31.074,680.0,680.0,2.0,17.0,17.0,1096.926,24017.0,24017.0,1797.0,32863.0,32863.0,,,
2014-11-01,22.289,605.0,605.0,2.0,23.0,23.0,959.711,26040.0,26040.0,4162.0,71931.0,71931.0,,,
2014-12-01,22.942,628.0,628.0,0.0,0.0,0.0,1176.058,32194.0,32194.0,-290.0,6648.0,6648.0,,,
2015-01-01,21.191,663.0,663.0,2.0,23.0,23.0,76.809,2403.0,2403.0,-655.0,0.0,0.0,,,
2015-02-01,27.331,768.0,768.0,2.0,17.0,17.0,1116.669,31361.0,31361.0,-556.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,2.0,23.0,23.0,374.0,11081.0,11081.0,627.0,18979.0,18979.0,,,
2015-04-01,0.0,0.0,0.0,2.0,23.0,23.0,561.0,14183.0,14183.0,-339.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,2.0,23.0,23.0,670.0,18295.0,18295.0,-330.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,2.0,23.0,23.0,493.0,13408.0,13408.0,4559.0,81752.0,81752.0,,,
2015-07-01,0.0,0.0,0.0,2.0,35.0,35.0,1866.0,34659.0,34659.0,4124.0,77209.0,77209.0,,,
2015-08-01,0.0,0.0,0.0,2.0,23.0,23.0,50.0,1754.0,1754.0,8733.0,147480.0,147480.0,,,
2015-09-01,86.979,1936.0,1936.0,2.0,23.0,23.0,359.021,7993.0,7993.0,7172.0,121324.0,121324.0,,,
2015-10-01,16.586,337.0,337.0,2.0,23.0,23.0,328.414,6678.0,6678.0,1318.0,28308.0,28308.0,,,
2015-11-01,28.547,645.0,645.0,2.0,23.0,23.0,219.453,4962.0,4962.0,-29.0,7175.0,7175.0,,,
2015-12-01,9.234,256.0,256.0,1.0,17.0,17.0,176.766,4898.0,4898.0,-567.0,0.0,0.0,,,
2016-01-01,0.25,6.0,6.0,2.0,23.0,23.0,338.75,7867.0,7867.0,0.0,0.0,0.0,,,
2016-02-01,-192.202,314.0,314.0,2.0,17.0,17.0,-255.798,418.0,418.0,0.0,0.0,0.0,,,
2016-03-01,-4.138,23.0,23.0,2.0,23.0,23.0,-231.862,1303.0,1303.0,0.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,1.0,23.0,23.0,-92.0,1651.0,1651.0,0.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,2.0,23.0,23.0,995.0,18494.0,18494.0,0.0,0.0,0.0,,,
2016-06-01,8.054,221.0,221.0,2.0,17.0,17.0,1912.946,52484.0,52484.0,0.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,2.0,23.0,23.0,1105.0,25541.0,25541.0,0.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,2.0,23.0,23.0,1259.0,31397.0,31397.0,0.0,0.0,0.0,,,
2016-09-01,117.067,2251.0,2251.0,2.0,23.0,23.0,1819.933,34987.0,34987.0,0.0,0.0,0.0,,,
2016-10-01,11.353,262.0,262.0,2.0,23.0,23.0,987.647,22765.0,22765.0,0.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,2.0,17.0,17.0,327.0,15203.0,15203.0,0.0,0.0,0.0,,,
2016-12-01,0.0,0.0,0.0,2.0,35.0,35.0,-85.0,9576.0,9576.0,0.0,0.0,0.0,,,
2017-01-01,8.487,366.0,366.0,2.401,23.0,23.0,157.897,6812.0,6812.0,,,,,,
2017-02-01,4.628,198.0,198.0,1.309,17.0,17.0,104.146,4494.0,4494.0,,,,,,
2017-03-01,5.949,256.0,256.0,1.683,23.0,23.0,208.592,9000.0,9000.0,,,,,,
2017-04-01,7.215,314.0,314.0,2.041,23.0,23.0,227.662,9824.0,9824.0,,,,,,
2017-05-01,7.691,331.0,331.0,2.176,29.0,29.0,166.191,7171.0,7171.0,,,,,,
2017-06-01,5.283,227.0,227.0,1.495,17.0,17.0,275.045,11868.0,11868.0,,,,,,
2017-07-01,4.153,180.0,180.0,1.175,12.0,12.0,429.541,18535.0,18535.0,,,,,,
2017-08-01,3.437,151.0,151.0,0.972,12.0,12.0,258.084,11136.0,11136.0,,,,,,
2017-09-01,5.379,233.0,233.0,1.522,17.0,17.0,199.587,8612.0,8612.0,,,,,,
2017-10-01,6.244,267.0,267.0,1.767,23.0,23.0,282.177,12176.0,12176.0,,,,,,
2017-11-01,9.766,419.0,419.0,2.763,35.0,35.0,245.554,10595.0,10595.0,,,,,,
2017-12-01,9.528,413.0,413.0,2.696,35.0,35.0,236.764,10216.0,10216.0,,,,,,
2018-01-01,9.804,278.0,278.0,1.791,12.0,12.0,377.645,10540.0,10540.0,,,,,,
2018-02-01,7.337,203.0,203.0,1.341,12.0,12.0,388.707,10847.0,10847.0,,,,,,
2018-03-01,10.717,301.0,301.0,1.958,23.0,23.0,471.28,13151.0,13151.0,,,,,,
2018-04-01,7.623,214.0,214.0,1.393,17.0,17.0,437.737,12215.0,12215.0,,,,,,
2018-05-01,9.854,272.0,272.0,1.801,17.0,17.0,670.333,18706.0,18706.0,,,,,,
2018-06-01,13.786,383.0,383.0,2.519,29.0,29.0,659.343,18400.0,18400.0,,,,,,
2018-07-01,5.878,162.0,162.0,1.074,12.0,12.0,817.64,22817.0,22817.0,,,,,,
2018-08-01,8.004,226.0,226.0,1.462,17.0,17.0,608.637,16985.0,16985.0,,,,,,
2018-09-01,8.617,238.0,238.0,1.575,17.0,17.0,549.452,15333.0,15333.0,,,,,,
2018-10-01,9.272,261.0,261.0,1.694,17.0,17.0,403.228,11252.0,11252.0,,,,,,
2018-11-01,8.972,249.0,249.0,1.639,17.0,17.0,368.56,10285.0,10285.0,,,,,,
