measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2008-05-01,1.193,11.0,12.0,,,
2008-06-01,40.547000000000004,374.0,374.0,,,
2008-07-01,94.17500000000001,868.0,868.0,,,
2008-08-01,19.591,178.0,178.0,,,
2008-09-01,3.039,29.0,29.0,,,
2008-10-01,1.1460000000000001,11.0,12.0,,,
2008-11-01,0.168,0.0,0.0,,,
2008-12-01,10.005,92.0,92.0,,,
2009-01-01,8.514000000000001,82.0,93.0,,,
2009-02-01,1.349,12.0,12.0,,,
2009-03-01,0.168,0.0,0.0,,,
2009-04-01,0.131,0.0,0.0,,,
2009-05-01,0.067,0.0,0.0,,,
2009-06-01,0.12200000000000001,0.0,0.0,,,
2009-07-01,0.46900000000000003,5.0,6.0,,,
2009-08-01,1.2,12.0,12.0,,,
2009-09-01,0.08,0.0,0.0,,,
2009-10-01,0.277,3.0,6.0,,,
2009-11-01,1.5010000000000001,14.0,17.0,,,
2009-12-01,0.8220000000000001,8.0,12.0,,,
2010-01-01,5.563000000000001,54.0,97.0,,,
2010-02-01,5.5680000000000005,54.0,91.0,,,
2010-03-01,0.7070000000000001,7.0,11.0,,,
2010-04-01,2.186,21.0,34.0,,,
2010-05-01,1.224,12.0,23.0,,,
2010-06-01,2.988,29.0,51.0,,,
2010-07-01,13.082,126.0,222.0,,,
2010-08-01,7.742,75.0,131.0,,,
2010-09-01,2.757,27.0,46.0,,,
2010-10-01,0.522,5.0,11.0,,,
2010-11-01,1.822,18.0,29.0,,,
2010-12-01,6.799,65.0,114.0,,,
2011-01-01,0.0,5.0,518.0,,,
2011-02-01,0.0,1.0,121.0,,,
2011-03-01,0.0,0.0,17.0,,,
2011-04-01,0.0,0.0,6.0,,,
2011-05-01,0.0,0.0,6.0,,,
2011-06-01,0.0,0.0,17.0,,,
2011-07-01,0.0,1.0,58.0,,,
2011-08-01,0.0,0.0,52.0,,,
2011-09-01,0.0,1.0,58.0,,,
2011-10-01,0.0,0.0,17.0,,,
2011-11-01,0.0,1.0,98.0,,,
2011-12-01,0.0,0.0,0.0,,,
2012-01-01,39.249,348.0,348.0,,,
2012-02-01,0.619,6.0,6.0,,,
2012-03-01,4.761,41.0,41.0,,,
2012-04-01,0.516,5.0,6.0,,,
2012-05-01,0.08,0.0,0.0,,,
2012-06-01,1.616,12.0,12.0,,,
2012-07-01,19.339,168.0,168.0,,,
2012-08-01,4.335,41.0,41.0,,,
2012-09-01,0.403,4.0,6.0,,,
2012-10-01,0.168,0.0,0.0,,,
2012-11-01,2.984,23.0,23.0,,,
2012-12-01,0.93,6.0,6.0,,,
2013-01-01,16.638,127.0,127.0,,,
2013-02-01,16.6,127.0,127.0,,,
2013-03-01,0.405,4.0,6.0,,,
2013-04-01,0.854,6.0,6.0,,,
2013-05-01,1.356,11.0,11.0,,,
2013-06-01,3.021,22.0,22.0,,,
2013-07-01,10.375,77.0,77.0,,,
2013-08-01,2.325,17.0,17.0,,,
2013-09-01,0.397,4.0,6.0,,,
2013-10-01,0.158,0.0,0.0,,,
2013-11-01,4.364,33.0,33.0,,,
2013-12-01,31.507,237.0,237.0,,,
2014-01-01,0.61,6.0,133.0,,,
2014-02-01,0.189,2.0,41.0,,,
2014-03-01,0.142,1.0,29.0,,,
2014-04-01,0.004,0.0,0.0,,,
2014-05-01,0.001,0.0,0.0,,,
2014-06-01,0.001,0.0,0.0,,,
2014-07-01,0.01,0.0,0.0,,,
2014-08-01,0.003,0.0,0.0,,,
2014-09-01,0.002,0.0,0.0,,,
2014-10-01,0.002,0.0,0.0,,,
2014-11-01,0.009,0.0,0.0,,,
2014-12-01,0.007,0.0,0.0,,,
2015-01-01,3.131,17.0,17.0,,,
2015-02-01,26.14,139.0,139.0,,,
2015-03-01,1.205,6.0,6.0,,,
2015-04-01,0.288,0.0,0.0,,,
2015-05-01,0.083,0.0,0.0,,,
2015-06-01,0.02,0.0,0.0,,,
2015-07-01,0.427,0.0,0.0,,,
2015-08-01,0.595,6.0,6.0,,,
2015-09-01,0.092,0.0,0.0,,,
2015-10-01,0.147,0.0,0.0,,,
2015-11-01,0.808,6.0,6.0,,,
2015-12-01,0.064,0.0,0.0,,,
2016-01-01,3.055,12.0,12.0,,,
2016-02-01,2.707,12.0,12.0,,,
2016-03-01,2.622,11.0,12.0,,,
2016-04-01,11.254,42.0,42.0,,,
2016-05-01,3.643,12.0,12.0,,,
2016-06-01,9.73,36.0,36.0,,,
2016-07-01,28.7,108.0,108.0,,,
2016-08-01,14.676,54.0,54.0,,,
2016-09-01,5.331,18.0,18.0,,,
2016-10-01,0.721,0.0,0.0,,,
2016-11-01,6.028,24.0,24.0,,,
2016-12-01,10.533,36.0,36.0,,,
2017-01-01,3.454,15.0,18.0,,,
2017-02-01,1.872,8.0,18.0,,,
2017-03-01,2.248,10.0,24.0,,,
2017-04-01,1.556,7.0,18.0,,,
2017-05-01,1.595,7.0,18.0,,,
2017-06-01,1.587,7.0,18.0,,,
2017-07-01,1.09,5.0,12.0,,,
2017-08-01,1.066,5.0,12.0,,,
2017-09-01,1.811,8.0,18.0,,,
2017-10-01,1.76,8.0,18.0,,,
2017-11-01,2.959,13.0,30.0,,,
2017-12-01,41.002,175.0,402.0,,,
2018-01-01,35.566,152.0,354.0,,,
2018-02-01,1.369,6.0,12.0,,,
2018-03-01,1.52,6.0,12.0,,,
2018-04-01,1.165,5.0,12.0,,,
2018-05-01,1.292,6.0,12.0,,,
2018-06-01,1.112,5.0,12.0,,,
2018-07-01,1.532,7.0,18.0,,,
2018-08-01,2.76,12.0,30.0,,,
2018-09-01,1.358,6.0,12.0,,,
2018-10-01,1.229,5.0,12.0,,,
2018-11-01,2.643,11.0,24.0,,,
2018-12-01,1.454,6.0,12.0,,,
2019-01-01,4.432,19.0,42.0,,,
2019-02-01,2.772,12.0,30.0,,,
2019-03-01,2.889,12.0,30.0,,,
2019-04-01,2.244,10.0,24.0,,,
2019-05-01,1.148,5.0,12.0,,,
2019-06-01,1.398,6.0,12.0,,,
2019-07-01,1.901,8.0,18.0,,,
2019-08-01,3.625,15.0,36.0,,,
2019-09-01,1.746,7.0,18.0,,,
2019-10-01,2.746,12.0,30.0,,,
2019-11-01,3.796,16.0,36.0,,,
2019-12-01,4.303,18.0,42.0,,,
2020-01-01,1.362,6.0,24.0,,,
2020-02-01,1.454,6.0,18.0,,,
2020-03-01,1.13,5.0,18.0,,,
2020-04-01,1.255,5.0,18.0,,,
2020-05-01,0.878,4.0,12.0,,,
2020-06-01,0.853,4.0,12.0,,,
2020-07-01,1.013,4.0,12.0,,,
2020-08-01,0.956,4.0,12.0,,,
2020-09-01,1.084,5.0,18.0,,,
2020-10-01,1.702,7.0,24.0,,,
2020-11-01,1.714,7.0,24.0,,,
2020-12-01,9.599,41.0,138.0,,,
