measured_on,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-11-01,10157.093,61715.0,357222.0
2007-12-01,11199.017,68051.0,407940.0
2008-01-01,11287.366,68588.0,517249.0
2008-02-01,9733.601,59147.0,381654.0
2008-03-01,9521.374,57857.0,353402.0
2008-04-01,8612.93,52337.0,301657.0
2008-05-01,10359.717,62951.0,298210.0
2008-06-01,9542.502,57986.0,261955.0
2008-07-01,7377.025000000001,44827.0,212659.0
2008-08-01,4292.541,26084.0,147356.0
2008-09-01,6584.777,40013.0,213798.0
2008-10-01,9172.786,55739.0,320674.0
2008-11-01,8061.718000000001,48987.0,313388.0
2008-12-01,10927.254,66400.0,424973.0
2009-01-01,8338.285,50668.0,419206.0
2009-02-01,7718.892000000001,46904.0,355726.0
2009-03-01,6640.475,40351.0,360667.0
2009-04-01,8006.981000000001,48655.0,289187.0
2009-05-01,5257.643,31948.0,245927.0
2009-06-01,5336.387000000001,32427.0,222954.0
2009-07-01,7721.773,46922.0,214232.0
2009-08-01,8281.627,50324.0,242419.0
2009-09-01,7744.819,47062.0,238991.0
2009-10-01,9580.913,58219.0,347458.0
2009-11-01,10860.993,65997.0,427437.0
2009-12-01,10330.907,62776.0,427564.0
2010-01-01,11148.123,67742.0,472531.0
2010-02-01,9208.316,55955.0,364380.0
2010-03-01,8286.429,50353.0,380590.0
2010-04-01,9092.121000000001,55249.0,326223.0
2010-05-01,8608.130000000001,52308.0,293596.0
2010-06-01,7906.150000000001,48042.0,256165.0
2010-07-01,7933.999000000001,48211.0,107882.0
2010-08-01,7948.403,48299.0,248692.0
2010-09-01,7690.0830000000005,46729.0,265661.0
2010-10-01,8431.435000000001,51234.0,324153.0
2010-11-01,9543.461000000001,57991.0,364380.0
2010-12-01,11448.697,69569.0,459322.0
2011-01-01,11525.52,70035.0,438324.0
2011-02-01,11525.52,70035.0,429160.0
2011-03-01,12803.681,77802.0,439509.0
2011-04-01,12803.681,77802.0,404654.0
2011-05-01,11166.369,67853.0,362104.0
2011-06-01,9061.391,55062.0,314894.0
2011-07-01,11851.062,72014.0,323410.0
2011-08-01,11680.128,70975.0,256402.0
2011-09-01,11480.386,69761.0,352135.0
2011-10-01,11962.458,72691.0,453191.0
2011-11-01,13340.488,81064.0,486387.0
2011-12-01,14677.225,89187.0,505474.0
2012-01-01,14585.997,88633.0,594917.0
2012-02-01,13909.946,84525.0,467996.0
2012-03-01,14913.46,90622.0,513895.0
2012-04-01,14115.45,85773.0,448388.0
2012-05-01,12911.234,78456.0,369736.0
2012-06-01,10696.781,65000.0,242404.0
2012-07-01,9541.541,57980.0,207075.0
2012-08-01,9563.628,58114.0,326381.0
2012-09-01,10338.589,62823.0,376846.0
2012-10-01,12087.297,73449.0,393025.0
2012-11-01,13555.595,82371.0,525524.0
2012-12-01,13505.659,82068.0,478803.0
2013-01-01,13572.88,489800.0,489800.0
2013-02-01,12182.366,451785.0,451785.0
2013-03-01,12327.372,456114.0,456114.0
2013-04-01,10737.114,380085.0,380085.0
2013-05-01,10790.891,352751.0,352751.0
2013-06-01,8593.725,274525.0,274525.0
2013-07-01,8475.608,271476.0,271476.0
2013-08-01,10930.134,308179.0,308179.0
2013-09-01,11477.506,341169.0,341169.0
2013-10-01,11839.538,373022.0,373022.0
2013-11-01,11729.105,408904.0,408904.0
2013-12-01,12398.433,453665.0,453665.0
2014-01-01,11815.531,71798.0,418732.0
2014-02-01,11242.233,68314.0,412222.0
2014-03-01,11689.731,71033.0,395032.0
2014-04-01,7703.527,46811.0,347853.0
2014-05-01,9462.797,57501.0,282093.0
2014-06-01,11265.279,68454.0,227141.0
2014-07-01,7863.896,47785.0,241677.0
2014-08-01,0.0,53732.0,248929.0
2014-09-01,0.0,67398.0,313109.0
2014-10-01,0.0,72317.0,322747.0
2014-11-01,0.0,73047.0,389770.0
2014-12-01,0.0,75649.0,410358.0
2015-01-01,0.0,76489.0,453618.0
2015-02-01,11479.426,69755.0,406787.0
2015-03-01,12547.28,76244.0,408857.0
2015-04-01,9899.733,60156.0,300769.0
2015-05-01,9842.116,59806.0,280971.0
2015-06-01,9070.034,55115.0,260684.0
2015-07-01,11573.535,70327.0,305019.0
2015-08-01,9875.725,60010.0,291068.0
2015-09-01,8391.102,50989.0,285111.0
2015-10-01,11573.535,70327.0,351913.0
2015-11-01,12052.0,73235.0,377394.0
2015-12-01,12929.0,78564.0,411349.0
2016-01-01,13108.0,101247.0,399452.0
2016-02-01,12058.0,93136.0,361015.0
2016-03-01,11961.0,92387.0,387581.0
2016-04-01,7866.0,60757.0,244781.0
2016-05-01,7852.0,60649.0,220035.0
2016-06-01,5256.0,40598.0,231375.0
2016-07-01,5084.0,39269.0,168985.0
2016-08-01,7706.0,59521.0,207836.0
2016-09-01,7284.0,56262.0,215797.0
2016-10-01,8035.0,62063.0,283940.0
2016-11-01,8942.314,69071.0,313014.0
2016-12-01,10399.089,80323.0,384476.0
2017-01-01,10346.0,76740.0,398888.0
2017-02-01,9117.0,67624.0,344955.0
2017-03-01,10129.0,75131.0,386372.0
2017-04-01,8462.0,62766.0,272104.0
2017-05-01,8205.0,60860.0,248818.0
2017-06-01,7542.0,55942.0,159387.0
2017-07-01,8063.0,59806.0,217205.0
2017-08-01,7731.0,57344.0,218091.0
2017-09-01,7729.0,57329.0,225519.0
2017-10-01,8876.0,65837.0,311120.0
2017-11-01,9918.0,73566.0,349590.0
2017-12-01,10094.0,74871.0,374528.0
2018-01-01,9189.0,78565.0,356402.0
2018-02-01,8178.0,70154.0,327686.0
2018-03-01,8885.0,75932.0,329428.0
2018-04-01,7426.0,64776.0,283090.0
2018-05-01,6900.0,60682.0,250792.0
2018-06-01,6118.0,54711.0,201250.0
2018-07-01,6535.0,59265.0,211990.0
2018-08-01,6243.0,55883.0,209217.0
2018-09-01,6683.0,58338.0,218197.0
2018-10-01,7187.0,63040.0,326558.0
2018-11-01,8204.0,70309.0,326466.0
2018-12-01,8629.0,74359.0,357850.0
2019-01-01,8439.0,73365.0,366124.0
2019-02-01,7365.0,63923.0,316005.0
2019-03-01,7471.0,65510.0,291817.0
2019-04-01,6606.0,58405.0,249489.0
2019-05-01,6491.0,58115.0,222647.0
2019-06-01,6350.0,57381.0,195871.0
2019-07-01,3309.0,32303.0,134414.0
2019-08-01,3469.0,33660.0,157141.0
2019-09-01,3464.0,33490.0,161278.0
2019-10-01,4686.0,43325.0,226278.0
2019-11-01,6280.0,55816.0,289309.0
2019-12-01,7272.0,63760.0,342311.0
2020-01-01,7376.0,65303.0,391813.0
2020-02-01,6457.0,57418.0,325947.0
2020-03-01,7678.0,66497.0,314468.0
2020-04-01,5297.0,47998.0,242724.0
2020-05-01,4086.0,38763.0,190171.0
2020-06-01,4272.0,40291.0,174256.0
2020-07-01,4993.0,46722.0,191348.0
2020-08-01,4373.0,41419.0,181107.0
2020-09-01,5633.0,50765.0,212453.0
2020-10-01,5450.0,49407.0,269555.0
2020-11-01,6407.0,56632.0,315433.0
2020-12-01,6717.0,59109.0,319903.0
2021-01-01,6509.0,57566.0,307363.0
2021-02-01,6169.0,54429.0,310250.0
2021-03-01,6012.0,53524.0,301522.0
2021-04-01,5408.0,48695.0,249634.0
2021-05-01,4583.0,42665.0,205315.0
2021-06-01,4313.0,40951.0,171940.0
2021-07-01,4539.0,43525.0,185332.0
2021-08-01,4439.0,41856.0,181080.0
2021-09-01,4290.0,39965.0,204852.0
2021-10-01,5254.0,47768.0,267923.0
2021-11-01,6317.0,55949.0,316392.0
2021-12-01,7225.0,63300.0,351968.0
2022-01-01,6854.0,60348.0,346799.0
2022-02-01,6617.0,57819.0,313898.0
2022-03-01,6269.0,55897.0,307082.0
2022-04-01,5082.0,46255.0,240613.0
2022-05-01,4776.0,44334.0,212574.0
2022-06-01,4638.0,43770.0,181998.0
2022-07-01,5339.0,49111.0,201122.0
2022-08-01,4612.0,43051.0,181700.0
2022-09-01,4226.0,39416.0,195763.0
2022-10-01,5041.0,45854.0,267527.0
2022-11-01,5711.0,51084.0,300594.0
2022-12-01,6557.0,58264.0,352571.0
2023-01-01,6044.0,54102.0,324638.0
2023-02-01,5990.0,52982.0,305736.0
2023-03-01,5858.0,52701.0,294585.0
2023-04-01,5444.0,49363.0,281646.0
2023-05-01,4596.0,42502.0,196884.0
2023-06-01,4418.0,41293.0,181066.0
2023-07-01,4828.0,45053.0,175468.0
2023-08-01,4814.0,44074.0,189154.0
2023-09-01,4364.0,40351.0,212659.0
2023-10-01,5615.0,50505.0,290584.0
2023-11-01,5632.0,50587.0,294103.0
2023-12-01,6417.0,57255.0,334489.0
2024-01-01,7412.0,65140.0,385497.0
2024-02-01,6386.0,56728.0,342210.0
2024-03-01,5878.0,52204.0,299585.0
2024-04-01,5051.0,45966.0,241335.0
2024-05-01,4420.0,41085.0,197981.0
2024-06-01,4728.0,44230.0,175930.0
2024-07-01,4535.0,42798.0,181829.0
2024-08-01,4398.0,40929.0,182084.0
2024-09-01,4473.0,41115.0,199991.0
2024-10-01,5571.0,49726.0,267904.0
2024-11-01,6530.0,57522.0,327980.0
2024-12-01,7004.0,61127.0,343971.0
