measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-12-01,0.82,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,70.702,1181.0,1181.0
2004-01-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,88.59100000000001,1452.0,1452.0
2004-02-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,88.183,1445.0,1445.0
2004-03-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,85.556,1402.0,1402.0
2004-04-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,77.45400000000001,1269.0,1269.0
2004-05-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,98.744,1618.0,1618.0
2004-06-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,131.942,2163.0,2163.0
2004-07-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,145.11700000000002,2378.0,2378.0
2004-08-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,157.23,2577.0,2577.0
2004-09-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,135.798,2226.0,2226.0
2004-10-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,145.097,2378.0,2378.0
2004-11-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,92.72,1520.0,1520.0
2004-12-01,1.25,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,96.56700000000001,1583.0,1583.0
2005-01-01,1.9540000000000002,18.13,18.13,0.0,0.0,0.0,0.0,0.0,0.0,103.77,1733.89,1733.89
2005-02-01,0.992,9.2,9.2,0.0,0.0,0.0,0.0,0.0,0.0,86.144,1439.38,1439.38
2005-03-01,1.2,11.14,11.14,0.0,0.0,0.0,0.0,0.0,0.0,106.682,1782.56,1782.56
2005-04-01,1.25,11.61,11.61,0.0,0.0,0.0,0.0,0.0,0.0,105.115,1756.37,1756.37
2005-05-01,1.473,13.67,13.67,0.0,0.0,0.0,0.0,0.0,0.0,123.914,2070.47,2070.47
2005-06-01,1.334,12.38,12.38,0.0,0.0,0.0,0.0,0.0,0.0,156.382,2612.99,2612.99
2005-07-01,2.136,19.82,19.82,0.0,0.0,0.0,0.0,0.0,0.0,195.994,3274.86,3274.86
2005-08-01,2.3640000000000003,21.94,21.94,0.0,0.0,0.0,0.0,0.0,0.0,203.02800000000002,3392.4,3392.4
2005-09-01,2.3480000000000003,21.79,21.79,0.0,0.0,0.0,0.0,0.0,0.0,154.49200000000002,2581.41,2581.41
2005-10-01,1.401,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,123.42,2062.23,2062.23
2005-11-01,1.117,10.36,10.36,0.0,0.0,0.0,0.0,0.0,0.0,105.298,1759.42,1759.42
2005-12-01,2.432,22.57,22.57,0.0,0.0,0.0,0.0,0.0,0.0,102.76,1717.02,1717.02
2006-01-01,1.304,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,124.825,2001.0,2001.0
2006-02-01,1.29,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,148.094,2374.0,2374.0
2006-03-01,1.131,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,168.91400000000002,2708.0,2708.0
2006-04-01,1.492,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,188.934,3029.0,3029.0
2006-05-01,1.348,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,218.833,3508.0,3508.0
2006-06-01,1.613,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,278.853,4471.0,4471.0
2006-07-01,1.564,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,350.579,5620.0,5620.0
2006-08-01,1.6840000000000002,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,5691.0,5691.0
2006-09-01,1.196,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,241.543,3872.0,3872.0
2006-10-01,1.5390000000000001,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,218.696,3506.0,3506.0
2006-11-01,1.344,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,162.416,2604.0,2604.0
2006-12-01,1.495,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,169.31400000000002,2714.0,2714.0
2007-01-01,,,,0.0,0.0,0.0,5.091,69.0,69.0,229.0,1344.0,1344.0
2007-02-01,,,,0.0,0.0,0.0,4.574,62.0,62.0,140.0,624.0,624.0
2007-03-01,,,,0.0,0.0,0.0,5.26,71.0,71.0,194.0,1179.0,1179.0
2007-04-01,,,,0.0,0.0,0.0,5.245,71.0,71.0,140.0,624.0,624.0
2007-05-01,,,,0.0,0.0,0.0,5.95,81.0,81.0,194.0,1179.0,1179.0
2007-06-01,,,,0.0,0.0,0.0,6.551,88.0,88.0,175.0,789.0,789.0
2007-07-01,,,,0.0,0.0,0.0,6.756,92.0,92.0,194.0,1179.0,1179.0
2007-08-01,,,,0.0,0.0,0.0,8.743,118.0,118.0,140.0,624.0,624.0
2007-09-01,,,,0.0,0.0,0.0,6.595,89.0,89.0,194.0,1179.0,1179.0
2007-10-01,,,,0.0,0.0,0.0,6.453,87.0,87.0,140.0,624.0,624.0
2007-11-01,,,,0.0,0.0,0.0,4.844,66.0,66.0,54.0,556.0,556.0
2007-12-01,0.0,0.0,0.0,,,,4.937,67.0,67.0,0.0,0.0,0.0
2008-01-01,,,,,,,,,,29.0,508.0,508.0
2008-02-01,,,,,,,,,,431.0,5953.0,5953.0
2008-03-01,,,,,,,,,,0.0,0.0,0.0
2008-04-01,,,,,,,,,,690.0,8914.0,8914.0
2008-05-01,,,,,,,,,,0.0,0.0,0.0
2008-06-01,,,,,,,,,,0.0,0.0,0.0
2008-07-01,,,,,,,,,,0.0,0.0,0.0
2008-08-01,,,,,,,,,,0.0,7.0,7.0
2008-09-01,,,,,,,,,,529.0,12693.0,12693.0
2008-10-01,,,,,,,,,,404.0,5393.0,5393.0
2008-11-01,,,,,,,,,,0.0,0.0,0.0
2008-12-01,,,,,,,,,,0.0,0.0,0.0
2009-01-01,26.0,145.0,145.0,,,,,,,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
