measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Gases Generation,Other Gases Quantity Consumed For Electricity,Other Gases Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2007-01-01,0.0,0.0,0.0,,,,,,
2007-02-01,0.0,0.0,0.0,,,,,,
2007-03-01,2168.0,48906.0,48906.0,,,,,,
2007-04-01,561.0,18262.0,18262.0,,,,,,
2007-05-01,15220.0,165442.0,165442.0,,,,,,
2007-06-01,28988.0,395402.0,395402.0,,,,,,
2007-07-01,193154.001,2099111.0,2099111.0,,,,,,
2007-08-01,184477.999,1627258.0,1627258.0,,,,,,
2007-09-01,91852.999,950992.0,950992.0,,,,,,
2007-10-01,12870.0,188327.0,188327.0,,,,,,
2007-11-01,0.0,0.0,0.0,,,,,,
2007-12-01,0.0,0.0,0.0,,,,,,
2008-01-01,0.0,0.0,0.0,,,,,,
2008-02-01,0.0,0.0,0.0,,,,,,
2008-03-01,3370.0,69821.0,69821.0,,,,,,
2008-04-01,0.0,0.0,0.0,,,,,,
2008-05-01,48878.0,540926.0,540926.0,,,,,,
2008-06-01,7658.0,133711.0,133711.0,,,,,,
2008-07-01,30579.0,433024.0,433024.0,,,,,,
2008-08-01,26893.0,391251.0,391251.0,,,,,,
2008-09-01,38147.0,512012.0,512012.0,,,,,,
2008-10-01,22790.0,251171.0,251171.0,,,,,,
2008-11-01,138323.0,1414117.0,1414117.0,,,,,,
2008-12-01,0.0,0.0,0.0,,,,,,
2009-01-01,0.0,1907.0,1907.0,,,,,,
2009-02-01,0.0,819.0,819.0,,,,,,
2009-03-01,0.0,0.0,0.0,,,,,,
2009-04-01,98121.0,1087028.0,1087028.0,,,,,,
2009-05-01,167373.0,1721359.0,1721359.0,,,,,,
2009-06-01,35087.0,387802.0,387802.0,,,,,,
2009-07-01,161961.0,1700288.0,1700288.0,,,,,,
2009-08-01,67876.0,753956.0,753956.0,,,,,,
2009-09-01,143456.0,1584021.0,1584021.0,,,,,,
2009-10-01,3407.0,42389.0,42389.0,,,,,,
2009-11-01,0.0,0.0,0.0,,,,,,
2009-12-01,2237.0,40866.0,40866.0,,,,,,
2010-01-01,6100.0,189508.0,189508.0,,,,,,
2010-02-01,436.0,11088.0,11088.0,,,,,,
2010-03-01,9165.0,130030.0,130030.0,,,,,,
2010-04-01,0.0,0.0,0.0,,,,,,
2010-05-01,0.0,0.0,0.0,,,,,,
2010-06-01,420.0,10452.0,10452.0,,,,,,
2010-07-01,10730.0,164149.0,164149.0,,,,,,
2010-08-01,97225.0,1039051.0,1039051.0,,,,,,
2010-09-01,9890.0,187945.0,187945.0,,,,,,
2010-10-01,70.0,7843.0,7843.0,,,,,,
2010-11-01,80.0,10795.0,10795.0,,,,,,
2010-12-01,458.0,12573.0,12573.0,,,,,,
2011-01-01,122425.0,1332254.0,1332254.0,,,,,,
2011-02-01,106337.0,1156170.0,1156170.0,,,,,,
2011-03-01,51228.0,638881.0,638881.0,,,,,,
2011-04-01,4470.0,96150.0,96150.0,,,,,,
2011-05-01,30939.0,415940.0,415940.0,,,,,,
2011-06-01,21341.0,267770.0,267770.0,,,,,,
2011-07-01,7060.0,137863.0,137863.0,,,,,,
2011-08-01,59061.0,763670.0,763670.0,,,,,,
2011-09-01,34126.0,472699.0,472699.0,,,,,,
2011-10-01,7120.0,147861.0,147861.0,,,,,,
2011-11-01,3280.0,71499.0,71499.0,,,,,,
2011-12-01,0.0,0.0,0.0,,,,,,
2012-01-01,540.0,11464.0,11464.0,,,,,,
2012-02-01,1140.0,30533.0,30533.0,,,,,,
2012-03-01,5365.0,109147.0,109147.0,,,,,,
2012-04-01,161999.0,2037599.0,2037599.0,,,,,,
2012-05-01,137054.0,1683430.0,1683430.0,,,,,,
2012-06-01,35883.0,442922.0,442922.0,,,,,,
2012-07-01,15467.0,220510.0,220510.0,,,,,,
2012-08-01,159056.0,1911386.0,1911386.0,,,,,,
2012-09-01,9178.0,152503.0,152503.0,,,,,,
2012-10-01,18931.0,251634.0,251634.0,,,,,,
2012-11-01,780.0,24838.0,24838.0,,,,,,
2012-12-01,2245.0,29920.0,29920.0,,,,,,
2013-01-01,0.0,0.0,0.0,,,,,,
2013-02-01,0.0,0.0,0.0,,,,,,
2013-03-01,296.0,9586.0,9586.0,,,,,,
2013-04-01,0.0,0.0,0.0,,,,,,
2013-05-01,43170.0,561619.0,561619.0,,,,,,
2013-06-01,35764.0,449631.0,449631.0,,,,,,
2013-07-01,48588.0,571225.0,571225.0,,,,,,
2013-08-01,36848.0,421842.0,421842.0,,,,,,
2013-09-01,53529.0,607962.0,607962.0,,,,,,
2013-10-01,3920.0,66559.0,66559.0,,,,,,
2013-11-01,45123.0,584750.0,584750.0,,,,,,
2013-12-01,32400.0,420487.0,420487.0,,,,,,
2014-01-01,0.0,0.0,0.0,,,,,,
2014-02-01,151.0,5387.0,5387.0,,,,,,
2014-03-01,0.0,0.0,0.0,,,,,,
2014-04-01,7431.0,119054.0,119054.0,,,,,,
2014-05-01,8286.0,128760.0,128760.0,0.0,0.0,0.0,,,
2014-06-01,10201.0,137583.0,137583.0,0.0,0.0,0.0,,,
2014-07-01,25112.0,324837.0,324837.0,0.0,0.0,0.0,,,
2014-08-01,8028.0,133190.0,133190.0,0.0,0.0,0.0,,,
2014-09-01,37778.0,487676.0,487676.0,0.0,0.0,0.0,,,
2014-10-01,111875.0,1265599.0,1265599.0,0.0,0.0,0.0,,,
2014-11-01,35518.0,412292.0,412292.0,0.0,0.0,0.0,,,
2014-12-01,5471.0,103569.0,103569.0,0.0,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,,,,,,
2015-02-01,16552.0,271529.0,271529.0,,,,,,
2015-03-01,0.0,0.0,0.0,,,,,,
2015-04-01,4234.0,63490.0,63490.0,,,,,,
2015-05-01,717.0,20170.0,20170.0,,,,,,
2015-06-01,67859.0,807373.0,807373.0,,,,,,
2015-07-01,126504.0,1457719.0,1457719.0,,,,,,
2015-08-01,70189.0,883540.0,883540.0,,,,,,
2015-09-01,130944.0,1474177.0,1474177.0,,,,,,
2015-10-01,47449.0,574416.0,574416.0,,,,,,
2015-11-01,20082.0,273715.0,273715.0,,,,,,
2015-12-01,2358.0,50986.0,50986.0,,,,,,
2016-01-01,856.0,18161.0,18161.0,,,,,,
2016-02-01,2665.0,60620.0,60620.0,,,,,,
2016-03-01,2141.0,37221.0,37221.0,,,,,,
2016-04-01,2443.0,44761.0,44761.0,,,,,,
2016-05-01,46380.0,568233.0,568233.0,,,,,,
2016-06-01,39287.0,551903.0,551903.0,,,,,,
2016-07-01,68201.0,783376.0,783376.0,,,,,,
2016-08-01,117855.0,1374040.0,1374040.0,,,,,,
2016-09-01,36562.0,441776.0,441776.0,,,,,,
2016-10-01,908.0,16557.0,16557.0,,,,,,
2016-11-01,1622.0,34801.0,34801.0,,,,,,
2016-12-01,1635.0,40187.0,40187.0,,,,,,
2017-01-01,1721.0,51405.0,51405.0,,,,,,
2017-02-01,5281.0,113743.0,113743.0,,,,,,
2017-03-01,7137.0,149199.0,149199.0,,,,,,
2017-04-01,2045.0,41872.0,41872.0,,,,,,
2017-05-01,9433.0,183200.0,183200.0,,,,,,
2017-06-01,98090.0,1159272.0,1159272.0,,,,,,
2017-07-01,89665.0,1053400.0,1053400.0,,,,,,
2017-08-01,142271.0,1661710.0,1661710.0,,,,,,
2017-09-01,81382.0,921454.0,921454.0,,,,,,
2017-10-01,66018.0,823550.0,823550.0,,,,,,
2017-11-01,6890.0,133946.0,133946.0,,,,,,
2017-12-01,4645.0,109106.0,109106.0,,,,,,
2018-01-01,0.0,0.0,0.0,,,,,,
2018-02-01,4279.0,63932.0,63932.0,,,,,,
2018-03-01,4035.0,65822.0,65822.0,,,,,,
2018-04-01,389.0,6994.0,6994.0,,,,,,
2018-05-01,18857.0,273362.0,273362.0,,,,,,
2018-06-01,11441.0,208235.0,208235.0,,,,,,
2018-07-01,130268.0,1611273.0,1611273.0,,,,,,
2018-08-01,88725.0,1124671.0,1124671.0,,,,,,
2018-09-01,15596.0,206280.0,206280.0,,,,,,
2018-10-01,0.0,0.0,0.0,,,,,,
2018-11-01,917.0,24696.0,24696.0,,,,,,
2018-12-01,0.0,0.0,0.0,,,,,,
2019-01-01,0.0,0.0,0.0,,,,,,
2019-02-01,720.0,27995.0,27995.0,,,,,,
2019-03-01,4619.0,145590.0,145590.0,,,,,,
2019-04-01,0.0,0.0,0.0,,,,,,
2019-05-01,20494.0,273683.0,273683.0,,,,,,
2019-06-01,13726.0,289623.0,289623.0,,,,,,
2019-07-01,52855.0,687707.0,687707.0,,,,,,
2019-08-01,55369.0,834496.0,834496.0,,,,,,
2019-09-01,35811.0,540623.0,540623.0,,,,,,
2019-10-01,2032.0,53789.0,53789.0,,,,,,
2019-11-01,7660.0,156671.0,156671.0,,,,,,
2019-12-01,2657.0,91952.0,91952.0,,,,,,
2020-01-01,1699.0,45146.0,45146.0,,,,,,
2020-02-01,1156.0,41086.0,41086.0,,,,,,
2020-03-01,4537.0,150519.0,150519.0,,,,,,
2020-04-01,1665.0,49731.0,49731.0,,,,,,
2020-05-01,12502.0,249335.0,249335.0,,,,,,
2020-06-01,1869.0,66651.0,66651.0,,,,,,
2020-07-01,38990.0,757447.0,757447.0,,,,,,
2020-08-01,138403.0,1684245.0,1684245.0,,,,,,
2020-09-01,52739.0,735289.0,735289.0,,,,,,
2020-10-01,50569.0,703742.0,703742.0,,,,,,
2020-11-01,2049.0,44544.0,44544.0,,,,,,
2020-12-01,903.0,31698.0,31698.0,,,,,,
2021-01-01,0.0,0.0,0.0,,,,,,
2021-02-01,340.0,11570.0,11570.0,,,,,,
2021-03-01,0.0,0.0,0.0,,,,,,
2021-04-01,1291.0,25943.0,25943.0,,,,,,
2021-05-01,0.0,0.0,0.0,,,,,,
2021-06-01,37472.0,504954.0,504954.0,,,,,,
2021-07-01,103165.0,1312125.0,1312125.0,,,,,,
2021-08-01,75065.0,1016288.0,1016288.0,,,,,,
2021-09-01,13897.0,281492.0,281492.0,,,,,,
2021-10-01,614.0,21227.0,21227.0,,,,,,
2021-11-01,2261.0,37369.0,37369.0,,,,,,
2021-12-01,3327.0,111440.0,111440.0,,,,,,
2022-01-01,71.0,2955.0,2955.0,,,,,,
2022-02-01,1772.0,46358.0,46358.0,,,,,,
2022-03-01,1449.0,42240.0,42240.0,,,,,,
2022-04-01,3125.0,72147.0,72147.0,,,,,,
2022-05-01,1784.0,42311.0,42311.0,,,,,,
2022-06-01,26198.0,358596.0,358596.0,,,,,,
2022-07-01,15498.0,328169.0,328169.0,,,,,,
2022-08-01,60055.0,913980.0,913980.0,,,,,,
2022-09-01,92120.0,1204388.0,1204388.0,,,,,,
2022-10-01,5038.0,160061.0,160061.0,,,,,,
2022-11-01,4742.0,145595.0,145595.0,,,,,,
2022-12-01,7319.0,152401.0,152401.0,,,,,,
2023-01-01,3678.0,111820.0,111820.0,,,,,,
2023-02-01,9594.0,202409.0,202409.0,,,,,,
2023-03-01,4092.0,120442.0,120442.0,,,,,,
2023-04-01,2688.0,78930.0,78930.0,,,,,,
2023-05-01,605.0,21270.0,21270.0,,,,,,
2023-06-01,11082.0,160217.0,160217.0,,,,,,
2023-07-01,122301.0,1640278.0,1640278.0,,,,,,
2023-08-01,47003.0,883967.0,883967.0,,,,,,
2023-09-01,11706.0,402830.0,402830.0,,,,,,
2023-10-01,15363.0,419164.0,419164.0,,,,,,
2023-11-01,20053.0,521103.0,521103.0,,,,,,
2023-12-01,8056.0,294949.0,294949.0,,,,,,
2024-01-01,0.0,0.0,0.0,,,,,,
