measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2013-02-01,322.027,3503.0,3503.0,334404.97,3637854.0,3637854.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,3606.483,42444.0,42444.0,69466.517,817546.0,817546.0
2013-05-01,1146.219,12197.0,12197.0,312827.78,3328934.0,3328934.0
2013-06-01,864.526,9245.0,9245.0,399412.47,4271297.0,4271297.0
2013-07-01,0.538,6.0,6.0,448083.46,4834204.0,4834204.0
2013-08-01,0.0,0.0,0.0,437733.0,4777989.0,4777989.0
2013-09-01,0.0,0.0,0.0,419244.0,4484666.0,4484666.0
2013-10-01,919.983,9756.0,9756.0,348688.02,3697528.0,3697528.0
2013-11-01,0.0,0.0,0.0,424900.0,4503216.0,4503216.0
2013-12-01,1017.115,10939.0,10939.0,386418.89,4155834.0,4155834.0
2014-01-01,1834.482,19163.0,19163.0,379337.52,3962600.0,3962600.0
2014-02-01,0.0,0.0,0.0,394360.0,4181310.0,4181310.0
2014-03-01,622.472,4773.0,4773.0,426214.53,3268410.0,3268410.0
2014-04-01,434.496,4773.0,4773.0,178739.5,1963641.0,1963641.0
2014-05-01,437.906,4773.0,4773.0,435553.09,4747748.0,4747748.0
2014-06-01,0.0,0.0,0.0,417911.0,4526548.0,4526548.0
2014-07-01,0.0,0.0,0.0,438104.0,4907902.0,4907902.0
2014-08-01,0.0,0.0,0.0,415335.0,4764498.0,4764498.0
2014-09-01,1554.34,17678.0,17678.0,343863.66,3910958.0,3910958.0
2014-10-01,1410.883,16049.0,16049.0,359716.12,4091722.0,4091722.0
2014-11-01,12.506,145.0,145.0,336484.49,3901247.0,3901247.0
2014-12-01,287.191,3161.0,3161.0,368803.81,4059283.0,4059283.0
2015-01-01,0.0,0.0,0.0,389365.0,4259703.0,4259703.0
2015-02-01,216.008,2378.0,2378.0,369923.99,4072439.0,4072439.0
2015-03-01,0.0,0.0,0.0,394308.0,4236551.0,4236551.0
2015-04-01,1247.966,13769.0,13769.0,225855.03,2491929.0,2491929.0
2015-05-01,1204.226,13560.0,13560.0,306855.77,3455404.0,3455404.0
2015-06-01,0.0,0.0,0.0,356200.0,3912535.0,3912535.0
2015-07-01,2006.787,21530.0,21530.0,349664.21,3751335.0,3751335.0
2015-08-01,920.363,9988.0,9988.0,382585.64,4151745.0,4151745.0
2015-09-01,956.862,10428.0,10428.0,364991.14,3977870.0,3977870.0
2015-10-01,0.0,0.0,0.0,353447.0,3958890.0,3958890.0
2015-11-01,0.0,0.0,0.0,304310.0,3441669.0,3441669.0
2015-12-01,937.613,10260.0,10260.0,299615.39,3278659.0,3278659.0
2016-01-01,1.536,17.0,17.0,359006.46,4066864.0,4066864.0
2016-02-01,1412.017,16205.0,16205.0,299478.98,3437010.0,3437010.0
2016-03-01,0.0,0.0,0.0,395741.0,4482730.0,4482730.0
2016-04-01,75.155,795.0,795.0,136562.85,1443857.0,1443857.0
2016-05-01,2169.302,22545.0,22545.0,188462.7,1958610.0,1958610.0
2016-06-01,0.0,0.0,0.0,383541.0,4295792.0,4295792.0
2016-07-01,0.0,0.0,0.0,417278.0,4663844.0,4663844.0
2016-08-01,1255.165,14535.0,14535.0,317134.84,3672419.0,3672419.0
2016-09-01,18.709,209.0,209.0,399140.29,4454456.0,4454456.0
2016-10-01,0.0,0.0,0.0,365943.0,4287325.0,4287325.0
2016-11-01,123.924,1421.0,1421.0,330851.08,3793778.0,3793778.0
2016-12-01,41.672,464.0,464.0,352239.33,3922075.0,3922075.0
2017-01-01,319.503,3550.0,3550.0,356642.5,3962205.0,3962205.0
2017-02-01,0.0,0.0,0.0,289118.0,3264251.0,3264251.0
2017-03-01,399.656,4570.0,4570.0,352599.34,4032263.0,4032263.0
2017-04-01,337.123,3851.0,3851.0,64516.877,737023.0,737023.0
2017-05-01,1256.185,13433.0,13433.0,361395.82,3864525.0,3864525.0
2017-06-01,0.0,0.0,0.0,416234.0,4446370.0,4446370.0
2017-07-01,257.872,2894.0,2894.0,421773.13,4733731.0,4733731.0
2017-08-01,0.0,0.0,0.0,380949.0,4250770.0,4250770.0
2017-09-01,0.0,0.0,0.0,391602.0,4373005.0,4373005.0
2017-10-01,0.0,0.0,0.0,333244.0,3740476.0,3740476.0
2017-11-01,0.0,0.0,0.0,351801.0,4383619.0,4383619.0
2017-12-01,0.0,0.0,0.0,315682.0,3475726.0,3475726.0
2018-01-01,469.648,5510.0,5510.0,106636.35,1251079.0,1251079.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0
