measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2006-09-01,0.05108,0.605,0.715,2301.15092,27184.55,32121.815,0.0,0.0,0.0
2006-10-01,0.05101,0.605,0.715,2562.7454900000002,30274.885,35823.73,0.0,0.0,0.0
2006-11-01,0.084905,1.005,1.18,2220.8970950000003,26236.48,30813.2,0.0,0.0,0.0
2006-12-01,0.09376,1.11,1.3,2168.24624,25614.49,30108.865,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,1310.749,15484.5,19278.0,,,
2007-02-01,0.0,0.0,0.0,1144.9395000000002,13525.5,16621.5,,,
2007-03-01,0.0,0.0,0.0,1617.6200000000001,19110.0,24176.5,,,
2007-04-01,0.0,0.0,0.0,1612.6870000000001,19051.5,24463.5,,,
2007-05-01,0.0,0.0,0.0,1727.641,20409.5,26084.5,,,
2007-06-01,0.0,0.0,0.0,2364.097,27928.0,35906.0,,,
2007-07-01,0.0,0.0,0.0,3091.8115000000003,36525.0,47375.0,,,
2007-08-01,0.0,0.0,0.0,3369.746,39808.5,51720.5,,,
2007-09-01,0.0,0.0,0.0,2460.4165,29066.0,37460.5,,,
2007-10-01,0.0,0.0,0.0,1960.4035000000001,23159.5,29675.5,,,
2007-11-01,0.0,0.0,0.0,1781.7165,21048.5,26883.5,,,
2007-12-01,0.0,0.0,0.0,2146.7035,25360.0,32432.0,,,
2008-01-01,0.0,0.0,0.0,2322.1515,27432.5,30290.5,,,
2008-02-01,0.0,0.0,0.0,2265.0355,26758.0,29545.0,,,
2008-03-01,0.0,0.0,0.0,2346.3714999999997,27719.0,30606.0,,,
2008-04-01,0.0,0.0,0.0,2641.4900000000002,31205.0,34456.0,,,
2008-05-01,0.0,0.0,0.0,2119.116,25034.0,27642.0,,,
2008-06-01,0.0,0.0,0.0,3598.512,42511.0,46939.0,,,
2008-07-01,0.0,0.0,0.0,3893.808,45999.5,50791.0,,,
2008-08-01,0.0,0.0,0.0,3002.962,35475.5,39170.5,,,
2008-09-01,0.0,0.0,0.0,3099.1685,36612.0,40425.5,,,
2008-10-01,0.0,0.0,0.0,1951.1315000000002,23050.0,25450.5,,,
2008-11-01,0.0,0.0,0.0,2212.3230000000003,26135.0,28857.5,,,
2008-12-01,0.0,0.0,0.0,1608.3005,19000.0,20978.5,,,
2009-01-01,0.0,0.0,0.0,1752.0735,20698.0,25256.0,,,
2009-02-01,0.0,0.0,0.0,1526.6170000000002,18034.5,22006.0,,,
2009-03-01,0.0,0.0,0.0,1318.5445000000002,15576.5,19007.0,,,
2009-04-01,0.0,0.0,0.0,1602.4060000000002,18930.0,23098.5,,,
2009-05-01,0.0,0.0,0.0,1950.775,23045.5,28120.5,,,
2009-06-01,0.0,0.0,0.0,2030.123,23982.5,29264.5,,,
2009-07-01,0.0,0.0,0.0,2483.9905000000003,29344.5,35806.5,,,
2009-08-01,0.0,0.0,0.0,2927.3505,34582.0,42197.5,,,
2009-09-01,0.0,0.0,0.0,2404.675,28407.5,34663.0,,,
2009-10-01,0.0,0.0,0.0,2196.3010000000004,25946.0,31659.5,,,
2009-11-01,0.0,0.0,0.0,1865.2125,22034.5,26887.0,,,
2009-12-01,0.0,0.0,0.0,1823.3315000000002,21539.5,26283.5,,,
2010-01-01,0.0,0.0,0.0,1880.1164999999999,22211.0,28553.0,,,
2010-02-01,0.0,0.0,0.0,1637.7215,19347.0,24872.0,,,
2010-03-01,0.0,0.0,0.0,1450.3095,17133.0,22025.5,,,
2010-04-01,0.0,0.0,0.0,1723.0660000000003,20355.5,26167.5,,,
2010-05-01,0.0,0.0,0.0,2024.4555,23916.0,30745.0,,,
2010-06-01,0.0,0.0,0.0,2602.227,30741.5,39519.5,,,
2010-07-01,0.0,0.0,0.0,3315.6890000000003,39169.5,50354.5,,,
2010-08-01,0.0,0.0,0.0,2853.904,33714.5,43342.0,,,
2010-09-01,0.0,0.0,0.0,2342.6125,27674.5,35576.5,,,
2010-10-01,0.0,0.0,0.0,1950.4905,23042.0,29622.0,,,
2010-11-01,0.0,0.0,0.0,1874.6580000000001,22146.0,28470.0,,,
2010-12-01,0.0,0.0,0.0,2108.9200000000005,24914.0,32028.0,,,
2011-01-01,0.0,0.0,0.0,2140.562,26499.5,29475.5,,,
2011-02-01,0.0,0.0,0.0,1982.3385,24541.0,27297.5,,,
2011-03-01,0.0,0.0,0.0,2009.5535,24878.0,27672.0,,,
2011-04-01,0.0,0.0,0.0,2393.7595,29634.0,32962.5,,,
2011-05-01,0.0,0.0,0.0,2291.751,28371.5,31558.0,,,
2011-06-01,0.0,0.0,0.0,2685.5855,33247.0,36981.0,,,
2011-07-01,0.0,0.0,0.0,3425.8525,42411.5,47174.5,,,
2011-08-01,0.0,0.0,0.0,2870.9505,35541.5,39533.5,,,
2011-09-01,0.0,0.0,0.0,2446.3095,30285.0,33686.5,,,
2011-10-01,0.0,0.0,0.0,2433.7445,30129.0,33513.0,,,
2011-11-01,0.0,0.0,0.0,2551.5215,31587.5,35135.0,,,
2011-12-01,0.0,0.0,0.0,2445.0715,30269.5,33669.0,,,
2012-01-01,0.0,0.0,0.0,1838.3464999999999,21717.0,28140.0,,,
2012-02-01,0.0,0.0,0.0,1845.2124999999999,21798.5,28246.0,,,
2012-03-01,0.0,0.0,0.0,2121.8565,25066.5,32480.5,,,
2012-04-01,0.0,0.0,0.0,2166.466,25593.5,33163.0,,,
2012-05-01,0.0,0.0,0.0,2760.354,32609.5,42254.0,,,
2012-06-01,0.0,0.0,0.0,2753.281,32525.5,42146.0,,,
2012-07-01,0.0,0.0,0.0,3514.4225,41517.5,53797.0,,,
2012-08-01,0.0,0.0,0.0,3155.8549999999996,37281.5,48308.5,,,
2012-09-01,0.0,0.0,0.0,2764.4265,32657.5,42316.5,,,
2012-10-01,0.0,0.0,0.0,2164.019,25564.5,33125.5,,,
2012-11-01,0.0,0.0,0.0,1395.374,16484.5,21360.0,,,
2012-12-01,0.0,0.0,0.0,1410.3115,16660.5,21588.5,,,
2013-01-01,0.0,0.0,0.0,1770.852,20919.5,26430.5,,,
2013-02-01,0.0,0.0,0.0,1809.5035,21376.5,27006.5,,,
2013-03-01,0.0,0.0,0.0,2237.0049999999997,26427.0,33387.5,,,
2013-04-01,0.0,0.0,0.0,2252.0544999999997,26604.5,33611.5,,,
2013-05-01,0.0,0.0,0.0,2331.3605000000002,27541.5,34795.5,,,
2013-06-01,0.0,0.0,0.0,2656.692,31385.0,39651.0,,,
2013-07-01,0.0,0.0,0.0,3761.395,44435.0,56138.5,,,
2013-08-01,0.0,0.0,0.0,2969.277,35077.5,44316.5,,,
2013-09-01,0.0,0.0,0.0,2535.002,29947.0,37835.0,,,
2013-10-01,0.0,0.0,0.0,2205.3215,26052.5,32914.5,,,
2013-11-01,0.0,0.0,0.0,2094.9519999999998,24748.5,31267.0,,,
2013-12-01,0.0,0.0,0.0,2288.4049999999997,27034.0,34154.5,,,
2014-01-01,0.0,0.0,0.0,1776.4755,20986.5,24768.5,,,
2014-02-01,0.0,0.0,0.0,1952.84,23070.0,27227.5,,,
2014-03-01,0.0,0.0,0.0,2082.038,24596.0,29029.0,,,
2014-04-01,0.0,0.0,0.0,1755.445,20738.0,24475.0,,,
2014-05-01,0.0,0.0,0.0,1754.1465,20722.5,24457.0,,,
2014-06-01,0.0,0.0,0.0,2116.0525,24998.0,29503.0,,,
2014-07-01,0.0,0.0,0.0,3249.7625,38391.0,45309.5,,,
2014-08-01,0.0,0.0,0.0,2874.689,33960.0,40080.5,,,
2014-09-01,0.0,0.0,0.0,2761.6985,32625.0,38505.0,,,
2014-10-01,0.0,0.0,0.0,2544.498,30059.5,35476.5,,,
2014-11-01,0.0,0.0,0.0,2505.2215,29595.5,34929.0,,,
2014-12-01,0.0,0.0,0.0,2545.673,30073.0,35493.0,,,
2015-01-01,0.0,0.0,0.0,1869.63,23014.5,29092.5,,,
2015-02-01,0.0,0.0,0.0,1647.0035,20274.0,25628.0,,,
2015-03-01,0.0,0.0,0.0,2266.8855,27904.5,35274.5,,,
2015-04-01,0.0,0.0,0.0,1766.555,21745.5,27489.0,,,
2015-05-01,0.0,0.0,0.0,2354.6045,28984.5,36639.5,,,
2015-06-01,0.0,0.0,0.0,2374.468,29229.0,36948.0,,,
2015-07-01,0.0,0.0,0.0,2896.404,35653.5,45070.0,,,
2015-08-01,0.0,0.0,0.0,2836.831,34920.5,44143.0,,,
2015-09-01,0.0,0.0,0.0,2870.5035,35335.0,44666.5,,,
2015-10-01,0.0,0.0,0.0,2401.8425,29566.0,37374.0,,,
2015-11-01,0.0,0.0,0.0,2405.0805,29605.5,37424.5,,,
2015-12-01,0.0,0.0,0.0,2231.192,27465.0,34719.0,,,
2016-01-01,0.0,0.0,0.0,1931.283,16087.5,30072.5,,,
2016-02-01,0.0,0.0,0.0,1739.656,14491.0,27089.0,,,
2016-03-01,0.0,0.0,0.0,2117.251,17636.5,32968.5,,,
2016-04-01,0.0,0.0,0.0,2097.293,17470.0,32658.0,,,
2016-05-01,0.0,0.0,0.0,2071.078,17252.0,32250.0,,,
2016-06-01,0.0,0.0,0.0,2616.3835,21794.0,40741.0,,,
2016-07-01,0.0,0.0,0.0,3318.717,27644.5,51677.0,,,
2016-08-01,0.0,0.0,0.0,3355.49,27951.0,52249.5,,,
2016-09-01,0.0,0.0,0.0,2498.5715,20813.0,38906.5,,,
2016-10-01,0.0,0.0,0.0,2333.4895,19437.5,36336.0,,,
2016-11-01,0.0,0.0,0.0,1700.378,14164.0,26477.5,,,
2016-12-01,0.0,0.0,0.0,1838.4095,15313.5,28626.5,,,
