measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2023-02-01,15357.0,52398.0,52398.0
2023-03-01,16068.0,54824.0,54824.0
2023-04-01,17351.0,59202.0,59202.0
2023-05-01,16878.0,57588.0,57588.0
2023-06-01,15942.0,54394.0,54394.0
2023-07-01,15169.0,51757.0,51757.0
2023-08-01,15365.0,52425.0,52425.0
2023-09-01,15427.0,52637.0,52637.0
2023-10-01,16377.0,55878.0,55878.0
2023-11-01,16794.0,57301.0,57301.0
2023-12-01,17152.0,58523.0,58523.0
2024-01-01,17549.0,59877.0,59877.0
2024-02-01,16263.0,55489.0,55489.0
2024-03-01,15422.0,52620.0,52620.0
2024-04-01,14708.0,50184.0,50184.0
2024-05-01,15856.0,54101.0,54101.0
2024-06-01,13267.0,45267.0,45267.0
2024-07-01,12678.0,43257.0,43257.0
2024-08-01,15125.0,51607.0,51607.0
2024-09-01,15132.0,51630.0,51630.0
2024-10-01,15808.0,53937.0,53937.0
2024-11-01,15010.0,51214.0,51214.0
2024-12-01,15996.0,54578.0,54578.0
