measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-02-01,14262.55486,140765.72,987998.0,196.37239,1938.12,13603.14,4977.40209,49124.97,344795.4,,,,1293.0649,12762.03,89573.4,154.059,1520.5,10672.0,3105.80176,30653.02,215145.6
2004-03-01,15088.90985,148921.51,876612.0,21.305609999999998,210.28,1237.78,4308.51571,42523.33,250309.44,,,,549.79269,5426.23,31941.0,183.69455,1812.99,10672.0,3565.27159,35187.81,207129.6
2004-04-01,15574.84175,153717.47,1000296.0,168.84049,1666.39,10843.8,5484.65816,54131.39,352252.8,,,,877.82949,8663.83,56378.7,179.36908,1770.3,11520.0,2970.35203,29316.19,190771.2
2004-05-01,17081.89913,168591.52,1021361.0,55.060869999999994,543.43,3292.2,4165.96164,41116.38,249091.2,,,,609.22192,6012.78,36426.6,228.12414,2251.49,13640.0,3173.2403,31318.61,189734.4
2004-06-01,16123.48547,159132.37,1051820.0,117.65843,1161.24,7675.48,3647.49903,35999.36,237945.6,,,,667.51616,6588.12,43545.6,180.27057,1779.2,11760.0,2781.31734,27450.49,181440.0
2004-07-01,15288.63328,150892.72,995588.0,121.78381999999999,1201.96,7930.5,3751.10555,37021.92,244270.08,,,,771.15623,7611.0,50217.3,178.99403,1766.6,11656.0,3416.6361,33720.84,222489.6
2004-08-01,17125.34118,169020.29,1101980.0,71.91655,709.79,4627.68,2971.93405,29331.8,191237.76,,,,645.19573,6367.82,41517.0,150.30790000000002,1483.48,9672.0,3052.40659,30126.04,196416.0
2004-09-01,15747.13449,155417.94,930512.0,78.31463,772.93,4627.68,4949.68582,48851.43,292481.28,,,,623.27387,6151.46,36829.8,184.66471,1822.57,10912.0,3384.72548,33405.89,200006.4
2004-10-01,17065.68007,168431.46,1056143.0,132.46669,1307.39,8197.96,3830.18351,37802.38,237038.4,,,,421.95483,4164.53,26113.5,192.35071,1898.42,11904.0,3577.7232000000004,35310.7,221414.4
2004-11-01,17442.08259,172146.39,1025640.0,172.9464,1706.91,10169.7,2777.01954,27408.07,163296.0,,,,919.03062,9070.47,54041.4,187.74676,1852.99,11040.0,3244.26409,32019.59,190771.2
2004-12-01,18562.06128,183200.14,1072104.0,32.84577,324.17,1897.1,3060.61468,30207.05,176774.4,,,,1224.27081,12083.06,70711.2,206.102,2034.14,11904.0,3722.80046,36742.56,215020.8
2005-01-01,15768.68872,155630.66,961620.0,52.8673,521.78,3224.0,3373.09637,33291.12,205701.12,,,,1024.39903,10110.41,62470.8,203.33577,2006.84,12400.0,3537.09782,34909.74,215702.4
2005-02-01,16630.74062,164138.79,1096656.0,92.89446,916.83,6125.6,2315.21572,22850.26,152668.8,,,,1046.91884,10332.67,69035.4,157.95819,1558.98,10416.0,3254.81217,32123.7,214627.2
2005-04-01,16816.90022,165976.1,970200.0,101.66407,1003.38,5865.2,3283.75717,32409.37,189446.4,,,,889.5485,8779.49,51319.8,212.16126,2093.95,12240.0,3654.16578,36065.16,210816.0
2005-05-01,18618.66316,183758.77,1023000.0,24.035,237.22,1320.6,3568.28372,35217.54,196058.88,,,,600.82044,5929.86,33012.0,216.65353,2138.28,11904.0,3379.79515,33357.23,185702.4
2005-06-01,17035.14068,168130.03,993960.0,109.23495,1078.11,6373.6,3398.39025,33540.75,198288.0,,,,1110.6159,10961.34,64801.8,205.6639,2029.82,12000.0,2724.63532,26891.06,158976.0
2005-07-01,16251.58152,160396.63,1063920.0,100.67268,993.6,6590.6,2282.94944,22531.8,149454.72,,,,920.57162,9085.67,60265.8,200.77711,1981.59,13144.0,2618.43663,25842.93,171417.6
2005-08-01,8904.99967,87888.8,1068012.0,16.49074,162.76,1977.8,1413.6338,13952.0,169542.72,,,,446.60073,4407.77,53562.6,105.45802,1040.83,12648.0,13696.49603,135178.96,1642675.2
2005-09-01,17411.82003,171847.72,1049400.0,97.31638,960.47,5865.2,2657.82622,26231.68,160185.6,,,,1148.26921,11332.96,69205.5,195.12387999999999,1925.79,11760.0,2523.07128,24901.71,152064.0
2005-10-01,18704.55222,184606.48,1145760.0,43.01642,424.55,2635.0,2780.90537,27446.43,170346.24,,,,907.32163,8954.9,55578.6,206.47882,2037.86,12648.0,2681.79554,26468.25,164275.2
2005-11-01,16713.77483,164958.29,1017720.0,96.8319,955.69,5896.2,2988.25976,29492.93,181958.4,,,,1532.39656,15124.14,93309.3,193.13170000000002,1906.13,11760.0,2610.82524,25767.8,158976.0
2006-01-01,18367.90534,181283.9,1088472.0,50.01059,493.58,2963.6,2413.56536,23820.93,143026.56,,,,1661.0211000000002,16393.62,98431.2,205.06433,2023.9,12152.0,3917.14728,38660.68,232128.0
2006-02-01,11355.48455,112074.1,742896.0,90.97887999999999,897.93,5952.0,2107.77515,20802.9,137894.4,,,,1039.05765,10255.08,67977.0,154.07713,1520.68,10080.0,3155.49964,31143.52,206438.4
2006-03-01,17537.36303,173086.78,1137576.0,50.75398,500.92,3292.2,2081.08512,20539.48,134991.36,,,,1222.20239,12062.65,79279.2,179.69393,1773.51,11656.0,5285.29554,52163.76,342835.2
2006-04-01,15990.79748,157822.78,1088208.0,51.47524,508.04,3503.0,1348.33084,13307.49,91756.8,,,,980.75093,9679.62,66742.2,169.28196,1670.75,11520.0,4875.32055,48117.47,331776.0
2006-05-01,16909.49334,166889.94,1088208.0,54.528909999999996,538.18,3509.2,1425.79452,14072.02,91756.8,,,,1037.09657,10235.73,66742.2,179.00747,1766.73,11520.0,5155.4152,50881.89,331776.0
2006-06-01,16431.99894,162177.26,1045440.0,2.0464599999999997,20.2,130.2,1258.88124,12424.65,80092.8,,,,875.9489000000001,8645.27,55729.8,188.61338999999998,1861.54,12000.0,4768.90107,47067.15,303408.0
2006-07-01,16379.17351,161655.92,1088472.0,178.47664,1761.49,11860.6,1245.39936,12291.6,82762.56,,,,1501.27677,14817.0,99766.8,194.05719,1915.27,12896.0,4729.02453,46673.59,314265.6
2006-08-01,16681.08004,164635.6,1141668.0,48.10282,474.76,3292.2,1561.4665,15411.05,106868.16,,,,1203.37268,11876.81,82359.9,184.80180000000001,1823.92,12648.0,4904.85716,48408.98,335692.8
2006-09-01,14153.7271,139691.64,910800.0,144.71362,1428.27,9312.4,2380.51145,23494.7,153187.2,,,,664.65175,6559.85,42770.7,186.47861999999998,1840.47,12000.0,4940.93746,48765.08,317952.0
2006-10-01,16411.38123,161973.78,1059828.0,165.3235,1631.68,10676.4,2612.9177,25788.45,168739.2,,,,601.42763,5935.85,38839.5,188.17309,1857.19,12152.0,4700.48687,46391.93,303552.0
2006-11-01,16569.93068,163538.61,1033560.0,139.0575,1372.44,8673.8,2555.61313,25222.88,159408.0,,,,1641.36678,16199.64,102381.3,196.23046,1936.72,12240.0,5041.96846,49762.22,314496.0
2006-12-01,16800.8187,165817.37,1084380.0,19.40403,191.51,1252.4,2950.48889,29120.15,190434.24,,,,1172.2831,11569.97,75663.0,188.27676,1858.22,12152.0,5012.89652,49475.29,323548.8
2007-01-01,18059.933,178244.0,1084391.0,39.444,391.0,2368.0,3934.3610000000003,38830.0,236235.0,,,,544.131,5368.0,32672.0,206.382,2040.0,12392.0,4143.52,40896.0,248794.0
2007-02-01,11077.06,109329.0,694848.0,626.241,6181.0,39283.0,3089.1670000000004,30488.0,193779.0,,,,867.739,8562.0,54432.0,171.405,1688.0,10752.0,2329.58,22992.0,146131.0
2007-03-01,14354.391,141669.0,769285.0,73.693,725.0,3949.0,4003.203,39510.0,214541.0,,,,993.45,9803.0,53241.0,226.74900000000002,2240.0,12152.0,6797.095,67085.0,364272.0
2007-04-01,16487.136,162723.0,1077120.0,19.455,192.0,1271.0,1547.3220000000001,15271.0,101088.0,,,,882.74,8713.0,57670.0,179.88400000000001,1776.0,11752.0,6189.2880000000005,61085.0,404352.0
2007-05-01,16616.732,163999.0,1076207.0,25.464000000000002,254.0,1649.0,1947.808,19224.0,126153.0,,,,382.57300000000004,3774.0,24778.0,191.334,1888.0,12392.0,5127.839,50611.0,332112.0
2007-06-01,14963.785,147686.0,1021680.0,2.815,25.0,192.0,1696.95,16749.0,115862.0,,,,177.43800000000002,1751.0,12115.0,168.608,1664.0,11512.0,6074.095,59952.0,414720.0
2007-07-01,18206.182,179685.0,1022989.0,15.227,149.0,856.0,2202.263,21735.0,123743.0,,,,327.619,3232.0,18409.0,225.097,2224.0,12648.0,3877.136,38266.0,217853.0
2007-08-01,16551.359,163350.0,1141657.0,47.729,471.0,3292.0,1549.3390000000002,15292.0,106868.0,,,,1194.026,11787.0,82360.0,183.366,1808.0,12648.0,4866.761,48029.0,335693.0
2007-09-01,14170.448,139854.0,989593.0,11.808,118.0,825.0,1484.566,14652.0,103675.0,,,,255.031,2520.0,17810.0,175.385,1728.0,12248.0,6235.499000000001,61546.0,435456.0
2007-10-01,14502.348,143132.0,897787.0,30.646,304.0,1897.0,2587.1490000000003,25534.0,160161.0,,,,86.50200000000001,857.0,5355.0,200.303,1976.0,12400.0,9153.03,90336.0,566630.0
2007-11-01,16041.535,158323.0,1060477.0,91.34700000000001,899.0,6039.0,1959.795,19342.0,129559.0,,,,359.75100000000003,3553.0,23783.0,180.674,1784.0,11944.0,7806.838000000001,77050.0,516096.0
2007-12-01,17185.844,169620.0,1112111.0,29.414,291.0,1903.0,2491.804,24593.0,161247.0,,,,333.34700000000004,3289.0,21571.0,172.583,1704.0,11168.0,8319.442000000001,82109.0,538358.0
2008-01-01,21779.966,214960.0,2747688.0,39.324000000000005,388.0,4961.0,860.8760000000001,8497.0,108605.0,,,,315.358,3112.0,39785.0,82.56400000000001,815.0,10416.0,3705.64,36573.0,467491.0
2008-02-01,14018.636,138358.0,762204.0,85.57900000000001,845.0,4653.0,2119.531,20919.0,115241.0,,,,486.427,4801.0,26447.0,230.71200000000002,2277.0,12544.0,7627.43,75280.0,414709.0
2008-03-01,12941.556,127728.0,730644.0,56.016000000000005,553.0,3163.0,1538.9830000000002,15189.0,86887.0,,,,345.25600000000003,3408.0,19492.0,184.494,1821.0,10416.0,7458.492,73612.0,421086.0
2008-04-01,11013.033,108694.0,660204.0,151.749,1498.0,9097.0,708.1610000000001,6989.0,42452.0,,,,550.682,5435.0,33012.0,168.14700000000002,1660.0,10080.0,6216.664000000001,61356.0,372674.0
2008-05-01,14783.808,145910.0,756960.0,51.883,512.0,2657.0,704.1550000000001,6950.0,36054.0,,,,285.089,2814.0,14597.0,203.43,2008.0,10416.0,8635.021,85224.0,442130.0
2008-06-01,13537.377,133609.0,698496.0,44.983000000000004,444.0,2321.0,819.547,8089.0,42287.0,,,,456.771,4508.0,23568.0,195.358,1928.0,10080.0,8196.748,80899.0,422932.0
2008-07-01,13997.081,138146.0,726336.0,62.746,619.0,3256.0,545.27,5382.0,28295.0,,,,586.3910000000001,5787.0,30429.0,200.72500000000002,1981.0,10416.0,9109.842,89911.0,472728.0
2008-08-01,14206.276,140210.0,746688.0,33.695,333.0,1771.0,1243.241,12270.0,65345.0,,,,658.7620000000001,6502.0,34625.0,198.172,1956.0,10416.0,8256.979000000001,81493.0,433990.0
2008-09-01,14121.994,139378.0,750576.0,4.76,47.0,253.0,409.156,4038.0,21746.0,,,,246.669,2435.0,13110.0,189.654,1872.0,10080.0,8811.518,86966.0,468327.0
2008-10-01,14278.558,140924.0,785496.0,63.786,630.0,3509.0,914.455,9025.0,50306.0,,,,456.247,4503.0,25099.0,189.34,1869.0,10416.0,8253.001,81454.0,454016.0
2008-11-01,18752.287,185078.0,2524932.0,37.294000000000004,368.0,5022.0,703.47,6943.0,94720.0,,,,212.18900000000002,2094.0,28571.0,74.863,739.0,10080.0,3406.342,33619.0,458652.0
2008-12-01,9377.337000000001,92551.0,499428.0,32.013,316.0,1705.0,734.5310000000001,7250.0,39120.0,,,,753.7420000000001,7439.0,40144.0,195.572,1930.0,10416.0,6850.968000000001,67616.0,364876.0
2009-01-01,,,,44.155,436.0,2310.0,1459.0,14400.0,76329.0,20793.417,205223.0,1087830.0,1008.413,9953.0,52756.0,201.238,1986.0,10528.0,,,
2009-02-01,,,,64.755,639.0,3482.0,1451.1370000000002,14322.0,78019.0,19052.256999999998,188038.0,1024332.0,282.634,2789.0,15196.0,174.98600000000002,1727.0,9408.0,,,
2009-03-01,,,,84.12700000000001,830.0,4917.0,1215.505,11997.0,71043.0,9829.206,97010.0,574493.0,1283.444,12667.0,75014.0,178.211,1759.0,10416.0,,,
2009-04-01,,,,36.597,361.0,2024.0,1503.381,14838.0,83145.0,19350.755,190984.0,1070196.0,1222.2910000000002,12064.0,67599.0,182.261,1799.0,10080.0,,,
2009-05-01,,,,50.984,503.0,2673.0,1200.511,11849.0,62940.0,21332.246,210541.0,1118403.0,549.035,5419.0,28785.0,198.673,1961.0,10416.0,,,
2009-06-01,,,,64.513,637.0,3284.0,1083.901,10698.0,55167.0,20820.074,205486.0,1059669.0,498.464,4920.0,25370.0,198.049,1955.0,10080.0,,,
2009-07-01,,,,97.748,965.0,5082.0,2129.103,21013.0,110694.0,20639.421,203703.0,1073063.0,335.897,3315.0,17464.0,200.342,1977.0,10416.0,,,
2009-08-01,,,,40.826,403.0,2090.0,2216.1980000000003,21873.0,113455.0,21370.854,210922.0,1094045.0,276.03,2724.0,14131.0,203.464,2008.0,10416.0,,,
2009-09-01,,,,58.013000000000005,573.0,2976.0,2138.954,21111.0,109708.0,20916.906,206442.0,1072842.0,139.166,1374.0,7138.0,196.52700000000002,1940.0,10080.0,,,
2009-10-01,,,,34.487,340.0,2068.0,2273.936,22443.0,136354.0,21539.2,212583.0,1291578.0,182.074,1797.0,10918.0,173.704,1714.0,10416.0,,,
2009-11-01,,,,23.799,235.0,1260.0,2243.8830000000003,22146.0,118751.0,21758.364,214746.0,1151496.0,118.44800000000001,1169.0,6269.0,190.46900000000002,1880.0,10080.0,,,
2009-12-01,,,,235.793,2327.0,11886.0,4813.996,47512.0,242657.0,19426.317000000003,191730.0,979213.0,702.784,6936.0,35425.0,206.64,2039.0,10416.0,,,
2010-01-01,,,,138.75400000000002,1369.0,6331.0,4524.664000000001,44657.0,206433.0,19981.405,197208.0,911629.0,1097.229,10829.0,50060.0,228.30200000000002,2253.0,10416.0,,,
2010-02-01,,,,151.952,1500.0,8162.0,3128.183,30874.0,168028.0,15939.182,157313.0,856161.0,1121.384,11068.0,60234.0,175.149,1729.0,9408.0,,,
2010-03-01,,,,107.78200000000001,1064.0,5759.0,3339.77,32962.0,178434.0,21251.338,209742.0,1135397.0,1145.0990000000002,11302.0,61179.0,192.625,1901.0,10291.0,,,
2010-04-01,,,,17.188000000000002,170.0,941.0,2460.7090000000003,24286.0,134649.0,21222.354,209456.0,1161277.0,407.569,4023.0,22302.0,182.008,1796.0,9959.0,,,
2010-05-01,,,,44.25,437.0,2563.0,2757.987,27220.0,159746.0,20691.194,204214.0,1198458.0,176.749,1744.0,10238.0,179.83100000000002,1775.0,10416.0,,,
2010-06-01,,,,76.02600000000001,750.0,4213.0,2740.9120000000003,27052.0,151888.0,18887.417,186411.0,1046648.0,334.127,3298.0,18516.0,181.9,1795.0,10080.0,,,
2010-07-01,,,,112.459,1110.0,6061.0,2820.3250000000003,27835.0,152002.0,19174.772,189247.0,1033430.0,433.32300000000004,4277.0,23354.0,193.264,1907.0,10416.0,,,
2010-08-01,,,,50.353,497.0,2761.0,2529.5370000000003,24966.0,138701.0,20345.878,200806.0,1115615.0,324.235,3200.0,17779.0,189.96,1875.0,10416.0,,,
2010-09-01,,,,22.948,226.0,1254.0,2361.386,23306.0,129036.0,14155.313,139707.0,773507.0,1551.356,15311.0,84773.0,184.466,1821.0,10080.0,,,
2010-10-01,,,,123.262,1217.0,6578.0,2447.025,24151.0,130588.0,18514.792,182734.0,988057.0,1036.152,10226.0,55295.0,195.181,1926.0,10416.0,,,
2010-11-01,,,,6.954000000000001,69.0,369.0,2218.069,21891.0,117543.0,21162.494,208865.0,1121468.0,144.562,1427.0,7661.0,190.21300000000002,1877.0,10080.0,,,
2010-12-01,,,,24.033,237.0,1348.0,2891.405,28537.0,162118.0,20862.098,205901.0,1169715.0,584.8430000000001,5772.0,32792.0,185.77100000000002,1833.0,10416.0,,,
2011-01-01,,,,76.179,752.0,3977.0,2915.251,28772.0,152175.0,20800.986,205297.0,1085806.0,410.226,4049.0,21414.0,199.541,1969.0,10416.0,,,
2011-02-01,,,,28.753,284.0,1656.0,2282.669,22529.0,131430.0,16771.677,165530.0,965669.0,1153.156,11381.0,66396.0,163.398,1613.0,9408.0,,,
2011-03-01,,,,67.301,664.0,3867.0,2041.112,20145.0,117264.0,15327.231,151274.0,880569.0,324.588,3204.0,18648.0,179.132,1768.0,10291.0,,,
2011-04-01,,,,10.044,99.0,649.0,1540.629,15205.0,99548.0,15211.492,150131.0,982898.0,188.565,1861.0,12184.0,154.133,1521.0,9959.0,,,
2011-05-01,,,,22.042,218.0,1199.0,1618.897,15978.0,88063.0,18867.678,186216.0,1026343.0,585.911,5783.0,31872.0,191.482,1890.0,10416.0,,,
2011-06-01,,,,13.799,136.0,743.0,1193.883,11783.0,64239.0,19392.842,191400.0,1043467.0,404.999,3997.0,21792.0,187.337,1849.0,10080.0,,,
2011-07-01,,,,34.951,345.0,1760.0,154.879,1529.0,7799.0,21231.883,209550.0,1069159.0,258.599,2552.0,13022.0,206.846,2041.0,10416.0,,,
2011-08-01,,,,0.0,0.0,0.0,1452.164,14332.0,67813.0,20456.683,201899.0,955286.0,211.403,2086.0,9872.0,223.05,2201.0,10416.0,,,
2011-09-01,,,,81.51,804.0,4598.0,1561.446,15411.0,88081.0,17913.637,176800.0,1010512.0,505.919,4993.0,28539.0,178.691,1764.0,10080.0,,,
2011-10-01,,,,16.874,167.0,1018.0,1405.058,13867.0,84725.0,18920.898,186742.0,1140926.0,458.345,4524.0,27638.0,172.737,1705.0,10416.0,,,
2011-11-01,,,,19.936,197.0,1111.0,1886.328,18617.0,105122.0,17174.757,169508.0,957120.0,659.525,6509.0,36754.0,180.878,1785.0,10080.0,,,
2011-12-01,,,,230.235,2272.0,13431.0,2613.293,25792.0,152449.0,15588.337,153851.0,909363.0,621.511,6134.0,36257.0,178.552,1762.0,10416.0,,,
2012-01-01,,,,133.151,1314.0,8217.0,2724.213,26887.0,168117.0,16707.633,164898.0,1031061.0,234.698,2316.0,14484.0,168.784,1666.0,10416.0,,,
2012-02-01,,,,3.853,38.0,226.0,3490.14,34446.0,204286.0,17095.702,168728.0,1000652.0,129.375,1277.0,7573.0,160.732,1586.0,9408.0,,,
2012-03-01,,,,67.722,668.0,3542.0,3458.651,34135.0,180895.0,16203.163,159919.0,847460.0,676.47,6676.0,35381.0,199.151,1966.0,10416.0,,,
2012-04-01,,,,13.48,133.0,633.0,3372.784,33288.0,158251.0,20885.512,206132.0,979950.0,343.868,3394.0,16134.0,214.833,2120.0,10080.0,,,
2012-05-01,,,,13.284,131.0,704.0,2902.828,28650.0,153841.0,20063.945,198023.0,1063326.0,183.662,1813.0,9734.0,196.54,1940.0,10416.0,,,
2012-06-01,,,,28.49,281.0,1529.0,2980.076,29412.0,159933.0,18904.999,186585.0,1014584.0,269.761,2662.0,14477.0,187.823,1854.0,10080.0,,,
2012-07-01,,,,18.907,187.0,935.0,3323.227,32799.0,164343.0,20582.682,203143.0,1017870.0,220.647,2178.0,10912.0,210.625,2079.0,10416.0,,,
2012-08-01,,,,143.187,1413.0,6666.0,3597.097,35502.0,167460.0,22114.358,218260.0,1029520.0,303.942,3000.0,14150.0,223.739,2208.0,10416.0,,,
2012-09-01,,,,31.315,309.0,1612.0,2811.611,27749.0,144689.0,18695.48,184517.0,962094.0,379.508,3746.0,19530.0,195.875,1933.0,10080.0,,,
2012-10-01,,,,20.646,204.0,1139.0,3547.283,35010.0,195615.0,18225.405,179877.0,1005038.0,290.981,2872.0,16046.0,188.884,1864.0,10416.0,,,
2012-11-01,,,,46.473,459.0,2563.0,3197.674,31560.0,176351.0,17411.239,171842.0,960228.0,590.933,5832.0,32590.0,182.775,1804.0,10080.0,,,
2012-12-01,,,,14.732,145.0,776.0,3751.775,37029.0,197496.0,19638.942,193829.0,1033809.0,235.169,2321.0,12380.0,197.869,1953.0,10416.0,,,
