measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-07-01,,,,,,,246.81938,3013.62,10737.41,,,,,,,6556.8844,80058.35,285244.79,3275.85422,39997.58,142509.81
2004-08-01,,,,,,,0.0,0.0,0.0,,,,,,,6561.79983,80118.37,285244.79,3040.34017,37121.99,132165.14
2004-09-01,,,,,,,480.57230000000004,5867.7,20921.54,,,,,,,6552.13585,80000.37,285244.79,2945.76384,35967.23,128242.73
2004-10-01,,,,,,,1149.43783,14034.42,50129.98,,,,,,,6540.42006,79857.31,285244.79,3099.57211,37845.2,135180.43
2004-11-01,,,,,,,1940.1024400000001,23688.29,84770.62,,,,,,,6528.25338,79708.77,285244.79,3139.47918,38332.46,137176.06
2004-12-01,,,,,,,894.49595,10921.63,38979.39,,,,,,,6545.77446,79922.7,285244.79,3766.3656,45986.63,164126.67
2005-01-01,,,,,,,1493.63688,17689.92,61860.42,,,,,,,7656.55532,90680.57,317103.64,2344.2408,27764.06,97089.0
2005-02-01,,,,,,,609.38104,7217.22,25255.81,,,,,,,7100.74785,84097.86,294290.62,2174.06711,25748.61,90104.25
2005-03-01,,,,,,,838.73485,9933.57,34755.84,,,,,,,7678.27488,90937.81,318175.51,2350.89127,27842.83,97417.2
2005-04-01,,,,,,,484.14335,5733.96,20067.07,,,,,,,6599.96929,78166.87,273559.59,2020.73936,23932.67,83756.85
2005-05-01,,,,,,,198.76724000000002,2354.1,8241.41,,,,,,,7321.98927,86718.14,303588.76,2241.80549,26550.87,92951.1
2005-06-01,,,,,,,1115.36073,13209.8,46204.42,,,,,,,7095.05614,84030.44,293916.5,2172.3231299999998,25727.95,89989.65
2005-07-01,,,,,,,1359.65621,16103.12,56318.98,,,,,,,7858.58011,93073.26,325514.04,2406.09568,28496.64,99664.05
2005-08-01,,,,,,,1600.41024,18954.49,66281.47,,,,,,,8092.21,95840.25,335141.31,2477.62776,29343.83,102611.7
2005-09-01,,,,,,,1249.50709,14798.56,51759.3,,,,,,,7616.07944,90201.19,315486.73,2331.84948,27617.31,96594.0
2005-10-01,,,,,,,1144.68227,13557.07,47418.94,,,,,,,7259.13886,85973.76,300712.88,2222.56286,26322.97,92070.6
2005-11-01,,,,,,,528.6137,6260.65,21910.59,,,,,,,7388.76062,87508.95,306257.9,2262.24868,26792.99,93768.3
2005-12-01,,,,,,,1571.33712,18610.17,65077.82,,,,,,,7988.60172,94613.18,330852.5,2445.90616,28968.14,101298.6
2006-01-01,,,,,,,140.66646,1717.51,45339.46,,,,,,,6343.38512,77451.55,2044592.76,571.38742,6976.53,184168.95
2006-02-01,,,,,,,129.64631,1582.96,41786.69,,,,,,,5758.86853,70314.72,1856158.08,518.73617,6333.67,167195.4
2006-03-01,,,,,,,123.06135,1502.56,39670.27,,,,,,,6236.39553,76145.23,2010375.36,561.75012,6858.86,181086.75
2006-04-01,,,,,,,94.42268,1152.88,30443.84,,,,,,,5763.12279,70366.66,1858150.84,519.1195299999999,6338.35,167374.95
2006-05-01,,,,,,,85.79579,1047.55,27664.58,,,,,,,5748.86397,70192.58,1853702.62,517.83524,6322.67,166974.3
2006-06-01,,,,,,,83.32303999999999,1017.36,26867.84,,,,,,,5739.03624,70072.57,1850574.6,516.94971,6311.86,166692.45
2006-07-01,,,,,,,99.36836,1213.27,32038.91,,,,,,,6167.46105,75303.57,1988547.82,555.54058,6783.05,179120.55
2006-08-01,,,,,,,84.92361,1036.9,27386.24,,,,,,,6529.74346,79726.97,2105717.46,588.17393,7181.5,189674.85
2006-09-01,,,,,,,88.84676999999999,1084.8,28648.96,,,,,,,6110.85725,74612.45,1970467.94,550.4419800000001,6720.8,177492.0
2006-10-01,,,,,,,84.18596,1027.89,27147.97,,,,,,,6345.65354,77479.25,2046322.18,571.5915,6979.03,184324.65
2006-11-01,,,,,,,103.17564,1259.76,33265.54,,,,,,,6206.52035,75780.47,2001085.1,559.05902,6826.01,180249.9
2006-12-01,,,,,,,141.77829,1731.09,45698.18,,,,,,,6435.51858,78576.5,2074305.38,579.68614,7077.86,186845.25
2011-01-01,,,,,,,0.0,0.0,11600.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,,,,,,,0.0,0.0,52200.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,,,,,,,0.0,0.0,46400.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,,,,,,,566.35,6441.0,52200.0,,,,,,,355.65,4045.0,32780.0,0.0,0.0,0.0
2011-05-01,,,,,,,1014.859,11542.0,75400.0,,,,,,,2956.092,33621.0,219626.0,1230.049,13990.0,91388.0
2011-06-01,,,,,,,863.059,9816.0,69600.0,,,,,,,4207.08,47849.0,339273.0,963.861,10962.0,77729.0
2011-07-01,,,,,,,645.317,7339.0,52200.0,,,,,,,4964.185,56459.0,401555.0,945.498,10753.0,76482.0
2011-08-01,,,,,,,1060.413,12060.0,58000.0,,,,,,,6652.411,75660.0,363858.0,1141.176,12979.0,62417.0
2011-09-01,,,,,,,2067.644,23516.0,98600.0,,,,,,,7630.112,86780.0,363858.0,584.244,6645.0,27861.0
2011-10-01,,,,,,,908.997,10338.0,52200.0,,,,,,,7192.358,81801.0,413028.0,779.645,8867.0,44772.0
2011-11-01,,,,,,,1228.304,13970.0,63800.0,,,,,,,7825.567,89003.0,406472.0,1004.129,11420.0,52156.0
2011-12-01,,,,,,,1050.498,11948.0,58000.0,,,,,,,8519.774,96898.0,470393.0,1768.728,20116.0,97655.0
2012-01-01,,,,,,,1055.041,11999.0,57530.0,,,,,,,7998.292,90967.0,436138.0,1406.667,15998.0,76704.0
2012-02-01,,,,,,,668.235,7600.0,33791.0,,,,,,,8329.958,94739.0,421223.0,1921.807,21857.0,97181.0
2012-03-01,,,,,,,811.558,9230.0,42415.0,,,,,,,8260.198,93946.0,431713.0,2713.244,30859.0,141806.0
2012-04-01,,,,,,,732.489,8331.0,40774.0,,,,,,,5697.413,64799.0,317147.0,1482.098,16856.0,82501.0
2012-05-01,,,,,,,559.195,6360.0,31633.0,,,,,,,7898.136,89828.0,446791.0,999.669,11370.0,56551.0
2012-06-01,,,,,,,250.152,2845.0,15712.0,,,,,,,6868.035,78112.0,431385.0,837.813,9529.0,52624.0
2012-07-01,,,,,,,250.708,2851.0,14836.0,,,,,,,7374.35,83871.0,436400.0,1071.942,12192.0,63436.0
2012-08-01,,,,,,,229.082,2605.0,13160.0,,,,,,,7452.129,84756.0,428107.0,2333.789,26543.0,134071.0
2012-09-01,,,,,,,182.143,2072.0,11113.0,,,,,,,6380.152,72564.0,389263.0,1220.705,13883.0,74477.0
2012-10-01,,,,,,,170.934,1944.0,9935.0,,,,,,,7396.413,84122.0,429910.0,1189.653,13530.0,69148.0
2012-11-01,,,,,,,284.997,3241.0,16391.0,,,,,,,7363.974,83753.0,423518.0,1228.029,13967.0,70627.0
2012-12-01,,,,,,,384.855,4377.0,20996.0,,,,,,,7399.529,84157.0,403686.0,942.616,10721.0,51425.0
2013-01-01,,,,,,,452.745,5149.0,24453.0,,,,0.0,0.0,0.0,7284.149,82845.0,393417.0,1667.106,18961.0,90041.0
2013-02-01,,,,,,,385.572,4385.0,20863.0,,,,0.0,0.0,0.0,7342.528,83509.0,397290.0,1390.9,15819.0,75259.0
2013-03-01,,,,,,,391.809,4456.0,21744.0,,,,0.0,0.0,0.0,7425.218,84449.0,412077.0,1846.973,21006.0,102502.0
2013-04-01,,,,,,,185.146,2106.0,9355.0,,,,0.0,0.0,0.0,8121.437,92368.0,410374.0,1744.417,19840.0,88145.0
2013-05-01,,,,,,,461.73,5251.0,28107.0,,,,0.0,0.0,0.0,6294.229,71586.0,383147.0,2834.041,32232.0,172516.0
2013-06-01,,,,,,,260.405,2962.0,17406.0,,,,0.0,0.0,0.0,4372.919,49735.0,292291.0,1550.676,17636.0,103649.0
2013-07-01,,,,,,,265.445,3019.0,13740.0,,,,0.0,0.0,0.0,6969.124,79262.0,360742.0,2667.431,30338.0,138074.0
2013-08-01,,,,,,,293.329,3336.0,18821.0,,,,0.0,0.0,0.0,5533.015,62929.0,355017.0,1985.656,22584.0,127407.0
2013-09-01,,,,,,,206.332,2347.0,10701.0,,,,0.0,0.0,0.0,7841.231,89181.0,406670.0,2298.437,26141.0,119204.0
2013-10-01,,,,,,,319.602,3635.0,16716.0,,,,0.0,0.0,0.0,7944.889,90360.0,415527.0,2501.509,28450.0,130832.0
2013-11-01,,,,,,,166.216,1890.0,10051.0,,,,0.0,0.0,0.0,6569.445,74716.0,397267.0,2034.339,23137.0,123021.0
2013-12-01,,,,,,,414.533,4715.0,22562.0,,,,0.0,0.0,0.0,7660.658,87127.0,416950.0,2296.809,26122.0,125010.0
2014-01-01,,,,,,,475.156,5404.0,24714.0,,,,0.0,0.0,0.0,6164.437,70110.0,320624.0,1953.407,22217.0,101601.0
2014-02-01,,,,,,,726.008,8257.0,33779.0,,,,0.0,0.0,0.0,7238.16,82322.0,336772.0,2082.832,23689.0,96909.0
2014-03-01,,,,,,,472.115,5370.0,25746.0,,,,0.0,0.0,0.0,6410.319,72907.0,349579.0,2387.566,27155.0,130203.0
2014-04-01,,,,,,,237.262,2698.0,14587.0,,,,0.0,0.0,0.0,6172.56,70203.0,379492.0,2209.178,25126.0,135822.0
2014-05-01,,,,,,,390.273,4439.0,17760.0,,,,0.0,0.0,0.0,7824.056,88986.0,356038.0,1517.671,17261.0,69063.0
2014-06-01,,,,,,,263.241,2994.0,13781.0,,,,0.0,0.0,0.0,5143.431,58498.0,269261.0,1353.328,15392.0,70848.0
2014-07-01,,,,,,,572.697,6513.0,26529.0,,,,0.0,0.0,0.0,7436.833,84582.0,344498.0,1744.47,19840.0,80810.0
2014-08-01,,,,,,,173.802,1977.0,10092.0,,,,0.0,0.0,0.0,6293.908,71583.0,365463.0,1470.29,16722.0,85374.0
2014-09-01,,,,,,,350.563,3987.0,18102.0,,,,0.0,0.0,0.0,6426.299,73088.0,331830.0,1712.138,19473.0,88409.0
2014-10-01,,,,,,,480.539,5465.0,27208.0,,,,0.0,0.0,0.0,7556.022,85937.0,427817.0,2319.439,26380.0,131325.0
2014-11-01,,,,,,,409.449,4657.0,20387.0,,,,0.0,0.0,0.0,7259.181,82561.0,361444.0,1928.37,21932.0,96016.0
2014-12-01,,,,,,,809.462,9206.0,41714.0,,,,0.0,0.0,0.0,6733.695,76585.0,347004.0,2217.843,25224.0,114291.0
2015-01-01,,,,,,,621.074,7064.0,31001.0,,,,0.0,0.0,0.0,7988.084,90851.0,398726.0,2021.842,22995.0,100921.0
2015-02-01,,,,,,,337.496,3838.0,18490.0,,,,0.0,0.0,0.0,6516.577,74115.0,357023.0,1982.927,22552.0,108639.0
2015-03-01,,,,,,,249.503,2838.0,14233.0,,,,0.0,0.0,0.0,7272.409,82712.0,414864.0,1935.088,22008.0,110390.0
2015-04-01,,,,,,,403.639,4591.0,21965.0,,,,0.0,0.0,0.0,7021.389,79857.0,382079.0,2164.972,24623.0,117810.0
2015-05-01,,,,,,,143.04,1627.0,7813.0,,,,0.0,0.0,0.0,7570.306,86100.0,413477.0,1799.654,20468.0,98294.0
2015-06-01,,,,,,,181.138,2060.0,10289.0,,,,0.0,0.0,0.0,6681.788,75994.0,379547.0,1817.074,20666.0,103216.0
2015-07-01,,,,,,,198.717,2260.0,10104.0,,,,0.0,0.0,0.0,7327.98,83344.0,372586.0,1354.303,15403.0,68859.0
2015-08-01,,,,,,,185.241,2107.0,10046.0,,,,0.0,0.0,0.0,5800.414,65970.0,314555.0,789.345,8977.0,42806.0
2015-09-01,,,,,,,368.092,4186.0,18073.0,,,,0.0,0.0,0.0,6712.188,76340.0,329559.0,1610.72,18319.0,79084.0
2015-10-01,,,,,,,234.454,2667.0,11281.0,,,,0.0,0.0,0.0,8060.962,91680.0,387861.0,2400.584,27303.0,115507.0
2015-11-01,,,,,,,594.359,6760.0,29220.0,,,,0.0,0.0,0.0,8236.062,93671.0,404908.0,1968.579,22389.0,96781.0
2015-12-01,,,,,,,416.103,4732.0,22527.0,,,,0.0,0.0,0.0,8348.285,94948.0,451964.0,2370.612,26962.0,128342.0
2016-01-01,,,,,,,591.548,2691.0,40043.0,,,,0.0,0.0,0.0,5188.337,23603.0,351210.0,4112.115,18707.0,278358.0
2016-02-01,,,,,,,571.666,2601.0,33976.0,,,,0.0,0.0,0.0,6264.424,28499.0,372320.0,2238.91,10186.0,133068.0
2016-03-01,,,,,,,453.447,2063.0,25897.0,,,,0.0,0.0,0.0,7655.524,34828.0,437218.0,2417.029,10996.0,138040.0
2016-04-01,,,,,,,499.047,2270.0,26953.0,,,,0.0,0.0,0.0,6986.422,31784.0,377324.0,2234.531,10166.0,120683.0
2016-05-01,,,,,,,566.439,2577.0,30096.0,,,,0.0,0.0,0.0,7108.382,32338.0,377685.0,1905.179,8667.0,101227.0
2016-06-01,,,,,,,203.791,927.0,10347.0,,,,0.0,0.0,0.0,8056.757,36653.0,409070.0,1640.452,7463.0,83292.0
2016-07-01,,,,,,,242.567,1104.0,12464.0,,,,0.0,0.0,0.0,8092.777,36817.0,415844.0,1570.656,7145.0,80708.0
2016-08-01,,,,,,,133.675,608.0,6809.0,,,,0.0,0.0,0.0,6238.378,28380.0,317774.0,1478.947,6728.0,75336.0
2016-09-01,,,,,,,90.332,411.0,4582.0,,,,0.0,0.0,0.0,8384.833,38145.0,425311.0,2000.835,9102.0,101490.0
2016-10-01,,,,,,,378.042,1720.0,18705.0,,,,0.0,0.0,0.0,8354.285,38006.0,413359.0,2430.673,11058.0,120267.0
2016-11-01,,,,,,,354.674,1614.0,18189.0,,,,0.0,0.0,0.0,7514.94,34188.0,385390.0,2332.386,10611.0,119612.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,613.808,2792.0,30224.0,0.0,0.0,0.0,0.0,0.0,0.0,7906.302,35968.0,389305.0,2763.89,12574.0,136094.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,460.31,2098.0,20979.0,0.0,0.0,0.0,0.0,0.0,0.0,8098.316,36909.0,369080.0,2510.374,11441.0,114410.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,464.486,2113.0,23293.0,0.0,0.0,0.0,0.0,0.0,0.0,7108.192,32338.0,356458.0,2362.322,10747.0,118465.0
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,562.463,2559.0,29006.0,0.0,0.0,0.0,0.0,0.0,0.0,7892.237,35904.0,406996.0,3034.3,13804.0,156477.0
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,150.983,818.0,16054.0,0.0,0.0,0.0,0.0,0.0,0.0,3812.926,20657.0,405438.0,1275.091,6908.0,135584.0
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,262.348,1194.0,17110.0,0.0,0.0,0.0,0.0,0.0,0.0,6351.695,28896.0,414249.0,1905.957,8671.0,124304.0
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,382.165,1739.0,17098.0,0.0,0.0,0.0,0.0,0.0,0.0,8352.773,38000.0,373710.0,1884.062,8571.0,84295.0
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,488.471,2222.0,23971.0,0.0,0.0,0.0,0.0,0.0,0.0,7721.652,35128.0,378935.0,2097.877,9544.0,102952.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,168.393,766.0,7882.0,0.0,0.0,0.0,0.0,0.0,0.0,8861.855,40316.0,414810.0,1870.752,8511.0,87567.0
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,748.121,3403.0,32805.0,0.0,0.0,0.0,0.0,0.0,0.0,5332.651,24260.0,233834.0,1353.228,6156.0,59339.0
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,318.392,1448.0,17203.0,0.0,0.0,0.0,0.0,0.0,0.0,7469.297,33980.0,403568.0,2059.311,9368.0,111265.0
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,368.693,1677.0,21466.0,0.0,0.0,0.0,0.0,0.0,0.0,7216.866,32832.0,420176.0,2380.441,10829.0,138593.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,863.994,3931.0,46829.0,0.0,0.0,0.0,0.0,0.0,0.0,7413.607,33727.0,401824.0,2362.399,10747.0,128044.0
2018-01-01,0.0,0.0,0.0,0.0,0.0,0.0,436.22,1985.0,25050.0,0.0,0.0,0.0,0.0,0.0,0.0,7241.383,32943.0,415841.0,2953.397,13436.0,169601.0
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0,447.469,2036.0,26889.0,0.0,0.0,0.0,0.0,0.0,0.0,6312.657,28718.0,379333.0,2788.874,12688.0,167586.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,410.595,1868.0,20584.0,0.0,0.0,0.0,0.0,0.0,0.0,7910.689,35988.0,396584.0,2756.716,12541.0,138202.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,277.464,1262.0,22318.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.089,21742.0,384416.0,1446.447,6580.0,116348.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,187.34,852.0,10834.0,0.0,0.0,0.0,0.0,0.0,0.0,7001.872,31854.0,404938.0,2653.788,12073.0,153476.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,485.22,2207.0,24145.0,0.0,0.0,0.0,0.0,0.0,0.0,6781.192,30850.0,337444.0,1829.588,8323.0,91044.0
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,266.302,1211.0,12905.0,0.0,0.0,0.0,0.0,0.0,0.0,8021.066,36491.0,388700.0,1538.632,7000.0,74562.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0,217.896,991.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0,8421.95,38314.0,386481.0,1851.154,8422.0,84949.0
2018-09-01,0.0,0.0,0.0,0.0,0.0,0.0,158.738,722.0,9866.0,0.0,0.0,0.0,0.0,0.0,0.0,5109.593,23245.0,317569.0,1164.669,5298.0,72386.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,392.098,1784.0,21437.0,0.0,0.0,0.0,0.0,0.0,0.0,7871.468,35810.0,430349.0,2644.434,12030.0,144577.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,539.665,2455.0,28066.0,0.0,0.0,0.0,0.0,0.0,0.0,7121.93,32400.0,370388.0,2242.405,10201.0,116620.0
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,576.42,2622.0,28681.0,0.0,0.0,0.0,0.0,0.0,0.0,8015.325,36464.0,398820.0,1761.255,8013.0,87635.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,643.078,2926.0,37329.0,0.0,0.0,0.0,0.0,0.0,0.0,7611.84,34629.0,441845.0,2630.082,11965.0,152669.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,456.879,2078.0,26222.0,0.0,0.0,0.0,0.0,0.0,0.0,7115.411,32370.0,408377.0,2424.71,11031.0,139162.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,632.868,2879.0,32422.0,0.0,0.0,0.0,0.0,0.0,0.0,8700.628,39582.0,445736.0,1992.504,9065.0,102077.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,422.067,1920.0,22318.0,0.0,0.0,0.0,0.0,0.0,0.0,7675.547,34919.0,405874.0,2206.386,10038.0,116671.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,481.12,2189.0,24314.0,0.0,0.0,0.0,0.0,0.0,0.0,8316.826,37836.0,420294.0,1872.054,8517.0,94605.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,521.699,2373.0,26871.0,0.0,0.0,0.0,0.0,0.0,0.0,8114.378,36915.0,417951.0,1933.923,8798.0,99612.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,643.408,2927.0,36604.0,0.0,0.0,0.0,0.0,0.0,0.0,7781.974,35403.0,442720.0,1919.618,8733.0,109208.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,150.479,685.0,8990.0,0.0,0.0,0.0,0.0,0.0,0.0,7393.686,33636.0,441717.0,1898.835,8638.0,113441.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,270.444,1230.0,14715.0,0.0,0.0,0.0,0.0,0.0,0.0,5610.659,25525.0,305271.0,1170.897,5327.0,63708.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,710.882,3234.0,44596.0,0.0,0.0,0.0,0.0,0.0,0.0,7278.31,33111.0,456595.0,2266.808,10312.0,142205.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,538.997,2452.0,32022.0,0.0,0.0,0.0,0.0,0.0,0.0,7595.118,34553.0,451226.0,1905.885,8671.0,113229.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,769.691,3502.0,49584.0,0.0,0.0,0.0,0.0,0.0,0.0,8129.964,36986.0,523739.0,1747.345,7949.0,112566.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1038.232,4723.0,66607.0,0.0,0.0,0.0,0.0,0.0,0.0,6867.548,31243.0,440584.0,2340.22,10646.0,150136.0
