measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2005-01-01,113.638,1248.03,1248.03,,,,654.2610000000001,6541.96,6541.96
2005-02-01,39.042,428.78,428.78,,,,565.672,5656.16,5656.16
2005-03-01,43.274,475.25,475.25,,,,619.671,6196.09,6196.09
2005-04-01,52.417,575.66,575.66,,,,591.912,5918.53,5918.53
2005-05-01,48.682,534.64,534.64,,,,535.437,5353.84,5353.84
2005-06-01,63.184000000000005,693.92,693.92,,,,603.119,6030.59,6030.59
2005-07-01,64.31400000000001,706.32,706.32,,,,647.374,6473.09,6473.09
2005-08-01,75.553,829.76,829.76,,,,547.76,5477.05,5477.05
2005-09-01,49.458000000000006,543.17,543.17,,,,453.24100000000004,4531.95,4531.95
2005-10-01,54.924,603.19,603.19,,,,386.834,3867.95,3867.95
2005-11-01,44.154,484.92,484.92,,,,413.98900000000003,4139.48,4139.48
2005-12-01,93.36200000000001,1025.35,1025.35,,,,506.73,5066.8,5066.8
2006-01-01,59.35,519.0,519.0,,,,974.5970000000001,9667.0,9667.0
2006-02-01,31.056,271.0,271.0,,,,878.798,8717.0,8717.0
2006-03-01,26.087,228.0,228.0,,,,774.234,7680.0,7680.0
2006-04-01,49.971000000000004,437.0,437.0,,,,842.7280000000001,8359.0,8359.0
2006-05-01,46.71,408.0,408.0,,,,996.385,9883.0,9883.0
2006-06-01,42.457,371.0,371.0,,,,979.013,9711.0,9711.0
2006-07-01,61.499,538.0,538.0,,,,1026.6290000000001,10183.0,10183.0
2006-08-01,59.654,521.0,521.0,,,,1019.21,10110.0,10110.0
2006-09-01,27.406000000000002,240.0,240.0,,,,661.5880000000001,6562.0,6562.0
2006-10-01,28.95,253.0,253.0,,,,583.2370000000001,5785.0,5785.0
2006-11-01,34.089,298.0,298.0,,,,683.163,6776.0,6776.0
2006-12-01,37.771,330.0,330.0,,,,723.418,7176.0,7176.0
2007-01-01,108.331,1096.0,1096.0,,,,791.0640000000001,7819.0,7819.0
2007-02-01,167.113,1688.0,1688.0,,,,501.093,4953.0,4953.0
2007-03-01,89.336,899.0,899.0,,,,685.69,6777.0,6777.0
2007-04-01,42.546,429.0,429.0,,,,883.109,8729.0,8729.0
2007-05-01,39.804,400.0,400.0,,,,790.9340000000001,7818.0,7818.0
2007-06-01,52.507000000000005,528.0,528.0,,,,401.10200000000003,3964.0,3964.0
2007-07-01,43.827000000000005,441.0,441.0,,,,553.889,5475.0,5475.0
2007-08-01,54.324000000000005,551.0,551.0,,,,273.75100000000003,2706.0,2706.0
2007-09-01,41.069,412.0,412.0,,,,192.135,1899.0,1899.0
2007-10-01,37.465,377.0,377.0,,,,490.278,4846.0,4846.0
2007-11-01,26.433,267.0,267.0,,,,790.919,7817.0,7817.0
2007-12-01,90.24600000000001,911.0,911.0,,,,816.035,8066.0,8066.0
2008-01-01,33.775,330.0,330.0,,,,1049.832,10345.0,10345.0
2008-02-01,25.652,252.0,252.0,,,,968.945,9548.0,9548.0
2008-03-01,26.635,258.0,258.0,,,,1156.758,11399.0,11399.0
2008-04-01,14.985000000000001,144.0,144.0,,,,1158.679,11418.0,11418.0
2008-05-01,13.139000000000001,126.0,126.0,,,,888.2710000000001,8753.0,8753.0
2008-06-01,29.239,282.0,282.0,,,,798.633,7870.0,7870.0
2008-07-01,27.741,270.0,270.0,,,,745.7030000000001,7348.0,7348.0
2008-08-01,16.506,162.0,162.0,,,,1002.4530000000001,9878.0,9878.0
2008-09-01,19.31,186.0,186.0,,,,265.926,2620.0,2620.0
2008-10-01,12.691,126.0,126.0,,,,603.563,5948.0,5948.0
2008-11-01,15.174000000000001,150.0,150.0,,,,1017.1790000000001,10023.0,10023.0
2008-12-01,33.153,324.0,324.0,,,,1047.058,10318.0,10318.0
2009-01-01,70.299,806.0,806.0,,,,915.678,8937.0,8937.0
2009-02-01,18.652,217.0,217.0,,,,906.302,8846.0,8846.0
2009-03-01,18.11,211.0,211.0,,,,1464.9370000000001,14298.0,14298.0
2009-04-01,4.444,50.0,50.0,,,,1359.576,13269.0,13269.0
2009-05-01,3.92,43.0,43.0,,,,1320.59,12889.0,12889.0
2009-06-01,2.511,31.0,31.0,,,,965.5210000000001,9423.0,9423.0
2009-07-01,4.123,50.0,50.0,,,,1270.747,12402.0,12402.0
2009-08-01,12.747,149.0,149.0,,,,737.033,7193.0,7193.0
2009-09-01,2.253,25.0,25.0,,,,279.071,2724.0,2724.0
2009-10-01,3.1580000000000004,37.0,37.0,,,,525.571,5130.0,5130.0
2009-11-01,4.062,50.0,50.0,,,,886.315,8650.0,8650.0
2009-12-01,7.721,87.0,87.0,,,,1163.659,11357.0,11357.0
2010-01-01,3.8310000000000004,52.0,52.0,,,,623.928,6087.0,6087.0
2010-02-01,4.047000000000001,41.0,41.0,,,,559.0790000000001,5454.0,5454.0
2010-03-01,3.734,41.0,41.0,,,,814.941,7951.0,7951.0
2010-04-01,2.16,23.0,23.0,,,,999.239,9749.0,9749.0
2010-05-01,6.135000000000001,64.0,64.0,,,,793.5600000000001,7742.0,7742.0
2010-06-01,5.905,64.0,64.0,,,,612.2660000000001,5973.0,5973.0
2010-07-01,22.368000000000002,238.0,238.0,,,,421.606,4113.0,4113.0
2010-08-01,13.236,139.0,139.0,,,,328.485,3205.0,3205.0
2010-09-01,9.77,104.0,104.0,,,,173.519,1693.0,1693.0
2010-10-01,4.0360000000000005,41.0,41.0,,,,821.302,8013.0,8013.0
2010-11-01,5.107,52.0,52.0,,,,969.553,9459.0,9459.0
2010-12-01,7.671,81.0,81.0,,,,628.522,6132.0,6132.0
2011-01-01,38.588,412.0,412.0,,,,795.899,7733.0,7733.0
2011-02-01,23.084,238.0,238.0,,,,581.765,5652.0,5652.0
2011-03-01,12.059,128.0,128.0,,,,1195.079,11611.0,11611.0
2011-04-01,8.613,87.0,87.0,,,,1120.792,10890.0,10890.0
2011-05-01,2.412,23.0,23.0,,,,1220.587,11859.0,11859.0
2011-06-01,4.479,46.0,46.0,,,,1062.84,10327.0,10327.0
2011-07-01,43.067,447.0,447.0,,,,275.22,2674.0,2674.0
2011-08-01,24.154,249.0,249.0,,,,210.33,2044.0,2044.0
2011-09-01,24.849,255.0,255.0,,,,703.488,6835.0,6835.0
2011-10-01,14.249,145.0,145.0,,,,1069.329,10390.0,10390.0
2011-11-01,13.656,139.0,139.0,,,,642.179,6239.0,6239.0
2011-12-01,3.79,41.0,41.0,,,,1044.492,10148.0,10148.0
2012-01-01,7.884,81.0,81.0,,,,1012.225,9632.0,9632.0
2012-02-01,1.653,17.0,17.0,,,,880.864,8382.0,8382.0
2012-03-01,2.128,23.0,23.0,,,,1420.611,13519.0,13519.0
2012-04-01,1.693,17.0,17.0,,,,1254.82,11941.0,11941.0
2012-05-01,2.033,17.0,17.0,,,,1365.524,12994.0,12994.0
2012-06-01,9.693,93.0,93.0,,,,745.0,7089.0,7089.0
2012-07-01,7.67,75.0,75.0,,,,366.806,3491.0,3491.0
2012-08-01,3.65,35.0,35.0,,,,261.399,2487.0,2487.0
2012-09-01,1.539,17.0,17.0,,,,349.061,3322.0,3322.0
2012-10-01,2.568,23.0,23.0,,,,1073.404,10215.0,10215.0
2012-11-01,3.757,35.0,35.0,,,,873.183,8309.0,8309.0
2012-12-01,1.732,17.0,17.0,,,,1291.103,12286.0,12286.0
2013-01-01,80.739,818.0,818.0,,,,1244.952,11878.0,11878.0
2013-02-01,62.577,638.0,638.0,,,,900.196,8589.0,8589.0
2013-03-01,4.13,41.0,41.0,,,,1168.629,11150.0,11150.0
2013-04-01,7.26,75.0,75.0,,,,1663.418,15871.0,15871.0
2013-05-01,4.816,46.0,46.0,,,,1160.504,11072.0,11072.0
2013-06-01,7.651,75.0,75.0,,,,1536.021,14655.0,14655.0
2013-07-01,36.009,365.0,365.0,,,,1454.185,13874.0,13874.0
2013-08-01,6.194,64.0,64.0,,,,748.712,7143.0,7143.0
2013-09-01,7.146,75.0,75.0,,,,716.79,6839.0,6839.0
2013-10-01,4.644,46.0,46.0,,,,540.059,5153.0,5153.0
2013-11-01,9.46,99.0,99.0,,,,1137.288,10851.0,10851.0
2013-12-01,93.374,945.0,945.0,,,,1310.246,12501.0,12501.0
2014-01-01,204.513,2047.0,2047.0,,,,1285.035,12221.0,12221.0
2014-02-01,48.074,481.0,481.0,,,,728.155,6925.0,6925.0
2014-03-01,65.763,655.0,655.0,,,,674.883,6418.0,6418.0
2014-04-01,1.259,12.0,12.0,,,,1484.186,14115.0,14115.0
2014-05-01,1.424,12.0,12.0,,,,1685.195,16026.0,16026.0
2014-06-01,1.292,12.0,12.0,,,,1016.506,9667.0,9667.0
2014-07-01,3.819,41.0,41.0,,,,716.386,6813.0,6813.0
2014-08-01,5.626,58.0,58.0,,,,590.02,5611.0,5611.0
2014-09-01,1.343,12.0,12.0,,,,232.291,2209.0,2209.0
2014-10-01,1.288,12.0,12.0,,,,748.287,7116.0,7116.0
2014-11-01,2.744,29.0,29.0,,,,762.535,7252.0,7252.0
2014-12-01,4.855,46.0,46.0,,,,1300.521,12368.0,12368.0
2015-01-01,9.894,110.0,110.0,,,,695.072,6477.0,6477.0
2015-02-01,59.014,655.0,655.0,,,,460.59,4292.0,4292.0
2015-03-01,2.458,29.0,29.0,,,,487.341,4542.0,4542.0
2015-04-01,0.54,6.0,6.0,,,,1196.137,11147.0,11147.0
2015-05-01,0.656,6.0,6.0,,,,990.268,9228.0,9228.0
2015-06-01,0.318,6.0,6.0,,,,1295.466,12072.0,12072.0
2015-07-01,2.057,23.0,23.0,,,,992.129,9246.0,9246.0
2015-08-01,1.027,12.0,12.0,,,,400.108,3729.0,3729.0
2015-09-01,2.231,23.0,23.0,,,,232.621,2168.0,2168.0
2015-10-01,0.554,6.0,6.0,,,,480.595,4479.0,4479.0
2015-11-01,0.647,6.0,6.0,,,,643.662,5998.0,5998.0
2015-12-01,0.604,6.0,6.0,,,,1074.011,10009.0,10009.0
2016-01-01,21.376,238.0,238.0,,,,1295.595,11961.0,11961.0
2016-02-01,43.53,470.0,470.0,,,,1347.28,12438.0,12438.0
2016-03-01,2.897,29.0,29.0,,,,1817.83,16782.0,16782.0
2016-04-01,3.864,41.0,41.0,,,,1702.095,15714.0,15714.0
2016-05-01,9.279,99.0,99.0,,,,681.726,6294.0,6294.0
2016-06-01,7.933,87.0,87.0,,,,730.556,6744.0,6744.0
2016-07-01,24.251,261.0,261.0,,,,526.039,4856.0,4856.0
2016-08-01,26.086,284.0,284.0,,,,409.67,3782.0,3782.0
2016-09-01,19.703,215.0,215.0,,,,146.492,1352.0,1352.0
2016-10-01,27.258,296.0,296.0,,,,60.246,556.0,556.0
2016-11-01,73.549,800.0,800.0,,,,243.519,2248.0,2248.0
2016-12-01,34.274,371.0,371.0,,,,943.952,8715.0,8715.0
2017-01-01,29.7,302.0,302.0,,,,827.454,7623.0,7623.0
2017-02-01,16.09,168.0,168.0,,,,823.611,7588.0,7588.0
2017-03-01,19.326,203.0,203.0,,,,1014.646,9348.0,9348.0
2017-04-01,13.378,139.0,139.0,,,,1411.173,13001.0,13001.0
2017-05-01,13.713,145.0,145.0,,,,1476.407,13602.0,13602.0
2017-06-01,13.646,145.0,145.0,,,,1128.005,10392.0,10392.0
2017-07-01,9.367,99.0,99.0,,,,939.348,8654.0,8654.0
2017-08-01,9.166,93.0,93.0,,,,590.764,5443.0,5443.0
2017-09-01,15.568,162.0,162.0,,,,445.566,4105.0,4105.0
2017-10-01,15.127,157.0,157.0,,,,428.732,3950.0,3950.0
2017-11-01,25.434,267.0,267.0,,,,1015.012,9351.0,9351.0
2017-12-01,352.485,3677.0,3677.0,,,,786.282,7244.0,7244.0
2018-01-01,249.634,2521.0,2521.0,,,,729.499,6641.0,6641.0
2018-02-01,9.608,99.0,99.0,,,,780.675,7107.0,7107.0
2018-03-01,10.667,105.0,105.0,,,,865.115,7876.0,7876.0
2018-04-01,8.177,82.0,82.0,,,,1037.163,9442.0,9442.0
2018-05-01,9.068,94.0,94.0,,,,846.472,7706.0,7706.0
2018-06-01,7.805,82.0,82.0,,,,386.195,3516.0,3516.0
2018-07-01,10.756,111.0,111.0,,,,333.739,3038.0,3038.0
2018-08-01,19.375,199.0,199.0,,,,460.034,4188.0,4188.0
2018-09-01,9.528,94.0,94.0,,,,441.331,4018.0,4018.0
2018-10-01,8.627,88.0,88.0,,,,657.792,5989.0,5989.0
2018-11-01,18.552,187.0,187.0,,,,905.264,8242.0,8242.0
2018-12-01,10.203,105.0,105.0,,,,969.721,8828.0,8828.0
2019-01-01,3.896,35.0,35.0,,,,652.29,5809.0,5809.0
2019-02-01,2.436,23.0,23.0,,,,605.834,5395.0,5395.0
2019-03-01,2.539,23.0,23.0,,,,639.432,5694.0,5694.0
2019-04-01,1.972,17.0,17.0,,,,693.339,6174.0,6174.0
2019-05-01,1.008,12.0,12.0,,,,736.56,6559.0,6559.0
2019-06-01,1.228,12.0,12.0,,,,524.756,4673.0,4673.0
2019-07-01,1.67,17.0,17.0,,,,318.671,2838.0,2838.0
2019-08-01,3.185,29.0,29.0,,,,179.23,1596.0,1596.0
2019-09-01,1.534,12.0,12.0,,,,159.276,1418.0,1418.0
2019-10-01,2.414,23.0,23.0,,,,347.616,3096.0,3096.0
2019-11-01,3.336,29.0,29.0,,,,423.961,3775.0,3775.0
2019-12-01,3.782,35.0,35.0,,,,575.035,5121.0,5121.0
2020-01-01,5.626,67.0,67.0,,,,509.567,4467.0,4467.0
2020-02-01,6.005,67.0,67.0,,,,434.283,3807.0,3807.0
2020-03-01,4.666,56.0,56.0,,,,592.635,5196.0,5196.0
2020-04-01,5.184,62.0,62.0,,,,639.42,5606.0,5606.0
2020-05-01,3.627,39.0,39.0,,,,576.231,5052.0,5052.0
2020-06-01,3.523,39.0,39.0,,,,190.725,1672.0,1672.0
2020-07-01,4.186,50.0,50.0,,,,242.254,2124.0,2124.0
2020-08-01,3.949,45.0,45.0,,,,130.976,1148.0,1148.0
2020-09-01,4.478,50.0,50.0,,,,74.559,654.0,654.0
2020-10-01,7.03,78.0,78.0,,,,277.307,2431.0,2431.0
2020-11-01,7.079,78.0,78.0,,,,326.989,2867.0,2867.0
2020-12-01,39.647,454.0,454.0,,,,441.054,3867.0,3867.0
2021-01-01,14.208,151.0,151.0,,,,1162.083,10277.0,10277.0
2021-02-01,31.431,325.0,325.0,,,,746.44,6602.0,6602.0
2021-03-01,7.93,81.0,81.0,,,,1149.684,10168.0,10168.0
2021-04-01,4.075,41.0,41.0,,,,1418.395,12544.0,12544.0
2021-05-01,3.524,35.0,35.0,,,,1088.13,9623.0,9623.0
2021-06-01,3.449,35.0,35.0,,,,482.245,4265.0,4265.0
2021-07-01,5.206,52.0,52.0,,,,960.505,8495.0,8495.0
2021-08-01,6.207,64.0,64.0,,,,672.487,5947.0,5947.0
2021-09-01,3.97,41.0,41.0,,,,774.338,6848.0,6848.0
2021-10-01,,,,0.0,0.0,0.0,831.021,7350.0,7350.0
2021-11-01,,,,0.0,0.0,0.0,1173.774,10381.0,10381.0
2021-12-01,,,,0.0,0.0,0.0,1151.898,10187.0,10187.0
2022-01-01,0.0,0.0,0.0,,,,746.854,2548.0,2548.0
2022-02-01,0.0,0.0,0.0,,,,923.726,3152.0,3152.0
2022-03-01,0.0,0.0,0.0,,,,1354.792,4623.0,4623.0
2022-04-01,0.0,0.0,0.0,,,,1551.723,5294.0,5294.0
2022-05-01,0.0,0.0,0.0,,,,1130.811,3858.0,3858.0
2022-06-01,0.0,0.0,0.0,,,,533.277,1820.0,1820.0
2022-07-01,0.0,0.0,0.0,,,,303.553,1036.0,1036.0
2022-08-01,0.0,0.0,0.0,,,,266.014,908.0,908.0
2022-09-01,0.0,0.0,0.0,,,,497.071,1696.0,1696.0
2022-10-01,0.0,0.0,0.0,,,,651.469,2223.0,2223.0
2022-11-01,0.0,0.0,0.0,,,,723.549,2469.0,2469.0
2022-12-01,0.0,0.0,0.0,,,,1047.161,3573.0,3573.0
2023-01-01,0.0,0.0,0.0,,,,1278.0,4361.0,4361.0
2023-02-01,0.0,0.0,0.0,,,,890.0,3037.0,3037.0
2023-03-01,0.0,0.0,0.0,,,,1474.0,5029.0,5029.0
2023-04-01,0.0,0.0,0.0,,,,1610.0,5493.0,5493.0
2023-05-01,0.0,0.0,0.0,,,,1229.0,4193.0,4193.0
2023-06-01,0.0,0.0,0.0,,,,871.0,2972.0,2972.0
2023-07-01,0.0,0.0,0.0,,,,1344.0,4586.0,4586.0
2023-08-01,0.0,0.0,0.0,,,,1103.0,3763.0,3763.0
2023-09-01,0.0,0.0,0.0,,,,807.0,2753.0,2753.0
2023-10-01,0.0,0.0,0.0,,,,496.0,1692.0,1692.0
2023-11-01,0.0,0.0,0.0,,,,506.0,1726.0,1726.0
2023-12-01,0.0,0.0,0.0,,,,765.0,2610.0,2610.0
2024-01-01,0.0,0.0,0.0,,,,500.0,1706.0,1706.0
2024-02-01,0.0,0.0,0.0,,,,474.0,1617.0,1617.0
2024-03-01,0.0,0.0,0.0,,,,723.0,2467.0,2467.0
2024-04-01,0.0,0.0,0.0,,,,928.0,3166.0,3166.0
2024-05-01,0.0,0.0,0.0,,,,1080.0,3685.0,3685.0
2024-06-01,0.0,0.0,0.0,,,,678.0,2313.0,2313.0
2024-07-01,0.0,0.0,0.0,,,,614.0,2095.0,2095.0
2024-08-01,0.0,0.0,0.0,,,,954.0,3255.0,3255.0
2024-09-01,0.0,0.0,0.0,,,,240.0,819.0,819.0
2024-10-01,0.0,0.0,0.0,,,,269.0,918.0,918.0
2024-11-01,0.0,0.0,0.0,,,,637.0,2173.0,2173.0
2024-12-01,0.0,0.0,0.0,,,,948.0,3235.0,3235.0
