measured_on,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-12-01,3051.0170000000003,15323.0,151416.0
2010-01-01,3226.752,16206.0,156492.0
2010-02-01,2967.333,14903.0,143946.0
2010-03-01,2600.1020000000003,13059.0,126126.0
2010-04-01,2511.731,12615.0,121842.0
2010-05-01,2958.893,14861.0,143532.0
2010-06-01,3038.502,15260.0,147402.0
2010-07-01,3276.743,16457.0,158958.0
2010-08-01,3110.0910000000003,15620.0,150876.0
2010-09-01,2095.2870000000003,10523.0,101646.0
2010-10-01,1629.9660000000001,8186.0,79074.0
2010-11-01,2294.21,11522.0,111294.0
2010-12-01,3347.02,16810.0,162360.0
2011-01-01,3164.048,15891.0,153864.0
2011-02-01,2499.37,12553.0,121531.0
2011-03-01,2990.207,15018.0,145393.0
2011-04-01,2122.982,10662.0,103224.0
2011-05-01,2632.545,13222.0,128002.0
2011-06-01,2563.961,12877.0,124673.0
2011-07-01,3055.819,15347.0,148590.0
2011-08-01,3019.087,15163.0,146795.0
2011-09-01,2212.646,11113.0,107581.0
2011-10-01,2130.988,10703.0,103617.0
2011-11-01,2198.795,11043.0,106908.0
2011-12-01,2307.932,11591.0,112219.0
2012-01-01,4416.617,22182.0,145748.0
2012-02-01,3965.512,19916.0,130863.0
2012-03-01,3179.772,15970.0,104944.0
2012-04-01,2918.497,14658.0,96324.0
2012-05-01,2507.364,12593.0,82748.0
2012-06-01,3407.233,17112.0,112443.0
2012-07-01,4666.716,23438.0,154013.0
2012-08-01,4592.305,23064.0,151545.0
2012-09-01,3951.351,19845.0,130395.0
2012-10-01,4030.982,20245.0,133032.0
2012-11-01,4105.186,20618.0,135482.0
2012-12-01,5206.465,26149.0,171816.0
2013-01-01,5127.374,25752.0,163494.0
2013-02-01,4335.298,21773.0,138230.0
2013-03-01,4245.564,21323.0,135369.0
2013-04-01,3392.479,17038.0,108161.0
2013-05-01,3340.26,16776.0,106497.0
2013-06-01,3740.959,18788.0,119287.0
2013-07-01,4859.672,24407.0,154948.0
2013-08-01,4991.158,25067.0,159137.0
2013-09-01,3917.506,19675.0,124916.0
2013-10-01,4443.615,22317.0,141690.0
2013-11-01,4263.956,21415.0,135949.0
2013-12-01,5518.459,27716.0,175948.0
2014-01-01,3523.854,17698.0,143616.0
2014-02-01,3343.163,16791.0,136267.0
2014-03-01,2995.911,15047.0,122111.0
2014-04-01,2077.289,10433.0,84674.0
2014-05-01,2792.412,14025.0,113808.0
2014-06-01,2890.839,14519.0,117829.0
2014-07-01,3101.443,15577.0,126412.0
2014-08-01,3546.825,17813.0,144570.0
2014-09-01,2671.801,13419.0,108909.0
2014-10-01,2818.363,14155.0,114874.0
2014-11-01,3222.121,16183.0,131330.0
2014-12-01,3749.879,18833.0,152835.0
2015-01-01,4381.989,22008.0,169023.0
2015-02-01,4031.896,20250.0,155528.0
2015-03-01,3311.319,16631.0,127745.0
2015-04-01,2491.129,12511.0,96107.0
2015-05-01,3562.293,17891.0,137422.0
2015-06-01,3766.48,18917.0,145303.0
2015-07-01,4302.394,21608.0,165961.0
2015-08-01,3191.973,16031.0,123134.0
2015-09-01,3006.373,15099.0,115970.0
2015-10-01,3066.428,15401.0,118295.0
2015-11-01,3418.746,17170.0,131884.0
2015-12-01,3530.12,17730.0,136175.0
2016-01-01,3958.835,23209.0,178111.0
2016-02-01,3095.25,18146.0,139252.0
2016-03-01,2681.618,15721.0,120640.0
2016-04-01,2035.841,11935.0,91594.0
2016-05-01,2657.926,15582.0,119587.0
2016-06-01,3072.28,18011.0,138218.0
2016-07-01,3588.794,21039.0,161454.0
2016-08-01,3720.796,21813.0,167395.0
2016-09-01,3416.048,20027.0,153690.0
2016-10-01,3106.251,18211.0,139740.0
2016-11-01,3439.844,20166.0,154762.0
2016-12-01,4030.397,23628.0,181326.0
2017-01-01,0.0,22040.0,193226.0
2017-02-01,0.0,17094.0,149836.0
2017-03-01,0.0,14906.0,130660.0
2017-04-01,0.0,10034.0,87965.0
2017-05-01,0.0,14508.0,127182.0
2017-06-01,0.0,16102.0,141150.0
2017-07-01,0.0,20536.0,180010.0
2017-08-01,0.0,20011.0,175404.0
2017-09-01,0.0,16924.0,148351.0
2017-10-01,0.0,16485.0,144497.0
2017-11-01,0.0,21021.0,184259.0
2017-12-01,0.0,20518.0,179860.0
2018-01-01,0.0,21195.0,175122.0
2018-02-01,0.0,16570.0,136926.0
2018-03-01,0.0,15243.0,125964.0
2018-04-01,0.0,13859.0,114516.0
2018-05-01,0.0,16211.0,133956.0
2018-06-01,0.0,16465.0,136062.0
2018-07-01,0.0,18151.0,149994.0
2018-08-01,0.0,18786.0,155232.0
2018-09-01,0.0,16173.0,133650.0
2018-10-01,0.0,16665.0,137718.0
2018-11-01,0.0,20871.0,172458.0
2018-12-01,0.0,20531.0,169650.0
2019-01-01,0.0,19961.0,175146.0
2019-02-01,0.0,18010.0,158023.0
2019-03-01,0.0,15094.0,132432.0
2019-04-01,0.0,11191.0,98186.0
2019-05-01,0.0,13180.0,115630.0
2019-06-01,0.0,15408.0,135192.0
2019-07-01,0.0,19494.0,171026.0
2019-08-01,0.0,18312.0,160669.0
2019-09-01,0.0,15492.0,135929.0
2019-10-01,0.0,11728.0,102892.0
2019-11-01,0.0,16429.0,144150.0
2019-12-01,0.0,15603.0,136893.0
2020-01-01,2475.67,14078.0,118862.0
2020-02-01,2185.163,12426.0,104914.0
2020-03-01,1846.96,10503.0,88679.0
2020-04-01,1489.684,8471.0,71518.0
2020-05-01,1679.829,9553.0,80646.0
2020-06-01,1982.165,11272.0,95162.0
2020-07-01,2804.075,15946.0,134625.0
2020-08-01,2738.916,15575.0,131487.0
2020-09-01,2149.76,12225.0,103213.0
2020-10-01,2086.604,11866.0,100170.0
2020-11-01,2050.463,11660.0,98450.0
2020-12-01,2535.711,14420.0,121735.0
2022-01-01,3650.901,21404.0,190632.0
2022-02-01,2980.799,17475.0,155645.0
2022-03-01,2736.192,16041.0,142880.0
2022-04-01,2204.191,12922.0,115094.0
2022-05-01,2521.976,14785.0,131694.0
2022-06-01,3449.512,20223.0,180123.0
2022-07-01,4149.595,24327.0,216670.0
2022-08-01,4062.628,23817.0,212139.0
2022-09-01,3115.342,18264.0,162676.0
2022-10-01,2768.161,16228.0,144553.0
2022-11-01,2554.479,14976.0,133386.0
2022-12-01,3265.684,19145.0,170516.0
2023-01-01,4125.233,23459.0,205627.0
2023-02-01,2747.842,15626.0,136946.0
2023-03-01,2899.822,16490.0,144510.0
2023-04-01,2006.328,11409.0,99977.0
2023-05-01,2776.014,15786.0,138346.0
2023-06-01,3698.656,21033.0,184316.0
2023-07-01,4345.581,24712.0,216557.0
2023-08-01,4270.75,24286.0,212832.0
2023-09-01,3484.599,19816.0,173651.0
2023-10-01,2962.912,16849.0,147649.0
2023-11-01,3198.907,18191.0,159411.0
2023-12-01,3310.356,18825.0,164971.0
2024-01-01,4516.083,25681.0,195595.0
2024-02-01,2828.878,16087.0,122488.0
2024-03-01,2470.626,14050.0,106974.0
2024-04-01,2065.409,11745.0,89435.0
2024-05-01,2807.449,15965.0,121561.0
2024-06-01,3408.635,19384.0,147595.0
2024-07-01,4345.053,24709.0,188140.0
2024-08-01,4190.89,23832.0,181481.0
2024-09-01,3469.996,19733.0,150263.0
2024-10-01,2589.429,14725.0,112120.0
2024-11-01,2869.864,16320.0,124267.0
2024-12-01,4035.688,22950.0,174745.0
