measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 1"
2013-02-01,409782.0,4281705.0,4281705.0
2013-03-01,458752.0,4793380.0,4793380.0
2013-04-01,441980.0,4618134.0,4618134.0
2013-05-01,452246.0,4725400.0,4725400.0
2013-06-01,431369.0,4507262.0,4507262.0
2013-07-01,447624.0,4677106.0,4677106.0
2013-08-01,447147.0,4672122.0,4672122.0
2013-09-01,430065.0,4493637.0,4493637.0
2013-10-01,449169.0,4693250.0,4693250.0
2013-11-01,439814.0,4595502.0,4595502.0
2013-12-01,457106.0,4776181.0,4776181.0
2014-01-01,455018.0,4759084.0,4759084.0
2014-02-01,406629.0,4252978.0,4252978.0
2014-03-01,454318.0,4751762.0,4751762.0
2014-04-01,437773.0,4578716.0,4578716.0
2014-05-01,440692.0,4609247.0,4609247.0
2014-06-01,427081.0,4466888.0,4466888.0
2014-07-01,428435.0,4481049.0,4481049.0
2014-08-01,417752.0,4369315.0,4369315.0
2014-09-01,389557.0,4074420.0,4074420.0
2014-10-01,31449.0,328929.0,328929.0
2014-11-01,32761.0,342651.0,342651.0
2014-12-01,231003.0,2416086.0,2416086.0
2015-01-01,418537.0,4377268.0,4377268.0
2015-02-01,414738.0,4337536.0,4337536.0
2015-03-01,453805.0,4746119.0,4746119.0
2015-04-01,438786.0,4589042.0,4589042.0
2015-05-01,434472.0,4543924.0,4543924.0
2015-06-01,431512.0,4512967.0,4512967.0
2015-07-01,434796.0,4547313.0,4547313.0
2015-08-01,444377.0,4647516.0,4647516.0
2015-09-01,430791.0,4505427.0,4505427.0
2015-10-01,446190.0,4666477.0,4666477.0
2015-11-01,439209.0,4593466.0,4593466.0
2015-12-01,456233.0,4771512.0,4771512.0
2016-01-01,451835.0,4725519.0,4725519.0
2016-02-01,427035.0,4466148.0,4466148.0
2016-03-01,453576.0,4743727.0,4743727.0
2016-04-01,437215.0,4572616.0,4572616.0
2016-05-01,442094.0,4623643.0,4623643.0
2016-06-01,329420.0,3445241.0,3445241.0
2016-07-01,433422.0,4532947.0,4532947.0
2016-08-01,427221.0,4468093.0,4468093.0
2016-09-01,402800.0,4212686.0,4212686.0
2016-10-01,20861.0,218175.0,218175.0
2016-11-01,417958.0,4371216.0,4371216.0
2016-12-01,459228.0,4802839.0,4802839.0
2017-01-01,458665.0,4797236.0,4797236.0
2017-02-01,411012.0,4298827.0,4298827.0
2017-03-01,456960.0,4779403.0,4779403.0
2017-04-01,438264.0,4583859.0,4583859.0
2017-05-01,446374.0,4668683.0,4668683.0
2017-06-01,430857.0,4506388.0,4506388.0
2017-07-01,427637.0,4472710.0,4472710.0
2017-08-01,440204.0,4604150.0,4604150.0
2017-09-01,428408.0,4480774.0,4480774.0
2017-10-01,382121.0,3996652.0,3996652.0
2017-11-01,439912.0,4601096.0,4601096.0
2017-12-01,453095.0,4738978.0,4738978.0
2018-01-01,454361.0,4750185.0,4750185.0
2018-02-01,410060.0,4287033.0,4287033.0
2018-03-01,450580.0,4710656.0,4710656.0
2018-04-01,435050.0,4548295.0,4548295.0
2018-05-01,437412.0,4572989.0,4572989.0
2018-06-01,421904.0,4410858.0,4410858.0
2018-07-01,426623.0,4460194.0,4460194.0
2018-08-01,411903.0,4306301.0,4306301.0
2018-09-01,137946.0,1442177.0,1442177.0
2018-10-01,409884.0,4285193.0,4285193.0
2018-11-01,442856.0,4629904.0,4629904.0
2018-12-01,456820.0,4775893.0,4775893.0
2019-01-01,448846.0,4686689.0,4686689.0
2019-02-01,411424.0,4295942.0,4295942.0
2019-03-01,453075.0,4730847.0,4730847.0
2019-04-01,376139.0,3927509.0,3927509.0
2019-05-01,450708.0,4706132.0,4706132.0
2019-06-01,432612.0,4517180.0,4517180.0
2019-07-01,441330.0,4608210.0,4608210.0
2019-08-01,445597.0,4652764.0,4652764.0
2019-09-01,429336.0,4482973.0,4482973.0
2019-10-01,451258.0,4711875.0,4711875.0
2019-11-01,439593.0,4590073.0,4590073.0
2019-12-01,455798.0,4759280.0,4759280.0
2020-01-01,456363.0,4767158.0,4767158.0
2020-02-01,425228.0,4441922.0,4441922.0
2020-03-01,452682.0,4728706.0,4728706.0
2020-04-01,419860.0,4385848.0,4385848.0
2020-05-01,392817.0,4103358.0,4103358.0
2020-06-01,289107.0,3020005.0,3020005.0
2020-07-01,358850.0,3748539.0,3748539.0
2020-08-01,109956.0,1148598.0,1148598.0
2020-09-01,0.0,0.0,0.0
