measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2020-01-01,-1.586,24.0,24.0,-25.999,320.0,320.0,235.965,2069.0,2069.0
2020-02-01,-1.694,24.0,24.0,-20.481,252.0,252.0,309.074,2710.0,2710.0
2020-03-01,-1.316,18.0,18.0,-9.072,111.0,111.0,470.282,4123.0,4123.0
2020-04-01,-1.462,18.0,18.0,-10.485,129.0,129.0,450.908,3953.0,3953.0
2020-05-01,-1.023,12.0,12.0,-7.392,91.0,91.0,635.694,5573.0,5573.0
2020-06-01,-0.994,12.0,12.0,-19.69,241.0,241.0,600.601,5265.0,5265.0
2020-07-01,-1.181,12.0,12.0,-39.202,482.0,482.0,591.462,5185.0,5185.0
2020-08-01,-1.114,12.0,12.0,-33.047,407.0,407.0,559.111,4902.0,4902.0
2020-09-01,-1.263,18.0,18.0,-19.236,236.0,236.0,485.453,4256.0,4256.0
2020-10-01,-1.983,24.0,24.0,-20.943,257.0,257.0,352.94,3094.0,3094.0
2020-11-01,-1.997,24.0,24.0,-15.295,188.0,188.0,252.413,2213.0,2213.0
2020-12-01,-11.182,135.0,135.0,-22.363,275.0,275.0,192.097,1684.0,1684.0
2021-01-01,-14.627,123.0,123.0,0.0,0.0,0.0,,,
2021-02-01,-32.357,270.0,270.0,0.0,0.0,0.0,,,
2021-03-01,-8.163,71.0,71.0,0.0,0.0,0.0,,,
2021-04-01,-4.195,35.0,35.0,0.0,0.0,0.0,,,
2021-05-01,-3.628,29.0,29.0,0.0,0.0,0.0,,,
2021-06-01,-3.551,29.0,29.0,0.0,0.0,0.0,,,
2021-07-01,-5.36,47.0,47.0,0.0,0.0,0.0,,,
2021-08-01,-6.39,53.0,53.0,0.0,0.0,0.0,,,
2021-09-01,-4.087,35.0,35.0,0.0,0.0,0.0,,,
2021-10-01,-7.089,59.0,59.0,0.0,0.0,0.0,,,
2021-11-01,-8.587,71.0,71.0,0.0,0.0,0.0,,,
2021-12-01,-36.966,312.0,312.0,0.0,0.0,0.0,,,
2022-01-01,150.744,5345.0,5345.0,0.0,0.0,0.0,,,
2022-02-01,21.627,764.0,764.0,0.0,0.0,0.0,,,
2022-03-01,2.919,106.0,106.0,0.0,0.0,0.0,,,
2022-04-01,1.466,53.0,53.0,0.0,0.0,0.0,,,
2022-05-01,1.021,35.0,35.0,0.0,0.0,0.0,,,
2022-06-01,7.659,270.0,270.0,0.0,0.0,0.0,,,
2022-07-01,4.713,165.0,165.0,0.0,0.0,0.0,,,
2022-08-01,1.405,47.0,47.0,0.0,0.0,0.0,,,
2022-09-01,2.817,100.0,100.0,0.0,0.0,0.0,,,
2022-10-01,2.188,76.0,76.0,0.0,0.0,0.0,,,
2022-11-01,2.478,88.0,88.0,0.0,0.0,0.0,,,
2022-12-01,51.963,1840.0,1840.0,0.0,0.0,0.0,,,
2023-01-01,-17.051,218.0,218.0,0.0,0.0,0.0,,,
2023-02-01,-113.976,1429.0,1429.0,0.0,0.0,0.0,,,
2023-03-01,-13.111,165.0,165.0,0.0,0.0,0.0,,,
2023-04-01,-10.873,135.0,135.0,0.0,0.0,0.0,,,
2023-05-01,-7.49,94.0,94.0,0.0,0.0,0.0,,,
2023-06-01,-8.497,106.0,106.0,0.0,0.0,0.0,,,
2023-07-01,-10.809,135.0,135.0,0.0,0.0,0.0,,,
2023-08-01,-7.479,94.0,94.0,0.0,0.0,0.0,,,
2023-09-01,-12.391,153.0,153.0,0.0,0.0,0.0,,,
2023-10-01,-15.148,188.0,188.0,0.0,0.0,0.0,,,
2023-11-01,-15.406,194.0,194.0,0.0,0.0,0.0,,,
2023-12-01,-20.769,259.0,259.0,0.0,0.0,0.0,,,
2024-01-01,3.129,517.0,517.0,0.0,0.0,0.0,,,
2024-02-01,1.602,270.0,270.0,0.0,0.0,0.0,,,
2024-03-01,1.014,171.0,171.0,0.0,0.0,0.0,,,
2024-04-01,1.083,182.0,182.0,0.0,0.0,0.0,,,
2024-05-01,1.218,206.0,206.0,0.0,0.0,0.0,,,
2024-06-01,3.115,523.0,523.0,0.0,0.0,0.0,,,
2024-07-01,3.681,617.0,617.0,0.0,0.0,0.0,,,
2024-08-01,2.445,412.0,412.0,0.0,0.0,0.0,,,
2024-09-01,0.844,141.0,141.0,0.0,0.0,0.0,,,
2024-10-01,1.004,171.0,171.0,0.0,0.0,0.0,,,
2024-11-01,1.775,300.0,300.0,0.0,0.0,0.0,,,
2024-12-01,13.09,2199.0,2199.0,0.0,0.0,0.0,,,
