measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2009-02-01,,,,249032.461,2751807.0,2751807.0,200.901,2220.0,2220.0,407663.638,4504681.0,4504681.0
2009-03-01,,,,232850.27,2595372.0,2595372.0,3352.6530000000002,37369.0,37369.0,357986.077,3990148.0,3990148.0
2009-04-01,,,,206378.922,2308772.0,2308772.0,940.5060000000001,10521.0,10521.0,356596.572,3989264.0,3989264.0
2009-05-01,,,,120390.761,1346196.0,1346196.0,1351.3010000000002,15110.0,15110.0,129374.938,1446656.0,1446656.0
2009-06-01,,,,292958.815,3270456.0,3270456.0,1743.3410000000001,19462.0,19462.0,303473.844,3387841.0,3387841.0
2009-07-01,,,,331193.58,3611516.0,3611516.0,1228.553,13397.0,13397.0,416388.867,4540532.0,4540532.0
2009-08-01,,,,368378.63,4074452.0,4074452.0,1761.462,19483.0,19483.0,320789.908,3548097.0,3548097.0
2009-09-01,,,,376490.841,4081235.0,4081235.0,17.07,185.0,185.0,334599.089,3627120.0,3627120.0
2009-10-01,,,,381889.588,4166288.0,4166288.0,1178.623,12858.0,12858.0,314371.789,3429692.0,3429692.0
2009-11-01,,,,353340.107,3892276.0,3892276.0,8.624,95.0,95.0,346411.269,3815950.0,3815950.0
2009-12-01,,,,357817.239,3878485.0,3878485.0,1434.506,15549.0,15549.0,389741.255,4224519.0,4224519.0
2010-01-01,,,,287331.93200000003,3109035.0,3109035.0,1157.306,12522.0,12522.0,469613.762,5081389.0,5081389.0
2010-02-01,,,,286889.823,3107367.0,3107367.0,85.76400000000001,929.0,929.0,494377.413,5354711.0,5354711.0
2010-03-01,,,,307182.699,3331341.0,3331341.0,1284.7050000000002,13932.0,13932.0,412723.596,4475913.0,4475913.0
2010-04-01,,,,279098.318,2991216.0,2991216.0,865.547,9276.0,9276.0,498428.135,5341868.0,5341868.0
2010-05-01,,,,325444.523,3535275.0,3535275.0,1465.615,15921.0,15921.0,456797.862,4962154.0,4962154.0
2010-06-01,,,,368142.728,4001707.0,4001707.0,11.774000000000001,128.0,128.0,449248.498,4883326.0,4883326.0
2010-07-01,,,,407951.373,4441423.0,4441423.0,653.8290000000001,7118.0,7118.0,420362.798,4576548.0,4576548.0
2010-08-01,,,,424868.623,4650193.0,4650193.0,411.529,4504.0,4504.0,424280.848,4643760.0,4643760.0
2010-09-01,,,,423191.428,4616325.0,4616325.0,7.423,81.0,81.0,375875.149,4100182.0,4100182.0
2010-10-01,,,,293663.187,3232705.0,3232705.0,2789.7940000000003,30711.0,30711.0,336725.019,3706738.0,3706738.0
2010-11-01,,,,273993.84,2962632.0,2962632.0,703.693,7609.0,7609.0,454334.467,4912613.0,4912613.0
2010-12-01,,,,308034.998,3192038.0,3192038.0,9.461,98.0,98.0,501554.541,5197400.0,5197400.0
2011-01-01,,,,203476.94,2246285.0,2246285.0,757.276,8360.0,8360.0,576728.79,6366801.0,6366801.0
2011-02-01,,,,186170.43,2050936.0,2050936.0,1031.079,11359.0,11359.0,479537.49,5282799.0,5282799.0
2011-03-01,,,,299835.37,3327771.0,3327771.0,6.217,69.0,69.0,362688.42,4025356.0,4025356.0
2011-04-01,,,,241799.25,2681609.0,2681609.0,1068.656,11852.0,11852.0,107357.09,1190615.0,1190615.0
2011-05-01,,,,358138.09,4167067.0,4167067.0,1743.292,20284.0,20284.0,336189.62,3911688.0,3911688.0
2011-06-01,,,,325132.97,3612736.0,3612736.0,885.721,9842.0,9842.0,376073.31,4178763.0,4178763.0
2011-07-01,,,,381852.59,4315915.0,4315915.0,672.597,7602.0,7602.0,391167.82,4421201.0,4421201.0
2011-08-01,,,,443707.01,5054227.0,5054227.0,3602.874,41040.0,41040.0,263715.11,3003955.0,3003955.0
2011-09-01,,,,592316.05,6548031.0,6548031.0,538.281,5951.0,5951.0,167637.67,1853228.0,1853228.0
2011-10-01,,,,522588.8,5932668.0,5932668.0,1270.839,14427.0,14427.0,87882.358,997681.0,997681.0
2011-11-01,,,,459689.01,5252188.0,5252188.0,28.53,326.0,326.0,155092.46,1772013.0,1772013.0
2011-12-01,,,,339861.85,3892710.0,3892710.0,1199.341,13737.0,13737.0,239199.81,2739747.0,2739747.0
2012-01-01,,,,344228.2,3944027.0,3944027.0,2245.694,25730.0,25730.0,86136.107,986913.0,986913.0
2012-02-01,,,,293735.78,3370207.0,3370207.0,2633.455,30215.0,30215.0,123385.77,1415679.0,1415679.0
2012-03-01,,,,328776.8,3794545.0,3794545.0,1389.502,16037.0,16037.0,341016.7,3935810.0,3935810.0
2012-04-01,,,,329784.4,3760664.0,3760664.0,197.281,2250.0,2250.0,357380.32,4075351.0,4075351.0
2012-05-01,,,,339026.46,3813401.0,3813401.0,1326.068,14916.0,14916.0,290527.48,3267880.0,3267880.0
2012-06-01,,,,276198.15,3162226.0,3162226.0,1380.297,15803.0,15803.0,388356.55,4446342.0,4446342.0
2012-07-01,,,,267129.23,3061649.0,3061649.0,27.054,310.0,310.0,476035.72,5455990.0,5455990.0
2012-08-01,,,,355404.14,4035958.0,4035958.0,6.518,74.0,74.0,388841.34,4415669.0,4415669.0
2012-09-01,,,,351209.24,3955793.0,3955793.0,26.275,296.0,296.0,361714.49,4074117.0,4074117.0
2012-10-01,,,,229364.16,2619662.0,2619662.0,313.694,3583.0,3583.0,293717.14,3354664.0,3354664.0
2012-11-01,,,,200860.89,2214610.0,2214610.0,2439.04,26892.0,26892.0,157348.07,1734856.0,1734856.0
2012-12-01,,,,309525.83,3529563.0,3529563.0,574.978,6557.0,6557.0,373910.19,4263746.0,4263746.0
2013-01-01,,,,381270.02,4287804.0,4287804.0,1461.613,16437.0,16437.0,292127.37,3285296.0,3285296.0
2013-02-01,,,,297704.48,3376461.0,3376461.0,646.997,7338.0,7338.0,314949.52,3572048.0,3572048.0
2013-03-01,,,,309769.02,3477056.0,3477056.0,497.314,5582.0,5582.0,450251.66,5053927.0,5053927.0
2013-04-01,,,,263865.27,2948151.0,2948151.0,1425.122,15923.0,15923.0,388212.61,4337477.0,4337477.0
2013-05-01,,,,320504.48,3584935.0,3584935.0,781.848,8745.0,8745.0,355400.67,3975259.0,3975259.0
2013-06-01,,,,293548.43,3249114.0,3249114.0,1189.352,13164.0,13164.0,339146.22,3753809.0,3753809.0
2013-07-01,,,,373032.22,4176776.0,4176776.0,20.809,233.0,233.0,402051.98,4501705.0,4501705.0
2013-08-01,,,,339060.46,3758327.0,3758327.0,12.63,140.0,140.0,421526.91,4672429.0,4672429.0
2013-09-01,,,,331601.56,3642001.0,3642001.0,1251.747,13748.0,13748.0,355919.7,3909089.0,3909089.0
2013-10-01,,,,400630.88,4360227.0,4360227.0,1262.373,13739.0,13739.0,313352.75,3410344.0,3410344.0
2013-11-01,,,,362509.61,4007192.0,4007192.0,0.0,0.0,0.0,238951.39,2641376.0,2641376.0
2013-12-01,,,,301434.08,3319032.0,3319032.0,57.514,633.0,633.0,494785.41,5447986.0,5447986.0
2014-01-01,,,,314144.83,3554378.0,3554378.0,2805.11,31738.0,31738.0,291172.06,3294454.0,3294454.0
2014-02-01,,,,259337.69,2873815.0,2873815.0,590.848,6547.0,6547.0,375754.46,4163872.0,4163872.0
2014-03-01,,,,325467.07,3654847.0,3654847.0,601.291,6752.0,6752.0,354477.64,3980623.0,3980623.0
2014-04-01,,,,257945.91,2816144.0,2816144.0,1850.983,20208.0,20208.0,200402.11,2187905.0,2187905.0
2014-05-01,0.0,0.0,0.0,333188.61,3893054.0,3893054.0,1372.969,16042.0,16042.0,178655.42,2087452.0,2087452.0
2014-06-01,0.0,0.0,0.0,389853.72,4575848.0,4575848.0,25.824,303.0,303.0,184876.46,2169959.0,2169959.0
2014-07-01,0.0,0.0,0.0,437718.98,4865579.0,4865579.0,26.46,294.0,294.0,368330.56,4094274.0,4094274.0
2014-08-01,0.0,0.0,0.0,471194.74,5291833.0,5291833.0,379.41,4261.0,4261.0,326255.85,3664072.0,3664072.0
2014-09-01,0.0,0.0,0.0,417369.28,4748517.0,4748517.0,721.974,8214.0,8214.0,309912.75,3525956.0,3525956.0
2014-10-01,0.0,0.0,0.0,63868.037,720538.0,720538.0,2328.711,26272.0,26272.0,238987.25,2696175.0,2696175.0
2014-11-01,0.0,0.0,0.0,280482.63,3103496.0,3103496.0,1026.818,11362.0,11362.0,187697.55,2076844.0,2076844.0
2014-12-01,0.0,0.0,0.0,546865.72,5957964.0,5957964.0,2426.076,26431.0,26431.0,130364.2,1420285.0,1420285.0
2015-01-01,,,,184102.54,2004725.0,2004725.0,596.835,6499.0,6499.0,527886.63,5748252.0,5748252.0
2015-02-01,0.0,0.0,0.0,80131.386,886381.0,886381.0,1438.138,15908.0,15908.0,495856.48,5484961.0,5484961.0
2015-03-01,0.0,0.0,0.0,69293.802,753287.0,753287.0,373.213,4057.0,4057.0,680949.99,7402547.0,7402547.0
2015-04-01,0.0,0.0,0.0,170675.5,1835652.0,1835652.0,2110.58,22700.0,22700.0,460559.92,4953423.0,4953423.0
2015-05-01,0.0,0.0,0.0,154765.23,1658216.0,1658216.0,2696.471,28891.0,28891.0,264229.3,2831057.0,2831057.0
2015-06-01,0.0,0.0,0.0,129104.55,1424322.0,1424322.0,1026.725,11327.0,11327.0,611182.73,6742760.0,6742760.0
2015-07-01,0.0,0.0,0.0,144594.89,1624967.0,1624967.0,4.088,46.0,46.0,617384.02,6938202.0,6938202.0
2015-08-01,0.0,0.0,0.0,82795.189,937520.0,937520.0,1114.746,12623.0,12623.0,588286.07,6661379.0,6661379.0
2015-09-01,0.0,0.0,0.0,191821.89,2173785.0,2173785.0,10.431,118.0,118.0,468183.68,5305603.0,5305603.0
2015-10-01,0.0,0.0,0.0,218363.54,2512892.0,2512892.0,4202.008,48356.0,48356.0,337617.45,3885247.0,3885247.0
2015-11-01,0.0,0.0,0.0,205774.91,2362893.0,2362893.0,340.64,3912.0,3912.0,402477.45,4621609.0,4621609.0
2015-12-01,0.0,0.0,0.0,226829.51,2707636.0,2707636.0,1665.107,19876.0,19876.0,300905.38,3591871.0,3591871.0
2016-01-01,,,,177383.56,2029046.0,2029046.0,542.399,6204.0,6204.0,435285.04,4979116.0,4979116.0
2016-02-01,,,,108261.23,1257245.0,1257245.0,170.473,1980.0,1980.0,265025.3,3077756.0,3077756.0
2016-03-01,,,,145788.6,1705838.0,1705838.0,822.873,9628.0,9628.0,74432.524,870918.0,870918.0
2016-04-01,,,,151795.51,1789073.0,1789073.0,968.645,11417.0,11417.0,87785.842,1034650.0,1034650.0
2016-05-01,,,,52770.585,645115.0,645115.0,1882.999,23019.0,23019.0,146174.42,1786967.0,1786967.0
2016-06-01,,,,92036.956,1093680.0,1093680.0,7494.963,89063.0,89063.0,502888.08,5975845.0,5975845.0
2016-07-01,,,,141947.66,1651833.0,1651833.0,409.199,4762.0,4762.0,643295.14,7485971.0,7485971.0
2016-08-01,,,,208553.65,2435005.0,2435005.0,730.216,8526.0,8526.0,454142.14,5302417.0,5302417.0
2016-09-01,,,,189626.46,2149282.0,2149282.0,905.723,10266.0,10266.0,515101.82,5838317.0,5838317.0
2016-10-01,,,,180049.23,2034706.0,2034706.0,769.766,8699.0,8699.0,505925.0,5717372.0,5717372.0
2016-11-01,,,,133382.92,1531301.0,1531301.0,249.059,2859.0,2859.0,479657.02,5506697.0,5506697.0
2016-12-01,,,,89482.012,1004253.0,1004253.0,4405.424,49442.0,49442.0,473778.56,5317196.0,5317196.0
2017-01-01,,,,177826.11,2015322.0,2015322.0,358.649,4065.0,4065.0,538244.25,6099977.0,6099977.0
2017-02-01,,,,86815.328,1000161.0,1000161.0,2027.525,23358.0,23358.0,415761.15,4789801.0,4789801.0
2017-03-01,,,,93120.575,1004173.0,1004173.0,4006.922,43209.0,43209.0,446434.5,4814163.0,4814163.0
2017-04-01,,,,104926.95,1173277.0,1173277.0,835.491,9342.0,9342.0,515974.56,5769550.0,5769550.0
2017-05-01,,,,123362.77,1344966.0,1344966.0,2005.545,21866.0,21866.0,359152.68,3915672.0,3915672.0
2017-06-01,,,,186864.51,2053528.0,2053528.0,31.311,344.0,344.0,577916.18,6350951.0,6350951.0
2017-07-01,,,,163069.02,1820242.0,1820242.0,4.481,50.0,50.0,631321.5,7047063.0,7047063.0
2017-08-01,,,,169845.4,1899243.0,1899243.0,119.333,1334.0,1334.0,583964.27,6529998.0,6529998.0
2017-09-01,,,,138660.48,1579572.0,1579572.0,69.802,795.0,795.0,563142.72,6415126.0,6415126.0
2017-10-01,,,,103003.6,1195812.0,1195812.0,826.776,9598.0,9598.0,550702.63,6393338.0,6393338.0
2017-11-01,,,,93442.416,1088990.0,1088990.0,823.604,9598.0,9598.0,598258.98,6972188.0,6972188.0
2017-12-01,,,,96489.881,1145296.0,1145296.0,2004.672,23795.0,23795.0,505574.45,6000967.0,6000967.0
2018-01-01,,,,212625.55,2394839.0,2394839.0,2135.076,24048.0,24048.0,381947.37,4301940.0,4301940.0
2018-02-01,,,,26611.432,324233.0,324233.0,590.781,7198.0,7198.0,195231.79,2378697.0,2378697.0
2018-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
