measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,135200.0,995682.46,995682.46,0.0,0.0,0.0,-35.0,717.91,717.91,-219.0,0.0,0.0,,,,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,132704.0,990888.84,990888.84,0.0,0.0,0.0,89.0,3774.95,3774.95,1972.0,23971.19,23971.19,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,140312.0,1029759.4,1029759.4,0.0,0.0,0.0,-2.0,1134.99,1134.99,-159.0,0.0,0.0,,,,0.0,0.0,0.0
2005-05-01,45.0,343.38,343.38,,,,47.0,1111.62,1111.62,102534.0,781528.59,781528.59,0.0,0.0,0.0,397.0,10182.98,10182.98,5956.0,79850.4,79850.4,,,,0.0,0.0,0.0
2005-06-01,2.0,11.64,11.64,,,,0.0,0.0,0.0,140728.0,1046624.11,1046624.11,0.0,0.0,0.0,-11.0,779.64,779.64,-192.0,0.0,0.0,,,,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,153720.0,1140026.06,1140026.06,0.0,0.0,0.0,113.0,1873.59,1873.59,3381.0,46230.44,46230.44,,,,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,153865.0,1137842.11,1137842.11,0.0,0.0,0.0,55.0,2933.39,2933.39,3593.0,51125.65,51125.65,,,,0.0,0.0,0.0
2005-09-01,94.0,710.04,710.04,,,,52.0,1670.34,1670.34,137586.0,1031875.85,1031875.85,0.0,0.0,0.0,89.0,2782.84,2782.84,-61.0,2273.92,2273.92,,,,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,147453.0,1086525.3,1086525.3,0.0,0.0,0.0,-31.0,236.25,236.25,-202.0,0.0,0.0,,,,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,123878.0,908289.97,908289.97,0.0,0.0,0.0,424.0,19664.81,19664.81,-190.0,0.0,0.0,,,,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,39443.0,312713.19,312713.19,0.0,0.0,0.0,-5.0,989.21,989.21,-227.0,0.0,0.0,,,,0.0,0.0,0.0
2006-01-01,10.0,76.0,76.0,,,,0.0,0.0,0.0,144193.0,1064868.0,1064868.0,0.0,0.0,0.0,45.0,3539.0,3539.0,-215.0,0.0,0.0,,,,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,142909.0,1042647.0,1042647.0,0.0,0.0,0.0,-40.0,0.0,0.0,-140.0,0.0,0.0,,,,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,136357.0,1003635.0,1003635.0,0.0,0.0,0.0,-89.0,0.0,0.0,-133.0,0.0,0.0,,,,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,146052.0,1077605.0,1077605.0,0.0,0.0,0.0,-35.0,0.0,0.0,-153.0,0.0,0.0,,,,0.0,0.0,0.0
2006-05-01,135.0,1001.0,1001.0,,,,0.0,0.0,0.0,115583.0,857211.0,857211.0,0.0,0.0,0.0,163.0,3948.0,3948.0,0.0,0.0,0.0,,,,-178.0,0.0,0.0
2006-06-01,153.0,1135.0,1135.0,,,,0.0,0.0,0.0,150613.0,1115322.0,1115322.0,0.0,0.0,0.0,15.0,1303.0,1303.0,0.0,0.0,0.0,,,,-211.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,159355.0,1185911.0,1185911.0,0.0,0.0,0.0,-34.0,0.0,0.0,119.0,4985.0,4985.0,,,,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,159409.0,1169511.0,1169511.0,0.0,0.0,0.0,73.0,2104.0,2104.0,3476.0,48737.0,48737.0,,,,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,,,,3.0,285.0,285.0,146797.0,1083931.0,1083931.0,0.0,0.0,0.0,-28.0,0.0,0.0,-233.0,0.0,0.0,,,,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,150655.0,1134048.0,1134048.0,0.0,0.0,0.0,63.0,1537.0,1537.0,-189.0,0.0,0.0,,,,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,142143.0,1058628.0,1058628.0,0.0,0.0,0.0,-22.0,410.0,410.0,-166.0,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,139920.0,1038728.0,1038728.0,0.0,0.0,0.0,-44.0,0.0,0.0,-189.0,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,0.0,0.0,140153.0,1047100.0,1047100.0,0.0,0.0,0.0,-22.0,0.0,0.0,-93.5,0.0,0.0,,,,-93.5,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-2.266,326.0,326.0,81107.0,588920.0,588920.0,0.0,0.0,0.0,-3.734,537.0,537.0,1478.0,21433.0,21433.0,,,,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,39.413000000000004,303.0,303.0,0.0,0.0,0.0,4.013,413.0,413.0,90393.587,694097.0,694097.0,0.0,0.0,0.0,13.987,1440.0,1440.0,-90.0,0.0,0.0,,,,-90.0,0.0,0.0
2007-05-01,45.829,349.0,349.0,0.0,0.0,0.0,16.986,629.0,629.0,124953.171,952091.0,952091.0,0.0,0.0,0.0,40.014,1481.0,1481.0,1840.0,24127.0,24127.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134532.0,1011290.0,1011290.0,0.0,0.0,0.0,-17.0,311.0,311.0,-114.5,0.0,0.0,,,,-114.5,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149706.0,1129058.0,1129058.0,0.0,0.0,0.0,13.0,786.0,786.0,-125.5,0.0,0.0,,,,-125.5,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,21.814,704.0,704.0,145860.0,1128321.0,1128321.0,0.0,0.0,0.0,92.186,2976.0,2976.0,13372.0,165768.0,165768.0,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136050.0,1037887.0,1037887.0,0.0,0.0,0.0,45.0,1832.0,1832.0,1345.0,19854.0,19854.0,,,,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133270.0,1049316.0,1049316.0,0.0,0.0,0.0,-31.0,501.0,501.0,11174.0,141895.0,141895.0,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-19.5,0.0,0.0,132208.0,1015631.0,1015631.0,0.0,0.0,0.0,-19.5,0.0,0.0,12015.0,143131.0,143131.0,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136216.0,1032681.0,1032681.0,0.0,0.0,0.0,-40.0,73.0,73.0,3621.0,46840.0,46840.0,,,,0.0,0.0,0.0
2008-01-01,130.243,1007.0,1007.0,0.0,0.0,0.0,-22.0,0.0,0.0,106667.757,824607.0,824607.0,0.0,0.0,0.0,-22.0,0.0,0.0,1700.0,27851.0,27851.0,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,86161.0,976451.0,976451.0,45151.0,0.0,0.0,-19.0,0.0,0.0,-187.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,87732.0,1004818.0,1004818.0,46939.0,0.0,0.0,-17.0,0.0,0.0,122.0,4748.0,4748.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75584.0,873077.0,873077.0,40132.0,0.0,0.0,-2.0,645.0,645.0,1744.0,25965.0,25965.0,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81206.0,956973.0,956973.0,44514.0,0.0,0.0,2.0,761.0,761.0,4267.0,65574.0,65574.0,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,152.0,8910.0,8910.0,80979.0,950856.0,950856.0,44433.0,0.0,0.0,0.0,0.0,0.0,12910.0,175502.0,175502.0,0.0,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,402.0,402.0,77304.0,930530.0,930530.0,43363.0,0.0,0.0,0.0,0.0,0.0,14796.0,201742.0,201742.0,0.0,0.0,0.0,,,
2008-08-01,52.971000000000004,629.0,629.0,28.359,0.0,0.0,-17.0,0.0,0.0,58952.029,699527.0,699527.0,31560.641,0.0,0.0,-17.0,0.0,0.0,3532.0,51794.0,51794.0,0.0,0.0,0.0,,,
2008-09-01,96.104,1147.0,1147.0,53.881,0.0,0.0,-3.619,244.0,244.0,77658.89600000001,926482.0,926482.0,43539.119,0.0,0.0,-10.381,701.0,701.0,-217.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,140.0,140.0,80664.0,975120.0,975120.0,45024.0,0.0,0.0,0.0,0.0,0.0,-205.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60083.0,733456.0,733456.0,33521.0,0.0,0.0,-26.0,956.0,956.0,-193.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77408.0,938764.0,938764.0,43976.0,0.0,0.0,-34.0,139.0,139.0,-193.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,14.512,175.0,175.0,8.103,0.0,0.0,0.0,0.0,0.0,58987.488,709723.0,709723.0,32935.897,0.0,0.0,-15.0,1004.0,1004.0,-214.0,0.0,0.0,0.0,0.0,0.0,,,
2009-02-01,14.51,169.0,169.0,8.185,0.0,0.0,-2.584,35.0,35.0,66492.49,773439.0,773439.0,37508.815,0.0,0.0,-22.416,303.0,303.0,2046.0,31467.0,31467.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,90442.0,983105.0,983105.0,47521.0,0.0,0.0,-18.0,0.0,0.0,894.0,14242.0,14242.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50556.0,569743.0,569743.0,24991.0,0.0,0.0,-1.0,974.0,974.0,-166.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,18.06,215.0,215.0,10.145,0.0,0.0,0.0,0.0,0.0,76745.94,915069.0,915069.0,43110.855,0.0,0.0,18.0,1233.0,1233.0,-179.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,59560.0,719163.0,719163.0,32066.0,0.0,0.0,-17.0,0.0,0.0,9354.0,133164.0,133164.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,80375.0,960873.0,960873.0,44323.0,0.0,0.0,-17.0,0.0,0.0,2393.0,37211.0,37211.0,,,,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77741.0,946457.0,946457.0,43654.0,0.0,0.0,-28.0,239.0,239.0,-199.0,0.0,0.0,,,,,,
2009-09-01,11.086,134.0,134.0,6.19,0.0,0.0,-11.047,402.0,402.0,76334.914,921720.0,921720.0,42623.81,0.0,0.0,-9.953000000000001,362.0,362.0,-193.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48908.0,618894.0,618894.0,28386.0,0.0,0.0,7.0,1464.0,1464.0,4977.0,70198.0,70198.0,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,67492.0,861012.0,861012.0,41321.0,0.0,0.0,-16.0,0.0,0.0,-185.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-21.5,0.0,0.0,60317.0,792815.0,792815.0,38072.0,0.0,0.0,-21.5,0.0,0.0,1476.0,23313.0,23313.0,,,,,,
2010-01-01,,,,,,,-4.066,512.0,512.0,60005.0,763870.0,763870.0,34678.0,0.0,0.0,-11.934000000000001,1503.0,1503.0,-225.0,0.0,0.0,,,,,,
2010-02-01,,,,,,,-26.859,1606.0,1606.0,76071.0,898411.0,898411.0,40322.0,0.0,0.0,-3.141,188.0,188.0,9511.0,127081.0,127081.0,,,,,,
2010-03-01,,,,,,,0.0,0.0,0.0,58445.0,722428.0,722428.0,33749.0,0.0,0.0,-51.0,287.0,287.0,8822.0,116003.0,116003.0,,,,,,
2010-04-01,11.898,157.0,157.0,7.001,0.0,0.0,-1.719,0.0,0.0,24751.102,326890.0,326890.0,14562.999,0.0,0.0,-43.281,0.0,0.0,10190.0,139600.0,139600.0,,,,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-1.337,0.0,0.0,66491.0,815649.0,815649.0,38584.0,0.0,0.0,-33.663000000000004,0.0,0.0,1511.0,23381.0,23381.0,,,,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545.0,35595.0,35595.0,299.0,0.0,0.0,633.0,21559.0,21559.0,15700.0,216126.0,216126.0,,,,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-11.509,93.0,93.0,80536.0,965889.0,965889.0,44587.0,0.0,0.0,-15.491000000000001,125.0,125.0,3252.0,45843.0,45843.0,,,,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-15.165000000000001,669.0,669.0,79549.0,961064.0,961064.0,44335.0,0.0,0.0,-7.835,346.0,346.0,509.0,9910.0,9910.0,,,,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,652.0,652.0,73517.0,903983.0,903983.0,42342.0,0.0,0.0,0.0,0.0,0.0,-181.0,0.0,0.0,,,,,,
2010-10-01,41.457,553.0,553.0,27.301000000000002,0.0,0.0,-7.963,151.0,151.0,54721.543,729810.0,729810.0,36036.699,0.0,0.0,-17.037000000000003,324.0,324.0,-122.0,1561.0,1561.0,,,,,,
2010-11-01,44.925000000000004,565.0,565.0,26.729000000000003,0.0,0.0,0.0,0.0,0.0,69708.075,875965.0,875965.0,41473.271,0.0,0.0,-40.0,588.0,588.0,-169.0,0.0,0.0,,,,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73958.0,911722.0,911722.0,43689.0,0.0,0.0,-56.0,751.0,751.0,-245.0,149.0,149.0,,,,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-6.353,0.0,0.0,72442.0,904599.0,904599.0,42778.0,0.0,0.0,-55.647,0.0,0.0,-230.0,0.0,0.0,,,,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.304,0.0,0.0,58617.0,766235.0,766235.0,36834.0,0.0,0.0,-37.696,0.0,0.0,-195.0,0.0,0.0,,,,,,
2011-03-01,126.367,1705.0,1705.0,81.621,0.0,0.0,-3.894,0.0,0.0,32963.633,444828.0,444828.0,21291.379,0.0,0.0,-34.106,0.0,0.0,1183.0,20933.0,20933.0,,,,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73799.0,962103.0,962103.0,41855.0,0.0,0.0,-20.0,787.0,787.0,-189.0,311.0,311.0,,,,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78275.0,942541.0,942541.0,44346.0,0.0,0.0,-20.0,352.0,352.0,-210.0,0.0,0.0,,,,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73392.0,894417.0,894417.0,41384.0,0.0,0.0,-6.0,1016.0,1016.0,-168.0,0.0,0.0,,,,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-2.972,0.0,0.0,76815.0,937970.0,937970.0,43218.0,0.0,0.0,-26.028,0.0,0.0,3647.0,54901.0,54901.0,,,,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77661.0,938736.0,938736.0,43131.0,0.0,0.0,44.0,1617.0,1617.0,6879.0,97116.0,97116.0,,,,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,192.0,192.0,72208.0,878168.0,878168.0,41322.0,0.0,0.0,0.0,0.0,0.0,848.0,13889.0,13889.0,,,,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.099,0.0,0.0,71831.0,866914.0,866914.0,39609.0,0.0,0.0,-35.901,0.0,0.0,79.0,3865.0,3865.0,,,,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-42.0,210.0,210.0,88174.0,1008154.0,1008154.0,45377.0,0.0,0.0,0.0,0.0,0.0,-174.0,0.0,0.0,,,,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-4.816,0.0,0.0,60348.0,765118.0,765118.0,36317.0,0.0,0.0,-42.184,0.0,0.0,2928.0,45178.0,45178.0,,,,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68581.0,822557.0,822557.0,38292.0,0.0,0.0,-46.0,298.0,298.0,1879.0,28743.0,28743.0,,,,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-2.317,0.0,0.0,47251.0,586174.0,586174.0,25788.0,0.0,0.0,-43.683,0.0,0.0,6235.0,90448.0,90448.0,,,,,,
