measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-08-01,4695.0,86832.0,86832.0,0.0,0.0,0.0
2009-09-01,2934.0,54118.0,54118.0,0.0,0.0,0.0
2009-10-01,4883.0,86582.0,86582.0,0.0,0.0,0.0
2009-11-01,4649.0,80918.0,80918.0,0.0,0.0,0.0
2009-12-01,2819.0,46187.0,46187.0,0.0,0.0,0.0
2010-01-01,4835.0,81482.0,81482.0,0.0,0.0,0.0
2010-02-01,3900.0,64047.0,64047.0,0.0,0.0,0.0
2010-03-01,4676.0,72072.0,72072.0,0.0,0.0,0.0
2010-04-01,4090.0,66561.0,66561.0,0.0,0.0,0.0
2010-05-01,4436.0,72486.0,72486.0,0.0,0.0,0.0
2010-06-01,3954.0,60698.0,60698.0,0.0,0.0,0.0
2010-07-01,4453.0,54891.0,54891.0,0.0,0.0,0.0
2010-08-01,4195.0,55559.0,55559.0,0.0,0.0,0.0
2010-09-01,4128.0,56217.0,56217.0,0.0,0.0,0.0
2010-10-01,3888.0,67697.0,67697.0,0.0,0.0,0.0
2010-11-01,3584.0,63028.0,63028.0,0.0,0.0,0.0
2010-12-01,2540.0,42175.0,42175.0,0.0,0.0,0.0
2011-01-01,3741.0,71350.0,71350.0,0.0,0.0,0.0
2011-02-01,3889.0,74471.0,74471.0,0.0,0.0,0.0
2011-03-01,3885.0,69027.0,69027.0,0.0,0.0,0.0
2011-04-01,4255.0,86662.0,86662.0,0.0,0.0,0.0
2011-05-01,4338.0,87445.0,87445.0,0.0,0.0,0.0
2011-06-01,4182.0,89386.0,89386.0,0.0,0.0,0.0
2011-07-01,4303.0,93835.0,93835.0,0.0,0.0,0.0
2011-08-01,4206.0,89771.0,89771.0,0.0,0.0,0.0
2011-09-01,4018.0,80395.0,80395.0,0.0,0.0,0.0
2011-10-01,4283.0,82439.0,82439.0,0.0,0.0,0.0
2011-11-01,4243.0,80418.0,80418.0,0.0,0.0,0.0
2011-12-01,4204.0,79659.0,79659.0,0.0,0.0,0.0
2012-01-01,4257.0,87108.0,87108.0,0.0,0.0,0.0
2012-02-01,4050.0,84105.0,84105.0,0.0,0.0,0.0
2012-03-01,3450.0,70048.0,70048.0,0.0,0.0,0.0
2012-04-01,4809.0,79981.0,79981.0,0.0,0.0,0.0
2012-05-01,4692.0,78842.0,78842.0,0.0,0.0,0.0
2012-06-01,3609.0,71167.0,71167.0,0.0,0.0,0.0
2012-07-01,4269.0,81833.0,81833.0,0.0,0.0,0.0
2012-08-01,4269.0,75203.0,75203.0,0.0,0.0,0.0
2012-09-01,4528.0,74715.0,74715.0,0.0,0.0,0.0
2012-10-01,4556.0,83253.0,83253.0,0.0,0.0,0.0
2012-11-01,4438.0,80429.0,80429.0,0.0,0.0,0.0
2012-12-01,4194.0,80344.0,80344.0,0.0,0.0,0.0
2013-01-01,3860.0,77305.0,77305.0,0.0,0.0,0.0
2013-02-01,3711.0,72555.0,72555.0,0.0,0.0,0.0
2013-03-01,3355.0,73367.0,73367.0,0.0,0.0,0.0
2013-04-01,3676.0,79184.0,79184.0,0.0,0.0,0.0
2013-05-01,3653.0,77190.0,77190.0,0.0,0.0,0.0
2013-06-01,3740.0,78934.0,78934.0,0.0,0.0,0.0
2013-07-01,3868.0,79861.0,79861.0,0.0,0.0,0.0
2013-08-01,3694.956,80986.0,80986.0,11.044,242.0,242.0
2013-09-01,3640.0,81413.0,81413.0,0.0,0.0,0.0
2013-10-01,4073.0,85807.0,85807.0,0.0,0.0,0.0
2013-11-01,3873.0,80241.0,80241.0,0.0,0.0,0.0
2013-12-01,3640.0,78472.0,78472.0,0.0,0.0,0.0
2014-01-01,3353.39,72840.0,72840.0,9.61,209.0,209.0
2014-02-01,3369.0,72452.0,72452.0,0.0,0.0,0.0
2014-03-01,3125.0,68313.0,68313.0,0.0,0.0,0.0
2014-04-01,3555.0,74981.0,74981.0,0.0,0.0,0.0
2014-05-01,3642.0,78346.0,78346.0,0.0,0.0,0.0
2014-06-01,3495.0,77041.0,77041.0,0.0,0.0,0.0
2014-07-01,3562.0,81770.0,81770.0,0.0,0.0,0.0
2014-08-01,3449.0,80310.0,80310.0,0.0,0.0,0.0
2014-09-01,3204.0,77418.0,77418.0,0.0,0.0,0.0
2014-10-01,3271.0,77276.0,77276.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2654.0,52074.0,52074.0,0.0,0.0,0.0
2015-04-01,2968.468,65067.0,65067.0,3.532,77.0,77.0
2015-05-01,3103.0,72419.0,72419.0,0.0,0.0,0.0
2015-06-01,2875.0,72397.0,72397.0,0.0,0.0,0.0
2015-07-01,2879.0,74966.0,74966.0,0.0,0.0,0.0
2015-08-01,2564.0,70902.0,70902.0,0.0,0.0,0.0
2015-09-01,2245.0,65624.0,65624.0,0.0,0.0,0.0
2015-10-01,2488.0,71862.0,71862.0,0.0,0.0,0.0
2015-11-01,2642.0,69241.0,69241.0,0.0,0.0,0.0
2015-12-01,2402.0,61381.0,61381.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0
