measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-06-01,0.0,0.0,0.0,-7.0,6.0,6.0,0.0,0.0,0.0,,,,9129.0,145796.0,145796.0
2004-07-01,0.0,0.0,0.0,31.0,550.0,550.0,0.0,0.0,0.0,,,,7115.0,114704.0,114704.0
2004-08-01,0.0,0.0,0.0,16.0,178.0,178.0,0.0,0.0,0.0,,,,9544.0,153845.0,153845.0
2004-09-01,0.0,0.0,0.0,3.0,42.0,42.0,0.0,0.0,0.0,,,,6567.0,112265.0,112265.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-592.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-280.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-298.0,0.0,0.0
2005-01-01,,,,6.0,62.0,62.0,,,,,,,-313.0,0.0,0.0
2005-02-01,,,,-278.0,835.2,835.2,,,,,,,0.0,0.0,0.0
2005-03-01,,,,0.0,0.0,0.0,,,,,,,-298.0,0.0,0.0
2005-04-01,,,,115.0,1269.11,1269.11,,,,,,,-294.0,0.0,0.0
2005-05-01,,,,-12.0,132.0,132.0,,,,,,,-334.0,0.0,0.0
2005-06-01,,,,9.0,215.01,215.01,,,,,,,23166.0,391496.2,391496.2
2005-07-01,,,,-2.0,151.01,151.01,,,,,,,36311.0,547142.25,547142.25
2005-08-01,,,,-10.0,0.0,0.0,,,,,,,18322.0,289139.95,289139.95
2005-09-01,,,,-11.0,0.0,0.0,,,,,,,2010.0,43096.63,43096.63
2005-10-01,,,,-14.0,0.0,0.0,,,,,,,713.0,31006.54,31006.54
2005-11-01,,,,-16.0,0.0,0.0,,,,,,,-306.0,0.0,0.0
2005-12-01,,,,36.0,652.99,652.99,,,,,,,-291.0,0.0,0.0
2006-01-01,,,,-19.0,0.0,0.0,,,,,,,-292.0,0.0,0.0
2006-02-01,,,,-18.0,0.0,0.0,,,,,,,-278.0,0.0,0.0
2006-03-01,,,,-18.0,65.0,65.0,,,,,,,-313.0,0.0,0.0
2006-04-01,,,,-13.0,0.0,0.0,,,,,,,-298.0,0.0,0.0
2006-05-01,,,,-8.0,12.0,12.0,,,,,,,2276.0,37568.0,37568.0
2006-06-01,,,,-8.0,0.0,0.0,,,,,,,3698.0,79844.0,79844.0
2006-07-01,,,,-10.0,0.0,0.0,,,,,,,37834.0,524912.0,524912.0
2006-08-01,,,,-10.0,0.0,0.0,,,,,,,21322.0,323396.0,323396.0
2006-09-01,,,,0.0,0.0,0.0,,,,,,,-729.0,0.0,0.0
2006-10-01,,,,6.0,1439.0,1439.0,,,,,,,-639.0,0.0,0.0
2006-11-01,,,,-8.0,0.0,0.0,,,,,,,-251.0,0.0,0.0
2006-12-01,,,,0.0,0.0,0.0,,,,,,,-263.0,0.0,0.0
2007-01-01,,,,-18.0,376.0,376.0,,,,,,,-293.0,0.0,0.0
2007-02-01,,,,-20.0,129.0,129.0,,,,,,,-290.0,0.0,0.0
2007-03-01,,,,-16.0,0.0,0.0,,,,,,,-310.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,,,,,,,-347.0,0.0,0.0
2007-05-01,,,,-9.0,0.0,0.0,,,,,,,1030.0,30303.0,30303.0
2007-06-01,,,,0.0,0.0,0.0,,,,,,,11092.0,181431.0,181431.0
2007-07-01,,,,-20.0,0.0,0.0,,,,,,,16753.0,273999.0,273999.0
2007-08-01,,,,11.0,400.0,400.0,,,,,,,38853.0,579301.0,579301.0
2007-09-01,,,,-10.0,0.0,0.0,,,,,,,8863.0,129566.0,129566.0
2007-10-01,,,,0.0,0.0,0.0,,,,,,,-458.0,0.0,0.0
2007-11-01,,,,-28.0,11.0,11.0,,,,,,,-230.0,0.0,0.0
2007-12-01,,,,-12.0,0.0,0.0,,,,,,,-260.0,0.0,0.0
2008-01-01,,,,-15.0,35.0,35.0,,,,,,,-305.0,0.0,0.0
2008-02-01,,,,-13.0,17.0,17.0,,,,,,,-622.0,0.0,0.0
2008-03-01,,,,-17.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-04-01,,,,-14.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-05-01,,,,-9.0,41.0,41.0,,,,,,,3022.0,46871.0,46871.0
2008-06-01,,,,-11.0,0.0,0.0,,,,,,,8484.0,123947.0,123947.0
2008-07-01,,,,-10.0,0.0,0.0,,,,,,,17112.0,230808.0,230808.0
2008-08-01,,,,-11.0,6.0,6.0,,,,,,,19193.0,217632.0,217632.0
2008-09-01,,,,-11.0,6.0,6.0,,,,,,,5930.0,84350.0,84350.0
2008-10-01,,,,-15.0,17.0,17.0,,,,,,,2098.0,57489.0,57489.0
2008-11-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-12-01,,,,-9.0,122.0,122.0,,,,,,,0.0,0.0,0.0
2009-01-01,,,,-1.0,0.0,0.0,,,,,,,-610.0,0.0,0.0
2009-02-01,,,,-1.0,17.0,17.0,,,,,,,-251.0,0.0,0.0
2009-03-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-04-01,,,,-1.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-05-01,,,,-8.0,52.0,52.0,,,,,,,0.0,0.0,0.0
2009-06-01,,,,-13.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-07-01,,,,-13.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-08-01,,,,-32.0,6.0,6.0,,,,,,,0.0,0.0,0.0
2009-09-01,,,,-12.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-10-01,,,,-19.0,6.0,6.0,,,,,,,-19.0,0.0,0.0
2009-11-01,,,,-17.0,6.0,6.0,,,,,,,0.0,0.0,0.0
2009-12-01,,,,-25.0,12.0,12.0,,,,,,,0.0,0.0,0.0
2010-01-01,,,,-20.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-02-01,,,,-21.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-03-01,,,,-12.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-04-01,,,,-12.0,23.0,23.0,,,,0.0,0.0,0.0,,,
2010-05-01,,,,-15.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-06-01,,,,-9.0,52.0,52.0,,,,0.0,0.0,0.0,,,
2010-07-01,,,,-7.0,64.0,64.0,,,,0.0,0.0,0.0,,,
2010-08-01,,,,-8.0,6.0,6.0,,,,0.0,0.0,0.0,,,
2010-09-01,,,,-16.0,6.0,6.0,,,,0.0,0.0,0.0,,,
2010-10-01,,,,-14.0,6.0,6.0,,,,0.0,0.0,0.0,,,
2010-11-01,,,,-91.0,12.0,12.0,,,,0.0,0.0,0.0,,,
2010-12-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-01-01,,,,0.0,6.0,6.0,,,,0.0,0.0,0.0,,,
2011-02-01,,,,5.0,58.0,58.0,,,,0.0,0.0,0.0,,,
2011-03-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-04-01,,,,3.0,29.0,29.0,,,,0.0,0.0,0.0,,,
2011-05-01,,,,4.0,41.0,41.0,,,,0.0,0.0,0.0,,,
2011-06-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-07-01,,,,103.0,1119.0,1119.0,,,,0.0,0.0,0.0,,,
2011-08-01,,,,-25.0,476.0,476.0,,,,0.0,0.0,0.0,,,
2011-09-01,,,,-1.0,12.0,12.0,,,,0.0,0.0,0.0,,,
2011-10-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-11-01,,,,2.0,29.0,29.0,,,,0.0,0.0,0.0,,,
2011-12-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-01-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-02-01,,,,-1.0,23.0,23.0,,,,0.0,0.0,0.0,,,
2012-03-01,,,,5.0,52.0,52.0,,,,0.0,0.0,0.0,,,
2012-04-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-05-01,,,,2.0,17.0,17.0,,,,0.0,0.0,0.0,,,
2012-06-01,,,,24.0,277.0,277.0,,,,0.0,0.0,0.0,,,
2012-07-01,,,,100.0,1091.0,1091.0,,,,0.0,0.0,0.0,,,
2012-08-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-09-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-10-01,,,,-1.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2012-11-01,,,,-40.0,63.0,63.0,,,,0.0,0.0,0.0,,,
2012-12-01,,,,-2.0,6.0,6.0,,,,0.0,0.0,0.0,,,
2013-01-01,,,,-2.0,46.0,46.0,,,,,,,0.0,0.0,0.0
2013-02-01,,,,3.0,69.0,69.0,,,,,,,0.0,0.0,0.0
2013-03-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,,,,,,,,,
2013-05-01,,,,0.0,0.0,0.0,,,,,,,,,
2013-06-01,,,,0.0,0.0,0.0,,,,,,,,,
2013-07-01,,,,100.0,1091.0,1091.0,,,,,,,,,
2013-08-01,,,,0.0,0.0,0.0,,,,,,,,,
2013-09-01,,,,-1.0,0.0,0.0,,,,,,,,,
2013-10-01,,,,-1.0,0.0,0.0,,,,,,,,,
2013-11-01,,,,0.0,0.0,0.0,,,,,,,,,
2013-12-01,,,,0.0,0.0,0.0,,,,,,,,,
