measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2019-07-01,,,,39377.287,350655.0,350655.0
2019-08-01,,,,37845.647,337015.0,337015.0
2019-09-01,,,,36923.727,328806.0,328806.0
2019-10-01,,,,42232.908,376084.0,376084.0
2019-11-01,,,,39179.414,348893.0,348893.0
2019-12-01,,,,40329.28,359132.0,359132.0
2020-01-01,,,,42671.979,374105.0,374105.0
2020-02-01,,,,41310.43,362169.0,362169.0
2020-03-01,,,,41124.651,360540.0,360540.0
2020-04-01,,,,41405.269,363000.0,363000.0
2020-05-01,,,,43162.228,378403.0,378403.0
2020-06-01,,,,45422.524,398219.0,398219.0
2020-07-01,,,,37387.982,327780.0,327780.0
2020-08-01,,,,34325.107,300928.0,300928.0
2020-09-01,,,,27923.068,244802.0,244802.0
2020-10-01,,,,39361.672,345084.0,345084.0
2020-11-01,,,,39932.345,350087.0,350087.0
2020-12-01,,,,42530.745,372867.0,372867.0
2021-01-01,,,,34475.018,304897.0,304897.0
2021-02-01,,,,27423.43,242533.0,242533.0
2021-03-01,,,,47047.239,416086.0,416086.0
2021-04-01,,,,40810.373,360927.0,360927.0
2021-05-01,,,,40976.426,362396.0,362396.0
2021-06-01,,,,30765.428,272089.0,272089.0
2021-07-01,,,,23570.425,208457.0,208457.0
2021-08-01,,,,30833.38,272690.0,272690.0
2021-09-01,,,,29234.28,258548.0,258548.0
2021-10-01,,,,36409.067,322002.0,322002.0
2021-11-01,,,,35538.654,314304.0,314304.0
2021-12-01,,,,40363.28,356973.0,356973.0
2022-01-01,,,,30135.596,102823.0,102823.0
2022-02-01,,,,29929.886,102121.0,102121.0
2022-03-01,,,,38423.25,131100.0,131100.0
2022-04-01,,,,41247.512,140737.0,140737.0
2022-05-01,,,,42786.517,145988.0,145988.0
2022-06-01,,,,33387.259,113917.0,113917.0
2022-07-01,,,,30100.891,102704.0,102704.0
2022-08-01,,,,21559.353,73561.0,73561.0
2022-09-01,,,,19893.441,67876.0,67876.0
2022-10-01,,,,25939.87,88507.0,88507.0
2022-11-01,,,,31451.105,107311.0,107311.0
2022-12-01,,,,29544.32,100805.0,100805.0
2023-01-01,,,,35087.0,119717.0,119717.0
2023-02-01,,,,41073.0,140141.0,140141.0
2023-03-01,,,,45121.0,153953.0,153953.0
2023-04-01,,,,21200.0,72334.0,72334.0
2023-05-01,,,,19719.0,67281.0,67281.0
2023-06-01,,,,30816.0,105144.0,105144.0
2023-07-01,,,,31445.0,107290.0,107290.0
2023-08-01,,,,25812.0,88071.0,88071.0
2023-09-01,,,,17449.0,59536.0,59536.0
2023-10-01,,,,28116.0,95932.0,95932.0
2023-11-01,,,,26029.0,88811.0,88811.0
2023-12-01,,,,24119.0,82294.0,82294.0
2024-01-01,-1.0,0.0,0.0,34706.0,118417.0,118417.0
2024-02-01,-23.0,0.0,0.0,39922.0,136214.0,136214.0
2024-03-01,-21.0,0.0,0.0,33619.0,114708.0,114708.0
2024-04-01,-124.0,0.0,0.0,40275.0,137418.0,137418.0
2024-05-01,-163.0,0.0,0.0,31446.0,107294.0,107294.0
2024-06-01,-188.0,0.0,0.0,26434.0,90193.0,90193.0
2024-07-01,-183.0,0.0,0.0,22457.0,76623.0,76623.0
2024-08-01,-173.0,0.0,0.0,13556.0,46253.0,46253.0
2024-09-01,-76.0,0.0,0.0,21121.0,72065.0,72065.0
2024-10-01,-133.0,0.0,0.0,17515.0,59761.0,59761.0
2024-11-01,-53.0,0.0,0.0,30954.0,105615.0,105615.0
2024-12-01,-220.0,0.0,0.0,26953.0,91964.0,91964.0
