measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-01-01,,,,9314.831,90503.0,90503.0,,,
2011-02-01,,,,8807.107,85570.0,85570.0,,,
2011-03-01,,,,10341.186,100475.0,100475.0,,,
2011-04-01,,,,9965.636,96826.0,96826.0,,,
2011-05-01,,,,9870.269,95900.0,95900.0,,,
2011-06-01,,,,9595.686,93232.0,93232.0,,,
2011-07-01,,,,10259.362,99680.0,99680.0,,,
2011-08-01,,,,9871.673,95913.0,95913.0,,,
2011-09-01,,,,9285.554,90218.0,90218.0,,,
2011-10-01,,,,9181.46,89207.0,89207.0,,,
2011-11-01,,,,9243.256,89807.0,89807.0,,,
2011-12-01,,,,9803.98,95255.0,95255.0,,,
2012-01-01,,,,11160.112,106200.0,106200.0,,,
2012-02-01,,,,9585.101,91212.0,91212.0,,,
2012-03-01,,,,11437.014,108835.0,108835.0,,,
2012-04-01,,,,10626.202,101119.0,101119.0,,,
2012-05-01,,,,11489.9,109338.0,109338.0,,,
2012-06-01,,,,9623.962,91582.0,91582.0,,,
2012-07-01,,,,11272.332,107268.0,107268.0,,,
2012-08-01,,,,10855.884,103305.0,103305.0,,,
2012-09-01,,,,10278.035,97806.0,97806.0,,,
2012-10-01,,,,10349.284,98484.0,98484.0,,,
2012-11-01,,,,10648.637,101332.0,101332.0,,,
2012-12-01,,,,11728.537,111609.0,111609.0,,,
2013-01-01,2650.794,13574.0,79568.0,9398.206,48125.0,282104.0,0.0,0.0,0.0
2013-02-01,1692.505,8667.0,51852.0,8026.495,41101.0,245903.0,0.0,0.0,0.0
2013-03-01,1724.41,8830.0,57140.0,8264.59,42320.0,273854.0,0.0,0.0,0.0
2013-04-01,100.453,514.0,63490.0,366.547,1877.0,231672.0,0.0,0.0,0.0
2013-05-01,3200.936,16391.0,51619.0,16926.064,86672.0,272955.0,0.0,0.0,0.0
2013-06-01,1997.275,10227.0,63369.0,5917.725,30303.0,187757.0,0.0,0.0,0.0
2013-07-01,2000.824,10246.0,59101.0,9097.176,46583.0,268716.0,0.0,0.0,0.0
2013-08-01,1728.548,8851.0,54190.0,8527.452,43666.0,267337.0,0.0,0.0,0.0
2013-09-01,1787.56,9153.0,63153.0,6893.44,35299.0,243539.0,0.0,0.0,0.0
2013-10-01,2055.195,10524.0,66398.0,7604.805,38941.0,245691.0,0.0,0.0,0.0
2013-11-01,1723.218,8824.0,73855.0,3793.782,19427.0,162596.0,0.0,0.0,0.0
2013-12-01,548.299,2808.0,57133.0,1426.701,7306.0,148664.0,0.0,0.0,0.0
2014-01-01,454.33,2326.0,65711.0,363.67,1862.0,52599.0,0.0,0.0,0.0
2014-02-01,567.567,2906.0,41619.0,867.433,4442.0,63607.0,0.0,0.0,0.0
2014-03-01,1180.504,6045.0,58028.0,3559.496,18227.0,174968.0,0.0,0.0,0.0
2014-04-01,757.935,3881.0,49227.0,3122.065,15987.0,202776.0,0.0,0.0,0.0
2014-05-01,1153.462,5906.0,49401.0,5560.538,28474.0,238149.0,0.0,0.0,0.0
2014-06-01,961.481,4923.0,54814.0,3323.519,17019.0,189475.0,0.0,0.0,0.0
2014-07-01,496.686,2543.0,70976.0,1074.314,5501.0,153518.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,8415.0,0.0,0.0,3065.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
