measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2008-04-01,0.5785,9.5,9.5,5571.569,54902.0,54902.0,1.102,15.0,15.0,,,
2008-05-01,0.2005,3.0,3.0,4251.875,41898.0,41898.0,0.8510000000000001,12.0,12.0,,,
2008-06-01,0.0855,0.0,0.0,3720.1690000000003,36659.0,36659.0,5.32,74.0,74.0,,,
2008-07-01,0.26,3.0,3.0,3533.123,34815.0,34815.0,14.661000000000001,204.0,204.0,,,
2008-08-01,0.9275,12.5,12.5,5633.554,55513.0,55513.0,17.513,242.0,242.0,,,
2008-09-01,1.7690000000000001,25.0,25.0,4047.916,39888.0,39888.0,2.373,33.0,33.0,,,
2008-10-01,4.471,62.0,62.0,3732.2430000000004,36778.0,36778.0,3.318,46.0,46.0,,,
2008-11-01,0.6945,9.5,9.5,1830.565,18038.0,18038.0,6.668,92.0,92.0,,,
2008-12-01,0.656,9.5,9.5,7479.947,73707.0,73707.0,6.938000000000001,96.0,96.0,,,
2009-01-01,0.1475,3.0,3.0,10762.17,105039.0,105039.0,3.1540000000000004,43.0,43.0,,,
2009-02-01,0.511,9.5,9.5,4347.34,42430.0,42430.0,0.992,14.0,14.0,,,
2009-03-01,0.069,0.0,0.0,7475.978,72966.0,72966.0,2.548,35.0,35.0,,,
2009-04-01,0.3475,6.0,6.0,6095.102,59488.0,59488.0,2.786,39.0,39.0,,,
2009-05-01,2.6715,37.0,37.0,10129.028,98859.0,98859.0,2.3,32.0,32.0,,,
2009-06-01,1.0995000000000001,15.5,15.5,11978.771,116913.0,116913.0,7.119000000000001,99.0,99.0,,,
2009-07-01,1.8905,25.0,25.0,5476.417,53450.0,53450.0,10.435,145.0,145.0,,,
2009-08-01,1.4040000000000001,18.5,18.5,6028.256,58836.0,58836.0,10.565,147.0,147.0,,,
2009-09-01,1.492,21.5,21.5,8873.374,86604.0,86604.0,2.863,40.0,40.0,,,
2009-10-01,0.5135000000000001,6.0,6.0,10435.021,101846.0,101846.0,1.6320000000000001,23.0,23.0,,,
2009-11-01,0.9325,12.5,12.5,15163.618,147997.0,147997.0,0.9820000000000001,13.0,13.0,,,
2009-12-01,0.9645,12.5,12.5,14929.925,145716.0,145716.0,6.538,91.0,91.0,,,
2010-01-01,1.46,18.5,18.5,15494.947,151169.0,151169.0,2.009,29.0,29.0,,,
2010-02-01,1.7160000000000002,25.0,25.0,16452.593,160511.0,160511.0,1.207,17.0,17.0,,,
2010-03-01,0.2315,3.0,3.0,11624.006,113404.0,113404.0,1.477,21.0,21.0,,,
2010-04-01,0.3155,3.0,3.0,7506.573,73234.0,73234.0,1.034,14.0,14.0,,,
2010-05-01,1.8645,25.0,25.0,7352.999000000001,71736.0,71736.0,2.21,31.0,31.0,,,
2010-06-01,1.2395,18.5,18.5,7255.476000000001,70784.0,70784.0,6.626,92.0,92.0,,,
2010-07-01,0.1275,3.0,3.0,4747.0070000000005,46312.0,46312.0,11.441,161.0,161.0,,,
2010-08-01,0.445,6.0,6.0,6431.503000000001,62746.0,62746.0,17.867,250.0,250.0,,,
2010-09-01,0.17300000000000001,3.0,3.0,6208.733,60572.0,60572.0,1.971,28.0,28.0,,,
2010-10-01,0.9480000000000001,12.5,12.5,6106.019,59570.0,59570.0,1.6480000000000001,23.0,23.0,,,
2010-11-01,3.0140000000000002,43.5,43.5,6578.07,64176.0,64176.0,1.481,21.0,21.0,,,
2010-12-01,0.8645,30.0,30.0,9322.074,90946.0,90946.0,1.231,18.0,18.0,,,
2011-01-01,0.877,21.5,21.5,6260.991,60832.0,60832.0,1.401,20.0,20.0,,,
2011-02-01,0.275,12.0,12.0,5305.367,51547.0,51547.0,1.259,18.0,18.0,,,
2011-03-01,1.4025,33.0,33.0,10131.946,98442.0,98442.0,3.369,48.0,48.0,,,
2011-04-01,0.961,18.5,18.5,8836.231,85853.0,85853.0,1.392,20.0,20.0,,,
2011-05-01,0.5175,12.0,12.0,5595.745,54368.0,54368.0,1.772,25.0,25.0,,,
2011-06-01,0.9645,18.5,18.5,5831.276,56657.0,56657.0,4.97,70.0,70.0,,,
2011-07-01,0.5295,12.0,12.0,5005.424,48633.0,48633.0,21.364,304.0,304.0,,,
2011-08-01,0.273,6.0,6.0,5143.132,49971.0,49971.0,13.608,194.0,194.0,,,
2011-09-01,0.128,12.0,12.0,4777.743,46421.0,46421.0,3.524,51.0,51.0,,,
2011-10-01,0.3825,15.0,15.0,4829.042,46919.0,46919.0,1.301,19.0,19.0,,,
2011-11-01,0.552,12.5,12.5,5604.656,54455.0,54455.0,1.362,20.0,20.0,,,
2011-12-01,0.543,15.0,15.0,11084.447,107696.0,107696.0,0.867,12.0,12.0,,,
2015-01-01,,,,,,,,,,223.149,2080.0,2080.0
2015-02-01,,,,,,,,,,286.791,2673.0,2673.0
2015-03-01,,,,,,,,,,409.389,3815.0,3815.0
2015-04-01,,,,,,,,,,466.009,4343.0,4343.0
2015-05-01,,,,,,,,,,467.789,4359.0,4359.0
2015-06-01,,,,,,,,,,484.622,4516.0,4516.0
2015-07-01,,,,,,,,,,490.781,4574.0,4574.0
2015-08-01,,,,,,,,,,500.247,4662.0,4662.0
2015-09-01,,,,,,,,,,413.972,3858.0,3858.0
2015-10-01,,,,,,,,,,353.414,3293.0,3293.0
2015-11-01,,,,,,,,,,323.825,3018.0,3018.0
2015-12-01,,,,,,,,,,280.012,2609.0,2609.0
2016-01-01,,,,,,,,,,187.852,1734.0,1734.0
2016-02-01,,,,,,,,,,375.823,3470.0,3470.0
2016-03-01,,,,,,,,,,326.832,3017.0,3017.0
2016-04-01,,,,,,,,,,367.086,3389.0,3389.0
2016-05-01,,,,,,,,,,453.182,4184.0,4184.0
2016-06-01,,,,,,,,,,450.0,4154.0,4154.0
2016-07-01,,,,,,,,,,518.248,4784.0,4784.0
2016-08-01,,,,,,,,,,504.76,4660.0,4660.0
2016-09-01,,,,,,,,,,470.326,4342.0,4342.0
2016-10-01,,,,,,,,,,412.531,3808.0,3808.0
2016-11-01,,,,,,,,,,361.156,3334.0,3334.0
2016-12-01,,,,,,,,,,289.554,2673.0,2673.0
2017-01-01,,,,,,,,,,172.993,1594.0,1594.0
2017-02-01,,,,,,,,,,281.845,2597.0,2597.0
2017-03-01,,,,,,,,,,386.951,3565.0,3565.0
2017-04-01,,,,,,,,,,408.02,3759.0,3759.0
2017-05-01,,,,,,,,,,404.976,3731.0,3731.0
2017-06-01,,,,,,,,,,486.44,4482.0,4482.0
2017-07-01,,,,,,,,,,475.672,4382.0,4382.0
2017-08-01,,,,,,,,,,471.692,4346.0,4346.0
2017-09-01,,,,,,,,,,380.865,3509.0,3509.0
2017-10-01,,,,,,,,,,336.388,3099.0,3099.0
2017-11-01,,,,,,,,,,206.702,1904.0,1904.0
2017-12-01,,,,,,,,,,151.456,1395.0,1395.0
2018-01-01,,,,,,,,,,190.199,1732.0,1732.0
2018-02-01,,,,,,,,,,208.224,1896.0,1896.0
2018-03-01,,,,,,,,,,335.513,3055.0,3055.0
2018-04-01,,,,,,,,,,374.509,3410.0,3410.0
2018-05-01,,,,,,,,,,471.999,4297.0,4297.0
2018-06-01,,,,,,,,,,460.227,4190.0,4190.0
2018-07-01,,,,,,,,,,540.794,4923.0,4923.0
2018-08-01,,,,,,,,,,437.05,3979.0,3979.0
2018-09-01,,,,,,,,,,270.397,2462.0,2462.0
2018-10-01,,,,,,,,,,259.361,2361.0,2361.0
2018-11-01,,,,,,,,,,154.881,1410.0,1410.0
2018-12-01,,,,,,,,,,214.846,1956.0,1956.0
2019-01-01,,,,,,,,,,197.267,1757.0,1757.0
2019-02-01,,,,,,,,,,227.82,2029.0,2029.0
2019-03-01,,,,,,,,,,320.247,2852.0,2852.0
2019-04-01,,,,,,,,,,350.992,3126.0,3126.0
2019-05-01,,,,,,,,,,354.429,3156.0,3156.0
2019-06-01,,,,,,,,,,390.903,3481.0,3481.0
2019-07-01,,,,,,,,,,468.053,4168.0,4168.0
2019-08-01,,,,,,,,,,387.466,3450.0,3450.0
2019-09-01,,,,,,,,,,365.314,3253.0,3253.0
2019-10-01,,,,,,,,,,247.107,2200.0,2200.0
2019-11-01,,,,,,,,,,199.557,1777.0,1777.0
2019-12-01,,,,,,,,,,125.845,1121.0,1121.0
2020-01-01,,,,,,,,,,169.529,1486.0,1486.0
2020-02-01,,,,,,,,,,222.057,1947.0,1947.0
2020-03-01,,,,,,,,,,337.878,2962.0,2962.0
2020-04-01,,,,,,,,,,323.958,2840.0,2840.0
2020-05-01,,,,,,,,,,456.72,4004.0,4004.0
2020-06-01,,,,,,,,,,431.507,3783.0,3783.0
2020-07-01,,,,,,,,,,424.941,3725.0,3725.0
2020-08-01,,,,,,,,,,401.698,3522.0,3522.0
2020-09-01,,,,,,,,,,348.777,3058.0,3058.0
2020-10-01,,,,,,,,,,253.573,2223.0,2223.0
2020-11-01,,,,,,,,,,181.348,1590.0,1590.0
2020-12-01,,,,,,,,,,138.014,1210.0,1210.0
2021-01-01,,,,,,,,,,160.499,1419.0,1419.0
2021-02-01,,,,,,,,,,126.769,1121.0,1121.0
2021-03-01,,,,,,,,,,401.247,3549.0,3549.0
2021-04-01,,,,,,,,,,324.759,2872.0,2872.0
2021-05-01,,,,,,,,,,403.629,3570.0,3570.0
2021-06-01,,,,,,,,,,418.425,3701.0,3701.0
2021-07-01,,,,,,,,,,329.273,2912.0,2912.0
2021-08-01,,,,,,,,,,331.906,2935.0,2935.0
2021-09-01,,,,,,,,,,308.459,2728.0,2728.0
2021-10-01,,,,,,,,,,227.958,2016.0,2016.0
2021-11-01,,,,,,,,,,225.451,1994.0,1994.0
2021-12-01,,,,,,,,,,120.625,1067.0,1067.0
2022-01-01,,,,,,,,,,333.936,1139.0,1139.0
2022-02-01,,,,,,,,,,219.761,750.0,750.0
2022-03-01,,,,,,,,,,327.979,1119.0,1119.0
2022-04-01,,,,,,,,,,400.724,1367.0,1367.0
2022-05-01,,,,,,,,,,451.023,1539.0,1539.0
2022-06-01,,,,,,,,,,453.655,1548.0,1548.0
2022-07-01,,,,,,,,,,500.767,1709.0,1709.0
2022-08-01,,,,,,,,,,441.739,1507.0,1507.0
2022-09-01,,,,,,,,,,366.222,1250.0,1250.0
2022-10-01,,,,,,,,,,290.289,990.0,990.0
2022-11-01,,,,,,,,,,239.437,817.0,817.0
2022-12-01,,,,,,,,,,155.468,530.0,530.0
2023-01-01,,,,,,,,,,142.0,485.0,485.0
2023-02-01,,,,,,,,,,263.0,897.0,897.0
2023-03-01,,,,,,,,,,322.0,1099.0,1099.0
2023-04-01,,,,,,,,,,381.0,1300.0,1300.0
2023-05-01,,,,,,,,,,567.0,1935.0,1935.0
2023-06-01,,,,,,,,,,339.0,1157.0,1157.0
2023-07-01,,,,,,,,,,425.0,1450.0,1450.0
2023-08-01,,,,,,,,,,403.0,1375.0,1375.0
2023-09-01,,,,,,,,,,331.0,1129.0,1129.0
2023-10-01,,,,,,,,,,279.0,952.0,952.0
2023-11-01,,,,,,,,,,276.0,942.0,942.0
2023-12-01,,,,,,,,,,186.0,635.0,635.0
2024-01-01,,,,,,,,,,187.0,638.0,638.0
2024-02-01,,,,,,,,,,145.0,495.0,495.0
2024-03-01,,,,,,,,,,322.0,1099.0,1099.0
2024-04-01,,,,,,,,,,346.0,1181.0,1181.0
2024-05-01,,,,,,,,,,434.0,1481.0,1481.0
2024-06-01,,,,,,,,,,477.0,1628.0,1628.0
2024-07-01,,,,,,,,,,489.0,1668.0,1668.0
2024-08-01,,,,,,,,,,404.0,1378.0,1378.0
2024-09-01,,,,,,,,,,460.0,1570.0,1570.0
2024-10-01,,,,,,,,,,299.0,1020.0,1020.0
2024-11-01,,,,,,,,,,375.0,1280.0,1280.0
2024-12-01,,,,,,,,,,237.0,809.0,809.0
