measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2012-07-01,1194.248,15725.0,18887.0,,,,564.572,7434.0,8928.0,,,,,,
2012-08-01,1180.678,15546.0,18672.0,,,,372.411,4904.0,5889.0,,,,,,
2012-09-01,1025.57,13504.0,16219.0,,,,279.491,3680.0,4420.0,,,,,,
2012-10-01,1186.096,15617.0,18757.0,,,,338.03,4451.0,5346.0,,,,,,
2012-11-01,933.879,12296.0,14769.0,,,,275.791,3631.0,4361.0,,,,,,
2012-12-01,973.568,12819.0,15397.0,,,,267.489,3522.0,4230.0,,,,,,
2013-01-01,1088.179,10730.0,10730.0,,,,0.0,0.0,0.0,,,,,,
2013-02-01,997.76,9839.0,9839.0,,,,0.0,0.0,0.0,,,,,,
2013-03-01,1410.738,13911.0,13911.0,,,,0.0,0.0,0.0,,,,,,
2013-04-01,1527.236,15060.0,15060.0,,,,0.0,0.0,0.0,,,,,,
2013-05-01,1529.997,15087.0,15087.0,,,,0.0,0.0,0.0,,,,,,
2013-06-01,1492.013,14712.0,14712.0,,,,0.0,0.0,0.0,,,,,,
2013-07-01,1182.873,11664.0,11664.0,,,,0.0,0.0,0.0,,,,,,
2013-08-01,1345.761,13270.0,13270.0,,,,0.0,0.0,0.0,,,,,,
2013-09-01,1451.109,14309.0,14309.0,,,,0.0,0.0,0.0,,,,,,
2013-10-01,1400.763,13813.0,13813.0,,,,0.0,0.0,0.0,,,,,,
2013-11-01,1245.265,12279.0,12279.0,,,,0.0,0.0,0.0,,,,,,
2013-12-01,1301.306,12832.0,12832.0,,,,0.0,0.0,0.0,,,,,,
2014-01-01,615.328,8102.0,9903.0,,,,1240.511,16334.0,19967.0,,,,,,
2014-02-01,509.324,6706.0,8198.0,,,,987.435,13002.0,15894.0,,,,,,
2014-03-01,541.074,7124.0,8709.0,,,,964.486,12699.0,15524.0,,,,,,
2014-04-01,615.494,8104.0,9907.0,,,,667.352,8787.0,10742.0,,,,,,
2014-05-01,622.143,8192.0,10014.0,,,,792.888,10440.0,12762.0,,,,,,
2014-06-01,726.725,9569.0,11697.0,,,,649.183,8548.0,10449.0,,,,,,
2014-07-01,696.471,9170.0,11210.0,,,,725.881,9558.0,11684.0,,,,,,
2014-08-01,656.355,8642.0,10565.0,,,,789.595,10397.0,12709.0,,,,,,
2014-09-01,669.58,8816.0,10778.0,,,,574.516,7565.0,9247.0,,,,,,
2014-10-01,659.867,8689.0,10621.0,,,,856.661,11280.0,13789.0,,,,,,
2014-11-01,560.904,7385.0,9029.0,,,,1146.226,15092.0,18450.0,,,,,,
2014-12-01,558.759,7357.0,8994.0,,,,960.242,12644.0,15456.0,,,,,,
2015-01-01,786.588,10357.0,15043.0,,,,384.531,5063.0,7355.0,,,,,,
2015-02-01,663.311,8734.0,12686.0,,,,450.661,5934.0,8619.0,,,,,,
2015-03-01,807.48,10632.0,15443.0,,,,439.821,5791.0,8411.0,,,,,,
2015-04-01,897.908,11823.0,17172.0,,,,322.378,4245.0,6165.0,,,,,,
2015-05-01,965.5,12713.0,18465.0,,,,294.042,3872.0,5623.0,,,,,,
2015-06-01,888.641,11701.0,16995.0,,,,319.9,4212.0,6118.0,,,,,,
2015-07-01,1013.291,13342.0,19379.0,,,,358.49,4720.0,6856.0,,,,,,
2015-08-01,916.316,12065.0,17524.0,,,,354.737,4671.0,6784.0,,,,,,
2015-09-01,996.827,13125.0,19064.0,,,,280.138,3689.0,5357.0,,,,,,
2015-10-01,926.956,12205.0,17728.0,,,,304.741,4013.0,5828.0,,,,,,
2015-11-01,878.911,11573.0,16809.0,,,,384.217,5059.0,7348.0,,,,,,
2015-12-01,836.516,11014.0,15998.0,,,,475.099,6256.0,9086.0,,,,,,
2016-01-01,80.961,476.0,2713.0,,,,6.502,38.0,217.0,,,,,,
2016-02-01,81.788,481.0,2741.0,,,,5.815,34.0,195.0,,,,,,
2016-03-01,87.759,516.0,2941.0,,,,6.881,40.0,231.0,,,,,,
2016-04-01,86.45,509.0,2897.0,,,,4.172,25.0,140.0,,,,,,
2016-05-01,91.593,539.0,3070.0,,,,6.541,38.0,219.0,,,,,,
2016-06-01,77.376,455.0,2593.0,,,,6.922,41.0,232.0,,,,,,
2016-07-01,86.89,511.0,2912.0,,,,7.299,43.0,245.0,,,,,,
2016-08-01,80.156,472.0,2686.0,,,,7.445,44.0,249.0,,,,,,
2016-09-01,74.638,439.0,2501.0,,,,5.619,33.0,188.0,,,,,,
2016-10-01,70.846,417.0,2374.0,,,,5.752,34.0,193.0,,,,,,
2016-11-01,81.744,481.0,2739.0,,,,6.92,41.0,232.0,,,,,,
2016-12-01,82.195,484.0,2755.0,,,,6.736,40.0,226.0,,,,,,
2017-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
