measured_on,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2014-05-01,0.0,9466.0,118595.0
2014-06-01,0.0,10998.0,137782.0
2014-07-01,0.0,13847.0,173480.0
2014-08-01,0.0,13586.0,170207.0
2014-09-01,0.0,11589.0,145187.0
2014-10-01,0.0,12809.0,160483.0
2014-11-01,0.0,14112.0,176809.0
2014-12-01,0.0,13417.0,168094.0
2015-01-01,3515.631,17332.0,173124.0
2015-02-01,3232.125,15934.0,159157.0
2015-03-01,3055.255,15062.0,150444.0
2015-04-01,2869.011,14144.0,141278.0
2015-05-01,2888.553,14240.0,142241.0
2015-06-01,2977.905,14681.0,146645.0
2015-07-01,3420.795,16864.0,168437.0
2015-08-01,3341.723,16475.0,164543.0
2015-09-01,2999.235,14786.0,147685.0
2015-10-01,2853.484,14068.0,140503.0
2015-11-01,2958.084,14583.0,145662.0
2015-12-01,3155.599,15557.0,155377.0
2016-01-01,3359.168,19693.0,167677.0
2016-02-01,2837.528,16635.0,141639.0
2016-03-01,2381.453,13961.0,118872.0
2016-04-01,1990.484,11669.0,99358.0
2016-05-01,2192.538,12854.0,109435.0
2016-06-01,2678.675,15704.0,133706.0
2016-07-01,3480.524,20405.0,173731.0
2016-08-01,3513.934,20601.0,175404.0
2016-09-01,2752.644,16137.0,137409.0
2016-10-01,2910.663,17064.0,145286.0
2016-11-01,2691.935,15782.0,134364.0
2016-12-01,3062.484,17954.0,152863.0
2017-01-01,3190.241,18703.0,172565.0
2017-02-01,3232.124,18948.0,174840.0
2017-03-01,3020.193,17706.0,163372.0
2017-04-01,2420.543,14191.0,130942.0
2017-05-01,2433.384,14266.0,131638.0
2017-06-01,2637.65,15463.0,142673.0
2017-07-01,3655.959,21433.0,197757.0
2017-08-01,3467.008,20325.0,187549.0
2017-09-01,3360.576,19702.0,181796.0
2017-10-01,3486.924,20442.0,188620.0
2017-11-01,3283.275,19248.0,177604.0
2017-12-01,3367.613,19743.0,182172.0
2018-01-01,0.0,21108.0,187146.0
2018-02-01,0.0,17981.0,159390.0
2018-03-01,0.0,19266.0,170784.0
2018-04-01,0.0,19053.0,168912.0
2018-05-01,0.0,15219.0,134910.0
2018-06-01,0.0,17683.0,156762.0
2018-07-01,0.0,21408.0,189774.0
2018-08-01,0.0,21438.0,190044.0
2018-09-01,0.0,18590.0,164808.0
2018-10-01,0.0,16203.0,143640.0
2018-11-01,0.0,18123.0,160668.0
2018-12-01,0.0,19118.0,169488.0
2019-01-01,0.0,21791.0,207484.0
2019-02-01,0.0,19661.0,187205.0
2019-03-01,0.0,16478.0,156889.0
2019-04-01,0.0,12216.0,116311.0
2019-05-01,0.0,14388.0,136987.0
2019-06-01,0.0,16820.0,160140.0
2019-07-01,0.0,21280.0,202608.0
2019-08-01,0.0,19990.0,190342.0
2019-09-01,0.0,16912.0,161028.0
2019-10-01,0.0,12802.0,121886.0
2019-11-01,0.0,17935.0,170762.0
2019-12-01,0.0,17033.0,162181.0
2020-01-01,3548.42,20179.0,183217.0
2020-02-01,3265.295,18569.0,168607.0
2020-03-01,2832.99,16110.0,146286.0
2020-04-01,2370.671,13481.0,122415.0
2020-05-01,2381.53,13543.0,122963.0
2020-06-01,2699.383,15350.0,139388.0
2020-07-01,3262.568,18553.0,168456.0
2020-08-01,3468.362,19723.0,179096.0
2020-09-01,2789.184,15861.0,144018.0
2020-10-01,2890.537,16438.0,149253.0
2020-11-01,2860.263,16265.0,147685.0
2020-12-01,3142.797,17872.0,162275.0
2021-01-01,3159.712,17968.0,234814.0
2021-02-01,3045.996,17322.0,226384.0
2021-03-01,2846.274,16186.0,211548.0
2021-04-01,2389.834,13590.0,177622.0
2021-05-01,2260.87,12857.0,168040.0
2021-06-01,2558.207,14548.0,190134.0
2021-07-01,3393.266,19296.0,252183.0
2021-08-01,3261.041,18544.0,242374.0
2021-09-01,3209.603,18252.0,238537.0
2021-10-01,2642.932,15029.0,196428.0
2021-11-01,3125.375,17773.0,232281.0
2021-12-01,2397.89,13636.0,178208.0
2022-01-01,5033.317,28623.0,196479.0
2022-02-01,4324.722,24593.0,168843.0
2022-03-01,4153.897,23622.0,162169.0
2022-04-01,3359.328,19103.0,131149.0
2022-05-01,4262.142,24237.0,166399.0
2022-06-01,4793.213,27257.0,187135.0
2022-07-01,5536.518,31484.0,216144.0
2022-08-01,5210.166,29628.0,203397.0
2022-09-01,4331.463,24632.0,169106.0
2022-10-01,4074.651,23171.0,159067.0
2022-11-01,3957.721,22506.0,154517.0
2022-12-01,4872.862,27710.0,190237.0
2023-01-01,4441.71,25259.0,235127.0
2023-02-01,3789.241,21548.0,200597.0
2023-03-01,3396.1,19312.0,179796.0
2023-04-01,2389.427,13588.0,126489.0
2023-05-01,2721.238,15475.0,144056.0
2023-06-01,3272.517,18610.0,173253.0
2023-07-01,4408.08,25067.0,233368.0
2023-08-01,3850.619,21897.0,203850.0
2023-09-01,3648.342,20747.0,193147.0
2023-10-01,3241.086,18431.0,171589.0
2023-11-01,3737.531,21254.0,197874.0
2023-12-01,3870.109,22008.0,204890.0
2024-01-01,4289.806,24395.0,199947.0
2024-02-01,3559.707,20243.0,165947.0
2024-03-01,3598.972,20466.0,167783.0
2024-04-01,2764.516,15721.0,128883.0
2024-05-01,2915.893,16582.0,135940.0
2024-06-01,3281.082,18658.0,152949.0
2024-07-01,4087.15,23242.0,190543.0
2024-08-01,3849.064,21888.0,179437.0
2024-09-01,3058.524,17393.0,142581.0
2024-10-01,3129.017,17794.0,145873.0
2024-11-01,3682.67,20942.0,171680.0
2024-12-01,4156.599,23637.0,193779.0
