measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-10-01,,,,,,,,,,1425.08,18332.0,114912.0,0.0,0.0,0.0
2007-11-01,,,,,,,,,,1843.092,19199.0,113925.0,176.788,1843.0,10928.0
2007-12-01,,,,,,,,,,1389.285,12818.0,67745.0,1281.845,11825.0,62506.0
2008-01-01,,,,,,,,,,1290.7740000000001,11653.0,45907.0,1550.226,13995.0,55135.0
2008-02-01,,,,,,,,,,970.1940000000001,8775.0,43362.0,1561.806,14126.0,69803.0
2008-03-01,,,,,,,,,,2173.3340000000003,20536.0,80121.0,19.666,186.0,725.0
2008-04-01,,,,,,,,,,1648.0,17789.0,72002.0,0.0,0.0,0.0
2008-05-01,,,,,,,,,,1584.0,18121.0,73451.0,0.0,0.0,0.0
2008-06-01,,,,,,,,,,1828.0,21891.0,84365.0,0.0,0.0,0.0
2008-07-01,,,,,,,,,,2072.0,25878.0,97958.0,0.0,0.0,0.0
2008-08-01,,,,,,,,,,1683.0,21744.0,82452.0,0.0,0.0,0.0
2008-09-01,,,,,,,,,,1846.0,21706.0,84717.0,0.0,0.0,0.0
2008-10-01,,,,,,,,,,1422.0,17246.0,68817.0,0.0,0.0,0.0
2008-11-01,,,,,,,,,,2459.16,23743.0,87248.0,33.84,327.0,1201.0
2008-12-01,,,,,,,,,,1318.805,12264.0,50418.0,1435.1950000000002,13346.0,54868.0
2009-01-01,,,,,,,,,,1975.74,13277.0,55736.0,2205.26,14819.0,62211.0
2009-02-01,,,,,,,,,,1160.518,10549.0,43283.0,1338.482,12166.0,49921.0
2009-03-01,,,,,,,,,,2099.4320000000002,20540.0,85251.0,18.568,182.0,754.0
2009-04-01,,,,,,,,,,1664.0,17789.0,71275.0,0.0,0.0,0.0
2009-05-01,,,,,,,,,,1664.0,19118.0,76276.0,0.0,0.0,0.0
2009-06-01,,,,,,,,,,2088.0,22894.0,83813.0,0.0,0.0,0.0
2009-07-01,,,,,,,,,,2158.0,25182.0,92358.0,0.0,0.0,0.0
2009-08-01,,,,,,,,,,2274.0,27143.0,103868.0,0.0,0.0,0.0
2009-09-01,,,,,,,,,,1855.0,20862.0,78524.0,0.0,0.0,0.0
2009-10-01,,,,,,,,,,1621.0,18051.0,81039.0,0.0,0.0,0.0
2009-11-01,,,,,,,,,,1650.3690000000001,17314.0,71110.0,80.631,846.0,3474.0
2009-12-01,,,,,,,,,,1260.191,11616.0,48081.0,1428.809,13170.0,54514.0
2010-01-01,,,,,,,,,,1770.421,15557.0,61614.0,1427.5790000000002,12545.0,49683.0
2010-02-01,,,,,,,,,,1513.489,13667.0,55678.0,1245.511,11247.0,45820.0
2010-03-01,,,,,,,,,,2095.992,21069.0,84239.0,15.008000000000001,151.0,603.0
2010-04-01,,,,,,,,,,1394.7620000000002,16445.0,71875.0,1.238,15.0,64.0
2010-05-01,,,,,,,,,,1761.07,21079.0,87258.0,13.93,167.0,690.0
2010-06-01,,,,,,,,,,1876.256,22927.0,94862.0,30.744,376.0,1554.0
2010-07-01,,,,,,,,,,2463.0,29092.0,113692.0,0.0,0.0,0.0
2010-08-01,,,,,,,,,,2315.0,26996.0,106466.0,0.0,0.0,0.0
2010-09-01,,,,,,,,,,2155.0,23738.0,88256.0,0.0,0.0,0.0
2010-10-01,,,,,,,,,,1471.5420000000001,16459.0,76606.0,127.45800000000001,1426.0,6635.0
2010-11-01,,,,,,,,,,1718.41,17414.0,76928.0,73.59,746.0,3294.0
2010-12-01,,,,,,,,,,2226.284,19933.0,75876.0,664.716,5952.0,22655.0
2011-01-01,,,,,,,,,,2761.205,23663.0,115460.0,550.795,4720.0,23032.0
2011-02-01,,,,,,,,,,2431.37,21030.0,85194.0,404.63,3500.0,14178.0
2011-03-01,,,,,,,,,,2569.0,23137.0,120967.0,0.0,0.0,0.0
2011-04-01,,,,,,,,,,1909.0,19220.0,105954.0,0.0,0.0,0.0
2011-05-01,,,,,,,,,,2229.0,23226.0,123697.0,0.0,0.0,0.0
2011-06-01,,,,,,,,,,1897.0,22383.0,130193.0,0.0,0.0,0.0
2011-07-01,,,,,,,,,,2503.0,28811.0,159426.0,0.0,0.0,0.0
2011-08-01,,,,,,,,,,2448.0,27814.0,153417.0,0.0,0.0,0.0
2011-09-01,,,,,,,,,,2442.863,26036.0,138278.0,15.137,161.0,857.0
2011-10-01,,,,,,,,,,1266.0,15131.0,108713.0,0.0,0.0,0.0
2011-11-01,,,,,,,,,,1740.045,17814.0,108997.0,34.955,358.0,2190.0
2011-12-01,,,,,,,,,,2357.106,21908.0,113537.0,20.894,194.0,1006.0
2012-01-01,,,,,,,,,,2735.467,24714.0,126718.0,30.533,276.0,1414.0
2012-02-01,,,,,,,,,,2323.167,21423.0,110881.0,61.833,570.0,2951.0
2012-03-01,,,,,,,,,,1948.0,19635.0,114087.0,0.0,0.0,0.0
2012-04-01,,,,,,,,,,1485.0,16351.0,112332.0,0.0,0.0,0.0
2012-05-01,,,,,,,,,,2125.0,22568.0,117530.0,0.0,0.0,0.0
2012-06-01,,,,,,,,,,2438.25,24360.0,115444.0,6.75,67.0,320.0
2012-07-01,,,,,,,,,,2445.0,27948.0,144440.0,0.0,0.0,0.0
2012-08-01,,,,,,,,,,2396.0,28108.0,148668.0,0.0,0.0,0.0
2012-09-01,,,,,,,,,,2075.0,24434.0,131189.0,0.0,0.0,0.0
2012-10-01,,,,,,,,,,1912.0,20530.0,115137.0,0.0,0.0,0.0
2012-11-01,,,,,,,,,,2405.095,22571.0,93905.0,24.905,234.0,972.0
2012-12-01,,,,0.0,0.0,0.0,,,,2392.976,22755.0,81334.0,71.024,675.0,2414.0
2013-01-01,,,,0.0,0.0,0.0,,,,1098.0,23239.0,76278.0,0.0,0.0,0.0
2013-02-01,103.832,1067.0,1067.0,,,,2106.004,21798.0,21798.0,1579.0,16722.0,64067.0,0.0,0.0,0.0
2013-03-01,14.884,154.0,154.0,,,,2880.762,29817.0,29817.0,2464.242,22163.0,63567.0,131.758,1185.0,3399.0
2013-04-01,7.8,83.0,83.0,,,,4506.571,46645.0,46645.0,2023.056,19659.0,56635.0,159.944,1554.0,4478.0
2013-05-01,12.488,132.0,132.0,,,,5097.035,52756.0,52756.0,2073.0,23316.0,67364.0,0.0,0.0,0.0
2013-06-01,23.906,248.0,248.0,,,,4461.653,46179.0,46179.0,720.0,22805.0,54330.0,0.0,0.0,0.0
2013-07-01,93.833,974.0,974.0,,,,7201.176,74534.0,74534.0,1051.92,25916.0,68086.0,0.0,0.0,0.0
2013-08-01,4.953,50.0,50.0,,,,6377.86,66013.0,66013.0,1048.0,24913.0,65011.0,0.0,0.0,0.0
2013-09-01,35.98,374.0,374.0,,,,4664.12,48275.0,48275.0,1183.0,22223.0,54908.0,0.0,0.0,0.0
2013-10-01,15.605,160.0,160.0,,,,4641.013,48036.0,48036.0,1417.0,19687.0,68190.0,0.0,0.0,0.0
2013-11-01,37.135,385.0,385.0,,,,3065.585,31730.0,31730.0,1676.944,21151.0,57985.0,87.056,1098.0,3010.0
2013-12-01,260.145,2695.0,2695.0,,,,2103.66,21774.0,21774.0,1764.0,23290.0,59228.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,,,,2901.943,27188.0,27188.0,2392.0,24472.0,69695.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,3000.825,28114.0,28114.0,2156.687,20961.0,61370.0,27.313,265.0,777.0
2014-03-01,0.0,0.0,0.0,,,,2254.545,21122.0,21122.0,2393.0,23993.0,74095.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,4453.959,41729.0,41729.0,1801.0,20421.0,51454.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,4874.583,45670.0,45670.0,1654.0,21412.0,54192.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,5261.797,49298.0,49298.0,1504.0,22888.0,61604.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,7249.033,67915.0,67915.0,1215.0,23258.0,63219.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,,,,6522.909,61113.0,61113.0,1092.0,21169.0,55683.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,,,,5538.343,51888.0,51888.0,1422.0,21316.0,58244.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,,,,5415.782,50740.0,50740.0,1499.0,19495.0,64441.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,,,,3130.551,29330.0,29330.0,1905.47,20537.0,55000.0,70.53,760.0,2036.0
2014-12-01,0.0,0.0,0.0,,,,2619.73,24544.0,24544.0,2062.017,22015.0,60058.0,49.983,534.0,1456.0
2015-01-01,2.461,29.0,29.0,,,,1477.742,18456.0,18456.0,2890.623,23940.0,74096.0,94.377,782.0,2419.0
2015-02-01,15.783,197.0,197.0,,,,1633.996,20408.0,20408.0,2502.747,20841.0,69954.0,46.253,385.0,1293.0
2015-03-01,0.702,11.0,12.0,,,,1985.367,24797.0,24797.0,2596.0,22581.0,65251.0,0.0,0.0,0.0
2015-04-01,0.108,0.0,0.0,,,,2809.157,35086.0,35086.0,2672.0,20019.0,65731.0,0.0,0.0,0.0
2015-05-01,0.249,4.0,6.0,,,,3843.731,48007.0,48007.0,1894.019,18446.0,56702.0,461.981,4499.0,13830.0
2015-06-01,0.137,0.0,0.0,,,,3767.202,47051.0,47051.0,1698.0,20051.0,53367.0,0.0,0.0,0.0
2015-07-01,0.433,6.0,6.0,,,,5911.717,73835.0,73835.0,2226.0,23233.0,65606.0,0.0,0.0,0.0
2015-08-01,0.247,4.0,6.0,,,,5943.189,74229.0,74229.0,1988.0,22185.0,62317.0,0.0,0.0,0.0
2015-09-01,0.735,11.0,12.0,,,,4268.238,53309.0,53309.0,1619.454,20534.0,59810.0,114.546,1452.0,4230.0
2015-10-01,0.112,0.0,0.0,,,,3579.943,44712.0,44712.0,2216.0,20370.0,89754.0,0.0,0.0,0.0
2015-11-01,0.173,0.0,0.0,,,,2147.175,26818.0,26818.0,2399.293,19765.0,56145.0,89.707,739.0,2099.0
2015-12-01,0.222,0.0,0.0,,,,2340.181,29228.0,29228.0,2344.0,18498.0,55157.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,,,,2825.875,19727.0,29985.0,596.399,5903.0,62198.0,1563.601,15475.0,163066.0
2016-02-01,0.0,0.0,0.0,,,,2964.767,20697.0,31458.0,984.264,10145.0,59034.0,894.736,9222.0,53664.0
2016-03-01,0.0,0.0,0.0,,,,3213.202,22431.0,34094.0,1790.0,19237.0,53857.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,,,,3519.436,24569.0,37342.0,1832.0,18654.0,56670.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,,,,4648.594,32452.0,49323.0,1154.289,12240.0,59958.0,751.711,7971.0,39046.0
2016-06-01,0.0,0.0,0.0,,,,5302.361,37016.0,56260.0,1416.0,20391.0,59242.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,,,,6478.515,45226.0,68739.0,1429.0,23989.0,75391.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,,,,6468.564,45157.0,68634.0,1529.0,24740.0,77454.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,,,,4291.505,29959.0,45534.0,1620.0,21223.0,63890.0,0.0,0.0,0.0
2016-10-01,,,,0.0,0.0,0.0,2771.407,19347.0,29406.0,1994.0,20416.0,63286.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,,,,2125.784,14840.0,22555.0,527.477,5105.0,51178.0,1493.523,14455.0,144909.0
2016-12-01,0.547,4.0,6.0,,,,3272.443,22845.0,34722.0,2021.0,21030.0,62659.0,0.0,0.0,0.0
2017-01-01,27.575,168.0,168.0,,,,3829.697,21547.0,21547.0,1800.0,21365.0,63135.0,0.0,0.0,0.0
2017-02-01,14.938,81.0,81.0,,,,3441.901,19364.0,19364.0,1680.0,19318.0,55656.0,0.0,0.0,0.0
2017-03-01,17.942,99.0,99.0,,,,3718.336,20919.0,20919.0,1913.0,21638.0,65814.0,0.0,0.0,0.0
2017-04-01,12.42,70.0,70.0,,,,4400.244,24756.0,24756.0,1559.0,17426.0,68685.0,0.0,0.0,0.0
2017-05-01,12.731,70.0,70.0,,,,4013.58,22581.0,22581.0,1805.0,17308.0,60143.0,0.0,0.0,0.0
2017-06-01,12.669,70.0,70.0,,,,4904.371,27592.0,27592.0,2359.0,21272.0,65262.0,0.0,0.0,0.0
2017-07-01,8.696,46.0,46.0,,,,5823.797,32765.0,32765.0,2603.0,25007.0,81349.0,0.0,0.0,0.0
2017-08-01,8.51,46.0,46.0,,,,5842.086,32868.0,32868.0,2677.0,21694.0,65847.0,0.0,0.0,0.0
2017-09-01,14.453,81.0,81.0,,,,4465.414,25122.0,25122.0,2368.0,21986.0,68672.0,0.0,0.0,0.0
2017-10-01,14.044,81.0,81.0,,,,4154.94,23376.0,23376.0,1982.0,20702.0,61103.0,0.0,0.0,0.0
2017-11-01,23.613,133.0,133.0,,,,2755.11,15500.0,15500.0,1557.825,19015.0,53241.0,109.175,1333.0,3731.0
2017-12-01,327.25,1839.0,1839.0,,,,3405.763,19161.0,19161.0,1680.0,21676.0,65747.0,0.0,0.0,0.0
2018-01-01,4.482,28.0,52.0,,,,3991.348,24761.0,38131.0,2386.692,20777.0,66822.0,306.308,2667.0,8576.0
2018-02-01,0.172,0.0,0.0,,,,3914.219,24282.0,37395.0,2013.0,18369.0,54185.0,0.0,0.0,0.0
2018-03-01,0.191,0.0,0.0,,,,4285.618,26586.0,40943.0,2188.0,19746.0,57537.0,0.0,0.0,0.0
2018-04-01,0.147,0.0,0.0,,,,2660.957,16508.0,25422.0,2075.0,19014.0,55778.0,0.0,0.0,0.0
2018-05-01,0.163,0.0,0.0,,,,2647.108,16422.0,25290.0,1945.0,21229.0,59962.0,0.0,0.0,0.0
2018-06-01,0.14,0.0,0.0,,,,3328.483,20649.0,31799.0,2012.0,23022.0,75170.0,0.0,0.0,0.0
2018-07-01,0.193,0.0,0.0,,,,6299.498,39080.0,60183.0,967.0,19895.0,113462.0,0.0,0.0,0.0
2018-08-01,0.348,2.0,6.0,,,,7029.582,43609.0,67158.0,1839.0,25906.0,90870.0,0.0,0.0,0.0
2018-09-01,0.171,0.0,0.0,,,,4491.323,27863.0,42909.0,1778.0,22426.0,79207.0,0.0,0.0,0.0
2018-10-01,0.155,0.0,0.0,,,,3562.306,22099.0,34033.0,2009.0,21936.0,74522.0,0.0,0.0,0.0
2018-11-01,0.333,2.0,6.0,,,,2692.779,16705.0,25726.0,2266.175,21142.0,68304.0,65.825,614.0,1984.0
2018-12-01,0.183,0.0,0.0,,,,3039.101,18853.0,29034.0,2407.325,21540.0,63344.0,11.675,104.0,307.0
2019-01-01,5.348,33.0,41.0,,,,4743.701,29428.0,46293.0,1837.0,22271.0,67908.0,0.0,0.0,0.0
2019-02-01,3.345,21.0,35.0,,,,4171.357,25878.0,40709.0,1953.0,20559.0,69032.0,0.0,0.0,0.0
2019-03-01,3.486,22.0,35.0,,,,4071.268,25257.0,39732.0,2174.0,22203.0,74422.0,0.0,0.0,0.0
2019-04-01,2.708,17.0,29.0,,,,2921.093,18121.0,28507.0,1738.0,20360.0,66134.0,0.0,0.0,0.0
2019-05-01,1.385,9.0,12.0,,,,2495.138,15479.0,24350.0,2164.0,20261.0,51847.0,0.0,0.0,0.0
2019-06-01,1.687,10.0,17.0,,,,3199.858,19851.0,31228.0,708.0,20118.0,56598.0,0.0,0.0,0.0
2019-07-01,2.293,14.0,23.0,,,,6438.197,39940.0,62831.0,230.0,23326.0,69716.0,0.0,0.0,0.0
2019-08-01,4.374,27.0,41.0,,,,4799.463,29774.0,46838.0,715.0,23158.0,66249.0,0.0,0.0,0.0
2019-09-01,2.107,13.0,23.0,,,,3255.353,20195.0,31770.0,1510.0,23040.0,65241.0,0.0,0.0,0.0
2019-10-01,3.314,21.0,35.0,,,,3369.66,20904.0,32885.0,2054.0,23816.0,71047.0,0.0,0.0,0.0
2019-11-01,4.58,28.0,46.0,,,,3077.52,19092.0,30034.0,1463.0,21198.0,61786.0,0.0,0.0,0.0
2019-12-01,5.192,32.0,52.0,,,,4418.573,27411.0,43122.0,1714.257,21046.0,69551.0,48.743,598.0,1978.0
2020-01-01,0.191,0.0,0.0,,,,3430.561,31626.0,49130.0,1229.0,22091.0,62666.0,0.0,0.0,0.0
2020-02-01,0.205,2.0,6.0,,,,2702.499,24914.0,38704.0,1095.0,17085.0,60624.0,0.0,0.0,0.0
2020-03-01,0.159,0.0,0.0,,,,1197.063,11036.0,17144.0,1175.0,20646.0,57578.0,0.0,0.0,0.0
2020-04-01,0.177,0.0,0.0,,,,1383.546,12755.0,19814.0,1098.0,22612.0,63418.0,0.0,0.0,0.0
2020-05-01,0.124,0.0,0.0,,,,975.453,8993.0,13970.0,1114.0,22370.0,67003.0,0.0,0.0,0.0
2020-06-01,0.12,0.0,0.0,,,,2598.228,23953.0,37211.0,1581.0,24473.0,77858.0,0.0,0.0,0.0
2020-07-01,0.143,0.0,0.0,,,,5172.892,47689.0,74084.0,2071.0,25664.0,80096.0,0.0,0.0,0.0
2020-08-01,0.135,0.0,0.0,,,,4360.641,40201.0,62451.0,2069.0,26980.0,81458.0,0.0,0.0,0.0
2020-09-01,0.153,0.0,0.0,,,,2538.25,23400.0,36352.0,1229.0,20999.0,67579.0,0.0,0.0,0.0
2020-10-01,0.24,2.0,6.0,,,,2763.551,25477.0,39578.0,1057.0,23816.0,72886.0,0.0,0.0,0.0
2020-11-01,0.241,2.0,6.0,,,,2018.259,18606.0,28905.0,1773.159,23854.0,69931.0,42.841,576.0,1690.0
2020-12-01,1.352,12.0,29.0,,,,2950.817,27203.0,42261.0,1367.0,23183.0,64339.0,0.0,0.0,0.0
2021-01-01,19.46,121.0,191.0,,,,5527.303,34289.0,53542.0,1729.0,22581.0,64732.0,0.0,0.0,0.0
2021-02-01,43.052,267.0,418.0,,,,4789.742,29714.0,46398.0,1658.0,20422.0,59012.0,0.0,0.0,0.0
2021-03-01,10.862,67.0,104.0,,,,3007.344,18656.0,29132.0,1654.0,22395.0,62523.0,0.0,0.0,0.0
2021-04-01,5.581,35.0,52.0,,,,2122.476,13167.0,20560.0,1470.0,20491.0,60088.0,0.0,0.0,0.0
2021-05-01,4.827,30.0,46.0,,,,2229.016,13828.0,21593.0,1779.0,22104.0,69686.0,0.0,0.0,0.0
2021-06-01,4.725,29.0,46.0,,,,5203.19,32279.0,50403.0,1073.0,21570.0,79737.0,0.0,0.0,0.0
2021-07-01,7.132,44.0,70.0,,,,4957.044,30752.0,48019.0,1546.0,25267.0,79153.0,0.0,0.0,0.0
2021-08-01,8.503,53.0,81.0,,,,5771.534,35804.0,55909.0,1459.093,27136.0,92678.0,0.907,17.0,58.0
2021-09-01,5.438,34.0,52.0,,,,3316.041,20572.0,32122.0,1379.0,23537.0,75770.0,0.0,0.0,0.0
2021-10-01,9.432,59.0,93.0,,,,3707.228,22998.0,35912.0,1401.0,20478.0,61062.0,0.0,0.0,0.0
2021-11-01,11.425,71.0,110.0,,,,2552.472,15835.0,24726.0,2251.822,23191.0,78538.0,49.178,506.0,1715.0
2021-12-01,49.185,305.0,476.0,,,,3236.988,20081.0,31357.0,2003.616,20810.0,67826.0,31.384,326.0,1062.0
2022-01-01,246.328,1528.0,2360.0,,,,4276.446,26530.0,40888.0,2473.0,24101.0,86951.0,0.0,0.0,0.0
2022-02-01,35.341,219.0,336.0,,,,3500.484,21716.0,33468.0,2004.0,20950.0,37200.0,0.0,0.0,0.0
2022-03-01,4.77,30.0,44.0,,,,3225.694,20011.0,30841.0,1463.0,20360.0,54657.0,0.0,0.0,0.0
2022-04-01,2.395,15.0,22.0,,,,3359.629,20842.0,32121.0,1110.0,16942.0,60680.0,0.0,0.0,0.0
2022-05-01,1.669,10.0,17.0,,,,4112.259,25511.0,39317.0,1069.0,20974.0,55248.0,0.0,0.0,0.0
2022-06-01,12.516,78.0,121.0,,,,3543.629,21983.0,33880.0,1201.0,20534.0,60067.0,0.0,0.0,0.0
2022-07-01,7.702,48.0,72.0,,,,6780.021,42061.0,64823.0,675.0,22953.0,70348.0,0.0,0.0,0.0
2022-08-01,2.296,14.0,22.0,,,,6813.422,42268.0,65142.0,957.0,25007.0,75808.0,0.0,0.0,0.0
2022-09-01,4.603,29.0,44.0,,,,3094.688,19198.0,29588.0,849.0,18909.0,57388.0,0.0,0.0,0.0
2022-10-01,3.576,22.0,33.0,,,,2127.084,13196.0,20337.0,1643.0,21372.0,74450.0,0.0,0.0,0.0
