measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-07-01,0.0,0.0,0.0,244.514,2709.0,2709.0,447612.141,4958418.0,4958418.0,913894.345,10123654.0,10123654.0
2007-08-01,0.0,0.0,0.0,1119.896,12586.0,12586.0,503341.051,5656819.0,5656819.0,842291.052,9466122.0,9466122.0
2007-09-01,0.0,0.0,0.0,858.53,9692.0,9692.0,493404.566,5569958.0,5569958.0,739665.903,8349959.0,8349959.0
2007-10-01,0.0,0.0,0.0,80.92,911.0,911.0,483770.15,5443925.0,5443925.0,844514.93,9503430.0,9503430.0
2007-11-01,0.0,0.0,0.0,79.096,887.0,887.0,537783.208,6033543.0,6033543.0,760331.696,8530378.0,8530378.0
2007-12-01,0.0,0.0,0.0,1772.16,20091.0,20091.0,549353.528,6228091.0,6228091.0,748818.314,8489449.0,8489449.0
2008-01-01,0.0,0.0,0.0,78.397,887.0,887.0,560411.161,6343479.0,6343479.0,817195.442,9250105.0,9250105.0
2008-02-01,0.0,0.0,0.0,43.631,493.0,493.0,511396.35000000003,5778449.0,5778449.0,748180.019,8453951.0,8453951.0
2008-03-01,0.0,0.0,0.0,1060.855,12058.0,12058.0,493061.691,5604380.0,5604380.0,805027.454,9150335.0,9150335.0
2008-04-01,0.0,0.0,0.0,3079.077,35496.0,35496.0,327235.562,3772414.0,3772414.0,691353.361,7970012.0,7970012.0
2008-05-01,0.0,0.0,0.0,1677.1000000000001,19088.0,19088.0,226082.5,2573142.0,2573142.0,590229.4,6717654.0,6717654.0
2008-06-01,0.0,0.0,0.0,789.38,9187.0,9187.0,395708.29000000004,4605450.0,4605450.0,901279.3300000001,10489538.0,10489538.0
2008-07-01,0.0,0.0,0.0,57.99,655.0,655.0,432980.055,4893556.0,4893556.0,929348.956,10503536.0,10503536.0
2008-08-01,0.0,0.0,0.0,135.238,1543.0,1543.0,469422.68200000003,5355180.0,5355180.0,887974.0800000001,10130020.0,10130020.0
2008-09-01,0.0,0.0,0.0,326.498,3729.0,3729.0,460973.408,5265441.0,5265441.0,795933.094,9091499.0,9091499.0
2008-10-01,0.0,0.0,0.0,1406.3590000000002,15846.0,15846.0,520602.169,5865683.0,5865683.0,814503.472,9177102.0,9177102.0
2008-11-01,0.0,0.0,0.0,1349.81,15045.0,15045.0,472824.394,5270178.0,5270178.0,764205.796,8517963.0,8517963.0
2008-12-01,0.0,0.0,0.0,928.767,10463.0,10463.0,345190.39,3888806.0,3888806.0,940644.843,10597009.0,10597009.0
2009-01-01,,,,601.174,6641.0,6641.0,409770.238,4526620.0,4526620.0,975291.588,10773781.0,10773781.0
2009-02-01,,,,78.428,870.0,870.0,315570.865,3500607.0,3500607.0,909866.707,10093092.0,10093092.0
2009-03-01,,,,1221.1670000000001,13183.0,13183.0,259621.071,2802800.0,2802800.0,1003702.762,10835709.0,10835709.0
2009-04-01,,,,923.0540000000001,10307.0,10307.0,232452.006,2595504.0,2595504.0,1030533.94,11506696.0,11506696.0
2009-05-01,,,,4139.842000000001,46238.0,46238.0,187034.316,2088973.0,2088973.0,859379.842,9598353.0,9598353.0
2009-06-01,,,,1266.861,14541.0,14541.0,282381.056,3241073.0,3241073.0,894564.083,10267500.0,10267500.0
2009-07-01,,,,717.894,8120.0,8120.0,252403.011,2854895.0,2854895.0,1089887.095,12327561.0,12327561.0
2009-08-01,,,,871.8470000000001,10289.0,10289.0,218703.93,2581057.0,2581057.0,1101136.223,12995175.0,12995175.0
2009-09-01,,,,185.31,2175.0,2175.0,195481.115,2294376.0,2294376.0,1101696.575,12930690.0,12930690.0
2009-10-01,,,,1036.547,11728.0,11728.0,170814.872,1932617.0,1932617.0,1123056.581,12706376.0,12706376.0
2009-11-01,,,,3327.6040000000003,37259.0,37259.0,236919.546,2652789.0,2652789.0,1002870.85,11229150.0,11229150.0
2009-12-01,,,,676.634,7528.0,7528.0,270087.901,3005065.0,3005065.0,1039536.465,11566139.0,11566139.0
2010-01-01,,,,533.057,5893.0,5893.0,255051.207,2819520.0,2819520.0,955419.736,10561900.0,10561900.0
2010-02-01,,,,1568.6560000000002,17214.0,17214.0,302451.827,3319101.0,3319101.0,853560.517,9366958.0,9366958.0
2010-03-01,,,,303.38800000000003,3300.0,3300.0,340328.705,3702030.0,3702030.0,829664.907,9024936.0,9024936.0
2010-04-01,,,,3123.112,34928.0,34928.0,253493.84100000001,2834971.0,2834971.0,536552.047,6000578.0,6000578.0
2010-05-01,,,,3703.351,41557.0,41557.0,250085.363,2806322.0,2806322.0,604814.286,6786898.0,6786898.0
2010-06-01,,,,2025.93,22724.0,22724.0,294615.4,3304634.0,3304634.0,866224.67,9716247.0,9716247.0
2010-07-01,,,,20.655,232.0,232.0,275493.266,3094426.0,3094426.0,973428.079,10933848.0,10933848.0
2010-08-01,,,,715.361,8033.0,8033.0,271141.141,3044726.0,3044726.0,944306.498,10603903.0,10603903.0
2010-09-01,,,,771.969,8665.0,8665.0,292729.678,3285831.0,3285831.0,835378.353,9376952.0,9376952.0
2010-10-01,,,,410.571,4623.0,4623.0,362522.46,4081622.0,4081622.0,768791.969,8655791.0,8655791.0
2010-11-01,,,,414.673,4628.0,4628.0,276551.954,3086756.0,3086756.0,826166.373,9221318.0,9221318.0
2010-12-01,,,,117.388,1282.0,1282.0,330806.009,3612180.0,3612180.0,934000.603,10198661.0,10198661.0
2011-01-01,,,,187.647,2076.0,2076.0,245500.91,2716584.0,2716584.0,1026167.4,11355030.0,11355030.0
2011-02-01,,,,3484.739,39515.0,39515.0,166522.28,1888289.0,1888289.0,635035.98,7201027.0,7201027.0
2011-03-01,,,,3495.393,39527.0,39527.0,284238.76,3214261.0,3214261.0,461281.84,5216320.0,5216320.0
2011-04-01,,,,1626.925,18427.0,18427.0,283124.2,3206672.0,3206672.0,863309.88,9777871.0,9777871.0
2011-05-01,,,,189.498,2105.0,2105.0,292906.75,3254310.0,3254310.0,935958.75,10398872.0,10398872.0
2011-06-01,,,,1070.993,11838.0,11838.0,328998.49,3636457.0,3636457.0,880261.51,9729629.0,9729629.0
2011-07-01,,,,1332.06,14999.0,14999.0,356695.15,4016334.0,4016334.0,859013.79,9672366.0,9672366.0
2011-08-01,,,,600.947,6850.0,6850.0,374610.8,4269941.0,4269941.0,838507.26,9557590.0,9557590.0
2011-09-01,,,,405.684,4837.0,4837.0,358191.42,4270921.0,4270921.0,733065.9,8740764.0,8740764.0
2011-10-01,,,,2442.145,28252.0,28252.0,192196.01,2223407.0,2223407.0,590053.85,6826001.0,6826001.0
2011-11-01,,,,272.625,3080.0,3080.0,315206.32,3560836.0,3560836.0,697777.05,7882676.0,7882676.0
2011-12-01,,,,2416.791,27985.0,27985.0,174751.37,2023516.0,2023516.0,567082.84,6566480.0,6566480.0
2012-01-01,,,,716.812,8543.0,8543.0,168265.24,2005487.0,2005487.0,321916.95,3836801.0,3836801.0
2012-02-01,,,,600.348,7285.0,7285.0,249449.97,3026902.0,3026902.0,85569.684,1038329.0,1038329.0
2012-03-01,,,,1178.409,14187.0,14187.0,21525.431,259144.0,259144.0,29906.16,360039.0,360039.0
2012-04-01,,,,576.014,7047.0,7047.0,101121.22,1237125.0,1237125.0,140101.77,1714016.0,1714016.0
2012-05-01,,,,1615.162,19558.0,19558.0,209386.59,2535410.0,2535410.0,246910.25,2989775.0,2989775.0
2012-06-01,,,,4491.947,52188.0,52188.0,248680.21,2889220.0,2889220.0,614665.84,7141319.0,7141319.0
2012-07-01,,,,1237.252,14291.0,14291.0,258293.75,2983490.0,2983490.0,734383.0,8482683.0,8482683.0
2012-08-01,,,,2260.253,26245.0,26245.0,286861.77,3330905.0,3330905.0,676598.98,7856352.0,7856352.0
2012-09-01,,,,347.725,4043.0,4043.0,268727.22,3124180.0,3124180.0,614577.05,7144974.0,7144974.0
2012-10-01,,,,1648.339,18815.0,18815.0,330677.81,3774569.0,3774569.0,550537.85,6284192.0,6284192.0
2012-11-01,,,,1903.772,22504.0,22504.0,222580.05,2631062.0,2631062.0,668459.18,7901686.0,7901686.0
2012-12-01,,,,2855.068,32387.0,32387.0,117500.49,1332897.0,1332897.0,197011.44,2234850.0,2234850.0
2013-01-01,,,,2321.595,26448.0,26448.0,93141.939,1061089.0,1061089.0,249206.47,2839002.0,2839002.0
2013-02-01,,,,960.556,10863.0,10863.0,68320.103,772666.0,772666.0,269000.34,3042258.0,3042258.0
2013-03-01,,,,1235.739,14372.0,14372.0,60074.271,698700.0,698700.0,386429.99,4494417.0,4494417.0
2013-04-01,,,,2854.565,32422.0,32422.0,26461.08,300544.0,300544.0,183604.36,2085369.0,2085369.0
2013-05-01,,,,2570.116,29238.0,29238.0,89238.78,1015186.0,1015186.0,542009.1,6165929.0,6165929.0
2013-06-01,,,,681.667,7755.0,7755.0,157966.81,1797021.0,1797021.0,945309.53,10753786.0,10753786.0
2013-07-01,,,,1076.346,12145.0,12145.0,211083.66,2381812.0,2381812.0,1062204.0,11985629.0,11985629.0
2013-08-01,,,,1910.986,21796.0,21796.0,201058.18,2293237.0,2293237.0,975272.84,11123806.0,11123806.0
2013-09-01,,,,1026.95,11548.0,11548.0,132338.26,1488111.0,1488111.0,897664.79,10094018.0,10094018.0
2013-10-01,,,,413.318,4617.0,4617.0,60326.3,673850.0,673850.0,368268.38,4113589.0,4113589.0
2013-11-01,,,,1529.507,16745.0,16745.0,59430.078,650623.0,650623.0,394571.42,4319653.0,4319653.0
2013-12-01,,,,303.997,3318.0,3318.0,34515.272,376675.0,376675.0,523737.73,5715695.0,5715695.0
2014-01-01,,,,1358.214,14715.0,14715.0,71389.971,773424.0,773424.0,385366.82,4174982.0,4174982.0
2014-02-01,,,,3225.57,35154.0,35154.0,62061.568,676377.0,676377.0,524285.86,5713918.0,5713918.0
2014-03-01,,,,1285.462,14280.0,14280.0,50085.533,556377.0,556377.0,910982.01,10119677.0,10119677.0
2014-04-01,,,,1572.16,15788.0,15788.0,9361.673,94010.0,94010.0,409357.17,4110756.0,4110756.0
2014-05-01,,,,2770.602,32468.0,32468.0,51242.593,600507.0,600507.0,410530.81,4810969.0,4810969.0
2014-06-01,,,,4105.403,49631.0,49631.0,30264.225,365867.0,365867.0,438535.37,5301495.0,5301495.0
2014-07-01,,,,1117.426,12760.0,12760.0,30440.042,347598.0,347598.0,1115540.5,12738473.0,12738473.0
2014-08-01,,,,922.127,10527.0,10527.0,28555.332,325988.0,325988.0,1148828.5,13115020.0,13115020.0
2014-09-01,,,,583.091,6658.0,6658.0,186949.1,2134800.0,2134800.0,656276.81,7494125.0,7494125.0
2014-10-01,,,,61.139,945.0,945.0,107.579,1664.0,1664.0,264.282,4087.0,4087.0
2014-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,,,,5382.003,70540.0,70540.0,0.0,0.0,0.0,107605.0,1410332.0,1410332.0
2015-06-01,,,,1904.207,20712.0,20712.0,266421.26,2897828.0,2897828.0,673191.54,7322212.0,7322212.0
2015-07-01,,,,1503.46,25555.0,25555.0,141101.66,2398351.0,2398351.0,805592.88,13692924.0,13692924.0
2015-08-01,,,,1643.63,19703.0,19703.0,218455.79,2618684.0,2618684.0,702208.58,8417550.0,8417550.0
2015-09-01,,,,277.468,3109.0,3109.0,46105.85,516578.0,516578.0,420149.68,4707427.0,4707427.0
2015-10-01,,,,1661.721,19152.0,19152.0,3380.985,38966.0,38966.0,461381.29,5317494.0,5317494.0
2015-11-01,,,,488.107,5928.0,5928.0,22768.315,276500.0,276500.0,400556.58,4864383.0,4864383.0
2015-12-01,,,,2128.436,24018.0,24018.0,0.0,0.0,0.0,494960.56,5585258.0,5585258.0
2016-01-01,,,,445.947,5116.0,5116.0,151137.72,1733749.0,1733749.0,219784.33,2521216.0,2521216.0
2016-02-01,,,,485.591,5556.0,5556.0,154516.09,1768057.0,1768057.0,196497.32,2248429.0,2248429.0
2016-03-01,,,,303.218,3747.0,3747.0,19639.076,242676.0,242676.0,117887.71,1456714.0,1456714.0
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,,,,3242.367,36958.0,36958.0,0.0,0.0,0.0,188152.63,2144628.0,2144628.0
2016-06-01,,,,1142.269,12719.0,12719.0,0.0,0.0,0.0,972325.73,10827048.0,10827048.0
2016-07-01,,,,238.487,2691.0,2691.0,0.0,0.0,0.0,1009693.5,11393840.0,11393840.0
2016-08-01,,,,1124.342,12696.0,12696.0,0.0,0.0,0.0,996043.66,11247441.0,11247441.0
2016-09-01,,,,1253.64,14256.0,14256.0,0.0,0.0,0.0,916211.36,10419164.0,10419164.0
2016-10-01,,,,1242.183,14256.0,14256.0,0.0,0.0,0.0,895861.82,10281707.0,10281707.0
2016-11-01,,,,1367.855,16194.0,16194.0,0.0,0.0,0.0,729109.15,8631692.0,8631692.0
2016-12-01,,,,2211.216,25259.0,25259.0,0.0,0.0,0.0,948067.78,10829898.0,10829898.0
2017-01-01,,,,1667.943,19360.0,19360.0,0.0,0.0,0.0,719487.06,8351339.0,8351339.0
2017-02-01,,,,998.12,11658.0,11658.0,0.0,0.0,0.0,450796.88,5265291.0,5265291.0
2017-03-01,,,,3653.582,44016.0,44016.0,0.0,0.0,0.0,32482.418,391329.0,391329.0
2017-04-01,,,,808.134,9228.0,9228.0,0.0,0.0,0.0,813696.87,9291326.0,9291326.0
2017-05-01,,,,2406.546,27074.0,27074.0,0.0,0.0,0.0,933844.45,10506043.0,10506043.0
2017-06-01,,,,693.083,7749.0,7749.0,0.0,0.0,0.0,1005665.9,11243541.0,11243541.0
2017-07-01,,,,1139.954,12772.0,12772.0,0.0,0.0,0.0,1006498.0,11276410.0,11276410.0
2017-08-01,,,,1480.5,16605.0,16605.0,0.0,0.0,0.0,985004.5,11047885.0,11047885.0
2017-09-01,,,,582.712,6635.0,6635.0,0.0,0.0,0.0,858076.29,9770702.0,9770702.0
2017-10-01,,,,1130.072,13282.0,13282.0,0.0,0.0,0.0,778453.93,9149351.0,9149351.0
2017-11-01,,,,1330.16,15115.0,15115.0,0.0,0.0,0.0,780809.84,8872458.0,8872458.0
2017-12-01,,,,106.373,1259.0,1259.0,0.0,0.0,0.0,657007.63,7773671.0,7773671.0
2018-01-01,,,,0.0,3190.0,3190.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
