measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2009-01-01,,,,664.3330000000001,6313.0,6313.0,3764.605,35770.0,35770.0,,,,,,
2009-02-01,,,,611.263,5808.0,5808.0,3463.875,32914.0,32914.0,,,,,,
2009-03-01,,,,568.778,5405.0,5405.0,3223.121,30626.0,30626.0,,,,,,
2009-04-01,,,,488.591,4643.0,4643.0,2768.723,26309.0,26309.0,,,,,,
2009-05-01,,,,496.396,4717.0,4717.0,2812.951,26728.0,26728.0,,,,,,
2009-06-01,,,,460.07,4372.0,4372.0,2607.1,24773.0,24773.0,,,,,,
2009-07-01,,,,841.837,7999.0,7999.0,4770.482,45329.0,45329.0,,,,,,
2009-08-01,,,,863.2370000000001,8203.0,8203.0,4891.749,46482.0,46482.0,,,,,,
2009-09-01,,,,904.606,8595.0,8595.0,5126.179,48709.0,48709.0,,,,,,
2009-10-01,,,,707.389,6721.0,6721.0,4008.597,38090.0,38090.0,,,,,,
2009-11-01,,,,645.998,6138.0,6138.0,3660.7110000000002,34785.0,34785.0,,,,,,
2009-12-01,,,,741.5020000000001,7046.0,7046.0,4201.907,39926.0,39926.0,,,,,,
2010-01-01,,,,4.407,47.0,47.0,21.0,361.0,361.0,,,,,,
2010-02-01,,,,25.593,273.0,273.0,145.0,1575.0,1575.0,,,,,,
2010-03-01,,,,144.068,1540.0,1540.0,819.0,9674.0,9674.0,,,,,,
2010-04-01,,,,13.39,143.0,143.0,72.0,1004.0,1004.0,,,,,,
2010-05-01,,,,20.169,216.0,216.0,110.0,1390.0,1390.0,,,,,,
2010-06-01,,,,38.814,415.0,415.0,216.0,2456.0,2456.0,,,,,,
2010-07-01,,,,290.84700000000004,3109.0,3109.0,1652.0,15565.0,15565.0,,,,,,
2010-08-01,,,,307.458,3286.0,3286.0,1747.0,16379.0,16379.0,,,,,,
2010-09-01,,,,337.797,3610.0,3610.0,1907.0,20874.0,20874.0,,,,,,
2010-10-01,,,,513.051,5483.0,5483.0,2917.0,27562.0,27562.0,,,,,,
2010-11-01,,,,211.186,2257.0,2257.0,1203.0,18498.0,18498.0,,,,,,
2010-12-01,,,,13.22,142.0,142.0,73.0,943.0,943.0,,,,,,
2011-01-01,,,,57.103,552.0,552.0,327.0,0.0,0.0,,,,,,
2011-02-01,,,,90.824,879.0,879.0,506.0,0.0,0.0,,,,,,
2011-03-01,,,,142.336,1378.0,1378.0,800.0,0.0,0.0,,,,,,
2011-04-01,,,,232.482,2250.0,2250.0,1318.0,0.0,0.0,,,,,,
2011-05-01,,,,38.295,371.0,371.0,179.0,0.0,0.0,,,,,,
2011-06-01,,,,157.925,1529.0,1529.0,902.0,0.0,0.0,,,,,,
2011-07-01,,,,242.309,2345.0,2345.0,1424.0,0.0,0.0,,,,,,
2011-08-01,,,,355.67,3442.0,3442.0,2011.0,0.0,0.0,,,,,,
2011-09-01,,,,349.908,3386.0,3386.0,1976.0,0.0,0.0,,,,,,
2011-10-01,,,,105.227,1018.0,1018.0,598.0,0.0,0.0,,,,,,
2011-11-01,,,,21.181,205.0,205.0,121.0,0.0,0.0,,,,,,
2011-12-01,,,,85.74,829.0,829.0,486.0,0.0,0.0,,,,,,
2012-01-01,,,,0.0,0.0,0.0,0.0,0.0,8.0,,,,,,
2012-02-01,,,,374.142,4103.0,4103.0,33.0,343.0,343.0,,,,,,
2012-03-01,,,,1100.42,12068.0,12068.0,99.0,1016.0,1016.0,,,,,,
2012-04-01,,,,66.025,724.0,724.0,5.0,72.0,72.0,,,,,,
2012-05-01,,,,297.113,3258.0,3258.0,25.0,287.0,287.0,,,,,,
2012-06-01,,,,1353.516,14843.0,14843.0,118.0,1255.0,1255.0,,,,,,
2012-07-01,,,,1595.609,17498.0,17498.0,139.0,1499.0,1499.0,,,,,,
2012-08-01,,,,7328.795,80369.0,80369.0,638.0,6872.0,6872.0,,,,,,
2012-09-01,,,,3400.297,37288.0,37288.0,295.0,3227.0,3227.0,,,,,,
2012-10-01,,,,1793.684,19670.0,19670.0,154.0,1813.0,1813.0,,,,,,
2012-11-01,,,,924.353,10137.0,10137.0,80.0,871.0,871.0,,,,,,
2012-12-01,,,,121.046,1327.0,1327.0,8.0,203.0,239.0,,,,,,
2013-01-01,,,,1728.0,21655.0,21655.0,0.0,0.0,0.0,,,,,,
2013-02-01,,,,968.0,10238.0,10238.0,0.0,0.0,0.0,,,,,,
2013-03-01,,,,2534.0,28566.0,28566.0,0.0,0.0,0.0,,,,,,
2013-04-01,,,,2317.0,22279.0,22279.0,0.0,0.0,0.0,,,,,,
2013-05-01,,,,1692.0,18735.0,18735.0,0.0,0.0,0.0,,,,,,
2013-06-01,,,,4186.0,39877.0,39877.0,0.0,0.0,0.0,,,,,,
2013-07-01,,,,10254.0,107477.0,107477.0,0.0,0.0,0.0,,,,,,
2013-08-01,,,,9890.0,103437.0,103437.0,0.0,0.0,0.0,,,,,,
2013-09-01,,,,7220.0,71903.0,71903.0,0.0,0.0,0.0,,,,,,
2013-10-01,,,,259.0,4373.0,4373.0,0.0,0.0,0.0,,,,,,
2013-11-01,,,,170.0,2383.0,2383.0,0.0,0.0,0.0,,,,,,
2013-12-01,,,,2686.0,30946.0,30946.0,0.0,0.0,0.0,,,,,,
2014-01-01,,,,159.0,12035.0,12035.0,688.0,0.0,0.0,,,,,,
2014-02-01,,,,1363.0,14411.0,14411.0,43.0,0.0,0.0,,,,,,
2014-03-01,,,,1638.0,18101.0,18101.0,187.0,0.0,0.0,,,,,,
2014-04-01,,,,908.0,14427.0,14427.0,352.0,0.0,0.0,,,,,,
2014-05-01,,,,1280.0,20268.0,20268.0,495.0,0.0,0.0,,,,,,
2014-06-01,,,,1062.0,15357.0,15357.0,315.0,0.0,0.0,,,,,,
2014-07-01,,,,1748.0,23794.0,23794.0,424.0,0.0,0.0,,,,,,
2014-08-01,,,,3746.0,68168.0,68168.0,2067.0,0.0,0.0,,,,,,
2014-09-01,,,,2244.0,26749.0,26749.0,320.0,0.0,0.0,,,,,,
2014-10-01,,,,3699.0,42634.0,42634.0,370.0,0.0,0.0,,,,,,
2014-11-01,,,,4128.0,45766.0,45766.0,147.0,0.0,0.0,,,,,,
2014-12-01,,,,1209.0,12851.0,12851.0,24.0,0.0,0.0,,,,,,
2015-01-01,,,,102.0,1361.0,1361.0,15.0,0.0,0.0,278.472,3215.0,4393.0,,,
2015-02-01,,,,557.0,6152.0,6152.0,80.0,0.0,0.0,206.2,2380.0,3254.0,,,
2015-03-01,,,,1548.0,16096.0,16096.0,221.0,0.0,0.0,241.57,2789.0,3812.0,,,
2015-04-01,,,,912.0,10296.0,10296.0,130.0,0.0,0.0,231.815,2676.0,3658.0,,,
2015-05-01,,,,254.0,3004.0,3004.0,36.0,0.0,0.0,226.312,2613.0,3571.0,,,
2015-06-01,,,,2601.0,27906.0,27906.0,372.0,0.0,0.0,318.234,3674.0,5021.0,,,
2015-07-01,,,,2266.0,23802.0,23802.0,324.0,0.0,0.0,358.927,4143.0,5664.0,,,
2015-08-01,,,,1267.0,13931.0,13931.0,181.0,0.0,0.0,378.602,4371.0,5974.0,,,
2015-09-01,,,,1780.0,19339.0,19339.0,254.0,0.0,0.0,375.987,4340.0,5933.0,,,
2015-10-01,,,,1015.0,11232.0,11232.0,145.0,0.0,0.0,362.187,4181.0,5715.0,,,
2015-11-01,,,,157.0,1836.0,1836.0,22.0,0.0,0.0,267.049,3083.0,4214.0,,,
2015-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,285.645,3297.0,4507.0,,,
2016-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,274.0,2637.0,4379.0,,,
2016-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,217.453,2093.0,3476.0,,,
2016-03-01,,,,1411.0,14684.0,14684.0,202.0,0.0,0.0,169.12,1628.0,2703.0,,,
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,161.734,1557.0,2585.0,,,
2016-05-01,,,,76.0,853.0,873.0,11.0,0.0,0.0,174.584,1680.0,2790.0,,,
2016-06-01,,,,1753.0,19457.0,19457.0,250.0,0.0,0.0,265.599,2556.0,4244.0,,,
2016-07-01,,,,1268.0,13728.0,13728.0,181.0,0.0,0.0,313.278,3015.0,5007.0,,,
2016-08-01,,,,247.0,2727.0,2727.0,35.0,0.0,0.0,346.497,3335.0,5538.0,,,
2016-09-01,,,,7.0,94.0,239.0,1.0,0.0,0.0,286.846,2761.0,4584.0,,,
2016-10-01,,,,75.0,853.0,890.0,11.0,0.0,0.0,282.952,2723.0,4522.0,,,
2016-11-01,,,,0.0,0.0,103.0,0.0,0.0,0.0,217.566,2094.0,3477.0,,,
2016-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,246.371,2371.0,3938.0,,,
2017-01-01,,,,2.0,38.0,315.0,0.0,0.0,0.0,420.936,4051.0,6908.0,,,
2017-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,321.291,3092.0,5274.0,,,
2017-03-01,,,,1626.0,18301.0,18328.0,232.0,0.0,0.0,266.073,2561.0,4368.0,,,
2017-04-01,,,,73.0,815.0,842.0,10.0,0.0,0.0,237.683,2288.0,3902.0,,,
2017-05-01,,,,1253.0,14255.0,14963.0,179.0,0.0,0.0,294.869,2838.0,4840.0,,,
2017-06-01,,,,2226.0,24761.0,24761.0,318.0,0.0,0.0,387.944,3734.0,6367.0,,,
2017-07-01,,,,2145.0,24244.0,27848.0,306.0,0.0,0.0,529.028,5092.0,8683.0,,,
2017-08-01,,,,3975.0,44934.0,45026.0,568.0,0.0,0.0,597.199,5748.0,9802.0,,,
2017-09-01,,,,2359.0,26680.0,27167.0,337.0,0.0,0.0,491.383,4729.0,8065.0,,,
2017-10-01,,,,2018.0,22879.0,23477.0,288.0,0.0,0.0,465.373,4479.0,7639.0,,,
2017-11-01,,,,842.0,9347.0,9347.0,120.0,0.0,0.0,404.445,3893.0,6638.0,,,
2017-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,428.776,4127.0,7038.0,,,
2018-01-01,,,,0.0,0.0,118.0,0.0,0.0,0.0,182.248,1753.0,6411.0,,,
2018-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,160.017,1539.0,5627.0,,,
2018-03-01,,,,0.0,0.0,136.0,0.0,0.0,0.0,166.424,1601.0,5853.0,,,
2018-04-01,,,,98.0,1090.0,1092.0,14.0,0.0,0.0,125.248,1205.0,4405.0,,,
2018-05-01,,,,0.0,0.0,23.0,0.0,0.0,0.0,114.333,1100.0,4021.0,,,
2018-06-01,,,,218.0,2483.0,2723.0,31.0,0.0,0.0,156.403,1505.0,5500.0,,,
2018-07-01,,,,1002.0,11440.0,12174.0,143.0,0.0,0.0,272.923,2625.0,9598.0,,,
2018-08-01,,,,685.0,7800.0,8304.0,98.0,0.0,0.0,252.478,2429.0,8879.0,,,
2018-09-01,,,,13.0,171.0,373.0,2.0,0.0,0.0,203.195,1955.0,7146.0,,,
2018-10-01,,,,301.0,3413.0,3611.0,43.0,0.0,0.0,227.126,2185.0,7988.0,,,
2018-11-01,,,,850.0,9223.0,9223.0,121.0,0.0,0.0,203.041,1953.0,7141.0,,,
2018-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,204.564,1968.0,7194.0,,,
2019-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,119.932,1154.0,1878.0,,,
2019-02-01,,,,1591.0,18093.0,18840.0,227.0,0.0,0.0,111.202,1070.0,1743.0,,,
2019-03-01,,,,352.0,4009.0,4263.0,50.0,0.0,0.0,96.973,933.0,1519.0,,,
2019-04-01,,,,0.0,0.0,29.0,0.0,0.0,0.0,68.046,655.0,1066.0,,,
2019-05-01,,,,122.0,1422.0,1801.0,17.0,0.0,0.0,58.636,564.0,918.0,,,
2019-06-01,,,,398.0,4540.0,4548.0,57.0,0.0,0.0,78.407,754.0,1229.0,,,
2019-07-01,,,,348.0,3990.0,4190.0,50.0,0.0,0.0,123.601,1189.0,1937.0,,,
2019-08-01,,,,721.0,8208.0,8454.0,103.0,0.0,0.0,145.184,1397.0,2276.0,,,
2019-09-01,,,,597.0,6572.0,6572.0,85.0,0.0,0.0,127.752,1229.0,2002.0,,,
2019-10-01,,,,535.0,5879.0,5879.0,76.0,0.0,0.0,130.845,1259.0,2051.0,,,
2019-11-01,,,,389.0,3699.0,3699.0,56.0,0.0,0.0,128.325,1235.0,2011.0,,,
2019-12-01,,,,640.0,6920.0,6920.0,91.0,0.0,0.0,133.097,1281.0,2086.0,,,
2020-01-01,,,,0.0,0.0,20.0,0.0,0.0,0.0,139.466,1341.0,2072.0,,,
2020-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,123.161,1184.0,1829.0,,,
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,136.717,1315.0,2031.0,,,
2020-04-01,,,,0.0,0.0,9.0,0.0,0.0,0.0,96.686,930.0,1437.0,,,
2020-05-01,,,,216.0,2445.0,2801.0,31.0,0.0,0.0,90.911,874.0,1350.0,,,
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,127.886,1230.0,1900.0,,,
2020-07-01,,,,0.0,0.0,13.0,0.0,0.0,0.0,178.899,1720.0,2657.0,,,
2020-08-01,,,,811.0,9175.0,9254.0,116.0,0.0,0.0,222.474,2139.0,3305.0,,,
2020-09-01,,,,265.0,3004.0,3078.0,38.0,0.0,0.0,193.74,1863.0,2878.0,,,
2020-10-01,,,,56.0,635.0,832.0,8.0,0.0,0.0,201.204,1935.0,2989.0,,,
2020-11-01,,,,806.0,8193.0,8193.0,115.0,0.0,0.0,160.714,1545.0,2388.0,,,
2020-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,178.142,1713.0,2646.0,,,
2021-01-01,,,,28.0,313.0,635.0,0.0,0.0,0.0,54.196,531.0,611.0,,,
2021-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-04-01,,,,0.0,0.0,42.0,0.0,0.0,0.0,9.881,97.0,111.0,,,
2021-05-01,,,,852.0,8340.0,9940.0,0.0,0.0,0.0,898.171,8792.0,10128.0,,,
2021-06-01,,,,392.0,3857.0,4757.0,0.0,0.0,0.0,418.718,4099.0,4722.0,,,
2021-07-01,,,,1349.0,13231.0,15147.0,0.0,0.0,0.0,1332.698,13046.0,15027.0,,,
2021-08-01,,,,238.0,2332.0,2617.0,0.0,0.0,0.0,229.32,2245.0,2585.0,,,
2021-09-01,,,,553.0,5412.0,6194.0,0.0,0.0,0.0,541.434,5300.0,6105.0,,,
2021-10-01,,,,228.0,2227.0,2599.0,0.0,0.0,0.0,226.845,2221.0,2558.0,,,
2021-11-01,,,,215.0,2095.0,2458.0,0.0,0.0,0.0,219.217,2146.0,2472.0,,,
2021-12-01,,,,774.0,7497.0,7801.0,0.0,0.0,0.0,698.52,6838.0,7877.0,,,
2022-01-01,,,,102.0,1005.0,1215.0,0.0,0.0,0.0,113.388,1115.0,1311.0,,,
2022-02-01,,,,195.0,1896.0,2142.0,0.0,0.0,0.0,177.087,1741.0,2049.0,,,
2022-03-01,,,,817.0,8018.0,9193.0,0.0,0.0,0.0,828.911,8150.0,9589.0,,,
2022-04-01,,,,155.0,1535.0,1989.0,0.0,0.0,0.0,155.665,1531.0,1801.0,,,
2022-05-01,,,,16.0,152.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-06-01,,,,306.0,2995.0,3561.0,0.0,0.0,0.0,276.676,2720.0,3200.0,,,
2022-07-01,,,,2892.0,28509.0,33038.0,0.0,0.0,0.0,3053.406,30023.0,35321.0,,,
2022-08-01,,,,3665.0,36129.0,41794.0,0.0,0.0,0.0,3881.618,38166.0,44901.0,,,
2022-09-01,,,,3118.0,30680.0,36964.0,0.0,0.0,0.0,3085.13,30334.0,35689.0,,,
2022-10-01,,,,414.0,4094.0,5009.0,0.0,0.0,0.0,459.504,4518.0,5316.0,,,
2022-11-01,,,,554.0,5279.0,7188.0,0.0,0.0,0.0,243.225,2392.0,2814.0,,,
2022-12-01,,,,655.0,6350.0,6811.0,0.0,0.0,0.0,604.39,5943.0,6991.0,,,
2023-01-01,0.0,0.0,0.0,,,,,,,275.768,2710.0,3644.0,,,
2023-02-01,0.0,0.0,0.0,,,,,,,234.902,2309.0,3104.0,,,
2023-03-01,-5.0,0.0,0.0,,,,,,,225.771,2219.0,2983.0,,,
2023-04-01,-34.0,0.0,0.0,,,,,,,176.374,1733.0,2330.0,,,
2023-05-01,-40.0,0.0,0.0,,,,,,,114.237,1123.0,1509.0,,,
2023-06-01,-25.0,0.0,0.0,,,,,,,150.282,1477.0,1985.0,,,
2023-07-01,-32.0,0.0,0.0,,,,,,,347.874,3419.0,4596.0,,,
2023-08-01,-27.0,0.0,0.0,,,,,,,351.012,3450.0,4638.0,,,
2023-09-01,-15.0,0.0,0.0,,,,,,,248.456,2442.0,3283.0,,,
2023-10-01,-53.0,0.0,0.0,,,,,,,303.411,2982.0,4009.0,,,
2023-11-01,-17.0,0.0,0.0,,,,,,,285.021,2801.0,3765.0,,,
2023-12-01,-25.0,0.0,0.0,,,,,,,320.892,3154.0,4239.0,,,
2024-01-01,-49.0,0.0,0.0,,,,,,,351.616,3432.0,4617.0,,,
2024-02-01,-38.0,0.0,0.0,,,,,,,238.508,2328.0,3131.0,,,
2024-03-01,-46.0,0.0,0.0,,,,,,,170.716,1666.0,2242.0,,,
2024-04-01,-65.0,0.0,0.0,,,,,,,145.324,1418.0,1908.0,,,
2024-05-01,-71.0,0.0,0.0,,,,,,,130.757,1276.0,1717.0,,,
2024-06-01,-50.0,0.0,0.0,,,,,,,201.166,1963.0,2642.0,,,
2024-07-01,-72.0,0.0,0.0,,,,,,,386.481,3772.0,5074.0,,,
2024-08-01,-72.0,0.0,0.0,,,,,,,335.7,3276.0,4408.0,,,
2024-09-01,-58.0,0.0,0.0,,,,,,,295.689,2886.0,3883.0,,,
2024-10-01,-65.0,0.0,0.0,,,,,,,309.793,3024.0,4068.0,,,
2024-11-01,-58.0,0.0,0.0,,,,,,,249.465,2435.0,3276.0,,,
2024-12-01,-53.0,0.0,0.0,,,,,,,273.785,2672.0,3595.0,,,
