measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2020-04-01,62829.633,550827.0,550827.0
2020-05-01,60003.821,526053.0,526053.0
2020-06-01,55234.403,484240.0,484240.0
2020-07-01,52165.53,457335.0,457335.0
2020-08-01,50751.071,444935.0,444935.0
2020-09-01,54779.328,480250.0,480250.0
2020-10-01,60810.182,533123.0,533123.0
2020-11-01,64877.027,568777.0,568777.0
2020-12-01,67991.585,596082.0,596082.0
2021-01-01,60906.77,538659.0,538659.0
2021-02-01,53365.622,471966.0,471966.0
2021-03-01,47383.729,419062.0,419062.0
2021-04-01,54342.137,480602.0,480602.0
2021-05-01,60101.393,531537.0,531537.0
2021-06-01,52134.382,461076.0,461076.0
2021-07-01,51537.777,455800.0,455800.0
2021-08-01,52340.381,462898.0,462898.0
2021-09-01,54284.299,480090.0,480090.0
2021-10-01,59363.362,525010.0,525010.0
2021-11-01,61045.819,539889.0,539889.0
2021-12-01,68364.329,604614.0,604614.0
2022-01-01,66198.85,225870.0,225870.0
2022-02-01,58025.716,197984.0,197984.0
2022-03-01,52240.234,178244.0,178244.0
2022-04-01,48418.391,165204.0,165204.0
2022-05-01,52291.238,178418.0,178418.0
2022-06-01,51242.238,174839.0,174839.0
2022-07-01,49275.936,168129.0,168129.0
2022-08-01,52055.631,177614.0,177614.0
2022-09-01,53383.628,182145.0,182145.0
2022-10-01,46428.87,158415.0,158415.0
2022-11-01,66048.884,225359.0,225359.0
2022-12-01,69441.384,236934.0,236934.0
2023-01-01,65645.0,223981.0,223981.0
2023-02-01,58314.0,198967.0,198967.0
2023-03-01,61310.0,209190.0,209190.0
2023-04-01,56601.0,193123.0,193123.0
2023-05-01,53053.0,181017.0,181017.0
2023-06-01,49134.0,167645.0,167645.0
2023-07-01,40964.0,139769.0,139769.0
2023-08-01,44703.0,152527.0,152527.0
2023-09-01,47674.0,162664.0,162664.0
2023-10-01,48286.0,164752.0,164752.0
2023-11-01,56886.0,194095.0,194095.0
2023-12-01,59884.0,204324.0,204324.0
2024-01-01,60750.0,207279.0,207279.0
2024-02-01,57344.0,195658.0,195658.0
2024-03-01,59282.0,202270.0,202270.0
2024-04-01,53086.0,181129.0,181129.0
2024-05-01,44200.0,150810.0,150810.0
2024-06-01,41723.0,142359.0,142359.0
2024-07-01,40611.0,138565.0,138565.0
2024-08-01,42810.0,146068.0,146068.0
2024-09-01,45782.0,156208.0,156208.0
2024-10-01,46875.0,159938.0,159938.0
2024-11-01,53192.0,181491.0,181491.0
2024-12-01,57167.0,195054.0,195054.0
