measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-02-01,1110.10237,6030.94,41360.42,0.0,0.0,0.0,3966.35263,21548.32,147779.16,,,,,,
2005-03-01,1185.0486799999999,6438.11,44152.77,0.0,0.0,0.0,4280.49932,23255.02,159483.65,,,,,,
2005-04-01,1167.10768,6340.64,43484.3,0.0,0.0,0.0,4301.05932,23366.71,160249.61,,,,,,
2005-05-01,1168.89514,6350.35,43550.85,0.0,0.0,0.0,4723.88386,25663.82,176003.09,,,,,,
2005-06-01,1210.33852,6575.5,45094.88,0.0,0.0,0.0,6067.56348,32963.74,226065.72,,,,,,
2005-07-01,1261.42906,6853.07,46998.34,0.0,0.0,0.0,7769.64094,42210.75,289481.37,,,,,,
2005-08-01,1245.74916,6767.88,46414.12,0.0,0.0,0.0,8051.82384,43743.79,299994.84,,,,,,
2005-09-01,1202.10755,6530.79,44788.2,0.0,0.0,0.0,6072.78345,32992.1,226260.14,,,,,,
2005-10-01,1226.92472,6665.61,45712.96,0.0,0.0,0.0,4713.64028,25608.17,175621.59,,,,,,
2005-11-01,1188.8208,6458.6,44293.31,0.0,0.0,0.0,4205.6902,22848.59,156696.39,,,,,,
2005-12-01,1210.58339,6576.83,45104.08,0.0,0.0,0.0,4798.57461,26069.6,178785.96,,,,,,
2006-01-01,3732.57371,20278.25,159916.43,0.0,0.0,0.0,5283.78229,28705.63,226375.6,,,,,,
2006-02-01,3234.91828,17574.6,138533.18,0.0,0.0,0.0,4660.66072,25320.35,199589.63,,,,,,
2006-03-01,3440.96202,18693.99,147202.52,0.0,0.0,0.0,5167.72498,28075.11,221072.52,,,,,,
2006-04-01,3435.59178,18664.82,147151.07,0.0,0.0,0.0,4917.85222,26717.61,210638.31,,,,,,
2006-05-01,3426.14272,18613.48,146162.47,0.0,0.0,0.0,5755.06128,31265.98,245516.33,,,,,,
2006-06-01,3518.6416000000004,19116.01,149990.51,0.0,0.0,0.0,6104.888400000001,33166.52,260235.46,,,,,,
2006-07-01,3833.25247,20825.22,163268.58,0.0,0.0,0.0,6879.43353,37374.45,293013.66,,,,,,
2006-08-01,3763.26069,20444.97,160088.83,0.0,0.0,0.0,7115.69031,38657.98,302700.94,,,,,,
2006-09-01,3608.64047,19604.95,154134.43,0.0,0.0,0.0,5770.43153,31349.49,246470.16,,,,,,
2006-10-01,3448.91558,18737.2,146971.6,0.0,0.0,0.0,6063.08742,32939.42,258371.54,,,,,,
2006-11-01,3416.41325,18560.62,146173.8,0.0,0.0,0.0,5101.01275,27712.68,218250.65,,,,,,
2006-12-01,3666.52316,19919.41,156698.22,0.0,0.0,0.0,5726.67884,31111.79,244744.23,,,,,,
2007-01-01,5488.106000000001,29816.0,288752.0,0.0,0.0,0.0,5993.241,32560.0,315329.0,,,,,,
2007-02-01,4387.207,23832.0,253288.0,0.0,0.0,0.0,5988.835,32536.0,345755.0,,,,,,
2007-03-01,5426.728,29480.0,292128.0,0.0,0.0,0.0,5753.085,31255.0,309696.0,,,,,,
2007-04-01,5095.946,27688.0,275648.0,0.0,0.0,0.0,5658.454000000001,30741.0,306075.0,,,,,,
2007-05-01,5702.778,30984.0,295408.0,0.0,0.0,0.0,5515.447,29964.0,285704.0,,,,,,
2007-06-01,5474.939,29744.0,273928.0,0.0,0.0,0.0,5160.384,28036.0,258190.0,,,,,,
2007-07-01,5729.85,31128.0,288600.0,0.0,0.0,0.0,5114.818,27788.0,257622.0,,,,,,
2007-08-01,5492.691000000001,29840.0,280904.0,0.0,0.0,0.0,5327.969,28945.0,272480.0,,,,,,
2007-09-01,5242.378000000001,28480.0,286376.0,0.0,0.0,0.0,5656.067,30729.0,308975.0,,,,,,
2007-10-01,979.3430000000001,5320.0,56344.0,0.0,0.0,0.0,6150.885,33417.0,353876.0,,,,,,
2007-11-01,5026.351000000001,27304.0,289800.0,0.0,0.0,0.0,5426.515,29481.0,312872.0,,,,,,
2007-12-01,6651.799,36136.0,299248.0,0.0,0.0,0.0,4213.996,22893.0,189577.0,,,,,,
2008-01-01,5769.625,31345.0,430889.0,30.258000000000003,164.0,2260.0,5192.6720000000005,28211.0,387801.0,,,,,,
2008-02-01,3715.7270000000003,20187.0,272509.0,28.639000000000003,156.0,2100.0,3282.148,17831.0,240711.0,,,,,,
2008-03-01,8711.14,47326.0,560406.0,0.0,0.0,0.0,5564.68,30232.0,357987.0,,,,,,
2008-04-01,5902.544,32067.0,407053.0,0.0,0.0,0.0,4836.491,26276.0,333535.0,,,,,,
2008-05-01,5970.081,32434.0,445769.0,0.0,0.0,0.0,4489.5070000000005,24391.0,335218.0,,,,,,
2008-06-01,5955.005,32352.0,429579.0,14.395000000000001,78.0,1038.0,4225.145,22954.0,304791.0,,,,,,
2008-07-01,6009.522,32648.0,419396.0,0.0,0.0,0.0,4185.023,22736.0,292067.0,,,,,,
2008-08-01,5775.811000000001,31379.0,434334.0,0.0,0.0,0.0,4424.496,24037.0,332717.0,,,,,,
2008-09-01,5704.081,30989.0,402982.0,29.396,160.0,2077.0,4458.187,24220.0,314962.0,,,,,,
2008-10-01,4235.3,23009.0,291838.0,0.0,0.0,0.0,4075.1360000000004,22139.0,280801.0,,,,,,
2008-11-01,5701.7210000000005,30976.0,395996.0,106.86800000000001,581.0,7422.0,4546.326,24699.0,315752.0,,,,,,
2008-12-01,6051.821,32878.0,419785.0,182.87300000000002,994.0,12685.0,4729.051,25692.0,328031.0,,,,,,
2009-01-01,5062.865000000001,27505.0,353434.0,15.044,82.0,1050.0,4265.81,23175.0,297792.0,,,,,,
2009-02-01,5782.95,31417.0,395796.0,105.68700000000001,574.0,7233.0,3998.612,21724.0,273672.0,,,,,,
2009-03-01,5398.2390000000005,29327.0,350413.0,80.166,436.0,5204.0,3613.715,19633.0,234575.0,,,,,,
2009-04-01,5871.196,31897.0,380479.0,145.305,789.0,9416.0,4108.902,22323.0,266275.0,,,,,,
2009-05-01,6663.262000000001,36200.0,419986.0,54.104,294.0,3410.0,4375.059,23769.0,275760.0,,,,,,
2009-06-01,5933.921,32238.0,395925.0,84.358,458.0,5629.0,4046.625,21984.0,270001.0,,,,,,
2009-07-01,6403.733,34790.0,432045.0,114.908,624.0,7753.0,3531.8590000000004,19188.0,238286.0,,,,,,
2009-08-01,5896.466,32034.0,420316.0,94.936,516.0,6767.0,4144.5650000000005,22517.0,295436.0,,,,,,
2009-09-01,5478.803,29765.0,369470.0,104.28800000000001,567.0,7033.0,4538.4710000000005,24657.0,306057.0,,,,,,
2009-10-01,6738.657,36610.0,430299.0,53.682,292.0,3428.0,4723.579000000001,25662.0,301626.0,,,,,,
2009-11-01,6307.457,34267.0,417732.0,53.273,289.0,3528.0,4409.035,23953.0,292003.0,,,,,,
2009-12-01,2686.688,14596.0,183466.0,109.90100000000001,597.0,7505.0,4281.782,23262.0,292391.0,,,,,,
2010-01-01,5767.642,31334.0,424576.0,44.162,240.0,3251.0,4874.414000000001,26482.0,358822.0,,,,,,
2010-02-01,5088.421,27644.0,354743.0,21.75,118.0,1516.0,4712.738,25603.0,328552.0,,,,,,
2010-03-01,5975.35,32463.0,396032.0,71.483,388.0,4738.0,4630.743,25158.0,306914.0,,,,,,
2010-04-01,5949.259,32321.0,391430.0,56.404,306.0,3711.0,3508.029,19058.0,230810.0,,,,,,
2010-05-01,6800.411,36945.0,429178.0,27.766000000000002,151.0,1752.0,3813.8680000000004,20720.0,240695.0,,,,,,
2010-06-01,5867.2660000000005,31876.0,403820.0,25.031000000000002,136.0,1723.0,2887.726,15688.0,198750.0,,,,,,
2010-07-01,6719.779,36507.0,430228.0,29.305,159.0,1876.0,2599.437,14122.0,166427.0,,,,,,
2010-08-01,5621.564,30541.0,440305.0,21.845000000000002,119.0,1711.0,3599.4790000000003,19555.0,281927.0,,,,,,
2010-09-01,6136.952,33341.0,414298.0,24.646,134.0,1664.0,2690.447,14617.0,181629.0,,,,,,
2010-10-01,6402.282,34782.0,417283.0,38.019,207.0,2478.0,3494.003,18982.0,227730.0,,,,,,
2010-11-01,4433.932,24089.0,306068.0,54.104,294.0,3735.0,2736.301,14866.0,188883.0,,,,,,
2010-12-01,5058.7300000000005,27483.0,430228.0,29.692,161.0,2525.0,3310.362,17984.0,281535.0,,,,,,
2011-01-01,6760.049,36726.0,428659.0,12.189,66.0,773.0,4568.905,24822.0,289717.0,,,,,,
2011-02-01,5890.966,32004.0,372691.0,42.992,234.0,2720.0,3816.928,20737.0,241478.0,,,,,,
2011-03-01,1995.607,10842.0,453167.0,7.197,39.0,1634.0,879.056,4776.0,199618.0,,,,,,
2011-04-01,6606.994,35894.0,432505.0,23.614,128.0,1546.0,3555.294,19315.0,232736.0,,,,,,
2011-05-01,7235.442,39309.0,441285.0,28.828,157.0,1758.0,3590.001,19504.0,218952.0,,,,,,
2011-06-01,6442.439,35000.0,423030.0,26.237,143.0,1723.0,3094.952,16814.0,203224.0,,,,,,
2011-07-01,7138.633,38783.0,440565.0,36.137,196.0,2230.0,3362.602,18268.0,207525.0,,,,,,
2011-08-01,6537.529,35517.0,446134.0,25.073,136.0,1711.0,3582.968,19465.0,244509.0,,,,,,
2011-09-01,7196.717,39098.0,429095.0,26.816,146.0,1599.0,3921.709,21306.0,233827.0,,,,,,
2011-10-01,5923.735,32182.0,392079.0,27.366,149.0,1811.0,3983.203,21640.0,263639.0,,,,,,
2011-11-01,3607.062,19596.0,250195.0,25.518,139.0,1770.0,3102.004,16853.0,215163.0,,,,,,
2011-12-01,6569.549,35691.0,457132.0,15.432,84.0,1074.0,4252.005,23100.0,295869.0,,,,,,
2012-01-01,6633.181,36037.0,445839.0,0.0,0.0,0.0,4337.286,23564.0,291524.0,,,,,,
2012-02-01,6110.123,33195.0,414640.0,3.13,17.0,212.0,4215.734,22903.0,286085.0,,,,,,
2012-03-01,6337.567,34431.0,450288.0,0.581,3.0,41.0,3914.975,21269.0,278161.0,,,,,,
2012-04-01,6444.933,35014.0,426440.0,0.0,0.0,0.0,4224.96,22953.0,279552.0,,,,,,
2012-05-01,6708.353,36445.0,439762.0,0.0,0.0,0.0,4138.236,22482.0,271280.0,,,,,,
2012-06-01,6536.153,35509.0,426782.0,0.0,0.0,0.0,3648.789,19823.0,238250.0,,,,,,
2012-07-01,6881.977,37388.0,448317.0,0.453,2.0,30.0,3724.084,20232.0,242601.0,,,,,,
2012-08-01,6376.697,34643.0,418723.0,14.196,77.0,932.0,4225.224,22955.0,277448.0,,,,,,
2012-09-01,6864.637,37294.0,427007.0,0.0,0.0,0.0,3776.447,20517.0,234909.0,,,,,,
2012-10-01,5087.936,27642.0,310718.0,0.0,0.0,0.0,4646.625,25244.0,283767.0,,,,,,
2012-11-01,3276.884,17803.0,254514.0,0.0,0.0,0.0,2542.534,13813.0,197478.0,,,,,,
2012-12-01,7031.962,38203.0,452495.0,0.0,0.0,0.0,4280.372,23254.0,275435.0,,,,,,
2013-01-01,6610.042,35911.0,437709.0,0.0,0.0,0.0,4792.56,26037.0,317358.0,,,,,,
2013-02-01,5713.373,31039.0,368172.0,0.0,0.0,0.0,4381.301,23803.0,282333.0,,,,,,
2013-03-01,6843.297,37178.0,454630.0,0.0,0.0,0.0,4518.973,24551.0,300215.0,,,,,,
2013-04-01,6339.169,34439.0,430735.0,0.0,0.0,0.0,4250.059,23090.0,288784.0,,,,,,
2013-05-01,7008.537,38076.0,433756.0,0.0,0.0,0.0,3978.255,21613.0,246213.0,,,,,,
2013-06-01,6821.617,37060.0,426936.0,0.0,0.0,0.0,3323.953,18058.0,208032.0,,,,,,
2013-07-01,7213.113,39187.0,449497.0,0.0,0.0,0.0,3545.128,19260.0,220921.0,,,,,,
2013-08-01,7252.523,39401.0,451020.0,0.0,0.0,0.0,3217.628,17481.0,200098.0,,,,,,
2013-09-01,6805.624,36973.0,436163.0,0.0,0.0,0.0,3157.489,17154.0,202359.0,,,,,,
2013-10-01,6606.979,35894.0,437910.0,21.186,115.0,1404.0,3895.763,21165.0,258211.0,,,,,,
2013-11-01,3270.495,17768.0,190629.0,0.506,3.0,30.0,4420.042,24013.0,257633.0,,,,,,
2013-12-01,6640.867,36078.0,463067.0,17.515,95.0,1221.0,4799.918,26077.0,334698.0,,,,,,
2014-01-01,6033.49,32779.0,449604.0,1.584,9.0,118.0,4837.443,26281.0,360477.0,,,,,,
2014-02-01,6239.313,33897.0,423644.0,1.13,6.0,77.0,3896.484,21169.0,264568.0,,,,,,
2014-03-01,6990.687,37979.0,454748.0,0.0,0.0,0.0,4024.914,21866.0,261823.0,,,,,,
2014-04-01,6980.185,37922.0,448081.0,0.0,0.0,0.0,3490.926,18965.0,224094.0,,,,,,
2014-05-01,7487.186,40676.0,440175.0,0.0,0.0,0.0,3776.173,20515.0,222003.0,,,,,,
2014-06-01,7388.478,40140.0,453592.0,26.621,145.0,1634.0,2983.029,16206.0,183134.0,,,,,,
2014-07-01,6952.774,37773.0,423160.0,23.266,126.0,1416.0,3363.51,18273.0,204710.0,,,,,,
2014-08-01,6997.454,38016.0,456943.0,6.867,37.0,448.0,3637.724,19763.0,237548.0,,,,,,
2014-09-01,6975.256,37895.0,441155.0,17.258,94.0,1092.0,2872.648,15606.0,181683.0,,,,,,
2014-10-01,7295.771,39636.0,461097.0,9.709,53.0,614.0,3355.771,18231.0,212087.0,,,,,,
2014-11-01,3583.421,19468.0,233274.0,20.483,111.0,1333.0,3244.956,17629.0,211241.0,,,,,,
2014-12-01,7192.834,39077.0,464849.0,7.943,43.0,513.0,3712.072,20167.0,239899.0,,,,,,
2015-01-01,6687.61,36332.0,464896.0,6.62,36.0,460.0,4478.861,24333.0,311353.0,,,,,,
2015-02-01,6154.243,33435.0,410911.0,12.371,67.0,826.0,3832.03,20819.0,255860.0,,,,,,
2015-03-01,7283.83,39571.0,469239.0,0.0,0.0,0.0,3864.293,20994.0,248945.0,,,,,,
2015-04-01,6537.055,35514.0,419525.0,14.985,81.0,962.0,3271.829,17775.0,209975.0,,,,,,
2015-05-01,7057.103,38340.0,470301.0,6.02,33.0,401.0,3655.746,19861.0,243627.0,,,,,,
2015-06-01,6260.656,34013.0,412469.0,14.687,80.0,968.0,3687.77,20035.0,242960.0,,,,,,
2015-07-01,6829.804,37105.0,446217.0,0.181,1.0,12.0,3552.779,19301.0,232117.0,,,,,,
2015-08-01,6850.689,37218.0,471563.0,8.828,48.0,608.0,3601.991,19569.0,247941.0,,,,,,
2015-09-01,6710.043,36454.0,443609.0,16.867,92.0,1115.0,3776.851,20519.0,249692.0,,,,,,
2015-10-01,3873.86,21046.0,250219.0,24.206,132.0,1564.0,3787.215,20575.0,244622.0,,,,,,
2015-11-01,3176.601,17258.0,246679.0,30.695,167.0,2384.0,3177.739,17264.0,246767.0,,,,,,
2015-12-01,7021.58,38147.0,461262.0,16.975,92.0,1115.0,4542.663,24679.0,298417.0,,,,,,
2016-01-01,6635.674,36272.0,484442.0,8.486,46.0,620.0,5020.604,27444.0,366533.0,,,,,,
2016-02-01,6245.249,34138.0,452038.0,20.623,113.0,1493.0,4399.22,24047.0,318421.0,,,,,,
2016-03-01,6788.874,37110.0,491882.0,4.804,26.0,348.0,4621.408,25262.0,334840.0,,,,,,
2016-04-01,6343.503,34675.0,458944.0,17.533,96.0,1269.0,4136.964,22614.0,299304.0,,,,,,
2016-05-01,6274.435,34298.0,483386.0,7.505,41.0,578.0,3695.577,20201.0,284710.0,,,,,,
2016-06-01,6271.878,34284.0,470221.0,11.096,61.0,832.0,3325.788,18180.0,249344.0,,,,,,
2016-07-01,6284.303,34352.0,459192.0,21.397,117.0,1564.0,3414.457,18664.0,249493.0,,,,,,
2016-08-01,6428.061,35137.0,489000.0,5.351,29.0,407.0,3337.641,18244.0,253904.0,,,,,,
2016-09-01,6303.798,34458.0,469824.0,9.025,49.0,673.0,3307.462,18079.0,246506.0,,,,,,
2016-10-01,6216.175,33979.0,478928.0,24.811,136.0,1912.0,3479.171,19018.0,268054.0,,,,,,
2016-11-01,6483.814,35442.0,474680.0,10.316,56.0,755.0,3951.053,21597.0,289257.0,,,,,,
2016-12-01,6725.639,36764.0,487050.0,3.177,17.0,230.0,4476.925,24472.0,324205.0,,,,,,
2017-01-01,6813.365,37243.0,483486.0,30.264,165.0,2148.0,4572.417,24994.0,324465.0,,,,,,
2017-02-01,6170.864,33731.0,438364.0,3.654,20.0,260.0,4187.119,22888.0,297443.0,,,,,,
2017-03-01,910.436,4977.0,368626.0,6.324,35.0,2561.0,629.323,3440.0,254806.0,,,,,,
2017-04-01,5413.178,29590.0,481325.0,0.199,1.0,18.0,3319.591,18146.0,295169.0,,,,,,
2017-05-01,6682.854,36530.0,485771.0,0.0,0.0,0.0,4291.454,23458.0,311942.0,,,,,,
2017-06-01,6466.266,35346.0,471550.0,3.074,17.0,224.0,3929.749,21481.0,286576.0,,,,,,
2017-07-01,6086.562,33271.0,480468.0,41.631,228.0,3286.0,3830.118,20936.0,302346.0,,,,,,
2017-08-01,6424.942,35120.0,493012.0,6.843,37.0,525.0,3997.073,21849.0,306712.0,,,,,,
2017-09-01,6124.504,33478.0,470209.0,6.148,34.0,472.0,3954.419,21616.0,303600.0,,,,,,
2017-10-01,6402.692,34999.0,497309.0,4.026,22.0,313.0,4051.909,22149.0,314719.0,,,,,,
2017-11-01,6110.806,33403.0,472184.0,9.621,53.0,743.0,4308.431,23551.0,332914.0,,,,,,
2017-12-01,6224.561,34025.0,495471.0,4.151,23.0,330.0,4345.151,23752.0,345871.0,,,,,,
2018-01-01,6329.771,34600.0,482114.0,4.542,25.0,346.0,4257.796,23274.0,324300.0,,,,,,
2018-02-01,5895.292,32225.0,432814.0,7.427,41.0,545.0,3592.727,19639.0,263767.0,,,,,,
2018-03-01,5363.794,29320.0,487659.0,2.322,13.0,211.0,3632.855,19858.0,330288.0,,,,,,
2018-04-01,6591.86,36033.0,463181.0,11.431,62.0,803.0,4103.094,22428.0,288306.0,,,,,,
2018-05-01,6929.574,37879.0,474797.0,37.565,205.0,2574.0,3934.187,21505.0,269561.0,,,,,,
2018-06-01,6610.62,36135.0,463523.0,5.101,28.0,358.0,3638.362,19888.0,255114.0,,,,,,
2018-07-01,7061.474,38600.0,488991.0,1.524,8.0,106.0,3536.793,19333.0,244915.0,,,,,,
2018-08-01,4799.963,26238.0,354443.0,35.57,194.0,2627.0,3119.592,17052.0,230359.0,,,,,,
2018-09-01,6800.467,37173.0,472696.0,0.0,0.0,0.0,3256.755,17802.0,226375.0,,,,,,
2018-10-01,6846.647,37425.0,470314.0,17.07,93.0,1173.0,3854.191,21068.0,264755.0,,,,,,
2018-11-01,6502.776,35546.0,464659.0,9.436,52.0,674.0,4343.98,23745.0,310401.0,,,,,,
2018-12-01,6794.902,37143.0,478620.0,11.903,65.0,838.0,4394.134,24019.0,309515.0,,,,,,
2019-01-01,6831.221,37341.0,476275.0,2.743,15.0,191.0,4302.635,23519.0,299981.0,,,,,,
2019-02-01,6091.52,33298.0,423057.0,1.419,8.0,99.0,3805.833,20804.0,264316.0,,,,,,
2019-03-01,6726.35,36768.0,471641.0,6.53,36.0,458.0,4065.694,22224.0,285080.0,,,,,,
2019-04-01,6857.389,37484.0,453297.0,17.887,98.0,1182.0,3778.292,20653.0,249758.0,,,,,,
2019-05-01,7060.45,38594.0,467795.0,40.765,223.0,2701.0,3781.865,20673.0,250570.0,,,,,,
2019-06-01,6639.947,36296.0,450287.0,13.846,76.0,939.0,3382.302,18488.0,229370.0,,,,,,
2019-07-01,7351.574,40185.0,474806.0,17.23,94.0,1113.0,2529.968,13829.0,163400.0,,,,,,
2019-08-01,7350.61,40180.0,476203.0,27.019,148.0,1750.0,2292.592,12532.0,148524.0,,,,,,
2019-09-01,6920.902,37831.0,461860.0,23.971,131.0,1600.0,2628.358,14367.0,175401.0,,,,,,
2019-10-01,6876.76,37590.0,464726.0,87.996,481.0,5947.0,3186.575,17419.0,215346.0,,,,,,
2019-11-01,6670.628,36463.0,458659.0,65.076,356.0,4475.0,3318.637,18140.0,228183.0,,,,,,
2019-12-01,6805.918,37203.0,482844.0,0.0,0.0,0.0,3582.607,19583.0,254167.0,,,,,,
2020-01-01,7030.892,38433.0,489144.0,0.0,0.0,0.0,3293.293,18002.0,229117.0,,,,,,
2020-02-01,6312.381,34505.0,445734.0,3.201,18.0,226.0,3311.426,18101.0,233828.0,,,,,,
2020-03-01,5431.785,29691.0,379766.0,28.601,156.0,2000.0,2681.998,14660.0,187513.0,,,,,,
2020-04-01,3541.982,19361.0,294999.0,91.652,501.0,7633.0,1810.307,9896.0,150774.0,,,,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-10-01,4819.358,26344.0,333511.0,31.324,171.0,2168.0,3196.632,17474.0,221214.0,,,,,,
2020-11-01,5924.536,32385.0,440319.0,10.606,58.0,788.0,2954.355,16149.0,219572.0,,,,,,
2020-12-01,6466.373,35347.0,452132.0,19.314,106.0,1350.0,3564.813,19486.0,249254.0,,,,,,
2021-01-01,6750.912,36902.0,519611.0,0.075,0.0,6.0,3348.488,18304.0,257730.0,,,,,,
2021-02-01,6029.987,32961.0,469595.0,0.074,0.0,6.0,2968.91,16229.0,231209.0,,,,,,
2021-03-01,6491.749,35485.0,528398.0,7.121,39.0,580.0,3182.875,17398.0,259071.0,,,,,,
2021-04-01,4752.184,25977.0,529309.0,0.052,0.0,6.0,1991.951,10888.0,221868.0,,,,,,
2021-05-01,6502.915,35546.0,529437.0,6.265,34.0,510.0,2549.33,13935.0,207555.0,,,,,,
2021-06-01,6278.21,34318.0,528167.0,1.653,9.0,139.0,2441.582,13346.0,205403.0,,,,,,
2021-07-01,6375.338,34849.0,545254.0,0.068,0.0,6.0,2449.751,13391.0,209516.0,,,,,,
2021-08-01,6235.226,34083.0,534568.0,21.701,119.0,1861.0,2388.654,13057.0,204788.0,,,,,,
2021-09-01,3712.012,20291.0,394833.0,28.989,158.0,3083.0,1620.354,8857.0,172351.0,,,,,,
2021-10-01,6521.88,35650.0,548654.0,0.551,3.0,46.0,2510.151,13721.0,211167.0,,,,,,
2021-11-01,6391.084,34935.0,514108.0,6.917,38.0,556.0,2699.881,14758.0,217182.0,,,,,,
2021-12-01,6291.501,34391.0,502652.0,4.57,25.0,365.0,2948.737,16119.0,235586.0,,,,,,
2022-01-01,6570.459,35916.0,522388.0,0.073,0.0,6.0,3073.761,16802.0,244381.0,,,,,,
2022-02-01,5626.284,30755.0,462716.0,6.695,37.0,551.0,2945.381,16100.0,242233.0,,,,,,
2022-03-01,6137.676,33550.0,500255.0,11.022,60.0,898.0,3215.187,17575.0,262056.0,,,,,,
2022-04-01,5943.884,32491.0,505025.0,9.55,52.0,811.0,3130.044,17110.0,265946.0,,,,,,
2022-05-01,6303.646,34457.0,530944.0,1.652,9.0,139.0,2834.837,15496.0,238773.0,,,,,,
2022-06-01,5576.085,30480.0,471721.0,14.388,79.0,1217.0,2606.648,14249.0,220515.0,,,,,,
