measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2020-10-01,,,,3328.22,29179.0,29179.0
2020-11-01,,,,3550.804,31130.0,31130.0
2020-12-01,,,,3721.268,32624.0,32624.0
2021-01-01,,,,5608.778,49604.0,49604.0
2021-02-01,,,,4914.329,43462.0,43462.0
2021-03-01,,,,4363.469,38591.0,38591.0
2021-04-01,,,,5004.254,44258.0,44258.0
2021-05-01,,,,5534.612,48948.0,48948.0
2021-06-01,,,,4800.947,42460.0,42460.0
2021-07-01,,,,4746.007,41974.0,41974.0
2021-08-01,,,,4819.917,42627.0,42627.0
2021-09-01,,,,4998.928,44211.0,44211.0
2021-10-01,,,,5466.648,48347.0,48347.0
2021-11-01,,,,5621.582,49717.0,49717.0
2021-12-01,,,,6295.529,55678.0,55678.0
2022-01-01,,,,8412.384,28703.0,28703.0
2022-02-01,,,,7373.761,25159.0,25159.0
2022-03-01,,,,6638.557,22651.0,22651.0
2022-04-01,,,,6152.887,20994.0,20994.0
2022-05-01,,,,6645.038,22673.0,22673.0
2022-06-01,,,,6511.734,22218.0,22218.0
2022-07-01,,,,6261.861,21365.0,21365.0
2022-08-01,,,,6615.098,22571.0,22571.0
2022-09-01,,,,6783.856,23147.0,23147.0
2022-10-01,,,,5900.063,20131.0,20131.0
2022-11-01,,,,8393.325,28638.0,28638.0
2022-12-01,,,,8824.436,30109.0,30109.0
2023-01-01,,,,10620.0,36235.0,36235.0
2023-02-01,,,,9626.0,32844.0,32844.0
2023-03-01,,,,4609.0,15726.0,15726.0
2023-04-01,,,,5799.0,19786.0,19786.0
2023-05-01,,,,5309.0,18114.0,18114.0
2023-06-01,,,,4993.0,17036.0,17036.0
2023-07-01,,,,3660.0,12488.0,12488.0
2023-08-01,,,,4328.0,14767.0,14767.0
2023-09-01,,,,5025.0,17145.0,17145.0
2023-10-01,,,,5972.0,20376.0,20376.0
2023-11-01,,,,6407.0,21861.0,21861.0
2023-12-01,,,,6853.0,23382.0,23382.0
2024-01-01,,,,6542.0,22321.0,22321.0
2024-02-01,,,,6864.0,23420.0,23420.0
2024-03-01,,,,8264.0,28197.0,28197.0
2024-04-01,,,,6665.0,22741.0,22741.0
2024-05-01,,,,5936.0,20254.0,20254.0
2024-06-01,,,,4153.0,14170.0,14170.0
2024-07-01,,,,2678.0,9137.0,9137.0
2024-08-01,,,,2814.0,9601.0,9601.0
2024-09-01,,,,3480.0,11874.0,11874.0
2024-10-01,,,,6026.0,20561.0,20561.0
2024-11-01,,,,8148.0,27801.0,27801.0
2024-12-01,,,,8476.0,28920.0,28920.0
