measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-10-01,782.0,25138.0,25138.0,1950.0,62660.0,62660.0,11750.0,377570.0,377570.0
2004-11-01,859.0,24078.0,24078.0,2430.0,68120.0,68120.0,15185.0,425612.0,425612.0
2004-12-01,924.0,25208.0,25208.0,2339.0,63800.0,63800.0,16222.0,442442.0,442442.0
2005-01-01,802.0,23775.0,23775.0,1978.0,58620.0,58620.0,15548.0,460717.0,460717.0
2005-02-01,786.0,21969.0,21969.0,2074.0,58000.0,58000.0,14460.0,404294.0,404294.0
2005-03-01,205.0,5361.0,5361.0,456.0,11920.0,11920.0,2578.0,67422.0,67422.0
2005-04-01,968.0,23172.0,23172.0,2610.0,62480.0,62480.0,15245.0,364922.0,364922.0
2005-05-01,831.0,20549.0,20549.0,2345.0,58020.0,58020.0,12177.0,301274.0,301274.0
2005-06-01,866.0,21649.0,21649.0,2463.0,61580.0,61580.0,12150.0,303807.0,303807.0
2005-07-01,768.0,23052.0,23052.0,2331.0,69960.0,69960.0,13243.0,397392.0,397392.0
2005-08-01,877.0,26612.0,26612.0,3072.0,93200.0,93200.0,14735.0,447049.0,447049.0
2005-09-01,929.0,25895.0,25895.0,2767.0,77120.0,77120.0,12316.0,343281.0,343281.0
2005-10-01,776.0,19210.0,19210.0,1907.0,47240.0,47240.0,11834.0,293080.0,293080.0
2005-11-01,1079.0,27422.0,27422.0,3107.0,78940.0,78940.0,16717.0,424711.0,424711.0
2005-12-01,854.0,24229.0,24229.0,2615.0,74220.0,74220.0,12930.0,366962.0,366962.0
2006-01-01,959.0,25012.0,25012.0,2843.0,74120.0,74120.0,14374.0,374816.0,374816.0
2006-02-01,879.0,22779.0,22779.0,2470.0,64040.0,64040.0,12995.0,336872.0,336872.0
2006-03-01,901.0,24055.0,24055.0,2578.0,68840.0,68840.0,15316.0,409020.0,409020.0
2006-04-01,575.0,13386.0,13386.0,1710.0,39840.0,39840.0,7847.0,182818.0,182818.0
2006-05-01,776.0,24847.0,24847.0,2391.0,76520.0,76520.0,15856.0,507535.0,507535.0
2006-06-01,1098.0,23973.0,23973.0,2901.0,63360.0,63360.0,14052.0,306884.0,306884.0
2006-07-01,998.0,24829.0,24829.0,2991.0,74400.0,74400.0,16040.0,399024.0,399024.0
2006-08-01,984.0,25642.0,25642.0,2634.0,68640.0,68640.0,16155.0,420920.0,420920.0
2006-09-01,868.0,23786.0,23786.0,2440.0,66880.0,66880.0,13810.0,378560.0,378560.0
2006-10-01,813.0,20121.0,20121.0,2292.0,56720.0,56720.0,11860.0,293488.0,293488.0
2006-11-01,926.0,24407.0,24407.0,2646.0,69760.0,69760.0,14900.0,392768.0,392768.0
2006-12-01,1210.0,29378.0,29378.0,3245.0,78800.0,78800.0,13603.0,330344.0,330344.0
2007-01-01,1048.327,26193.0,26193.0,2881.6690000000003,72000.0,72000.0,11681.004,291856.0,291856.0
2007-02-01,1081.512,26260.0,26260.0,2899.4080000000004,70400.0,70400.0,11303.08,274448.0,274448.0
2007-03-01,585.893,15077.0,15077.0,1437.8220000000001,37000.0,37000.0,6452.285,166039.0,166039.0
2007-04-01,1127.165,26163.0,26163.0,3426.7740000000003,79540.0,79540.0,13616.062,316047.0,316047.0
2007-05-01,572.2040000000001,12099.0,12099.0,3284.06,69440.0,69440.0,14336.736,303144.0,303144.0
2007-06-01,1030.146,22521.0,22521.0,2492.001,54480.0,54480.0,13290.853,290564.0,290564.0
2007-07-01,1010.61,23547.0,23547.0,2527.062,58880.0,58880.0,13521.328,315044.0,315044.0
2007-08-01,475.182,12574.0,12574.0,2801.1690000000003,74120.0,74120.0,13621.649000000001,360434.0,360434.0
2007-09-01,371.35200000000003,10638.0,10638.0,2264.8320000000003,64880.0,64880.0,11227.816,321640.0,321640.0
2007-10-01,385.433,9319.0,9319.0,2886.2470000000003,69780.0,69780.0,10277.321,248472.0,248472.0
2007-11-01,481.944,10795.0,10795.0,2846.705,63760.0,63760.0,13182.351,295256.0,295256.0
2007-12-01,435.47,10504.0,10504.0,2824.088,68120.0,68120.0,13988.441,337416.0,337416.0
2008-01-01,439.357,9970.0,9970.0,2786.9950000000003,63240.0,63240.0,11919.648000000001,270470.0,270470.0
2008-02-01,376.97,9786.0,9786.0,2439.2960000000003,63320.0,63320.0,13627.735,353753.0,353753.0
2008-03-01,170.459,5329.0,5329.0,1091.3980000000001,34120.0,34120.0,7628.143,238476.0,238476.0
2008-04-01,477.89300000000003,13132.0,13132.0,2351.71,64620.0,64620.0,15255.397,419186.0,419186.0
2008-05-01,670.308,15318.0,15318.0,2732.431,62440.0,62440.0,14197.262,324428.0,324428.0
2008-06-01,597.85,14665.0,14665.0,3311.922,81240.0,81240.0,14677.228,360026.0,360026.0
2008-07-01,63.776,1721.0,1721.0,2655.536,71660.0,71660.0,14771.688,398616.0,398616.0
2008-08-01,564.327,15323.0,15323.0,2477.9210000000003,67280.0,67280.0,12837.752,348568.0,348568.0
2008-09-01,826.681,23230.0,23230.0,2704.6530000000002,76000.0,76000.0,13009.666000000001,365568.0,365568.0
2008-10-01,600.4150000000001,14782.0,14782.0,1784.001,43920.0,43920.0,8341.585000000001,205360.0,205360.0
2008-11-01,975.5500000000001,22378.0,22378.0,3195.451,73300.0,73300.0,14572.999,334288.0,334288.0
2008-12-01,826.78,21619.0,21619.0,2885.135,75440.0,75440.0,15125.085,395488.0,395488.0
2009-01-01,890.4830000000001,19814.0,19814.0,3358.161,74720.0,74720.0,14009.356,311712.0,311712.0
2009-02-01,781.93,17002.0,17002.0,2684.004,58360.0,58360.0,11930.066,259403.0,259403.0
2009-03-01,732.767,15827.0,15827.0,2303.889,49760.0,49760.0,10742.344000000001,232016.0,232016.0
2009-04-01,211.877,6861.0,6861.0,277.95300000000003,9000.0,9000.0,4137.17,133960.0,133960.0
2009-05-01,586.89,18449.0,18449.0,2025.173,63660.0,63660.0,14423.937,453407.0,453407.0
2009-06-01,617.038,21134.0,21134.0,1902.485,65160.0,65160.0,16123.476999999999,552228.0,552228.0
2009-07-01,576.6840000000001,23263.0,23263.0,1663.8870000000002,67120.0,67120.0,17254.429,696031.0,696031.0
2009-08-01,545.863,21622.0,21622.0,1738.9270000000001,68880.0,68880.0,15521.21,614805.0,614805.0
2009-09-01,668.847,20550.0,20550.0,2378.614,73080.0,73080.0,15359.539,471903.0,471903.0
2009-10-01,343.346,7893.0,7893.0,1484.318,34120.0,34120.0,8662.336000000001,199121.0,199121.0
2009-11-01,990.395,19521.0,19521.0,3564.6290000000004,70260.0,70260.0,13309.976,262344.0,262344.0
2009-12-01,1251.3220000000001,27432.0,27432.0,2909.35,63780.0,63780.0,13022.328,285481.0,285481.0
2010-01-01,990.005,20329.0,20329.0,3329.0750000000003,68360.0,68360.0,14449.92,296718.0,296718.0
2010-02-01,854.0160000000001,15966.0,15966.0,3320.64,62080.0,62080.0,14056.344000000001,262786.0,262786.0
2010-03-01,329.24,7405.0,7405.0,1294.729,29120.0,29120.0,8077.031,181662.0,181662.0
2010-04-01,450.93100000000004,11479.0,11479.0,1855.816,47240.0,47240.0,19271.253,490552.0,490552.0
2010-05-01,27.599,785.0,785.0,65.437,1860.0,1860.0,1005.964,28594.0,28594.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,415.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,562.817,13618.0,13618.0,2397.077,58000.0,58000.0,18953.106,458592.0,458592.0
2010-09-01,641.9300000000001,15827.0,15827.0,2581.187,63640.0,63640.0,18431.883,454444.0,454444.0
2010-10-01,656.1510000000001,16897.0,16897.0,2479.91,63860.0,63860.0,18703.939,481644.0,481644.0
2010-11-01,635.796,14958.0,14958.0,2671.9790000000003,62860.0,62860.0,18459.225,434265.0,434265.0
2010-12-01,544.8770000000001,12220.0,12220.0,2978.541,66800.0,66800.0,18858.582000000002,422943.0,422943.0
2011-01-01,395.063,9751.0,9751.0,2477.903,61160.0,61160.0,17285.034,426632.0,426632.0
2011-02-01,377.655,9903.0,9903.0,2134.057,55960.0,55960.0,17087.288,448069.0,448069.0
2011-03-01,379.686,8122.0,8122.0,1630.667,34880.0,34880.0,10646.647,227732.0,227732.0
2011-04-01,679.15,16519.0,16519.0,2577.881,62700.0,62700.0,17479.969,425153.0,425153.0
2011-05-01,789.617,22319.0,22319.0,1941.584,54880.0,54880.0,19739.799,557957.0,557957.0
2011-06-01,619.536,16808.0,16808.0,1607.078,43600.0,43600.0,20206.386,548199.0,548199.0
2011-07-01,736.145,18504.0,18504.0,1891.335,47540.0,47540.0,19354.52,486489.0,486489.0
2011-08-01,650.149,18473.0,18473.0,2296.092,65240.0,65240.0,18959.759,538713.0,538713.0
2011-09-01,461.5,15883.0,15883.0,1334.844,45940.0,45940.0,15474.656,532576.0,532576.0
2011-10-01,466.035,13180.0,13180.0,1792.783,50700.0,50700.0,16582.182,468945.0,468945.0
2011-11-01,519.769,15015.0,15015.0,1659.522,47940.0,47940.0,18164.709,524739.0,524739.0
2011-12-01,659.209,16379.0,16379.0,2335.949,58040.0,58040.0,18825.842,467755.0,467755.0
2012-01-01,647.412,15658.0,15658.0,2429.628,58760.0,58760.0,17745.96,429182.0,429182.0
2012-02-01,547.968,15311.0,15311.0,2083.714,58220.0,58220.0,17895.318,500004.0,500004.0
2012-03-01,473.349,9661.0,9661.0,1596.287,32580.0,32580.0,9585.364,195636.0,195636.0
2012-04-01,677.342,15109.0,15109.0,2248.765,50160.0,50160.0,17459.893,389453.0,389453.0
2012-05-01,640.717,15274.0,15274.0,1695.602,40420.0,40420.0,19272.681,459425.0,459425.0
2012-06-01,679.091,17710.0,17710.0,1847.518,48180.0,48180.0,18916.391,493306.0,493306.0
2012-07-01,515.652,16192.0,16192.0,1930.57,60620.0,60620.0,19501.778,612357.0,612357.0
2012-08-01,622.236,19310.0,19310.0,1544.795,47940.0,47940.0,15877.969,492745.0,492745.0
2012-09-01,325.409,14724.0,14724.0,1076.299,48700.0,48700.0,16422.292,743070.0,743070.0
2012-10-01,334.82,10388.0,10388.0,965.699,29960.0,29960.0,12590.481,390609.0,390609.0
2012-11-01,528.5,16572.0,16572.0,1376.422,43160.0,43160.0,15989.078,501364.0,501364.0
2012-12-01,551.905,14447.0,14447.0,2143.971,56120.0,56120.0,17367.124,454597.0,454597.0
2013-01-01,582.456,16029.0,16029.0,2299.447,63280.0,63280.0,19169.097,527527.0,527527.0
2013-02-01,524.523,12038.0,12038.0,2427.078,55700.0,55700.0,16923.399,388382.0,388382.0
2013-03-01,515.066,12234.0,12234.0,2614.483,62100.0,62100.0,16406.451,389691.0,389691.0
2013-04-01,285.99,6531.0,6531.0,1120.139,25580.0,25580.0,9128.871,208471.0,208471.0
2013-05-01,578.534,13709.0,13709.0,2326.964,55140.0,55140.0,16904.502,400571.0,400571.0
2013-06-01,472.66,12830.0,12830.0,1969.553,53460.0,53460.0,15226.787,413304.0,413304.0
2013-07-01,499.157,15893.0,15893.0,1695.367,53980.0,53980.0,16627.476,529414.0,529414.0
2013-08-01,360.821,12511.0,12511.0,1263.783,43820.0,43820.0,13859.396,480556.0,480556.0
2013-09-01,547.287,16998.0,16998.0,2077.358,64520.0,64520.0,15320.355,475830.0,475830.0
2013-10-01,464.764,15351.0,15351.0,1509.551,49860.0,49860.0,14968.685,494411.0,494411.0
2013-11-01,460.165,14368.0,14368.0,1505.325,47000.0,47000.0,13722.51,428451.0,428451.0
2013-12-01,516.853,15566.0,15566.0,1927.221,58040.0,58040.0,14919.926,449327.0,449327.0
2014-01-01,390.142,13921.0,13921.0,1048.19,37400.0,37400.0,12853.668,458626.0,458626.0
2014-02-01,370.865,12156.0,12156.0,1483.947,48640.0,48640.0,12631.188,414018.0,414018.0
2014-03-01,484.844,14653.0,14653.0,2167.288,65500.0,65500.0,13727.868,414885.0,414885.0
2014-04-01,242.617,7128.0,7128.0,817.632,24020.0,24020.0,7533.751,221323.0,221323.0
2014-05-01,458.208,14402.0,14402.0,1781.735,56000.0,56000.0,15678.057,492762.0,492762.0
2014-06-01,424.296,13986.0,13986.0,1912.457,63040.0,63040.0,15530.247,511921.0,511921.0
2014-07-01,399.238,15294.0,15294.0,1282.28,49120.0,49120.0,13602.482,521067.0,521067.0
2014-08-01,399.634,12689.0,12689.0,2197.142,69760.0,69760.0,15449.224,490518.0,490518.0
2014-09-01,355.668,13061.0,13061.0,2346.341,86160.0,86160.0,14575.991,535245.0,535245.0
2014-10-01,294.342,8741.0,8741.0,1503.194,44640.0,44640.0,12953.464,384676.0,384676.0
2014-11-01,349.833,11282.0,11282.0,2068.952,66720.0,66720.0,16841.215,543099.0,543099.0
2014-12-01,541.977,16411.0,16411.0,2377.155,71980.0,71980.0,18542.868,561476.0,561476.0
2015-01-01,307.166,9897.0,9897.0,2437.092,78520.0,78520.0,18891.742,608668.0,608668.0
2015-02-01,347.629,9953.0,9953.0,2312.17,66200.0,66200.0,16251.201,465290.0,465290.0
2015-03-01,203.161,5437.0,5437.0,982.734,26300.0,26300.0,8632.105,231013.0,231013.0
2015-04-01,377.353,10883.0,10883.0,2101.32,60600.0,60600.0,18247.327,526235.0,526235.0
2015-05-01,379.924,10678.0,10678.0,2697.683,75820.0,75820.0,18835.393,529380.0,529380.0
2015-06-01,212.691,7168.0,7168.0,1358.4,45780.0,45780.0,11148.909,375734.0,375734.0
2015-07-01,189.642,5036.0,5036.0,820.177,21780.0,21780.0,7527.181,199886.0,199886.0
2015-08-01,295.788,9648.0,9648.0,1555.05,50720.0,50720.0,14833.162,483803.0,483803.0
2015-09-01,285.902,10788.0,10788.0,1849.916,69800.0,69800.0,13602.182,513230.0,513230.0
2015-10-01,180.57,5524.0,5524.0,734.9,22480.0,22480.0,6210.53,189975.0,189975.0
2015-11-01,434.495,13219.0,13219.0,2206.907,67140.0,67140.0,17051.598,518755.0,518755.0
2015-12-01,374.777,11390.0,11390.0,1940.763,58980.0,58980.0,15196.46,461822.0,461822.0
2016-01-01,330.36,10721.0,10721.0,1702.799,55260.0,55260.0,15232.841,494343.0,494343.0
2016-02-01,352.573,10155.0,10155.0,1724.153,49660.0,49660.0,14524.274,418336.0,418336.0
2016-03-01,272.568,8440.0,8440.0,1191.676,36900.0,36900.0,12173.756,376958.0,376958.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,137.508,3764.0,3764.0,599.941,16420.0,16420.0,7640.551,209117.0,209117.0
2016-06-01,257.226,8322.0,8322.0,1071.93,34680.0,34680.0,11896.844,384897.0,384897.0
2016-07-01,267.733,8672.0,8672.0,1420.25,46000.0,46000.0,13684.017,443207.0,443207.0
2016-08-01,289.865,10088.0,10088.0,1634.367,56880.0,56880.0,14775.768,514233.0,514233.0
2016-09-01,218.795,8151.0,8151.0,2142.052,79800.0,79800.0,17923.153,667709.0,667709.0
2016-10-01,212.124,8111.0,8111.0,1830.687,70000.0,70000.0,13652.189,522019.0,522019.0
2016-11-01,325.883,9803.0,9803.0,1933.525,58160.0,58160.0,17138.592,515525.0,515525.0
2016-12-01,187.696,5776.0,5776.0,1633.383,50260.0,50260.0,17064.921,525096.0,525096.0
2017-01-01,156.243,4148.0,4148.0,1643.235,43620.0,43620.0,14674.522,389538.0,389538.0
2017-02-01,278.647,8528.0,8528.0,1245.549,38120.0,38120.0,15555.804,476085.0,476085.0
2017-03-01,401.969,9170.0,9170.0,2570.638,58640.0,58640.0,17471.393,398548.0,398548.0
2017-04-01,164.829,5080.0,5080.0,908.597,28000.0,28000.0,9896.574,304980.0,304980.0
2017-05-01,296.668,8706.0,8706.0,1639.749,48120.0,48120.0,18797.583,551633.0,551633.0
2017-06-01,299.148,9722.0,9722.0,1803.841,58620.0,58620.0,19538.011,634933.0,634933.0
2017-07-01,202.717,6388.0,6388.0,1758.7,55420.0,55420.0,19036.583,599879.0,599879.0
2017-08-01,244.792,8487.0,8487.0,1309.48,45400.0,45400.0,16271.728,564145.0,564145.0
2017-09-01,191.337,6789.0,6789.0,1130.153,40100.0,40100.0,12767.51,453016.0,453016.0
2017-10-01,183.42,5260.0,5260.0,1675.186,48040.0,48040.0,11446.394,328253.0,328253.0
2017-11-01,249.407,7173.0,7173.0,2296.385,66040.0,66040.0,17576.208,505461.0,505461.0
2017-12-01,311.916,7809.0,7809.0,2728.119,68300.0,68300.0,17457.965,437070.0,437070.0
2018-01-01,767.439,18107.0,18107.0,2646.428,62440.0,62440.0,18028.133,425357.0,425357.0
2018-02-01,598.214,14944.0,14944.0,2188.861,54680.0,54680.0,15244.925,380834.0,380834.0
2018-03-01,853.009,21044.0,21044.0,2418.348,59660.0,59660.0,17679.643,436152.0,436152.0
2018-04-01,63.357,1438.0,1438.0,1762.103,39980.0,39980.0,10714.54,243100.0,243100.0
2018-05-01,704.049,18236.0,18236.0,2192.973,56800.0,56800.0,20015.978,518432.0,518432.0
2018-06-01,547.148,14782.0,14782.0,2027.653,54780.0,54780.0,17109.199,462230.0,462230.0
2018-07-01,602.732,15629.0,15629.0,2880.123,74680.0,74680.0,17686.145,458592.0,458592.0
2018-08-01,193.798,5453.0,5453.0,1323.498,37240.0,37240.0,9074.704,255340.0,255340.0
2018-09-01,173.614,4965.0,4965.0,751.179,21480.0,21480.0,6386.207,182614.0,182614.0
2018-10-01,608.059,16410.0,16410.0,2562.746,69160.0,69160.0,17509.195,472515.0,472515.0
2018-11-01,555.044,14472.0,14472.0,2277.479,59380.0,59380.0,16557.477,431698.0,431698.0
2018-12-01,633.956,18810.0,18810.0,1991.234,59080.0,59080.0,16727.81,496315.0,496315.0
2019-01-01,352.816,12073.0,12073.0,1607.948,55020.0,55020.0,13249.236,453356.0,453356.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
