measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2021-12-01,4040.549,35735.0,35735.0
2022-01-01,3183.927,10864.0,10864.0
2022-02-01,2637.287,8998.0,8998.0
2022-03-01,2885.68,9846.0,9846.0
2022-04-01,2975.053,10151.0,10151.0
2022-05-01,3024.826,10321.0,10321.0
2022-06-01,2903.811,9908.0,9908.0
2022-07-01,3061.154,10445.0,10445.0
2022-08-01,3030.394,10340.0,10340.0
2022-09-01,2927.42,9988.0,9988.0
2022-10-01,2985.669,10187.0,10187.0
2022-11-01,2926.845,9986.0,9986.0
2022-12-01,3123.934,10659.0,10659.0
2023-01-01,3001.0,10239.0,10239.0
2023-02-01,2939.0,10028.0,10028.0
2023-03-01,3149.0,10744.0,10744.0
2023-04-01,2812.0,9595.0,9595.0
2023-05-01,2241.0,7646.0,7646.0
2023-06-01,2065.0,7046.0,7046.0
2023-07-01,1747.0,5961.0,5961.0
2023-08-01,1304.0,4449.0,4449.0
2023-09-01,1950.0,6653.0,6653.0
2023-10-01,2446.0,8346.0,8346.0
2023-11-01,2303.0,7858.0,7858.0
2023-12-01,2246.0,7663.0,7663.0
2024-01-01,2285.0,7796.0,7796.0
2024-02-01,1984.0,6769.0,6769.0
2024-03-01,2054.0,7008.0,7008.0
2024-04-01,1674.0,5712.0,5712.0
2024-05-01,565.0,1928.0,1928.0
2024-06-01,1350.0,4606.0,4606.0
2024-07-01,976.0,3330.0,3330.0
2024-08-01,964.0,3289.0,3289.0
2024-09-01,1054.0,3596.0,3596.0
2024-10-01,1132.0,3862.0,3862.0
2024-11-01,1455.0,4964.0,4964.0
2024-12-01,1377.0,4698.0,4698.0
