measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-01-01,669.79642,3511.93,29198.25,3681.49058,19303.07,160486.2,,,
2006-02-01,590.54225,3096.38,25743.36,3388.68375,17767.81,147722.04,,,
2006-03-01,654.10589,3429.66,28514.26,4273.69611,22408.17,186302.07,,,
2006-04-01,623.23319,3267.78,27168.44,3834.60581,20105.89,167160.96,,,
2006-05-01,726.42963,3808.87,31667.05,4120.92437,21607.14,179642.34,,,
2006-06-01,769.98028,4037.22,33565.55,3440.87872,18041.48,149997.33,,,
2006-07-01,866.96386,4545.73,37793.33,3936.76014,20641.52,171614.16,,,
2006-08-01,895.62626,4696.02,39042.81,3741.77374,19619.15,163114.2,,,
2006-09-01,729.25203,3823.67,31790.08,3793.44597,19890.08,165366.63,,,
2006-10-01,764.46523,4008.3,33325.14,4115.87477,21580.67,179422.29,,,
2006-11-01,645.75629,3385.88,28150.29,4068.67071,21333.16,177364.53,,,
2006-12-01,724.14514,3796.89,31567.47,3915.70786,20531.14,170696.43,,,
2007-01-01,488.028,2559.0,19196.0,4210.685,22080.0,165624.0,,,
2007-02-01,414.668,2174.0,16310.0,3648.9190000000003,19136.0,143528.0,,,
2007-03-01,482.52200000000005,2530.0,18979.0,2999.059,15728.0,117968.0,,,
2007-04-01,454.46,2383.0,17876.0,3031.1420000000003,15896.0,119224.0,,,
2007-05-01,495.32300000000004,2597.0,19483.0,2969.9010000000003,15576.0,116816.0,,,
2007-06-01,579.953,3041.0,22812.0,4156.738,21792.0,163504.0,,,
2007-07-01,626.158,3283.0,24629.0,3206.0860000000002,16808.0,126112.0,,,
2007-08-01,746.4490000000001,3914.0,29360.0,3016.0440000000003,15816.0,118632.0,,,
2007-09-01,610.219,3199.0,24002.0,3095.8120000000004,16232.0,121768.0,,,
2007-10-01,512.9920000000001,2690.0,20178.0,5677.263,29768.0,223312.0,,,
2007-11-01,405.684,2127.0,15957.0,2719.784,14264.0,106976.0,,,
2007-12-01,420.54900000000004,2205.0,16541.0,7480.4310000000005,39224.0,294232.0,,,
2008-01-01,1028.251,5391.0,57724.0,2062.902,10816.0,115824.0,,,
2008-02-01,868.909,4556.0,48779.0,3381.856,17732.0,189856.0,,,
2008-03-01,997.004,5228.0,55971.0,1868.13,9795.0,104872.0,,,
2008-04-01,969.484,5083.0,54425.0,2690.007,14104.0,151016.0,,,
2008-05-01,1179.117,6182.0,66194.0,3536.8790000000004,18545.0,198552.0,,,
2008-06-01,1432.256,7510.0,80405.0,3294.19,17272.0,184928.0,,,
2008-07-01,1554.05,8148.0,87243.0,3816.041,20009.0,214224.0,,,
2008-08-01,1530.766,8026.0,85935.0,3627.2780000000002,19019.0,203632.0,,,
2008-09-01,1031.7530000000002,5410.0,57921.0,1916.601,10049.0,107592.0,,,
2008-10-01,987.8180000000001,5179.0,55455.0,1381.0330000000001,7241.0,77528.0,,,
2008-11-01,759.29,3981.0,42626.0,2080.481,10909.0,116792.0,,,
2008-12-01,841.537,4412.0,47242.0,2723.327,14279.0,152880.0,,,
2009-01-01,130.833,686.0,4585.0,3678.601,19288.0,128952.0,,,
2009-02-01,111.643,585.0,3914.0,3945.1980000000003,20686.0,138288.0,,,
2009-03-01,143.66,753.0,5036.0,1928.5490000000002,10112.0,67600.0,,,
2009-04-01,125.301,657.0,4392.0,2703.733,14176.0,94776.0,,,
2009-05-01,167.746,880.0,5880.0,4557.812,23898.0,159768.0,,,
2009-06-01,224.321,1176.0,7863.0,4675.563,24515.0,163888.0,,,
2009-07-01,247.445,1297.0,8674.0,4356.658,22843.0,152712.0,,,
2009-08-01,248.276,1302.0,8703.0,3298.4970000000003,17295.0,115624.0,,,
2009-09-01,185.781,974.0,6512.0,2907.21,15243.0,101904.0,,,
2009-10-01,149.535,784.0,5242.0,4796.184,25148.0,168120.0,,,
2009-11-01,115.036,603.0,4032.0,4664.795,24459.0,163512.0,,,
2009-12-01,150.506,789.0,5276.0,4652.467000000001,24394.0,163080.0,,,
2010-01-01,37.737,999.0,7499.0,655.594,17359.0,130257.0,,,
2010-02-01,35.364000000000004,936.0,7027.0,374.111,9906.0,74334.0,,,
2010-03-01,28.045,743.0,5572.0,701.182,18566.0,139321.0,,,
2010-04-01,32.881,871.0,6533.0,459.856,12176.0,91368.0,,,
2010-05-01,40.17,1064.0,7981.0,552.7230000000001,14635.0,109826.0,,,
2010-06-01,48.335,1280.0,9604.0,839.178,22220.0,166740.0,,,
2010-07-01,50.488,1337.0,10032.0,652.024,17264.0,129557.0,,,
2010-08-01,59.833000000000006,1584.0,11888.0,899.205,23809.0,178670.0,,,
2010-09-01,43.519000000000005,1152.0,8647.0,943.594,24985.0,187485.0,,,
2010-10-01,32.348,857.0,6427.0,703.5260000000001,18628.0,139788.0,,,
2010-11-01,29.222,774.0,5807.0,523.3870000000001,13858.0,103998.0,,,
2010-12-01,30.496000000000002,807.0,6060.0,723.182,19148.0,143693.0,,,
2011-01-01,0.0,0.0,0.0,877.137,19181.0,142370.0,,,
2011-02-01,0.0,0.0,0.0,955.972,20905.0,155160.0,,,
2011-03-01,0.0,0.0,0.0,1024.143,22396.0,166224.0,,,
2011-04-01,0.0,0.0,0.0,922.054,20163.0,149649.0,,,
2011-05-01,0.0,0.0,0.0,604.211,13213.0,98065.0,,,
2011-06-01,0.0,0.0,0.0,874.495,19123.0,141930.0,,,
2011-07-01,0.0,0.0,0.0,910.557,19912.0,147790.0,,,
2011-08-01,0.0,0.0,0.0,980.04,21431.0,159061.0,,,
2011-09-01,0.0,0.0,0.0,1066.532,23323.0,173105.0,,,
2011-10-01,0.0,0.0,0.0,1105.157,24168.0,179371.0,,,
2011-11-01,0.0,0.0,0.0,985.003,21540.0,159866.0,,,
2011-12-01,0.0,0.0,0.0,760.699,16635.0,123463.0,,,
2012-01-01,0.0,0.0,0.0,1038.656,20101.0,158457.0,,,
2012-02-01,0.0,0.0,0.0,1135.162,21969.0,173171.0,,,
2012-03-01,0.0,0.0,0.0,900.743,17432.0,137411.0,,,
2012-04-01,0.0,0.0,0.0,1059.5,20504.0,161628.0,,,
2012-05-01,0.0,0.0,0.0,1309.805,25348.0,199818.0,,,
2012-06-01,0.0,0.0,0.0,1215.701,23527.0,185462.0,,,
2012-07-01,0.0,0.0,0.0,1194.05,23108.0,182155.0,,,
2012-08-01,0.0,0.0,0.0,1106.415,21412.0,168785.0,,,
2012-09-01,0.0,0.0,0.0,1182.661,22888.0,180421.0,,,
2012-10-01,0.0,0.0,0.0,1155.336,22359.0,176248.0,,,
2012-11-01,0.0,0.0,0.0,1357.914,26279.0,207154.0,,,
2012-12-01,0.0,0.0,0.0,1066.057,20631.0,162631.0,,,
2013-01-01,0.0,0.0,0.0,1294.349,20937.0,151768.0,,,
2013-02-01,0.0,0.0,0.0,1331.298,21534.0,156086.0,,,
2013-03-01,0.0,0.0,0.0,1476.344,23881.0,173094.0,,,
2013-04-01,0.0,0.0,0.0,1389.226,22471.0,162877.0,,,
2013-05-01,0.0,0.0,0.0,1307.916,21156.0,153349.0,,,
2013-06-01,0.0,0.0,0.0,867.793,14037.0,101745.0,,,
2013-07-01,0.0,0.0,0.0,1100.986,17809.0,129090.0,,,
2013-08-01,0.0,0.0,0.0,1190.833,19262.0,139621.0,,,
2013-09-01,0.0,0.0,0.0,1513.168,24476.0,177412.0,,,
2013-10-01,0.0,0.0,0.0,1833.197,29653.0,214931.0,,,
2013-11-01,0.0,0.0,0.0,1631.642,26393.0,191301.0,,,
2013-12-01,0.0,0.0,0.0,1652.248,26726.0,193715.0,,,
2014-01-01,0.0,0.0,0.0,116.051,1973.0,16371.0,,,
2014-02-01,0.0,0.0,0.0,104.013,1769.0,14688.0,,,
2014-03-01,0.0,0.0,0.0,100.166,1703.0,14144.0,,,
2014-04-01,0.0,0.0,0.0,130.079,2212.0,18369.0,,,
2014-05-01,0.0,0.0,0.0,269.782,4587.0,38089.0,,,
2014-06-01,0.0,0.0,0.0,270.597,4601.0,38208.0,,,
2014-07-01,0.0,0.0,0.0,252.053,4286.0,35590.0,,,
2014-08-01,0.0,0.0,0.0,2437.453,41447.0,344131.0,,,
2014-09-01,0.0,0.0,0.0,1870.528,31807.0,264087.0,,,
2014-10-01,0.0,0.0,0.0,2372.488,40342.0,334960.0,,,
2014-11-01,0.0,0.0,0.0,2430.384,41327.0,343128.0,,,
2014-12-01,0.0,0.0,0.0,3404.406,57889.0,480650.0,,,
2015-01-01,0.0,0.0,0.0,,,,3324.017,30977.0,30977.0
2015-02-01,0.0,0.0,0.0,,,,3551.965,33101.0,33101.0
2015-03-01,0.0,0.0,0.0,,,,3389.33,31585.0,31585.0
2015-04-01,0.0,0.0,0.0,,,,2842.036,26485.0,26485.0
2015-05-01,0.0,0.0,0.0,,,,4714.546,43935.0,43935.0
2015-06-01,0.0,0.0,0.0,,,,4582.487,42704.0,42704.0
2015-07-01,0.0,0.0,0.0,,,,4818.987,44908.0,44908.0
2015-08-01,0.0,0.0,0.0,,,,4210.476,39237.0,39237.0
2015-09-01,0.0,0.0,0.0,,,,3300.253,30755.0,30755.0
2015-10-01,0.0,0.0,0.0,,,,5236.193,48796.0,48796.0
2015-11-01,0.0,0.0,0.0,,,,4549.409,42396.0,42396.0
2015-12-01,0.0,0.0,0.0,,,,4219.301,39320.0,39320.0
2016-01-01,0.0,0.0,0.0,,,,3874.007,35765.0,35765.0
2016-02-01,0.0,0.0,0.0,,,,3229.226,29812.0,29812.0
2016-03-01,0.0,0.0,0.0,,,,3015.942,27843.0,27843.0
2016-04-01,0.0,0.0,0.0,,,,3845.994,35506.0,35506.0
2016-05-01,0.0,0.0,0.0,,,,3453.313,31881.0,31881.0
2016-06-01,0.0,0.0,0.0,,,,4237.432,39120.0,39120.0
2016-07-01,0.0,0.0,0.0,,,,4600.607,42473.0,42473.0
2016-08-01,0.0,0.0,0.0,,,,5378.028,49650.0,49650.0
2016-09-01,0.0,0.0,0.0,,,,4824.705,44542.0,44542.0
2016-10-01,0.0,0.0,0.0,,,,4097.289,37826.0,37826.0
2016-11-01,0.0,0.0,0.0,,,,4063.551,37515.0,37515.0
2016-12-01,0.0,0.0,0.0,,,,3569.506,32954.0,32954.0
2017-01-01,0.0,0.0,0.0,,,,5551.264,51144.0,51144.0
2017-02-01,0.0,0.0,0.0,,,,4972.226,45809.0,45809.0
2017-03-01,0.0,0.0,0.0,,,,5037.506,46411.0,46411.0
2017-04-01,0.0,0.0,0.0,,,,5089.013,46885.0,46885.0
2017-05-01,0.0,0.0,0.0,,,,5708.347,52591.0,52591.0
2017-06-01,0.0,0.0,0.0,,,,5297.604,48807.0,48807.0
2017-07-01,0.0,0.0,0.0,,,,5439.141,50111.0,50111.0
2017-08-01,0.0,0.0,0.0,,,,5018.862,46239.0,46239.0
2017-09-01,0.0,0.0,0.0,,,,3863.955,35599.0,35599.0
2017-10-01,0.0,0.0,0.0,,,,6206.047,57176.0,57176.0
2017-11-01,0.0,0.0,0.0,,,,3948.712,36379.0,36379.0
2017-12-01,0.0,0.0,0.0,,,,3735.723,34417.0,34417.0
2018-01-01,0.0,0.0,0.0,,,,5238.454,47691.0,47691.0
2018-02-01,0.0,0.0,0.0,,,,3925.682,35739.0,35739.0
2018-03-01,0.0,0.0,0.0,,,,4274.444,38915.0,38915.0
2018-04-01,0.0,0.0,0.0,,,,3287.407,29929.0,29929.0
2018-05-01,0.0,0.0,0.0,,,,5488.624,49968.0,49968.0
2018-06-01,0.0,0.0,0.0,,,,4226.676,38480.0,38480.0
2018-07-01,0.0,0.0,0.0,,,,5082.046,46267.0,46267.0
2018-08-01,0.0,0.0,0.0,,,,6061.298,55182.0,55182.0
2018-09-01,0.0,0.0,0.0,,,,4822.228,43902.0,43902.0
2018-10-01,0.0,0.0,0.0,,,,5727.502,52143.0,52143.0
2018-11-01,0.0,0.0,0.0,,,,5730.537,52171.0,52171.0
2018-12-01,0.0,0.0,0.0,,,,5159.602,46973.0,46973.0
2019-01-01,0.0,0.0,0.0,,,,6294.275,56051.0,56051.0
2019-02-01,0.0,0.0,0.0,,,,5827.401,51893.0,51893.0
2019-03-01,0.0,0.0,0.0,,,,6335.072,56414.0,56414.0
2019-04-01,0.0,0.0,0.0,,,,5952.077,53003.0,53003.0
2019-05-01,0.0,0.0,0.0,,,,5402.203,48107.0,48107.0
2019-06-01,0.0,0.0,0.0,,,,4651.863,41425.0,41425.0
2019-07-01,0.0,0.0,0.0,,,,4751.92,42316.0,42316.0
2019-08-01,0.0,0.0,0.0,,,,4803.443,42775.0,42775.0
2019-09-01,0.0,0.0,0.0,,,,5256.601,46810.0,46810.0
2019-10-01,0.0,0.0,0.0,,,,5338.37,47538.0,47538.0
2019-11-01,0.0,0.0,0.0,,,,5750.029,51204.0,51204.0
2019-12-01,0.0,0.0,0.0,,,,4850.746,43196.0,43196.0
2020-01-01,0.0,0.0,0.0,,,,3516.658,30831.0,30831.0
2020-02-01,0.0,0.0,0.0,,,,3698.746,32427.0,32427.0
2020-03-01,0.0,0.0,0.0,,,,3094.128,27126.0,27126.0
2020-04-01,0.0,0.0,0.0,,,,2845.59,24947.0,24947.0
2020-05-01,0.0,0.0,0.0,,,,2376.988,20839.0,20839.0
2020-06-01,0.0,0.0,0.0,,,,2717.09,23821.0,23821.0
2020-07-01,0.0,0.0,0.0,,,,3432.495,30093.0,30093.0
2020-08-01,0.0,0.0,0.0,,,,3941.81,34558.0,34558.0
2020-09-01,0.0,0.0,0.0,,,,3524.216,30897.0,30897.0
2020-10-01,0.0,0.0,0.0,,,,4525.283,39673.0,39673.0
2020-11-01,0.0,0.0,0.0,,,,3701.821,32454.0,32454.0
2020-12-01,0.0,0.0,0.0,,,,3498.175,30669.0,30669.0
2021-01-01,0.0,0.0,0.0,,,,3978.894,35189.0,35189.0
2021-02-01,0.0,0.0,0.0,,,,2461.887,21773.0,21773.0
2021-03-01,0.0,0.0,0.0,,,,2674.165,23650.0,23650.0
2021-04-01,0.0,0.0,0.0,,,,4097.021,36234.0,36234.0
2021-05-01,0.0,0.0,0.0,,,,4260.465,37680.0,37680.0
2021-06-01,0.0,0.0,0.0,,,,4026.856,35614.0,35614.0
2021-07-01,0.0,0.0,0.0,,,,2985.594,26405.0,26405.0
2021-08-01,0.0,0.0,0.0,,,,3773.104,33369.0,33369.0
2021-09-01,0.0,0.0,0.0,,,,3798.877,33597.0,33597.0
2021-10-01,0.0,0.0,0.0,,,,4398.312,38899.0,38899.0
2021-11-01,0.0,0.0,0.0,,,,2502.577,22133.0,22133.0
2021-12-01,0.0,0.0,0.0,,,,4692.248,41498.0,41498.0
2022-01-01,0.0,0.0,0.0,,,,6394.038,21816.0,21816.0
2022-02-01,0.0,0.0,0.0,,,,4975.107,16975.0,16975.0
2022-03-01,0.0,0.0,0.0,,,,5413.944,18472.0,18472.0
2022-04-01,0.0,0.0,0.0,,,,4487.658,15312.0,15312.0
2022-05-01,0.0,0.0,0.0,,,,6964.659,23763.0,23763.0
2022-06-01,0.0,0.0,0.0,,,,5816.895,19847.0,19847.0
2022-07-01,0.0,0.0,0.0,,,,5239.462,17877.0,17877.0
2022-08-01,0.0,0.0,0.0,,,,4675.213,15952.0,15952.0
2022-09-01,0.0,0.0,0.0,,,,3488.446,11903.0,11903.0
2022-10-01,0.0,0.0,0.0,,,,4770.771,16278.0,16278.0
2022-11-01,0.0,0.0,0.0,,,,4930.334,16822.0,16822.0
2022-12-01,0.0,0.0,0.0,,,,3835.473,13087.0,13087.0
2023-01-01,0.0,0.0,0.0,,,,1076.748,3674.0,3674.0
2023-02-01,0.0,0.0,0.0,,,,1062.326,3625.0,3625.0
2023-03-01,0.0,0.0,0.0,,,,1199.608,4093.0,4093.0
2023-04-01,0.0,0.0,0.0,,,,1117.812,3814.0,3814.0
2023-05-01,0.0,0.0,0.0,,,,1040.02,3549.0,3549.0
2023-06-01,0.0,0.0,0.0,,,,931.232,3177.0,3177.0
2023-07-01,0.0,0.0,0.0,,,,934.179,3187.0,3187.0
2023-08-01,0.0,0.0,0.0,,,,1122.333,3829.0,3829.0
2023-09-01,0.0,0.0,0.0,,,,1023.469,3492.0,3492.0
2023-10-01,0.0,0.0,0.0,,,,1016.429,3468.0,3468.0
2023-11-01,0.0,0.0,0.0,,,,954.88,3258.0,3258.0
2023-12-01,0.0,0.0,0.0,,,,955.964,3262.0,3262.0
2024-01-01,0.0,0.0,0.0,,,,3902.359,13315.0,13315.0
2024-02-01,0.0,0.0,0.0,,,,4568.749,15589.0,15589.0
2024-03-01,0.0,0.0,0.0,,,,4692.233,16010.0,16010.0
2024-04-01,0.0,0.0,0.0,,,,4762.181,16249.0,16249.0
2024-05-01,0.0,0.0,0.0,,,,4822.948,16456.0,16456.0
2024-06-01,0.0,0.0,0.0,,,,4371.014,14914.0,14914.0
2024-07-01,0.0,0.0,0.0,,,,3966.407,13533.0,13533.0
2024-08-01,0.0,0.0,0.0,,,,4373.631,14923.0,14923.0
2024-09-01,0.0,0.0,0.0,,,,3937.443,13435.0,13435.0
2024-10-01,0.0,0.0,0.0,,,,4426.502,15103.0,15103.0
2024-11-01,0.0,0.0,0.0,,,,4066.117,13874.0,13874.0
2024-12-01,0.0,0.0,0.0,,,,4855.416,16567.0,16567.0
