measured_on,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Jet Fuel - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed
2004-12-01,0.133,27.0,27.0,,,,0.9840000000000001,388.0,388.0,0.0,0.0,0.0
2005-01-01,57.686,1375.87,1375.87,,,,30.69,734.06,734.06,,,
2005-02-01,13.278,316.7,316.7,,,,27.208000000000002,650.76,650.76,,,
2005-03-01,11.394,271.77,271.77,,,,32.468,776.57,776.57,,,
2005-04-01,11.401,271.92,271.92,,,,33.287,796.17,796.17,,,
2005-05-01,11.495,274.16,274.16,,,,27.004,645.89,645.89,,,
2005-06-01,13.924000000000001,332.11,332.11,,,,45.942,1098.84,1098.84,,,
2005-07-01,26.371000000000002,628.98,628.98,,,,59.203,1416.02,1416.02,,,
2005-08-01,23.357000000000003,557.09,557.09,,,,63.297000000000004,1513.93,1513.93,,,
2005-09-01,12.996,309.98,309.98,,,,41.871,1001.48,1001.48,,,
2005-10-01,18.221,434.59,434.59,,,,28.956000000000003,692.58,692.58,,,
2005-11-01,12.269,292.64,292.64,,,,25.991,621.67,621.67,,,
2005-12-01,33.608000000000004,801.6,801.6,,,,28.082,671.67,671.67,,,
2006-01-01,5.876,190.0,190.0,,,,15.543000000000001,506.0,506.0,,,
2006-02-01,3.075,100.0,100.0,,,,17.569000000000003,572.0,572.0,,,
2006-03-01,2.583,84.0,84.0,,,,23.152,754.0,754.0,,,
2006-04-01,4.948,160.0,160.0,,,,19.159000000000002,624.0,624.0,,,
2006-05-01,4.625,150.0,150.0,,,,25.238,822.0,822.0,,,
2006-06-01,4.204000000000001,136.0,136.0,,,,32.509,1059.0,1059.0,,,
2006-07-01,6.089,197.0,197.0,,,,58.174,1895.0,1895.0,,,
2006-08-01,5.906000000000001,191.0,191.0,,,,51.693000000000005,1683.0,1683.0,,,
2006-09-01,2.713,88.0,88.0,,,,30.407,990.0,990.0,,,
2006-10-01,2.866,93.0,93.0,,,,32.936,1073.0,1073.0,,,
2006-11-01,3.375,109.0,109.0,,,,22.143,721.0,721.0,,,
2006-12-01,3.74,121.0,121.0,,,,22.478,732.0,732.0,,,
2007-01-01,0.0,0.0,0.0,1.679,23.0,23.0,32.945,477.0,477.0,,,
2007-02-01,0.0,0.0,0.0,2.859,41.0,41.0,30.184,436.0,436.0,,,
2007-03-01,0.0,0.0,0.0,1.38,18.0,18.0,43.66,632.0,632.0,,,
2007-04-01,0.0,0.0,0.0,0.997,12.0,12.0,35.724000000000004,517.0,517.0,,,
2007-05-01,0.0,0.0,0.0,0.498,6.0,6.0,42.919000000000004,621.0,621.0,,,
2007-06-01,0.0,0.0,0.0,0.664,12.0,12.0,52.944,766.0,766.0,,,
2007-07-01,0.0,0.0,0.0,0.677,12.0,12.0,61.462,889.0,889.0,,,
2007-08-01,0.0,0.0,0.0,0.682,12.0,12.0,72.037,1042.0,1042.0,,,
2007-09-01,0.0,0.0,0.0,0.457,6.0,6.0,52.795,764.0,764.0,,,
2007-10-01,0.0,0.0,0.0,0.26,6.0,6.0,43.015,623.0,623.0,,,
2007-11-01,0.0,0.0,0.0,0.159,0.0,0.0,34.524,500.0,500.0,,,
2007-12-01,0.0,0.0,0.0,0.604,6.0,6.0,36.875,534.0,534.0,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17.477,334.0,334.0,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,15.945,306.0,306.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,18.495,355.0,355.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,17.181,329.0,329.0,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,16.772000000000002,321.0,321.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24.605,471.0,471.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31.372,601.0,601.0,,,
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,25.269000000000002,485.0,485.0,,,
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,23.528000000000002,451.0,451.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,21.454,411.0,411.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,18.603,357.0,357.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,17.299,331.0,331.0,,,
2009-01-01,0.0,0.0,0.0,62.411,528.0,528.0,0.0,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,10.032,87.0,87.0,0.0,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,6.401000000000001,52.0,52.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,1.861,17.0,17.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,1.5330000000000001,12.0,12.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,4.715,41.0,41.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,6.651000000000001,58.0,58.0,0.0,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,11.008000000000001,93.0,93.0,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,2.175,17.0,17.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,1.0230000000000001,12.0,12.0,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,0.897,6.0,6.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,7.174,64.0,64.0,0.11900000000000001,1.0,1.0,,,
2010-01-01,0.0,0.0,0.0,25.563000000000002,621.0,621.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,7.109,171.0,171.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,4.601,108.0,108.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,4.3260000000000005,103.0,103.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,5.933000000000001,143.0,143.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,21.982,530.0,530.0,0.0,0.0,0.0,,,
2010-07-01,0.0,0.0,0.0,43.52,1049.0,1049.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,23.717000000000002,570.0,570.0,0.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,10.836,262.0,262.0,0.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,2.541,63.0,63.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,2.555,63.0,63.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,15.317,371.0,371.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,30.88,792.0,792.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,7.701,200.0,200.0,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,5.581,143.0,143.0,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,3.23,86.0,86.0,0.0,0.0,0.0,,,
2011-05-01,0.0,0.0,0.0,5.182,131.0,131.0,0.0,0.0,0.0,,,
2011-06-01,0.0,0.0,0.0,16.504,422.0,422.0,0.0,0.0,0.0,,,
2011-07-01,0.0,0.0,0.0,29.783,764.0,764.0,0.0,0.0,0.0,,,
2011-08-01,0.0,0.0,0.0,10.71,274.0,274.0,0.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,5.566,143.0,143.0,0.0,0.0,0.0,,,
2011-10-01,0.0,0.0,0.0,4.021,103.0,103.0,0.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,2.84,74.0,74.0,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,4.002,103.0,103.0,0.0,0.0,0.0,,,
2012-01-01,0.0,0.0,0.0,5.68,97.0,97.0,12.028,205.0,205.0,,,
2012-02-01,0.0,0.0,0.0,4.083,68.0,68.0,11.514,196.0,196.0,,,
2012-03-01,0.0,0.0,0.0,3.641,63.0,63.0,11.145,190.0,190.0,,,
2012-04-01,0.0,0.0,0.0,1.857,34.0,34.0,12.138,207.0,207.0,,,
2012-05-01,0.0,0.0,0.0,4.636,80.0,80.0,15.03,256.0,256.0,,,
2012-06-01,0.0,0.0,0.0,14.894,257.0,257.0,17.072,291.0,291.0,,,
2012-07-01,0.0,0.0,0.0,33.809,576.0,576.0,22.099,377.0,377.0,,,
2012-08-01,0.0,0.0,0.0,15.354,262.0,262.0,19.411,330.0,330.0,,,
2012-09-01,0.0,0.0,0.0,4.794,80.0,80.0,14.607,248.0,248.0,,,
2012-10-01,0.0,0.0,0.0,4.391,74.0,74.0,13.806,235.0,235.0,,,
2012-11-01,0.0,0.0,0.0,7.12,120.0,120.0,13.75,234.0,234.0,,,
2012-12-01,0.0,0.0,0.0,3.473,57.0,57.0,12.668,216.0,216.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,14.522,269.0,269.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,14.889,276.0,276.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,15.489,287.0,287.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,12.855,237.0,237.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,15.091,279.0,279.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,17.561,324.0,324.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,25.499,472.0,472.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18.895,349.0,349.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,14.875,275.0,275.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,12.75,235.0,235.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,13.701,254.0,254.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15.873,294.0,294.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,17.301,293.0,293.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,19.59,331.0,331.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,20.81,351.0,351.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,17.219,291.0,291.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18.551,314.0,314.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24.393,412.0,412.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,28.586,484.0,484.0,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26.171,442.0,442.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,24.394,412.0,412.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,20.554,347.0,347.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,19.358,327.0,327.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,21.073,357.0,357.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,9.823,175.0,175.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,8.214,145.0,145.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,11.278,200.0,200.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,8.202,145.0,145.0,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,11.208,199.0,199.0,,,
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0,11.061,197.0,197.0,,,
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14.644,261.0,261.0,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,14.746,262.0,262.0,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,13.34,237.0,237.0,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,11.103,197.0,197.0,,,
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,9.025,161.0,161.0,,,
2015-12-01,0.0,0.0,0.0,0.642,11.0,11.0,8.714,155.0,155.0,,,
2016-01-01,0.0,0.0,0.0,0.827,17.0,17.0,19.346,391.0,391.0,,,
2016-02-01,0.0,0.0,0.0,2.018,40.0,40.0,18.359,372.0,372.0,,,
2016-03-01,0.0,0.0,0.0,0.143,6.0,6.0,20.087,406.0,406.0,,,
2016-04-01,0.0,0.0,0.0,0.142,6.0,6.0,21.149,427.0,427.0,,,
2016-05-01,0.0,0.0,0.0,0.071,0.0,0.0,23.905,484.0,484.0,,,
2016-06-01,0.0,0.0,0.0,0.088,0.0,0.0,27.137,548.0,548.0,,,
2016-07-01,0.0,0.0,0.0,0.537,11.0,11.0,35.206,712.0,712.0,,,
2016-08-01,0.0,0.0,0.0,0.842,17.0,17.0,38.003,769.0,769.0,,,
2016-09-01,0.0,0.0,0.0,0.236,6.0,6.0,27.521,557.0,557.0,,,
2016-10-01,0.0,0.0,0.0,0.085,0.0,0.0,20.078,406.0,406.0,,,
2016-11-01,0.0,0.0,0.0,0.096,0.0,0.0,18.296,370.0,370.0,,,
2016-12-01,0.0,0.0,0.0,0.553,11.0,11.0,21.275,430.0,430.0,,,
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31.462,597.0,597.0,,,
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,27.322,518.0,518.0,,,
2017-03-01,0.0,0.0,0.0,0.0,0.0,0.0,29.808,566.0,566.0,,,
2017-04-01,0.0,0.0,0.0,0.0,0.0,0.0,25.858,491.0,491.0,,,
2017-05-01,0.0,0.0,0.0,0.0,0.0,0.0,27.994,531.0,531.0,,,
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,35.028,665.0,665.0,,,
2017-07-01,0.0,0.0,0.0,0.0,0.0,0.0,44.58,846.0,846.0,,,
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,42.179,800.0,800.0,,,
2017-09-01,0.0,0.0,0.0,0.0,0.0,0.0,34.938,663.0,663.0,,,
2017-10-01,0.0,0.0,0.0,0.0,0.0,0.0,27.975,531.0,531.0,,,
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,25.329,481.0,481.0,,,
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,30.527,580.0,580.0,,,
2018-01-01,0.0,0.0,0.0,0.325,6.0,6.0,21.722,336.0,336.0,,,
2018-02-01,0.0,0.0,0.0,0.007,0.0,0.0,18.902,292.0,292.0,,,
2018-03-01,0.0,0.0,0.0,0.007,0.0,0.0,21.011,324.0,324.0,,,
2018-04-01,0.0,0.0,0.0,0.005,0.0,0.0,21.725,335.0,335.0,,,
2018-05-01,0.0,0.0,0.0,0.001,0.0,0.0,24.118,373.0,373.0,,,
2018-06-01,0.0,0.0,0.0,0.003,0.0,0.0,28.021,432.0,432.0,,,
2018-07-01,0.0,0.0,0.0,0.003,0.0,0.0,39.741,613.0,613.0,,,
2018-08-01,0.0,0.0,0.0,0.003,0.0,0.0,41.457,640.0,640.0,,,
2018-09-01,0.0,0.0,0.0,0.003,0.0,0.0,30.948,478.0,478.0,,,
2018-10-01,0.0,0.0,0.0,0.003,0.0,0.0,25.78,398.0,398.0,,,
2018-11-01,0.0,0.0,0.0,0.003,0.0,0.0,22.205,342.0,342.0,,,
2018-12-01,0.0,0.0,0.0,0.006,0.0,0.0,22.001,339.0,339.0,,,
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,24.148,370.0,370.0,,,
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,23.084,355.0,355.0,,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,21.49,330.0,330.0,,,
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,18.91,290.0,290.0,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,18.331,282.0,282.0,,,
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,24.421,375.0,375.0,,,
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,41.559,637.0,637.0,,,
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,36.331,558.0,558.0,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,25.955,398.0,398.0,,,
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,21.885,336.0,336.0,,,
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23.108,355.0,355.0,,,
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,25.778,396.0,396.0,,,
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,15.677,259.0,259.0,,,
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,14.73,244.0,244.0,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,14.42,238.0,238.0,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,10.289,171.0,171.0,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12.023,199.0,199.0,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19.125,317.0,317.0,,,
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,27.539,457.0,457.0,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,24.53,406.0,406.0,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,19.248,319.0,319.0,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,14.415,238.0,238.0,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14.859,246.0,246.0,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,15.145,250.0,250.0,,,
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1.439,34.0,34.0,,,
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1.387,33.0,33.0,,,
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,34.286,810.0,810.0,,,
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4.891,115.0,115.0,,,
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0,7.618,180.0,180.0,,,
2021-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26.531,626.0,626.0,,,
2021-07-01,0.0,0.0,0.0,0.0,0.0,0.0,29.483,696.0,696.0,,,
2021-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-10-01,0.0,0.0,0.0,0.0,0.0,0.0,30.883,729.0,729.0,,,
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,1.482,35.0,35.0,,,
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,7.849,131.0,131.0,,,
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,2.322,38.0,38.0,,,
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,46.392,773.0,773.0,,,
2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2.095,35.0,35.0,,,
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,52.816,880.0,880.0,,,
2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,43.916,732.0,732.0,,,
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,390.058,6500.0,6500.0,,,
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,332.267,5537.0,5537.0,,,
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2.4,40.0,40.0,,,
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,50.52,842.0,842.0,,,
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,46.951,782.0,782.0,,,
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,379.414,6323.0,6323.0,,,
2023-01-01,0.0,0.0,0.0,0.012,0.0,0.0,51.291,932.0,932.0,,,
2023-02-01,0.0,0.0,0.0,0.259,6.0,6.0,46.237,839.0,839.0,,,
2023-03-01,0.0,0.0,0.0,0.009,0.0,0.0,44.872,814.0,814.0,,,
2023-04-01,0.0,0.0,0.0,0.004,0.0,0.0,39.645,720.0,720.0,,,
2023-05-01,0.0,0.0,0.0,0.008,0.0,0.0,44.811,813.0,813.0,,,
2023-06-01,0.0,0.0,0.0,0.001,0.0,0.0,59.611,1083.0,1083.0,,,
2023-07-01,0.0,0.0,0.0,0.002,0.0,0.0,86.728,1575.0,1575.0,,,
2023-08-01,0.0,0.0,0.0,0.002,0.0,0.0,68.232,1239.0,1239.0,,,
2023-09-01,0.0,0.0,0.0,0.004,0.0,0.0,61.553,1118.0,1118.0,,,
2023-10-01,0.0,0.0,0.0,0.006,0.0,0.0,48.271,877.0,877.0,,,
2023-11-01,0.0,0.0,0.0,0.003,0.0,0.0,57.96,1052.0,1052.0,,,
2023-12-01,0.0,0.0,0.0,0.002,0.0,0.0,55.477,1008.0,1008.0,,,
2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,54.067,1020.0,1020.0,,,
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3.955,75.0,75.0,,,
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,40.939,772.0,772.0,,,
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,40.778,769.0,769.0,,,
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,84.553,1594.0,1594.0,,,
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,79.199,1493.0,1493.0,,,
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,68.802,1297.0,1297.0,,,
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0,40.078,756.0,756.0,,,
2024-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1.665,32.0,32.0,,,
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,25.163,474.0,474.0,,,
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,8.064,152.0,152.0,,,
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,79.737,1504.0,1504.0,,,
