measured_on,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2013-08-01,0.0,0.0,0.0,5.766,85.0,85.0
2013-09-01,0.0,0.0,0.0,3.645,51.0,51.0
2013-10-01,0.0,0.0,0.0,0.546,6.0,6.0
2013-11-01,0.0,0.0,0.0,3.67,51.0,51.0
2013-12-01,0.0,0.0,0.0,70.599,1009.0,1009.0
2014-01-01,0.0,0.0,0.0,403.489,5358.0,5358.0
2014-02-01,0.0,0.0,0.0,120.636,1599.0,1599.0
2014-03-01,0.0,0.0,0.0,135.274,1797.0,1797.0
2014-04-01,0.0,0.0,0.0,1.273,17.0,17.0
2014-05-01,0.0,0.0,0.0,0.398,6.0,6.0
2014-06-01,0.0,0.0,0.0,3.566,45.0,45.0
2014-07-01,0.0,0.0,0.0,5.706,74.0,74.0
2014-08-01,0.0,0.0,0.0,13.879,181.0,181.0
2014-09-01,0.0,0.0,0.0,5.382,74.0,74.0
2014-10-01,0.0,0.0,0.0,1.963,28.0,28.0
2014-11-01,0.0,0.0,0.0,6.503,85.0,85.0
2014-12-01,0.0,0.0,0.0,17.931,238.0,238.0
2015-01-01,0.0,0.0,0.0,14.56,210.0,210.0
2015-02-01,0.0,0.0,0.0,323.672,4672.0,4672.0
2015-03-01,0.0,0.0,0.0,4.98,74.0,74.0
2015-04-01,0.0,0.0,0.0,6.845,96.0,96.0
2015-05-01,0.0,0.0,0.0,3.944,57.0,57.0
2015-06-01,0.0,0.0,0.0,1.079,17.0,17.0
2015-07-01,0.0,0.0,0.0,19.564,284.0,284.0
2015-08-01,0.0,0.0,0.0,6.744,96.0,96.0
2015-09-01,0.0,0.0,0.0,14.479,210.0,210.0
2015-10-01,0.0,0.0,0.0,1.735,23.0,23.0
2015-11-01,0.0,0.0,0.0,1.137,17.0,17.0
2015-12-01,0.0,0.0,0.0,2.261,34.0,34.0
2016-01-01,0.0,0.0,0.0,13.026,181.0,181.0
2016-02-01,0.0,0.0,0.0,7.31,102.0,102.0
2016-03-01,0.0,0.0,0.0,2.035,28.0,28.0
2016-04-01,0.0,0.0,0.0,4.614,62.0,62.0
2016-05-01,0.0,0.0,0.0,25.884,363.0,363.0
2016-06-01,0.0,0.0,0.0,4.784,68.0,68.0
2016-07-01,0.0,0.0,0.0,26.802,380.0,380.0
2016-08-01,0.0,0.0,0.0,49.346,697.0,697.0
2016-09-01,0.0,0.0,0.0,7.862,113.0,113.0
2016-10-01,0.0,0.0,0.0,1.095,17.0,17.0
2016-11-01,0.0,0.0,0.0,7.413,102.0,102.0
2016-12-01,0.0,0.0,0.0,28.829,408.0,408.0
2017-01-01,0.0,0.0,0.0,6.98,113.0,113.0
2017-02-01,0.0,0.0,0.0,12.653,198.0,198.0
2017-03-01,0.0,0.0,0.0,81.487,1276.0,1276.0
2017-04-01,0.0,0.0,0.0,14.346,227.0,227.0
2017-05-01,0.0,0.0,0.0,16.808,266.0,266.0
2017-06-01,0.0,0.0,0.0,14.916,232.0,232.0
2017-07-01,0.0,0.0,0.0,18.538,289.0,289.0
2017-08-01,0.0,0.0,0.0,16.36,255.0,255.0
2017-09-01,0.0,0.0,0.0,19.195,301.0,301.0
2017-10-01,0.0,0.0,0.0,14.554,227.0,227.0
2017-11-01,0.0,0.0,0.0,29.583,465.0,465.0
2017-12-01,0.0,0.0,0.0,144.58,2268.0,2268.0
2018-01-01,0.0,0.0,0.0,250.977,3890.0,3890.0
2018-02-01,0.0,0.0,0.0,9.66,147.0,147.0
2018-03-01,0.0,0.0,0.0,10.724,164.0,164.0
2018-04-01,0.0,0.0,0.0,8.221,125.0,125.0
2018-05-01,0.0,0.0,0.0,9.117,142.0,142.0
2018-06-01,0.0,0.0,0.0,7.847,119.0,119.0
2018-07-01,0.0,0.0,0.0,10.813,170.0,170.0
2018-08-01,0.0,0.0,0.0,19.479,301.0,301.0
2018-09-01,0.0,0.0,0.0,9.58,147.0,147.0
2018-10-01,0.0,0.0,0.0,8.674,136.0,136.0
2018-11-01,0.0,0.0,0.0,18.651,289.0,289.0
2018-12-01,0.0,0.0,0.0,10.257,159.0,159.0
2019-01-01,0.0,0.0,0.0,18.265,278.0,278.0
2019-02-01,0.0,0.0,0.0,11.425,176.0,176.0
2019-03-01,0.0,0.0,0.0,11.908,181.0,181.0
2019-04-01,0.0,0.0,0.0,9.249,142.0,142.0
2019-05-01,0.0,0.0,0.0,4.729,74.0,74.0
2019-06-01,0.0,0.0,0.0,5.76,85.0,85.0
2019-07-01,0.0,0.0,0.0,7.832,119.0,119.0
2019-08-01,0.0,0.0,0.0,14.938,227.0,227.0
2019-09-01,0.0,0.0,0.0,7.196,108.0,108.0
2019-10-01,0.0,0.0,0.0,11.319,170.0,170.0
2019-11-01,0.0,0.0,0.0,15.644,238.0,238.0
2019-12-01,0.0,0.0,0.0,17.735,272.0,272.0
2020-01-01,0.0,0.0,0.0,9.71,142.0,142.0
2020-02-01,0.0,0.0,0.0,10.366,159.0,159.0
2020-03-01,0.0,0.0,0.0,8.056,125.0,125.0
2020-04-01,0.0,0.0,0.0,8.95,136.0,136.0
2020-05-01,0.0,0.0,0.0,6.262,96.0,96.0
2020-06-01,0.0,0.0,0.0,6.082,91.0,91.0
2020-07-01,0.0,0.0,0.0,7.226,108.0,108.0
2020-08-01,0.0,0.0,0.0,6.818,102.0,102.0
2020-09-01,0.0,0.0,0.0,7.73,119.0,119.0
2020-10-01,0.0,0.0,0.0,12.136,187.0,187.0
2020-11-01,0.0,0.0,0.0,12.221,187.0,187.0
2020-12-01,0.0,0.0,0.0,68.443,1043.0,1043.0
2021-01-01,0.0,0.0,0.0,18.593,359.0,359.0
2021-02-01,0.0,0.0,0.0,25.308,489.0,489.0
2021-03-01,0.0,0.0,0.0,14.57,283.0,283.0
2021-04-01,0.0,0.0,0.0,20.446,395.0,395.0
2021-05-01,0.0,0.0,0.0,10.807,212.0,212.0
2021-06-01,0.0,0.0,0.0,15.185,295.0,295.0
2021-07-01,0.0,0.0,0.0,6.238,124.0,124.0
2021-08-01,0.0,0.0,0.0,9.429,183.0,183.0
2021-09-01,0.0,0.0,0.0,24.981,483.0,483.0
2021-10-01,0.0,0.0,0.0,36.78,713.0,713.0
2021-11-01,0.0,0.0,0.0,13.302,259.0,259.0
2021-12-01,0.0,0.0,0.0,12.361,241.0,241.0
2022-01-01,0.0,0.0,0.0,191.581,3657.0,3657.0
2022-02-01,0.0,0.0,0.0,27.486,526.0,526.0
2022-03-01,0.0,0.0,0.0,3.71,73.0,73.0
2022-04-01,0.0,0.0,0.0,1.863,34.0,34.0
2022-05-01,0.0,0.0,0.0,1.298,22.0,22.0
2022-06-01,0.0,0.0,0.0,9.734,185.0,185.0
2022-07-01,0.0,0.0,0.0,5.99,112.0,112.0
2022-08-01,0.0,0.0,0.0,1.786,34.0,34.0
2022-09-01,0.0,0.0,0.0,3.58,67.0,67.0
2022-10-01,0.0,0.0,0.0,2.781,50.0,50.0
2022-11-01,0.0,0.0,0.0,3.15,62.0,62.0
2022-12-01,0.0,0.0,0.0,66.041,1260.0,1260.0
2023-01-01,0.0,0.0,0.0,10.195,151.0,151.0
2023-02-01,0.0,0.0,0.0,12.63,190.0,190.0
2023-03-01,0.0,0.0,0.0,6.499,101.0,101.0
2023-04-01,0.0,0.0,0.0,6.777,106.0,106.0
2023-05-01,0.0,0.0,0.0,2.782,45.0,45.0
2023-06-01,0.0,0.0,0.0,10.121,157.0,157.0
2023-07-01,0.0,0.0,0.0,16.195,246.0,246.0
2023-08-01,0.0,0.0,0.0,5.098,78.0,78.0
2023-09-01,0.0,0.0,0.0,8.894,134.0,134.0
2023-10-01,0.0,0.0,0.0,8.719,134.0,134.0
2023-11-01,0.0,0.0,0.0,5.32,84.0,84.0
2023-12-01,0.0,0.0,0.0,6.77,101.0,101.0
2024-01-01,0.0,0.0,0.0,26.938,386.0,386.0
2024-02-01,0.0,0.0,0.0,11.102,157.0,157.0
2024-03-01,0.0,0.0,0.0,9.129,129.0,129.0
2024-04-01,0.0,0.0,0.0,5.901,84.0,84.0
2024-05-01,0.0,0.0,0.0,8.241,118.0,118.0
2024-06-01,0.0,0.0,0.0,5.916,84.0,84.0
2024-07-01,0.0,0.0,0.0,5.437,78.0,78.0
2024-08-01,0.0,0.0,0.0,5.823,84.0,84.0
2024-09-01,0.0,0.0,0.0,6.585,95.0,95.0
2024-10-01,0.0,0.0,0.0,9.762,140.0,140.0
2024-11-01,0.0,0.0,0.0,5.355,78.0,78.0
2024-12-01,0.0,0.0,0.0,17.811,258.0,258.0
