measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Other Gases-Combustion (Gas) Turbine (including jet engine design) Generation,Other Gases-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Other Gases-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Petroleum Coke-Other Generation,Petroleum Coke-Other Quantity Consumed For Electricity,Petroleum Coke-Other Total Fuel Consumed
2009-02-01,11963.869,86158.0,180438.0,3257.806,23461.0,49134.0,,,
2009-03-01,15394.85,110866.0,232184.0,3657.281,26338.0,55159.0,,,
2009-04-01,13427.498,96699.0,202512.0,3343.7670000000003,24080.0,50431.0,,,
2009-05-01,17976.004,129455.0,271112.0,3760.6960000000004,27083.0,56718.0,,,
2009-06-01,24038.729,173116.0,362549.0,3621.985,26084.0,54626.0,,,
2009-07-01,26516.654000000002,190960.0,399921.0,4068.5640000000003,29300.0,61362.0,,,
2009-08-01,26605.768,191602.0,401265.0,3970.86,28596.0,59888.0,,,
2009-09-01,19908.667,143373.0,300260.0,4013.706,28905.0,60534.0,,,
2009-10-01,16024.483,115401.0,241680.0,4181.231,30111.0,63061.0,,,
2009-11-01,12327.469000000001,88777.0,185922.0,3889.742,28012.0,58664.0,,,
2009-12-01,16128.555,116150.0,243249.0,3499.253,25200.0,52775.0,,,
2010-01-01,19239.743000000002,138535.0,293459.0,5095.81,36692.0,77724.0,,,
2010-02-01,18030.265,129827.0,275008.0,4607.339,33175.0,70274.0,,,
2010-03-01,14298.627,102957.0,218091.0,4881.109,35146.0,74450.0,,,
2010-04-01,16763.877,120708.0,255693.0,4531.451,32629.0,69117.0,,,
2010-05-01,20480.175,147467.0,312376.0,4715.462,33954.0,71923.0,,,
2010-06-01,24643.397,177444.0,375876.0,4578.3640000000005,32966.0,69832.0,,,
2010-07-01,25740.803,185346.0,392614.0,4831.731000000001,34791.0,73696.0,,,
2010-08-01,30505.169,219652.0,465284.0,5019.165,36140.0,76555.0,,,
2010-09-01,22187.658,159762.0,338420.0,4706.247,33887.0,71783.0,,,
2010-10-01,16492.504,118754.0,251553.0,3606.2830000000004,25967.0,55005.0,,,
2010-11-01,14898.657,107277.0,227244.0,4432.744000000001,31918.0,67611.0,,,
2010-12-01,15548.012,111953.0,237148.0,4152.408,29899.0,63335.0,,,
2011-01-01,14072.399,101328.0,225919.0,5131.138,36947.0,82376.0,,,
2011-02-01,12777.67,92005.0,205133.0,4347.012,31301.0,69787.0,,,
2011-03-01,11495.101,82770.0,184543.0,5295.248,38128.0,85010.0,,,
2011-04-01,14826.985,106761.0,238033.0,4863.633,35020.0,78081.0,,,
2011-05-01,15790.629,113700.0,253504.0,4941.957,35584.0,79338.0,,,
2011-06-01,20497.398,147591.0,329065.0,5285.574,38059.0,84855.0,,,
2011-07-01,24858.609,178994.0,399081.0,5166.312,37200.0,82940.0,,,
2011-08-01,26755.227,192650.0,429530.0,5435.779,39140.0,87266.0,,,
2011-09-01,18825.935,135555.0,302232.0,4665.667,33595.0,74903.0,,,
2011-10-01,14367.568,103453.0,230657.0,4570.535,32910.0,73375.0,,,
2011-11-01,13256.321,95452.0,212818.0,4629.077,33331.0,74316.0,,,
2011-12-01,15923.913,114660.0,255643.0,5084.313,36609.0,81624.0,,,
2012-01-01,16408.489,118166.0,261595.0,5385.183,38782.0,85854.0,,,
2012-02-01,15294.227,110142.0,243832.0,5349.652,38526.0,85289.0,,,
2012-03-01,16782.649,120861.0,267562.0,5470.246,39394.0,87210.0,,,
2012-04-01,18884.335,135996.0,301069.0,5539.514,39893.0,88315.0,,,
2012-05-01,20288.487,146108.0,323455.0,5494.71,39570.0,87601.0,,,
2012-06-01,22540.95,162329.0,359365.0,5906.335,42535.0,94163.0,,,
2012-07-01,24318.508,175130.0,387704.0,6208.431,44710.0,98979.0,,,
2012-08-01,25222.499,181640.0,402116.0,6154.969,44325.0,98127.0,,,
2012-09-01,19484.712,140320.0,310640.0,4736.638,34111.0,75515.0,,,
2012-10-01,15303.628,110209.0,243982.0,4472.999,32212.0,71312.0,,,
2012-11-01,13861.874,99827.0,220997.0,4410.938,31765.0,70323.0,,,
2012-12-01,14917.041,107425.0,237819.0,5022.986,36173.0,80081.0,,,
2013-01-01,21025.749,151418.0,255498.0,,,,,,
2013-02-01,16607.818,119602.0,201813.0,,,,,,
2013-03-01,17878.221,128751.0,217250.0,,,,,,
2013-04-01,19270.248,138775.0,234165.0,,,,,,
2013-05-01,20743.244,149383.0,252064.0,,,,,,
2013-06-01,25605.128,184396.0,311144.0,,,,,,
2013-07-01,28395.069,204488.0,345047.0,,,,,,
2013-08-01,31604.164,227599.0,384042.0,,,,,,
2013-09-01,26738.925,192561.0,324922.0,,,,,,
2013-10-01,20921.402,150666.0,254229.0,,,,,,
2013-11-01,20452.486,147289.0,248531.0,,,,,,
2013-12-01,22363.546,161052.0,271754.0,,,,,,
2014-01-01,19688.034,141784.0,245364.0,,,,,,
2014-02-01,17181.277,123732.0,214126.0,,,,,,
2014-03-01,17436.745,125571.0,217310.0,,,,,,
2014-04-01,18033.853,129872.0,224751.0,,,,,,
2014-05-01,19956.947,143721.0,248717.0,,,,,,
2014-06-01,23308.523,167857.0,290488.0,,,,,,
2014-07-01,27079.963,195018.0,337490.0,,,,,,
2014-08-01,30169.122,217264.0,375989.0,,,,,,
2014-09-01,24526.555,176629.0,305667.0,,,,,,
2014-10-01,21481.484,154700.0,267717.0,,,,,,
2014-11-01,18633.948,134193.0,232230.0,,,,,,
2014-12-01,20356.549,146599.0,253698.0,,,,,,
2015-01-01,19013.356,136925.0,237029.0,,,,,,
2015-02-01,17233.453,124107.0,214840.0,,,,,,
2015-03-01,19536.734,140694.0,243553.0,,,,,,
2015-04-01,18103.09,130370.0,225680.0,,,,,,
2015-05-01,18824.735,135567.0,234677.0,,,,,,
2015-06-01,22150.598,159518.0,276138.0,,,,,,
2015-07-01,26266.271,189157.0,327445.0,,,,,,
2015-08-01,26986.62,194345.0,336426.0,,,,,,
2015-09-01,22627.73,162954.0,282087.0,,,,,,
2015-10-01,19713.005,141964.0,245750.0,,,,,,
2015-11-01,17121.811,123303.0,213447.0,,,,,,
2015-12-01,19301.597,139001.0,240621.0,,,,,,
2016-01-01,22369.794,100328.0,272264.0,,,,,,
2016-02-01,19534.503,87612.0,237754.0,,,,,,
2016-03-01,21987.34,98613.0,267608.0,,,,,,
2016-04-01,20981.049,94100.0,255360.0,,,,,,
2016-05-01,23445.668,105153.0,285357.0,,,,,,
2016-06-01,26217.298,117584.0,319090.0,,,,,,
2016-07-01,29306.313,131438.0,356687.0,,,,,,
2016-08-01,30168.31,135304.0,367178.0,,,,,,
2016-09-01,25485.638,114303.0,310185.0,,,,,,
2016-10-01,20083.091,90072.0,244431.0,,,,,,
2016-11-01,17960.709,80554.0,218599.0,,,,,,
2016-12-01,16728.287,75026.0,203600.0,,,,,,
2017-01-01,19286.37,86499.0,230450.0,,,,,,
2017-02-01,17092.054,76658.0,204232.0,,,,,,
2017-03-01,20138.371,90320.0,240632.0,,,,,,
2017-04-01,19906.766,89282.0,237865.0,,,,,,
2017-05-01,22718.104,101890.0,271458.0,,,,,,
2017-06-01,29100.464,130515.0,347719.0,,,,,,
2017-07-01,35698.943,160109.0,426564.0,,,,,,
2017-08-01,34079.482,152846.0,407214.0,,,,,,
2017-09-01,25133.142,112722.0,300314.0,,,,,,
2017-10-01,22210.573,99614.0,265393.0,,,,,,
2017-11-01,18471.632,82845.0,220716.0,,,,,,
2017-12-01,24157.099,108344.0,288652.0,,,,,,
2018-01-01,22408.51,100502.0,268721.0,,,,,,
2018-02-01,20155.555,90398.0,241703.0,,,,,,
2018-03-01,20377.626,91394.0,244366.0,,,,,,
2018-04-01,18917.602,84845.0,226857.0,,,,,,
2018-05-01,25597.684,114806.0,306964.0,,,,,,
2018-06-01,27918.129,125213.0,334791.0,,,,,,
2018-07-01,34717.339,155707.0,416327.0,,,,,,
2018-08-01,32322.252,144965.0,387605.0,,,,,,
2018-09-01,27421.639,122986.0,328837.0,,,,,,
2018-10-01,23038.402,103327.0,276273.0,,,,,,
2018-11-01,19888.364,89199.0,238499.0,,,,,,
2018-12-01,21518.898,96512.0,258053.0,,,,,,
2019-01-01,21708.441,97362.0,256510.0,,,,,,
2019-02-01,17452.044,78272.0,206217.0,,,,,,
2019-03-01,18752.477,84104.0,221582.0,,,,,,
2019-04-01,16896.87,75782.0,199657.0,,,,,,
2019-05-01,22984.304,103084.0,271586.0,,,,,,
2019-06-01,26515.414,118921.0,313311.0,,,,,,
2019-07-01,30510.958,136841.0,360523.0,,,,,,
2019-08-01,32848.4,147324.0,388142.0,,,,,,
2019-09-01,28389.914,127328.0,335460.0,,,,,,
2019-10-01,22013.732,98731.0,260118.0,,,,,,
2019-11-01,19967.716,89555.0,235942.0,,,,,,
2019-12-01,22200.73,99570.0,262328.0,,,,,,
2020-01-01,23187.443,103995.0,281553.0,,,,,,
2020-02-01,22060.903,98943.0,267876.0,,,,,,
2020-03-01,21497.492,96416.0,261035.0,,,,,,
2020-04-01,19141.427,85849.0,232426.0,,,,,,
2020-05-01,22915.789,102777.0,278257.0,,,,,,
2020-06-01,27104.176,121562.0,329115.0,,,,,,
2020-07-01,32976.475,147899.0,400420.0,,,,,,
2020-08-01,31916.898,143147.0,387554.0,,,,,,
2020-09-01,26337.21,118122.0,319801.0,,,,,,
2020-10-01,22775.515,102148.0,276553.0,,,,,,
2020-11-01,17839.521,80010.0,216618.0,,,,,,
2020-12-01,19606.151,87933.0,238069.0,,,,,,
2021-01-01,21264.454,95371.0,259771.0,,,,,,
2021-02-01,20678.734,92744.0,252614.0,,,,,,
2021-03-01,16116.091,72280.0,196876.0,,,,,,
2021-04-01,18358.647,82338.0,224271.0,,,,,,
2021-05-01,21013.421,94245.0,256702.0,,,,,,
2021-06-01,28603.352,128286.0,349422.0,,,,,,
2021-07-01,31510.798,141326.0,384940.0,,,,,,
2021-08-01,32134.286,144122.0,392557.0,,,,,,
2021-09-01,27154.022,121785.0,331717.0,,,,,,
2021-10-01,22977.042,103052.0,280690.0,,,,,,
2021-11-01,18899.089,84762.0,230874.0,,,,,,
2021-12-01,19832.064,88947.0,242271.0,,,,,,
2022-01-01,18935.589,84926.0,231892.0,,,,,,
2022-02-01,16858.328,75610.0,206453.0,,,,,,
2022-03-01,13424.474,60209.0,164401.0,,,,,,
2022-04-01,13994.148,62764.0,171378.0,,,,,,
2022-05-01,20673.111,92719.0,253171.0,,,,,,
2022-06-01,25165.006,112865.0,308180.0,,,,,,
2022-07-01,29654.236,132999.0,363156.0,,,,,,
2022-08-01,29808.592,133692.0,365047.0,,,,,,
2022-09-01,25126.853,112694.0,307713.0,,,,,,
2022-10-01,19419.722,87098.0,237821.0,,,,,,
2022-11-01,18201.631,81634.0,222904.0,,,,,,
2022-12-01,20199.31,90594.0,247368.0,,,,,,
2023-01-01,18556.233,83225.0,227634.0,,,,,,
2023-02-01,17501.598,78495.0,214696.0,,,,,,
2023-03-01,17272.731,77468.0,211888.0,,,,,,
2023-04-01,16681.587,74817.0,204637.0,,,,,,
2023-05-01,23816.206,106815.0,292159.0,,,,,,
2023-06-01,27511.976,123391.0,337496.0,,,,,,
2023-07-01,30172.292,135322.0,370131.0,,,,,,
2023-08-01,33209.646,148945.0,407391.0,,,,,,
2023-09-01,27977.002,125477.0,343200.0,,,,,,
2023-10-01,20651.079,92620.0,253331.0,,,,,,
2023-11-01,19146.658,85873.0,234876.0,,,,,,
2023-12-01,20344.992,91247.0,249576.0,,,,,,
2024-01-01,24233.799,108688.0,299049.0,,,,,,
2024-02-01,16731.471,75040.0,206470.0,,,,,,
2024-03-01,18987.104,85157.0,234305.0,,,,,,
2024-04-01,17838.838,80007.0,220135.0,,,,,,
2024-05-01,23834.655,106898.0,294125.0,,,,,,
2024-06-01,26889.741,120600.0,331825.0,,,,,,
2024-07-01,29065.675,130359.0,358677.0,,,,,,
2024-08-01,32842.259,147297.0,405280.0,,,,,,
2024-09-01,27250.165,122216.0,336273.0,,,,,,
2024-10-01,23604.641,105866.0,291286.0,,,,,,
2024-11-01,18910.432,84813.0,233359.0,,,,,,
2024-12-01,20286.22,90983.0,250336.0,,,,,,
