measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2009-03-01,,,,11294.68,55664.0,466479.0
2009-04-01,,,,11010.47,54263.0,445849.0
2009-05-01,,,,12938.83,63767.0,474285.0
2009-06-01,,,,11455.7,56457.0,448357.0
2009-07-01,,,,11511.96,56735.0,460964.0
2009-08-01,,,,11277.22,55578.0,492804.0
2009-09-01,,,,10090.91,49731.0,304045.0
2009-10-01,,,,8963.77,44176.0,332188.0
2009-11-01,,,,9296.48,45816.0,371764.0
2009-12-01,,,,11014.35,54282.0,376047.0
2010-01-01,,,,11367.43,56022.0,420280.0
2010-02-01,,,,9756.26,48082.0,314738.0
2010-03-01,,,,11986.29,59072.0,524063.0
2010-04-01,,,,9440.04,46524.0,463335.0
2010-05-01,,,,8057.79,39711.0,318067.0
2010-06-01,,,,8836.7,43550.0,393301.0
2010-07-01,,,,7958.85,39224.0,354453.0
2010-08-01,,,,8125.6900000000005,40046.0,371787.0
2010-09-01,,,,9049.130000000001,44597.0,359868.0
2010-10-01,,,,7552.42,37221.0,389946.0
2010-11-01,,,,5952.89,29338.0,238912.0
2010-12-01,,,,10277.15,50649.0,415431.0
2011-01-01,,,,12728.34,62729.0,462672.0
2011-02-01,,,,11024.05,54330.0,456054.0
2011-03-01,,,,7474.82,36838.0,516188.0
2011-04-01,,,,7207.1,35519.0,444125.0
2011-05-01,,,,7886.1,38865.0,332267.0
2011-06-01,,,,9648.59,47551.0,432298.0
2011-07-01,,,,10618.59,52332.0,385594.0
2011-08-01,,,,11553.67,56940.0,375041.0
2011-09-01,,,,10230.59,50420.0,375443.0
2011-10-01,,,,3179.66,15670.0,352626.0
2011-11-01,,,,5296.2,26101.0,253268.0
2011-12-01,,,,8204.26,40433.0,323642.0
2012-01-01,,,,9462.35,46633.0,310389.0
2012-02-01,,,,8794.99,43345.0,323522.0
2012-03-01,,,,4428.05,21823.0,415832.0
2012-04-01,,,,11275.28,55568.0,410926.0
2012-05-01,,,,9889.15,48737.0,355853.0
2012-06-01,,,,12289.9,60569.0,412948.0
2012-07-01,,,,12110.45,59684.0,386717.0
2012-08-01,,,,9173.29,45209.0,410930.0
2012-09-01,,,,9151.95,45104.0,400696.0
2012-10-01,,,,10241.26,50472.0,384208.0
2012-11-01,,,,8477.8,41781.0,355448.0
2012-12-01,,,,0.0,0.0,467617.0
2013-01-01,0.0,0.0,0.0,5589.14,27545.0,415452.0
2013-02-01,0.0,0.0,0.0,10725.29,52858.0,323522.0
2013-03-01,0.0,0.0,0.0,12626.49,62227.0,415832.0
2013-04-01,0.0,0.0,0.0,9937.65,48976.0,378995.0
2013-05-01,0.0,0.0,0.0,11407.2,56218.0,355854.0
2013-06-01,0.0,0.0,0.0,10739.84,52929.0,413275.0
2013-07-01,0.0,0.0,0.0,13186.18,64986.0,386725.0
2013-08-01,0.0,0.0,0.0,9854.23,48565.0,410929.0
2013-09-01,0.0,0.0,0.0,9307.15,45869.0,400696.0
2013-10-01,0.0,0.0,0.0,10439.14,51447.0,384208.0
2013-11-01,0.0,0.0,0.0,7792.98,38406.0,355447.0
2013-12-01,0.0,0.0,0.0,9282.9,45749.0,467617.0
