measured_on,Waste heat not directly attributed to a fuel source-Other Generation,Waste heat not directly attributed to a fuel source-Other Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Other Total Fuel Consumed,Waste heat not directly attributed to a fuel source-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Waste heat not directly attributed to a fuel source-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2018-12-01,1229.0,11189.0,11189.0,,,
2019-01-01,141.0,1256.0,1256.0,,,
2019-02-01,149.0,1327.0,1327.0,,,
2019-03-01,1341.0,11942.0,11942.0,,,
2019-04-01,1912.0,17026.0,17026.0,,,
2019-05-01,2142.0,19075.0,19075.0,,,
2019-06-01,1693.0,15076.0,15076.0,,,
2019-07-01,1630.0,14515.0,14515.0,,,
2019-08-01,1981.0,17641.0,17641.0,,,
2019-09-01,1871.0,16661.0,16661.0,,,
2019-10-01,1978.0,17614.0,17614.0,,,
2019-11-01,1577.0,14043.0,14043.0,,,
2019-12-01,1689.0,15041.0,15041.0,,,
2020-01-01,2270.0,19901.0,19901.0,,,
2020-02-01,1289.0,11301.0,11301.0,,,
2020-03-01,1420.0,12449.0,12449.0,,,
2020-04-01,2385.0,20909.0,20909.0,,,
2020-05-01,1058.0,9275.0,9275.0,,,
2020-06-01,787.0,6900.0,6900.0,,,
2020-07-01,1237.0,10845.0,10845.0,,,
2020-08-01,602.0,5278.0,5278.0,,,
2020-09-01,931.0,8162.0,8162.0,,,
2020-10-01,869.0,7619.0,7619.0,,,
2020-11-01,310.0,2718.0,2718.0,,,
2020-12-01,0.0,0.0,0.0,,,
2021-01-01,71.0,628.0,628.0,,,
2021-02-01,855.0,7562.0,7562.0,,,
2021-03-01,0.0,0.0,0.0,,,
2021-04-01,321.0,2839.0,2839.0,,,
2021-05-01,320.0,2830.0,2830.0,,,
2021-06-01,511.0,4519.0,4519.0,,,
2021-07-01,711.0,6288.0,6288.0,,,
2021-08-01,980.0,8667.0,8667.0,,,
2021-09-01,974.0,8614.0,8614.0,,,
2021-10-01,923.0,8163.0,8163.0,,,
2021-11-01,1236.0,10931.0,10931.0,,,
2021-12-01,439.0,3883.0,3883.0,,,
2022-01-01,0.0,0.0,0.0,,,
2022-02-01,111.0,379.0,379.0,,,
2022-03-01,359.0,1225.0,1225.0,,,
2022-04-01,980.0,3344.0,3344.0,,,
2022-05-01,0.0,0.0,0.0,,,
2022-06-01,146.0,498.0,498.0,,,
2022-07-01,111.0,379.0,379.0,,,
2022-08-01,265.0,904.0,904.0,,,
2022-09-01,0.0,0.0,0.0,,,
2022-10-01,308.0,1051.0,1051.0,,,
2022-11-01,0.0,0.0,0.0,,,
2022-12-01,0.0,0.0,0.0,,,
2023-01-01,0.0,0.0,0.0,,,
2023-02-01,0.0,0.0,0.0,,,
2023-03-01,0.0,0.0,0.0,,,
2023-04-01,0.0,0.0,0.0,,,
2023-05-01,76.0,259.0,259.0,,,
2023-06-01,452.0,1542.0,1542.0,,,
2023-07-01,86.0,293.0,293.0,,,
2023-08-01,101.0,345.0,345.0,,,
2023-09-01,222.0,757.0,757.0,,,
2023-10-01,236.0,805.0,805.0,,,
2023-11-01,620.0,2115.0,2115.0,,,
2023-12-01,0.0,0.0,0.0,,,
2024-01-01,57.0,194.0,194.0,,,
2024-02-01,0.0,0.0,0.0,,,
2024-03-01,257.0,877.0,877.0,,,
2024-04-01,0.0,0.0,0.0,,,
2024-05-01,1150.0,3924.0,3924.0,,,
2024-06-01,0.0,0.0,0.0,,,
2024-07-01,0.0,0.0,0.0,,,
2024-08-01,0.0,0.0,0.0,,,
2024-09-01,0.0,0.0,0.0,,,
2024-10-01,0.0,0.0,0.0,,,
2024-11-01,0.0,0.0,0.0,,,
2024-12-01,0.0,0.0,0.0,,,
