measured_on,"Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Nuclear-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-10-01,463967.0,4866086.0,4866086.0
2009-11-01,433515.0,4546705.0,4546705.0
2009-12-01,466861.0,4896438.0,4896438.0
2010-01-01,456042.0,4769743.0,4769743.0
2010-02-01,420181.0,4394673.0,4394673.0
2010-03-01,462455.0,4836817.0,4836817.0
2010-04-01,340785.0,3564270.0,3564270.0
2010-05-01,34419.0,359988.0,359988.0
2010-06-01,435183.0,4551579.0,4551579.0
2010-07-01,444665.0,4650751.0,4650751.0
2010-08-01,444971.0,4653952.0,4653952.0
2010-09-01,429442.0,4491534.0,4491534.0
2010-10-01,464870.0,4862075.0,4862075.0
2010-11-01,382329.0,3998779.0,3998779.0
2010-12-01,467131.0,4885723.0,4885723.0
2011-01-01,466848.0,4885097.0,4885097.0
2011-02-01,417284.0,4366460.0,4366460.0
2011-03-01,465773.0,4873849.0,4873849.0
2011-04-01,449890.0,4707649.0,4707649.0
2011-05-01,450521.0,4714252.0,4714252.0
2011-06-01,441959.0,4624659.0,4624659.0
2011-07-01,438847.0,4592095.0,4592095.0
2011-08-01,438452.0,4587962.0,4587962.0
2011-09-01,381453.0,3991524.0,3991524.0
2011-10-01,94610.0,989999.0,989999.0
2011-11-01,396824.0,4152366.0,4152366.0
2011-12-01,464894.0,4864651.0,4864651.0
2012-01-01,443053.0,4642572.0,4642572.0
2012-02-01,411053.0,4307257.0,4307257.0
2012-03-01,395624.0,4145583.0,4145583.0
2012-04-01,378059.0,3961526.0,3961526.0
2012-05-01,436234.0,4571119.0,4571119.0
2012-06-01,325610.0,3411935.0,3411935.0
2012-07-01,424496.0,4448121.0,4448121.0
2012-08-01,427807.0,4482815.0,4482815.0
2012-09-01,424508.0,4448247.0,4448247.0
2012-10-01,438158.0,4591279.0,4591279.0
2012-11-01,427969.0,4484513.0,4484513.0
2012-12-01,456767.0,4786276.0,4786276.0
2013-01-01,448263.0,4683783.0,4683783.0
2013-02-01,386804.0,4041614.0,4041614.0
2013-03-01,110854.0,1158285.0,1158285.0
2013-04-01,355626.0,3715843.0,3715843.0
2013-05-01,457416.0,4779420.0,4779420.0
2013-06-01,438579.0,4582597.0,4582597.0
2013-07-01,445367.0,4653524.0,4653524.0
2013-08-01,441562.0,4613766.0,4613766.0
2013-09-01,394036.0,4117179.0,4117179.0
2013-10-01,455128.0,4755514.0,4755514.0
2013-11-01,448496.0,4686218.0,4686218.0
2013-12-01,464196.0,4850263.0,4850263.0
2014-01-01,455960.0,4768936.0,4768936.0
2014-02-01,402047.0,4205054.0,4205054.0
2014-03-01,462717.0,4839608.0,4839608.0
2014-04-01,436190.0,4562160.0,4562160.0
2014-05-01,460551.0,4816954.0,4816954.0
2014-06-01,425399.0,4449295.0,4449295.0
2014-07-01,445611.0,4660695.0,4660695.0
2014-08-01,445824.0,4662923.0,4662923.0
2014-09-01,420652.0,4399646.0,4399646.0
2014-10-01,412030.0,4309468.0,4309468.0
2014-11-01,372080.0,3891626.0,3891626.0
2014-12-01,321521.0,3362824.0,3362824.0
