measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2014-09-01,,,,3415.489,44662.0,44662.0,13150.651,171962.0,171962.0,11476.86,150075.0,150075.0
2014-10-01,,,,3637.993,44196.0,44196.0,12609.891,153191.0,153191.0,13040.116,158418.0,158418.0
2014-11-01,,,,2587.411,32716.0,32716.0,8963.873,113341.0,113341.0,10376.716,131205.0,131205.0
2014-12-01,,,,2554.716,34661.0,34661.0,9972.659,135304.0,135304.0,11356.625,154081.0,154081.0
2015-01-01,,,,2377.298,33275.0,33275.0,8766.144,122698.0,122698.0,9536.558,133482.0,133482.0
2015-02-01,,,,2730.839,38145.0,38145.0,7736.213,108062.0,108062.0,8645.948,120770.0,120770.0
2015-03-01,,,,2555.461,35354.0,35354.0,8465.218,117115.0,117115.0,9028.321,124905.0,124905.0
2015-04-01,,,,2435.475,30595.0,30595.0,11172.491,140350.0,140350.0,11499.034,144452.0,144452.0
2015-05-01,,,,2104.861,29247.0,29247.0,6931.284,96311.0,96311.0,8720.855,121178.0,121178.0
2015-06-01,,,,2458.975,33479.0,33479.0,10971.122,149370.0,149370.0,13473.903,183445.0,183445.0
2015-07-01,,,,2584.775,34246.0,34246.0,10909.478,144541.0,144541.0,13882.747,183934.0,183934.0
2015-08-01,,,,2543.519,31772.0,31772.0,11021.04,137668.0,137668.0,12294.441,153575.0,153575.0
2015-09-01,,,,2114.935,27228.0,27228.0,10291.313,132493.0,132493.0,10783.752,138832.0,138832.0
2015-10-01,,,,2867.453,37312.0,37312.0,12197.405,158718.0,158718.0,12457.142,162097.0,162097.0
2015-11-01,,,,3231.428,43873.0,43873.0,11180.141,151794.0,151794.0,11632.431,157935.0,157935.0
