measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed
2004-07-01,37618.36797,181966.5,730597.92,0.0,0.0,0.0,10371.41203,50168.3,201426.39,0.0,0.0,0.0
2004-08-01,56096.17681,281028.84,1091712.45,2001.58404,0.0,0.0,7951.95319,39837.44,154756.47,283.73596,0.0,0.0
2004-09-01,36717.73362,178363.97,752235.78,155.87562,0.0,0.0,6695.58638,32525.19,137172.4,28.42438,0.0,0.0
2004-10-01,77365.51003,423951.67,1453070.44,10279.02958,0.0,0.0,3789.53997,20766.12,71174.72,503.49042,0.0,0.0
2004-11-01,55080.21818,298865.44,1078770.5,6704.94544,0.0,0.0,1957.72182,10622.6,38342.85,238.31456,0.0,0.0
2004-12-01,38620.96163,211601.52,1010759.6,5123.92402,0.0,0.0,2453.68837,13443.58,64216.14,325.53598,0.0,0.0
2005-01-01,75073.788,399094.39,1438558.92,7431.946400000001,0.0,0.0,7370.392000000001,39181.21,141230.96,729.6336,0.0,0.0
2005-02-01,36901.05493,193423.02,671200.57,3085.7472000000002,0.0,0.0,1436.25507,7528.37,26124.33,120.1028,0.0,0.0
2005-03-01,38939.46823,194756.25,679891.58,1322.9551000000001,0.0,0.0,4771.64177,23865.43,83313.9,162.1149,0.0,0.0
2005-04-01,50546.87797,244503.92,878985.36,0.0,0.0,0.0,6544.41203,31656.44,113804.11,0.0,0.0,0.0
2005-05-01,41031.6609,198477.18,792031.06,0.0,0.0,0.0,7924.239100000001,38330.9,152960.99,0.0,0.0,0.0
2005-06-01,49823.75246,241006.04,868527.81,0.0,0.0,0.0,9711.93754,46978.31,169298.53,0.0,0.0,0.0
2005-07-01,37115.46966,179533.89,737675.63,0.0,0.0,0.0,7771.28034,37591.02,154455.38,0.0,0.0,0.0
2005-08-01,38569.01589,186564.95,682698.34,0.0,0.0,0.0,5826.91411,28185.78,103140.42,0.0,0.0,0.0
2005-09-01,27904.937400000003,134980.97,474577.8,0.0,0.0,0.0,3654.9826000000003,17679.78,62160.1,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60988.3,0.0,0.0,0.0
2006-01-01,63.05,304.98,1058.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,20943.27,101306.19,330294.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,44541.43,215454.54,686648.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,41517.32236,200826.41,679019.12,0.0,0.0,0.0,3767.12764,18222.24,61611.67,0.0,0.0,0.0
2006-05-01,42439.7576,205288.39,710781.58,0.0,0.0,0.0,5918.6224,28629.39,99125.16,0.0,0.0,0.0
2006-06-01,52110.10059,252065.5,1114800.9,0.0,0.0,0.0,2694.89941,13035.69,57652.48,0.0,0.0,0.0
2006-07-01,55492.33559,268425.95,1093996.58,0.0,0.0,0.0,6274.35441,30350.13,123694.96,0.0,0.0,0.0
2006-08-01,43135.47982,208653.72,771247.85,0.0,0.0,0.0,4074.42018,19708.67,72849.26,0.0,0.0,72849.26
2006-09-01,36644.18584,177254.21,658060.99,0.0,0.0,0.0,6231.75416,30144.06,111910.64,0.0,0.0,111910.64
2006-10-01,38922.1164,188272.95,683740.77,0.0,0.0,0.0,5673.6336,27444.34,99668.13,0.0,0.0,99668.13
2006-11-01,39766.31783,192356.5,661662.44,0.0,0.0,0.0,5330.92217,25786.59,88699.96,0.0,0.0,88699.96
2006-12-01,41640.70628,201423.24,724082.79,0.0,0.0,0.0,5371.31372,25981.97,93400.81,0.0,0.0,93400.81
2007-01-01,38957.643,188445.0,687063.0,0.0,0.0,0.0,6565.427000000001,31759.0,115789.0,0.0,0.0,115789.0
2007-02-01,23522.606,113783.0,461859.0,0.0,0.0,0.0,4159.254,20119.0,81666.0,0.0,0.0,81666.0
2007-03-01,50235.41,242997.0,878636.0,0.0,0.0,0.0,3088.4,14939.0,54017.0,0.0,0.0,54017.0
2007-04-01,38149.128,184534.0,695297.0,0.0,0.0,0.0,3792.702,18346.0,69125.0,0.0,0.0,69125.0
2007-05-01,9086.07,43951.0,191257.0,0.0,0.0,0.0,2363.81,11434.0,49757.0,0.0,0.0,49757.0
2007-06-01,4596.262000000001,22233.0,137849.0,0.0,0.0,0.0,1332.3780000000002,6445.0,39960.0,0.0,0.0,39960.0
2007-07-01,1972.5,9542.0,62779.0,0.0,0.0,0.0,1493.31,7224.0,47528.0,0.0,0.0,47528.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79943.0,0.0,0.0,79943.0
2007-09-01,502.48,2430.0,26261.0,0.0,0.0,0.0,1433.64,6934.0,74925.0,0.0,0.0,74925.0
2007-10-01,14957.903,72354.0,279829.0,0.0,0.0,0.0,3026.867,14641.0,56626.0,0.0,0.0,56626.0
2007-11-01,3099.197,14992.0,96945.0,0.0,0.0,0.0,1678.053,8117.0,52491.0,0.0,0.0,52491.0
2007-12-01,0.0,0.0,13432.0,0.0,0.0,13432.0,0.0,0.0,83650.0,0.0,0.0,83650.0
2008-01-01,24949.285,120684.0,277901.0,0.0,0.0,257486.0,,,,0.0,0.0,0.0
2008-02-01,21083.085,101982.0,234837.0,0.0,0.0,263283.0,,,,0.0,0.0,0.0
2008-03-01,24191.150999999998,117017.0,269457.0,0.0,0.0,77104.0,,,,0.0,0.0,0.0
2008-04-01,23523.419,113787.0,262019.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,28609.91,138391.0,318676.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-06-01,34752.035,168102.0,387091.0,0.0,0.0,267295.0,,,,0.0,0.0,0.0
2008-07-01,37707.222,182396.0,420008.0,0.0,0.0,46372.0,,,,0.0,0.0,0.0
2008-08-01,37142.270000000004,179664.0,413715.0,0.0,0.0,97735.0,,,,0.0,0.0,0.0
2008-09-01,25034.293,121095.0,278849.0,0.0,0.0,94719.0,,,,0.0,0.0,0.0
2008-10-01,23968.27,115939.0,266974.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,18423.306,89117.0,205211.0,0.0,0.0,200223.0,,,,0.0,0.0,0.0
2008-12-01,20418.934,98770.0,227440.0,0.0,0.0,115016.0,,,,0.0,0.0,0.0
2009-01-01,15557.618,75255.0,171439.0,0.0,0.0,7409.0,,,,0.0,0.0,0.0
2009-02-01,13275.642,64217.0,146292.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-03-01,17082.81,82632.0,188246.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-04-01,14899.749,72073.0,164189.0,0.0,0.0,60405.0,,,,0.0,0.0,0.0
2009-05-01,19946.974000000002,96487.0,219808.0,0.0,0.0,293847.0,,,,0.0,0.0,0.0
2009-06-01,26674.443,129029.0,293941.0,0.0,0.0,33470.0,,,,0.0,0.0,0.0
2009-07-01,29424.059,142329.0,324241.0,0.0,0.0,159760.0,,,,0.0,0.0,0.0
2009-08-01,29522.944000000003,142808.0,325330.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-09-01,22091.542,106861.0,243439.0,0.0,0.0,214.0,,,,0.0,0.0,0.0
2009-10-01,17781.479,86012.0,195945.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-11-01,13679.108,66168.0,150738.0,0.0,0.0,47374.0,,,,0.0,0.0,0.0
2009-12-01,17896.962,86571.0,197217.0,0.0,0.0,169019.0,,,,0.0,0.0,0.0
2010-01-01,75304.174,363117.0,893445.0,0.0,0.0,366257.0,,,,0.0,0.0,0.0
2010-02-01,70570.285,340290.0,837281.0,0.0,0.0,362504.0,,,,0.0,0.0,0.0
2010-03-01,55964.689,269862.0,663993.0,0.0,0.0,208014.0,,,,0.0,0.0,0.0
2010-04-01,65613.655,316389.0,778472.0,0.0,0.0,408726.0,,,,0.0,0.0,0.0
2010-05-01,80159.211,386528.0,951048.0,0.0,0.0,243651.0,,,,0.0,0.0,0.0
2010-06-01,96454.022,465101.0,1144377.0,0.0,0.0,160556.0,,,,0.0,0.0,0.0
2010-07-01,100749.261,485813.0,1195338.0,0.0,0.0,332342.0,,,,0.0,0.0,0.0
2010-08-01,119396.944,575732.0,1416584.0,0.0,0.0,458326.0,,,,0.0,0.0,0.0
2010-09-01,86842.284,418754.0,1030339.0,0.0,0.0,460341.0,,,,0.0,0.0,0.0
2010-10-01,64551.503,311267.0,765871.0,0.0,0.0,362700.0,,,,0.0,0.0,0.0
2010-11-01,58313.202000000005,281186.0,691856.0,0.0,0.0,359815.0,,,,0.0,0.0,0.0
2010-12-01,60854.770000000004,293442.0,722011.0,0.0,0.0,135676.0,,,,0.0,0.0,0.0
2011-01-01,45703.878,227369.0,614313.0,0.0,0.0,288034.0,,,,0.0,0.0,0.0
2011-02-01,41498.9,206450.0,557795.0,0.0,0.0,342895.0,,,,0.0,0.0,0.0
2011-03-01,37333.416,185728.0,501806.0,0.0,0.0,227720.0,,,,0.0,0.0,0.0
2011-04-01,48154.598,239561.0,647255.0,0.0,0.0,385943.0,,,,0.0,0.0,0.0
2011-05-01,51284.291,255131.0,689322.0,0.0,0.0,383409.0,,,,0.0,0.0,0.0
2011-06-01,66570.781,331179.0,894790.0,0.0,0.0,239965.0,,,,0.0,0.0,0.0
2011-07-01,80734.983,401643.0,1085175.0,0.0,0.0,135058.0,,,,0.0,0.0,0.0
2011-08-01,86894.756,432287.0,1167969.0,0.0,0.0,154331.0,,,,0.0,0.0,0.0
2011-09-01,61142.261,304173.0,821825.0,0.0,0.0,21195.0,,,,0.0,0.0,0.0
2011-10-01,46662.52,232138.0,627200.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-11-01,43053.449,214184.0,578690.0,0.0,0.0,2811.0,,,,0.0,0.0,0.0
2011-12-01,51717.167,257284.0,695141.0,0.0,0.0,222578.0,,,,0.0,0.0,0.0
2012-01-01,37680.667,190115.0,517460.0,,,,,,,,,
2012-02-01,35121.861,177205.0,482319.0,,,,,,,,,
2012-03-01,38539.891,194450.0,529259.0,,,,,,,,,
2012-04-01,43366.232,218801.0,595537.0,,,,,,,,,
2012-05-01,46590.744,235070.0,639818.0,,,,,,,,,
2012-06-01,51763.329,261168.0,710852.0,,,,,,,,,
2012-07-01,55845.337,281763.0,766909.0,,,,,,,,,
2012-08-01,57921.273,292237.0,795417.0,,,,,,,,,
2012-09-01,44744.944,225757.0,614470.0,,,,,,,,,
2012-10-01,35143.45,177313.0,482615.0,,,,,,,,,
2012-11-01,31832.586,160609.0,437149.0,,,,,,,,,
2012-12-01,34255.686,172834.0,470424.0,,,,,,,,,
2013-01-01,9568.0,53855.0,144035.0,0.0,0.0,43340.0,,,,,,
2013-02-01,5360.0,33464.0,87777.0,0.0,0.0,30903.0,,,,,,
2013-03-01,49850.0,243588.0,620814.0,0.0,0.0,90411.0,,,,,,
2013-04-01,83223.0,401279.0,1096045.0,0.0,0.0,274550.0,,,,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-06-01,28828.0,139077.0,383283.0,0.0,0.0,143092.0,,,,,,
2013-07-01,43572.0,209392.0,563960.0,0.0,0.0,159455.0,,,,,,
2013-08-01,11419.0,61166.0,156707.0,0.0,0.0,48624.0,,,,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2013-10-01,57834.0,288871.0,777347.0,0.0,0.0,248674.0,,,,,,
2013-11-01,76461.0,377105.0,983083.0,0.0,0.0,201291.0,,,,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-01-01,569.0,12467.0,31061.0,0.0,0.0,13102.0,,,,,,
2014-02-01,11675.0,64516.0,169152.0,0.0,0.0,57856.0,,,,,,
2014-03-01,0.0,6194.0,15521.0,0.0,0.0,3624.0,,,,,,
2014-04-01,3526.0,26853.0,68028.0,0.0,0.0,11494.0,,,,,,
2014-05-01,66429.0,330776.0,953685.0,0.0,0.0,268335.0,,,,,,
2014-06-01,1907.0,18271.0,46469.0,0.0,0.0,13230.0,,,,,,
2014-07-01,36489.0,185909.0,509594.0,0.0,0.0,111087.0,,,,,,
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2014-09-01,16321.0,85255.0,226333.0,0.0,0.0,48539.0,,,,,,
2014-10-01,33414.0,170247.0,461422.0,0.0,0.0,43940.0,,,,,,
2014-11-01,35509.0,181193.0,527637.0,0.0,0.0,114757.0,,,,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,18477.0,86695.0,235755.0,0.0,0.0,19805.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,77176.0,362114.0,1088391.0,0.0,0.0,163991.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,4839.0,22705.0,63305.0,0.0,0.0,9616.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,28636.0,134362.0,368748.0,0.0,0.0,70162.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,94717.0,444418.0,1222475.0,0.0,0.0,286446.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,53531.0,251170.0,713648.0,0.0,0.0,147569.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,17071.0,80098.0,221130.0,0.0,0.0,25465.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,-1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,-930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2980.0,24060.0,54692.0,0.0,0.0,10705.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,-460.0,6065.0,14140.0,0.0,0.0,3363.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2531.0,23625.0,54673.0,0.0,0.0,7552.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,-10.0,8365.0,18972.0,0.0,0.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,-1550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,-1534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2445.0,21985.0,53719.0,0.0,0.0,16095.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,-1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,8261.0,54708.0,125838.0,0.0,0.0,28652.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,3011.0,27313.0,61806.0,0.0,0.0,6100.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,11619.0,69814.0,153893.0,0.0,0.0,27596.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,15376.0,91282.0,205478.0,0.0,0.0,32203.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,46483.0,273373.0,640049.0,0.0,0.0,104756.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,19346.0,119046.0,279014.0,0.0,0.0,39469.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,8945.0,56859.0,132918.0,0.0,0.0,14734.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,473.0,978.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,52272.0,303651.0,703417.0,0.0,0.0,63545.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,54777.0,318978.0,735213.0,0.0,0.0,92703.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,42270.0,248570.0,546606.0,0.0,0.0,54234.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,80278.0,465551.0,1039659.0,0.0,0.0,248795.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,3599.0,7266.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,25103.0,154046.0,349856.0,0.0,0.0,62673.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,89368.0,515861.0,1189384.0,0.0,0.0,323191.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,80767.0,467642.0,1080775.0,0.0,0.0,187879.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,6207.0,39007.0,81122.0,0.0,0.0,8815.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,56582.0,330535.0,760919.0,0.0,0.0,96454.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,44638.0,263450.0,587122.0,0.0,0.0,99790.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,67152.0,390630.0,873946.0,0.0,0.0,169537.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,90509.0,523109.0,1210959.0,0.0,0.0,251325.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,59167.0,345553.0,757212.0,0.0,0.0,78458.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,72403.0,420958.0,969387.0,0.0,0.0,241501.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,52603.0,308296.0,660164.0,0.0,0.0,119477.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,82293.0,474692.0,1100987.0,0.0,0.0,191126.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,76959.0,446884.0,1054182.0,0.0,0.0,225139.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,46854.0,275998.0,646953.0,0.0,0.0,94063.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,66764.0,388764.0,901654.0,0.0,0.0,140888.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,53820.0,313915.0,726458.0,0.0,0.0,67936.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,39866.0,227757.0,537099.0,0.0,0.0,79826.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,54264.0,317641.0,748715.0,0.0,0.0,92807.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,75482.0,438277.0,1030007.0,0.0,0.0,135525.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,33967.0,202997.0,467833.0,0.0,0.0,47163.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,5687.0,36872.0,86901.0,0.0,0.0,11010.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,38158.0,226793.0,456487.0,0.0,0.0,53286.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,40852.0,234514.0,478510.0,0.0,0.0,71486.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,14303.0,85498.0,164957.0,0.0,0.0,17642.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,56789.0,331630.0,716552.0,0.0,0.0,20269.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,29262.0,168503.0,332882.0,0.0,0.0,37315.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,59559.0,347600.0,723039.0,0.0,0.0,107548.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,1805.0,15470.0,30331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,3640.0,25518.0,55659.0,0.0,0.0,7252.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,21096.0,122915.0,252301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,4244.0,28688.0,58752.0,0.0,0.0,4841.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,37496.0,214978.0,433680.0,0.0,0.0,94222.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,27521.0,159241.0,309920.0,0.0,0.0,78176.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,53480.0,309408.0,613119.0,0.0,0.0,41654.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,48722.0,281540.0,629075.0,0.0,0.0,27435.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,23997.0,141015.0,315291.0,0.0,0.0,13867.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,20906.0,127103.0,283976.0,0.0,0.0,40621.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,1640.0,12624.0,28205.0,0.0,0.0,5565.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,18109.0,111347.0,248774.0,0.0,0.0,37949.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,21901.0,126183.0,281966.0,0.0,0.0,18390.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,36954.0,217763.0,486646.0,0.0,0.0,69566.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,31675.0,185376.0,414294.0,0.0,0.0,47245.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,50307.0,292942.0,655069.0,0.0,0.0,100918.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,42569.0,242544.0,541870.0,0.0,0.0,30016.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,1692.0,14886.0,33272.0,0.0,0.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,56678.0,330601.0,738918.0,0.0,0.0,46238.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,5582.0,40515.0,90586.0,0.0,0.0,11873.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,47674.0,282393.0,630997.0,0.0,0.0,107598.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,100697.0,578351.0,1292748.0,0.0,0.0,211311.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,75562.0,436967.0,976723.0,0.0,0.0,79105.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,13901.0,83897.0,187578.0,0.0,0.0,45268.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,14948.0,82328.0,183967.0,0.0,0.0,22429.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,85045.0,484432.0,1083055.0,0.0,0.0,106156.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,66191.0,384709.0,859889.0,0.0,0.0,94199.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,65313.0,378083.0,845127.0,0.0,0.0,61104.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,48934.0,287213.0,642144.0,0.0,0.0,54070.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,45246.0,266180.0,595180.0,0.0,0.0,62587.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,16175.46,95393.0,213244.0,0.0,0.0,21384.0,0.0,0.0,0.0,0.0,0.0,0.0
