measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-01-01,0.0,0.0,0.0,4.616,23.0,139.0,489.372,2416.0,14196.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,2.887,14.0,81.0,430.328,2125.0,12483.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,3.009,15.0,87.0,420.002,2074.0,12184.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,2.337,12.0,70.0,301.347,1488.0,8742.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,1.195,6.0,35.0,257.405,1271.0,7466.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,1.456,7.0,41.0,330.105,1630.0,9576.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,1.979,10.0,58.0,664.18,3279.0,19267.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,3.775,19.0,110.0,495.125,2445.0,14362.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,1.818,9.0,52.0,335.83,1658.0,9742.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,2.86,14.0,81.0,347.623,1716.0,10084.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,3.953,20.0,116.0,317.485,1568.0,9209.0,0.0,0.0,0.0
2019-12-01,6.0,27.0,64.0,4.482,22.0,128.0,455.831,2251.0,13223.0,0.0,0.0,0.0
2020-01-01,0.295,0.0,0.0,1.782,9.0,52.0,249.809,1301.0,8751.0,0.0,0.0,0.0
2020-02-01,0.316,1.0,6.0,1.903,10.0,70.0,196.793,1025.0,6895.0,0.0,0.0,0.0
2020-03-01,0.246,0.0,0.0,1.479,8.0,52.0,87.169,454.0,3054.0,0.0,0.0,0.0
2020-04-01,0.273,0.0,0.0,1.643,9.0,58.0,100.748,525.0,3530.0,0.0,0.0,0.0
2020-05-01,0.191,0.0,0.0,1.15,6.0,41.0,71.032,370.0,2488.0,0.0,0.0,0.0
2020-06-01,0.185,0.0,0.0,1.117,6.0,41.0,189.2,985.0,6628.0,0.0,0.0,0.0
2020-07-01,0.22,0.0,0.0,1.327,7.0,46.0,376.685,1962.0,13197.0,0.0,0.0,0.0
2020-08-01,0.208,0.0,0.0,1.252,7.0,46.0,317.538,1654.0,11125.0,0.0,0.0,0.0
2020-09-01,0.236,0.0,0.0,1.419,7.0,52.0,184.833,963.0,6476.0,0.0,0.0,0.0
2020-10-01,0.37,2.0,6.0,2.228,12.0,75.0,201.239,1048.0,7050.0,0.0,0.0,0.0
2020-11-01,0.373,2.0,6.0,2.244,12.0,81.0,146.968,765.0,5149.0,0.0,0.0,0.0
2020-12-01,2.087,9.0,29.0,12.566,65.0,440.0,214.876,1119.0,7528.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,,,,357.823,1899.0,14333.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,,,,310.075,1646.0,12423.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,,,,194.687,1033.0,7800.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,,,,137.403,729.0,5504.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,,,,144.301,766.0,5781.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,,,,336.841,1788.0,13495.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,,,,320.906,1703.0,12856.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,,,,373.634,1983.0,14969.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,,,,214.672,1139.0,8601.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,,,,239.996,1274.0,9615.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,,,,165.24,877.0,6620.0,0.0,0.0,0.0
2021-12-01,2.0,9.0,29.0,0.868,5.0,35.0,209.554,1112.0,8396.0,0.0,0.0,0.0
2022-01-01,34.832,156.0,423.0,0.597,3.0,23.0,312.522,1403.0,10912.0,0.0,0.0,0.0
2022-02-01,4.997,22.0,58.0,0.086,0.0,6.0,255.815,1148.0,8932.0,0.0,0.0,0.0
2022-03-01,0.675,3.0,6.0,0.012,0.0,0.0,235.733,1058.0,8231.0,0.0,0.0,0.0
2022-04-01,0.339,2.0,6.0,0.006,0.0,0.0,245.521,1102.0,8573.0,0.0,0.0,0.0
2022-05-01,0.236,0.0,0.0,0.004,0.0,0.0,300.523,1349.0,10493.0,0.0,0.0,0.0
2022-06-01,1.77,8.0,23.0,0.03,0.0,0.0,258.968,1163.0,9041.0,0.0,0.0,0.0
2022-07-01,1.089,5.0,12.0,0.019,0.0,0.0,495.483,2224.0,17300.0,0.0,0.0,0.0
2022-08-01,0.325,1.0,6.0,0.006,0.0,0.0,497.924,2235.0,17384.0,0.0,0.0,0.0
2022-09-01,0.651,3.0,6.0,0.011,0.0,0.0,226.159,1015.0,7896.0,0.0,0.0,0.0
2022-10-01,0.506,2.0,6.0,0.009,0.0,0.0,155.447,698.0,5427.0,0.0,0.0,0.0
2022-11-01,0.573,3.0,6.0,0.01,0.0,0.0,248.067,1114.0,8661.0,0.0,0.0,0.0
2022-12-01,12.007,54.0,145.0,0.206,1.0,6.0,324.842,1458.0,11341.0,0.0,0.0,0.0
2023-01-01,7.618,34.0,75.0,0.812,5.0,29.0,146.581,853.0,6708.0,0.0,0.0,0.0
2023-02-01,50.906,229.0,510.0,5.421,32.0,249.0,156.644,911.0,7167.0,0.0,0.0,0.0
2023-03-01,5.856,26.0,58.0,0.624,4.0,29.0,127.54,742.0,5835.0,0.0,0.0,0.0
2023-04-01,4.856,22.0,46.0,0.517,3.0,23.0,134.485,782.0,6153.0,0.0,0.0,0.0
2023-05-01,3.345,15.0,35.0,0.356,2.0,17.0,137.508,800.0,6291.0,0.0,0.0,0.0
2023-06-01,3.795,17.0,41.0,0.404,2.0,17.0,140.154,815.0,6413.0,0.0,0.0,0.0
2023-07-01,4.828,22.0,46.0,0.514,3.0,23.0,241.064,1402.0,11029.0,0.0,0.0,0.0
2023-08-01,3.34,15.0,35.0,0.356,2.0,17.0,170.543,992.0,7803.0,0.0,0.0,0.0
2023-09-01,5.534,25.0,58.0,0.589,3.0,29.0,157.342,915.0,7199.0,0.0,0.0,0.0
2023-10-01,6.765,30.0,70.0,0.72,4.0,35.0,142.713,830.0,6529.0,0.0,0.0,0.0
2023-11-01,6.881,31.0,70.0,0.733,4.0,35.0,138.312,805.0,6328.0,0.0,0.0,0.0
2023-12-01,9.276,42.0,93.0,0.988,6.0,46.0,172.08,1001.0,7873.0,0.0,0.0,0.0
2024-01-01,18.778,84.0,191.0,0.0,0.0,0.0,99.723,541.0,4861.0,0.0,0.0,0.0
2024-02-01,9.61,43.0,99.0,0.0,0.0,0.0,66.386,360.0,3236.0,0.0,0.0,0.0
2024-03-01,6.082,27.0,64.0,0.0,0.0,0.0,57.296,311.0,2793.0,0.0,0.0,0.0
2024-04-01,6.499,29.0,70.0,0.0,0.0,0.0,63.347,344.0,3088.0,0.0,0.0,0.0
2024-05-01,7.307,33.0,75.0,0.0,0.0,0.0,56.167,305.0,2738.0,0.0,0.0,0.0
2024-06-01,18.688,84.0,191.0,0.0,0.0,0.0,82.844,449.0,4039.0,0.0,0.0,0.0
2024-07-01,22.088,99.0,226.0,0.0,0.0,0.0,156.996,852.0,7653.0,0.0,0.0,0.0
2024-08-01,14.67,66.0,151.0,0.0,0.0,0.0,112.421,610.0,5481.0,0.0,0.0,0.0
2024-09-01,5.066,23.0,52.0,0.0,0.0,0.0,66.598,361.0,3247.0,0.0,0.0,0.0
2024-10-01,6.023,27.0,64.0,0.0,0.0,0.0,96.165,522.0,4688.0,0.0,0.0,0.0
2024-11-01,10.648,48.0,110.0,0.0,0.0,0.0,116.823,634.0,5695.0,0.0,0.0,0.0
2024-12-01,78.541,353.0,811.0,0.0,0.0,0.0,95.234,517.0,4642.0,0.0,0.0,0.0
